video_id,lang,text,timecode
fZQCUsF825A,English - CC1,,0:00 / 10:20
fZQCUsF825A,English - CC1,,0:01 / 10:20
fZQCUsF825A,English - CC1,"58-2.                            BO BOWASKI, KEITH CAMPBELL GET  ",0:01 / 10:20
fZQCUsF825A,English - CC1,"58-2.                            BO BOWASKI, KEITH CAMPBELL GET  ",0:02 / 10:20
fZQCUsF825A,English - CC1,"58-2.                            BO BOWASKI, KEITH CAMPBELL GET  ",0:03 / 10:20
fZQCUsF825A,English - CC1,"THE CALL.                        HERE WE GO, HERE WE GO, AMERICA.",0:03 / 10:20
fZQCUsF825A,English - CC1,"THE CALL.                        HERE WE GO, HERE WE GO, AMERICA.",0:04 / 10:20
fZQCUsF825A,English - CC1,"THE CALL.                        HERE WE GO, HERE WE GO, AMERICA.",0:05 / 10:20
fZQCUsF825A,English - CC1,"THE CALL.                        HERE WE GO, HERE WE GO, AMERICA.",0:06 / 10:20
fZQCUsF825A,English - CC1,"THE CALL.                        HERE WE GO, HERE WE GO, AMERICA.",0:07 / 10:20
fZQCUsF825A,English - CC1,">> Bill: WAIT A MINUTE!          BUTLER, THIS IS A SWITCH OFF    ",0:08 / 10:20
fZQCUsF825A,English - CC1,>> THAT IS HIS GAME TOO.         THEY ARE GOING TO ATTACK THE    ,0:09 / 10:20
fZQCUsF825A,English - CC1,,0:09 / 10:20
fZQCUsF825A,English - CC1,,0:10 / 10:20
fZQCUsF825A,English - CC1,,0:11 / 10:20
fZQCUsF825A,English - CC1,,0:12 / 10:20
fZQCUsF825A,English - CC1,,0:13 / 10:20
fZQCUsF825A,English - CC1,,0:14 / 10:20
fZQCUsF825A,English - CC1,HE HITS A JUMPER RIGHT OVER      AYAYI.                          ,0:14 / 10:20
fZQCUsF825A,English - CC1,,0:15 / 10:20
fZQCUsF825A,English - CC1,,0:16 / 10:20
fZQCUsF825A,English - CC1,">> JIM, GONZAGA WILL BE TESTED.  BAYLOR, ONE OF THE BEST         ",0:17 / 10:20
fZQCUsF825A,English - CC1,,0:18 / 10:20
fZQCUsF825A,English - CC1,,0:19 / 10:20
fZQCUsF825A,English - CC1,,0:20 / 10:20
fZQCUsF825A,English - CC1,,0:21 / 10:20
fZQCUsF825A,English - CC1,"ANOTHER OFFENSIVE REBOUND.       PASS, ASSIST.                   ",0:21 / 10:20
fZQCUsF825A,English - CC1,"ANOTHER OFFENSIVE REBOUND.       PASS, ASSIST.                   ",0:22 / 10:20
fZQCUsF825A,English - CC1,"ANOTHER OFFENSIVE REBOUND.       PASS, ASSIST.                   ",0:23 / 10:20
fZQCUsF825A,English - CC1,"ANOTHER OFFENSIVE REBOUND.       PASS, ASSIST.                   ",0:24 / 10:20
fZQCUsF825A,English - CC1,"ANOTHER OFFENSIVE REBOUND.       PASS, ASSIST.                   ",0:25 / 10:20
fZQCUsF825A,English - CC1,"ANOTHER OFFENSIVE REBOUND.       PASS, ASSIST.                   ",0:26 / 10:20
fZQCUsF825A,English - CC1,,0:27 / 10:20
fZQCUsF825A,English - CC1,,0:28 / 10:20
fZQCUsF825A,English - CC1,"BUTLER WITH A BASKET.            ALL THE LITTLE THINGS, A LITTLE ",0:28 / 10:20
fZQCUsF825A,English - CC1,"BUTLER WITH A BASKET.            ALL THE LITTLE THINGS, A LITTLE ",0:29 / 10:20
fZQCUsF825A,English - CC1,>> Grant: HOW ABOUT VITAL'S      PRESENCE EARLY?                 ,0:30 / 10:20
fZQCUsF825A,English - CC1,>> Grant: HOW ABOUT VITAL'S      PRESENCE EARLY?                 ,0:31 / 10:20
fZQCUsF825A,English - CC1,,0:32 / 10:20
fZQCUsF825A,English - CC1,JARED BUTLER.                    AND AMONG THE TREECHS INSIDE.   ,0:33 / 10:20
fZQCUsF825A,English - CC1,WILL DO A LOT OF SCREENING.      >> Jim: HERE IS MITCHELL AGAIN  ,0:34 / 10:20
fZQCUsF825A,English - CC1,,0:35 / 10:20
fZQCUsF825A,English - CC1,,0:36 / 10:20
fZQCUsF825A,English - CC1,FROM THE OUTSIDE.                AND IT'S A THREE.               ,0:37 / 10:20
fZQCUsF825A,English - CC1,,0:38 / 10:20
fZQCUsF825A,English - CC1,HE HIT HIS FIRST TWO SHOTS.      >> Bill: THEY KNEW THE FEAR OF  ,0:39 / 10:20
fZQCUsF825A,English - CC1,HE HIT HIS FIRST TWO SHOTS.      >> Bill: THEY KNEW THE FEAR OF  ,0:40 / 10:20
fZQCUsF825A,English - CC1,,0:40 / 10:20
fZQCUsF825A,English - CC1,>> Jim: HERE IS MITCHELL,0:41 / 10:20
fZQCUsF825A,English - CC1,>> Jim: HERE IS MITCHELL AGAIN ,0:41 / 10:20
fZQCUsF825A,English - CC1,>> Jim: HERE IS MITCHELL AGAIN ,0:42 / 10:20
fZQCUsF825A,English - CC1,THE ZAGS WHO LOOK FLAT CAN GET   GOING IN THE FIRST HALF.        ,0:43 / 10:20
fZQCUsF825A,English - CC1,AND IT'S A,0:43 / 10:20
fZQCUsF825A,English - CC1,AND IT'S A,0:44 / 10:20
fZQCUsF825A,English - CC1,AND IT'S A,0:45 / 10:20
fZQCUsF825A,English - CC1,,0:46 / 10:20
fZQCUsF825A,English - CC1,>> Bill: HE GOT YOUR ATTENTION.  >> Jim: BUTLER WITH A DRIVE FOR ,0:47 / 10:20
fZQCUsF825A,English - CC1,>> Bill: HE GOT YOUR ATTENTION.  >> Jim: BUTLER WITH A DRIVE FOR ,0:48 / 10:20
fZQCUsF825A,English - CC1,,0:49 / 10:20
fZQCUsF825A,English - CC1,TWO MORE.                        >> Bill: THEY GOT DO THAT.      ,0:50 / 10:20
fZQCUsF825A,English - CC1,TWO MORE.                        >> Bill: THEY GOT DO THAT.      ,0:51 / 10:20
fZQCUsF825A,English - CC1,>> Bill:,0:52 / 10:20
fZQCUsF825A,English - CC1,>> Bill: TCHAMWA CHACH HE IS SO  GOOD FOR THE TEAM.              ,0:53 / 10:20
fZQCUsF825A,English - CC1,>> Bill: TCHAMWA CHACH HE IS SO  GOOD FOR THE TEAM.              ,0:54 / 10:20
fZQCUsF825A,English - CC1,>> Bill: TCHAMWA CHACH HE IS SO  GOOD FOR THE TEAM.              ,0:55 / 10:20
fZQCUsF825A,English - CC1,>> Bill: TCHAMWA CHACH HE IS SO  GOOD FOR THE TEAM.              ,0:56 / 10:20
fZQCUsF825A,English - CC1,>> Bill: TCHAMWA CHACH HE IS SO  GOOD FOR THE TEAM.              ,0:57 / 10:20
fZQCUsF825A,English - CC1,>> Bill: TCHAMWA CHACH HE IS SO  GOOD FOR THE TEAM.              ,0:58 / 10:20
fZQCUsF825A,English - CC1,>> Bill: TCHAMWA CHACH HE IS SO  GOOD FOR THE TEAM.              ,0:59 / 10:20
fZQCUsF825A,English - CC1,>> Bill: TCHAMWA CHACH HE IS SO  GOOD FOR THE TEAM.              ,1:00 / 10:20
fZQCUsF825A,English - CC1,>> Bill: TCHAMWA CHACH HE IS SO  GOOD FOR THE TEAM.              ,1:01 / 10:20
fZQCUsF825A,English - CC1,>> Bill: TCHAMWA CHACH HE IS SO  GOOD FOR THE TEAM.              ,1:02 / 10:20
fZQCUsF825A,English - CC1,>> Bill: TCHAMWA CHACH HE IS SO  GOOD FOR THE TEAM.              ,1:03 / 10:20
fZQCUsF825A,English - CC1,,1:03 / 10:20
fZQCUsF825A,English - CC1,,1:04 / 10:20
fZQCUsF825A,English - CC1,,1:05 / 10:20
fZQCUsF825A,English - CC1,ONE.                             SHOULD HAVE ONE.                ,1:05 / 10:20
fZQCUsF825A,English - CC1,,1:06 / 10:20
fZQCUsF825A,English - CC1,,1:07 / 10:20
fZQCUsF825A,English - CC1,>> Jim: BEAT THE SHOT CLOCK.     THAT'S A KBIG ONE.              ,1:07 / 10:20
fZQCUsF825A,English - CC1,>> Jim: BEAT THE SHOT CLOCK.     THAT'S A KBIG ONE.              ,1:08 / 10:20
fZQCUsF825A,English - CC1,T,1:09 / 10:20
fZQCUsF825A,English - CC1,,1:10 / 10:20
fZQCUsF825A,English - CC1,ONE. SHOULD,1:11 / 10:20
fZQCUsF825A,English - CC1,ONE. SHOULD,1:12 / 10:20
fZQCUsF825A,English - CC1,>> Jim: BEAT THE S,1:13 / 10:20
fZQCUsF825A,English - CC1,>> Jim: BEAT THE SHOT,1:13 / 10:20
fZQCUsF825A,English - CC1,>> Jim: BEAT THE SHOT,1:14 / 10:20
fZQCUsF825A,English - CC1,>> Jim: BEAT THE SHOT,1:15 / 10:20
fZQCUsF825A,English - CC1,>> Jim: BEAT THE SHOT,1:16 / 10:20
fZQCUsF825A,English - CC1,JONATHAN.                        WHAT A CLEVER LITTLE POCKET PASS,1:17 / 10:20
fZQCUsF825A,English - CC1,,1:18 / 10:20
fZQCUsF825A,English - CC1,,1:19 / 10:20
fZQCUsF825A,English - CC1,>> Bill: AND NICE,1:20 / 10:20
fZQCUsF825A,English - CC1,>> Bill: AND NICE,1:21 / 10:20
fZQCUsF825A,English - CC1,JONA,1:21 / 10:20
fZQCUsF825A,English - CC1,JONATHAN. WHAT A,1:22 / 10:20
fZQCUsF825A,English - CC1,,1:23 / 10:20
fZQCUsF825A,English - CC1,,1:24 / 10:20
fZQCUsF825A,English - CC1,DIVE TO THE RIM.                 HIT OFF THE DRIBBLER WILL.      ,1:25 / 10:20
fZQCUsF825A,English - CC1,DIVE TO THE RIM.                 HIT OFF THE DRIBBLER WILL.      ,1:26 / 10:20
fZQCUsF825A,English - CC1,,1:26 / 10:20
fZQCUsF825A,English - CC1,,1:27 / 10:20
fZQCUsF825A,English - CC1,"BUTLER, ANOTHER ONE FROM THE     OUTSIDE.                        ",1:28 / 10:20
fZQCUsF825A,English - CC1,"BUTLER, ANOTHER ONE FROM THE     OUTSIDE.                        ",1:29 / 10:20
fZQCUsF825A,English - CC1,,1:29 / 10:20
fZQCUsF825A,English - CC1,,1:30 / 10:20
fZQCUsF825A,English - CC1,,1:31 / 10:20
fZQCUsF825A,English - CC1,,1:32 / 10:20
fZQCUsF825A,English - CC1,,1:33 / 10:20
fZQCUsF825A,English - CC1,HE IS MISSED BY EVERYBODY IN THE COLLEGE GAME.                   ,1:34 / 10:20
fZQCUsF825A,English - CC1,HE IS MISSED BY EVERYBODY IN THE COLLEGE GAME.                   ,1:35 / 10:20
fZQCUsF825A,English - CC1,HE IS MISSED BY EVERYBODY IN THE COLLEGE GAME.                   ,1:36 / 10:20
fZQCUsF825A,English - CC1,,1:37 / 10:20
fZQCUsF825A,English - CC1,,1:38 / 10:20
fZQCUsF825A,English - CC1,TOURNAMENT. HE IS,1:39 / 10:20
fZQCUsF825A,English - CC1,TOURNAMENT. HE IS,1:40 / 10:20
fZQCUsF825A,English - CC1,"THEY HAVE A COUPLE BACKUP GUYS,  AND THERE IS BIG JONATHAN.      ",1:40 / 10:20
fZQCUsF825A,English - CC1,COLLEGE,1:41 / 10:20
fZQCUsF825A,English - CC1,,1:42 / 10:20
fZQCUsF825A,English - CC1,">> Jim: HAD TO TAKE IT AWAY.     JICH THE, NO CALL.              ",1:43 / 10:20
fZQCUsF825A,English - CC1,">> Jim: HAD TO TAKE IT AWAY.     JICH THE, NO CALL.              ",1:44 / 10:20
fZQCUsF825A,English - CC1,">> Jim: HAD TO TAKE IT AWAY.     JICH THE, NO CALL.              ",1:45 / 10:20
fZQCUsF825A,English - CC1,">> Jim: HAD TO TAKE IT AWAY.     JICH THE, NO CALL.              ",1:46 / 10:20
fZQCUsF825A,English - CC1,">> Jim: HAD TO TAKE IT AWAY.     JICH THE, NO CALL.              ",1:47 / 10:20
fZQCUsF825A,English - CC1,"HITS THE DECK, BACK OUT,         FLAGLER.                        ",1:47 / 10:20
fZQCUsF825A,English - CC1,"HITS THE DECK, BACK OUT,         FLAGLER.                        ",1:48 / 10:20
fZQCUsF825A,English - CC1,"HITS THE DECK, BACK OUT,         FLAGLER.                        ",1:49 / 10:20
fZQCUsF825A,English - CC1,JICH ,1:50 / 10:20
fZQCUsF825A,English - CC1,JICH TH,1:50 / 10:20
fZQCUsF825A,English - CC1,JICH TH,1:51 / 10:20
fZQCUsF825A,English - CC1,,1:51 / 10:20
fZQCUsF825A,English - CC1,,1:52 / 10:20
fZQCUsF825A,English - CC1,DRAINED.                         NOT THE SAME ENERGY.            ,1:53 / 10:20
fZQCUsF825A,English - CC1,,1:53 / 10:20
fZQCUsF825A,English - CC1,,1:54 / 10:20
fZQCUsF825A,English - CC1,>> Jim: THE BIGGEST DEFICIT OF   THE WHOLE SEASON.               ,1:54 / 10:20
fZQCUsF825A,English - CC1,>> Jim: THE BIGGEST DEFICIT OF   THE WHOLE SEASON.               ,1:55 / 10:20
fZQCUsF825A,English - CC1,>> Jim: THE BIGGEST DEFICIT OF   THE WHOLE SEASON.               ,1:56 / 10:20
fZQCUsF825A,English - CC1,>> Jim: THE BIGGEST DEFICIT OF   THE WHOLE SEASON.               ,1:57 / 10:20
fZQCUsF825A,English - CC1,,1:58 / 10:20
fZQCUsF825A,English - CC1,,1:59 / 10:20
fZQCUsF825A,English - CC1,,2:00 / 10:20
fZQCUsF825A,English - CC1,THE ,2:01 / 10:20
fZQCUsF825A,English - CC1,THE WHOLE,2:02 / 10:20
fZQCUsF825A,English - CC1,CAN'T LET HIM GET THE LEAD.      >> Jim: WIDE OPEN.              ,2:03 / 10:20
fZQCUsF825A,English - CC1,CAN'T LET HIM GET THE LEAD.      >> Jim: WIDE OPEN.              ,2:04 / 10:20
fZQCUsF825A,English - CC1,CAN'T LET HIM GET THE LEAD.      >> Jim: WIDE OPEN.              ,2:05 / 10:20
fZQCUsF825A,English - CC1,CAN'T LET HIM GET THE LEAD.      >> Jim: WIDE OPEN.              ,2:06 / 10:20
fZQCUsF825A,English - CC1,CAN'T LET HIM GET THE LEAD.      >> Jim: WIDE OPEN.              ,2:07 / 10:20
fZQCUsF825A,English - CC1,,2:08 / 10:20
fZQCUsF825A,English - CC1,,2:09 / 10:20
fZQCUsF825A,English - CC1,TCHATCHOUA.                      >> Bill: YOU MENTIONED TO ME OFF,2:10 / 10:20
fZQCUsF825A,English - CC1,"AIR F YOU COVER HIM, YOU GOT THE LEE.                            ",2:11 / 10:20
fZQCUsF825A,English - CC1,>> Jim:,2:11 / 10:20
fZQCUsF825A,English - CC1,,2:12 / 10:20
fZQCUsF825A,English - CC1,,2:13 / 10:20
fZQCUsF825A,English - CC1,">> Grant: YOU COVER IT, THE      SHOOTERS ARE WIDE OPEN.         ",2:13 / 10:20
fZQCUsF825A,English - CC1,">> Grant: YOU COVER IT, THE      SHOOTERS ARE WIDE OPEN.         ",2:14 / 10:20
fZQCUsF825A,English - CC1,"THE FLOOR, THEY HAVE STOLEN IT   AWRA FROM TIMME.                ",2:14 / 10:20
fZQCUsF825A,English - CC1,"THE FLOOR, THEY HAVE STOLEN IT   AWRA FROM TIMME.                ",2:15 / 10:20
fZQCUsF825A,English - CC1,"THE FLOOR, THEY HAVE STOLEN IT   AWRA FROM TIMME.                ",2:16 / 10:20
fZQCUsF825A,English - CC1,"THE FLOOR, THEY HAVE STOLEN IT   AWRA FROM TIMME.                ",2:17 / 10:20
fZQCUsF825A,English - CC1,,2:18 / 10:20
fZQCUsF825A,English - CC1,BLOCK BY TIMME.                  WHAT A BLOCK.                   ,2:19 / 10:20
fZQCUsF825A,English - CC1,BLOCK BY TIMME.                  WHAT A BLOCK.                   ,2:20 / 10:20
fZQCUsF825A,English - CC1,"WE WERE FLAT A WEEK LATER, SO    HARD TO CALM DOWN AND REFOCUS.  ",2:21 / 10:20
fZQCUsF825A,English - CC1,"WE WERE FLAT A WEEK LATER, SO    HARD TO CALM DOWN AND REFOCUS.  ",2:22 / 10:20
fZQCUsF825A,English - CC1,"WE WERE FLAT A WEEK LATER, SO    HARD TO CALM DOWN AND REFOCUS.  ",2:23 / 10:20
fZQCUsF825A,English - CC1,">> Jim: OH, MY GOODNESS!         DAINJA SAYS NO TO KISPERT'S SHOT",2:24 / 10:20
fZQCUsF825A,English - CC1,">> Jim: OH, MY GOODNESS!         DAINJA SAYS NO TO KISPERT'S SHOT",2:25 / 10:20
fZQCUsF825A,English - CC1,">> Jim: OH, MY GOODNESS!         DAINJA SAYS NO TO KISPERT'S SHOT",2:26 / 10:20
fZQCUsF825A,English - CC1,">> Jim: OH, MY GOODNESS!         DAINJA SAYS NO TO KISPERT'S SHOT",2:27 / 10:20
fZQCUsF825A,English - CC1,>> J,2:28 / 10:20
fZQCUsF825A,English - CC1,">> Jim: OH,",2:29 / 10:20
fZQCUsF825A,English - CC1,JOB.                             WATSON UNDERNEATH.              ,2:30 / 10:20
fZQCUsF825A,English - CC1,">> Bill: GREAT CALL.             >> Jim: BUTLER, STEP BACK THREE.",2:31 / 10:20
fZQCUsF825A,English - CC1,">> Bill: GREAT CALL.             >> Jim: BUTLER, STEP BACK THREE.",2:32 / 10:20
fZQCUsF825A,English - CC1,">> Bill: GREAT CALL.             >> Jim: BUTLER, STEP BACK THREE.",2:33 / 10:20
fZQCUsF825A,English - CC1,">> Bill: GREAT CALL.             >> Jim: BUTLER, STEP BACK THREE.",2:34 / 10:20
