"video_id","min_timecode","max_timecode","text.user","text.auto"
"fZQCUsF825A","00:00:00","00:00:01","","[Applause]"
"fZQCUsF825A","00:00:00","00:00:07","","let's make a little history tonight in indianapolis uh jim nancy grant hill right now they"
"fZQCUsF825A","00:00:08","00:00:08",">> Bill: WAIT A MINUTE!          BUTLER, THIS IS A SWITCH OFF    ","got to attack"
"fZQCUsF825A","00:00:08","00:00:14","THE CALL. HE","the wren there's no deterrent at the rim defensively mitchell and he hits the jumper right"
"fZQCUsF825A","00:00:09","00:00:14","",""
"fZQCUsF825A","00:00:15","00:00:15","HERE  RIM.","over a yaya here's"
"fZQCUsF825A","00:00:15","00:00:16","","t looking"
"fZQCUsF825A","00:00:17","00:00:17",">> JIM, GONZAGA WILL BE TESTED.  BAYLOR, ONE OF THE BEST         ","for the paint"
"fZQCUsF825A","00:00:17","00:00:28","RIM. NOERRENT AT THE RIM  ","fade away not there another offensive rebound does every nice cut that'll last get the assist to final butler with the basket offensive"
"fZQCUsF825A","00:00:18","00:00:21","",""
"fZQCUsF825A","00:00:28","00:00:29","BUTLER WITH A BASKET.            ALL THE LITTLE THINGS, A LITTLE ","rebound"
"fZQCUsF825A","00:00:29","00:00:33","RIM. NOERRENT AT THE RIM  OFFENSI","great back cut to the rim jared butler and he loves the finish"
"fZQCUsF825A","00:00:34","00:00:34","WILL DO A LOT OF SCREENING.      >> Jim: HERE IS MITCHELL AGAIN  ","i'm going to do a lot"
"fZQCUsF825A","00:00:34","00:00:40","RIM. NOERRENT AT THE RIM  OFFENSIVEV","of screening here's mitchell again from the outside wow [Applause] he's hit his first two shots"
"fZQCUsF825A","00:00:35","00:00:36","",""
"fZQCUsF825A","00:00:41","00:00:41",">> Jim: HERE IS MITCHELL","he had timiano"
"fZQCUsF825A","00:00:41","00:00:42",">> Jim: HERE IS MITCHELL AGAIN ","get themselves going here"
"fZQCUsF825A","00:00:43","00:00:43","THE ZAGS WHO LOOK FLAT CAN GET   GOING IN THE FIRST HALF.        ","in this first half"
"fZQCUsF825A","00:00:43","00:00:45","AND IT'S A","right he got your attention"
"fZQCUsF825A","00:00:43","00:00:51","FROM THE OUTSIDE. AND IT'S ","out of practice i think he always got his attention just guessing that's what they got there butler with the drive for"
"fZQCUsF825A","00:00:46","00:00:46","",""
"fZQCUsF825A","00:00:52","00:00:52",">> Bill:","two more because they get"
"fZQCUsF825A","00:00:53","00:01:01","AND IT'S A HALF. >> Bill: HE GO ","pretty much equal minutes and they come up big here's mitchell again freeing himself he hits another shot is he locked in he is ready"
"fZQCUsF825A","00:00:53","00:01:03",">> Bill: TCHAMWA CHACH HE IS SO  GOOD FOR THE TEAM.              ","to go it's really a tough"
"fZQCUsF825A","00:01:02","00:01:08","AND IT'S A HALF. >> Bill: HE GOT H","call on the first one really should only have one kisper has to put it up to beat the shot that's a big one that"
"fZQCUsF825A","00:01:09","00:01:09","T","is big for"
"fZQCUsF825A","00:01:10","00:01:10","","him as well to get"
"fZQCUsF825A","00:01:11","00:01:11","ONE. SHOU HAVE ON","one home"
"fZQCUsF825A","00:01:11","00:01:12","ONE. SHOULD","and now"
"fZQCUsF825A","00:01:12","00:01:18","SHOU HAVE ONE. >> Jim: BEAT THE SHO","buffer can't over help with the nice dive by jonathan oh what a clever little pocket"
"fZQCUsF825A","00:01:18","00:01:19","","pass"
"fZQCUsF825A","00:01:20","00:01:20",">> Jim: BEAT THE SHOT >> Bill: AND NIC","by butler dive to"
"fZQCUsF825A","00:01:20","00:01:21",">> Bill: AND NICE","the rim"
