"video_id","min_timecode","max_timecode","text.user","text.auto"
"flmkQZvN_g8","00:00:00","00:00:00","- Hey it's me, Destini.","hey it's me dustin"
"flmkQZvN_g8","00:00:01","00:00:01","Welcome back to ""Smarter Every Day.""","welcome back to smarter"
"flmkQZvN_g8","00:00:02","00:00:03","We're at that magical moment","every day we're at that magical moment"
"flmkQZvN_g8","00:00:04","00:00:06","where you build something in the garage,","where you build something in the garage a culmination"
"flmkQZvN_g8","00:00:06","00:00:09","a culmination of week and a half of effort","of a week and a half of effort and then"
"flmkQZvN_g8","00:00:09","00:00:11","and then you kind of all have your hands in your pockets.","you kind of all have your your hands in"
"flmkQZvN_g8","00:00:12","00:00:12","This is Jeremy filming.","your pockets this is jeremy fielding"
"flmkQZvN_g8","00:00:13","00:00:14","This is Trent.","this is trent pockets this is jeremy fielding this is trent this is"
"flmkQZvN_g8","00:00:14","00:00:15","This is George.","george"
"flmkQZvN_g8","00:00:16","00:00:18","We are about to have what we're calling","we are about to have what we're calling"
"flmkQZvN_g8","00:00:22","00:00:23","",""
"flmkQZvN_g8","00:00:24","00:00:26","- [Announcer] Weed eater Wars.","wars"
"flmkQZvN_g8","00:00:27","00:00:28","- [Destini] In our first episode on weed eaters,","in our first episode on weed eaters we used a high"
"flmkQZvN_g8","00:00:28","00:00:30","we used a high-speed camera to explore the mechanics","speed camera to explore the mechanics"
"flmkQZvN_g8","00:00:31","00:00:32","of weed eater lines, so we could understand things","of weed eater lines so we could understand"
"flmkQZvN_g8","00:00:33","00:00:36","like aerodynamic drag or the dynamic mechanical interactions","things like aerodynamic drag or the dynamic mechanical interactions"
"flmkQZvN_g8","00:00:36","00:00:39","with semi stationary objects, like posts or fences.","with semi-stationary objects like posts or fences"
"flmkQZvN_g8","00:00:40","00:00:42","We learned that it's the weed eater line wrapping around","we learned that it's the weed eater line wrapping around the"
"flmkQZvN_g8","00:00:43","00:00:44","the objects and then breaking off","objects and then breaking off which makes you"
