video_id,lang,text,timecode
fzfpExS_wic,English,"The wind's coming from behind me,",0:00 / 10:45
fzfpExS_wic,English,"The wind's coming from behind me,",0:01 / 10:45
fzfpExS_wic,English,"the camera might get rained on,",0:01 / 10:45
fzfpExS_wic,English,"the camera might get rained on,",0:02 / 10:45
fzfpExS_wic,English,if I look tired... it's because I am.,0:03 / 10:45
fzfpExS_wic,English,if I look tired... it's because I am.,0:04 / 10:45
fzfpExS_wic,English,if I look tired... it's because I am.,0:05 / 10:45
fzfpExS_wic,English,"This video ended up being a disaster,",0:06 / 10:45
fzfpExS_wic,English,"This video ended up being a disaster,",0:07 / 10:45
fzfpExS_wic,English,"there's no other word to describe it,",0:08 / 10:45
fzfpExS_wic,English,"there's no other word to describe it,",0:09 / 10:45
fzfpExS_wic,English,but I have travelled too far and expended too much energy,0:09 / 10:45
fzfpExS_wic,English,but I have travelled too far and expended too much energy,0:10 / 10:45
fzfpExS_wic,English,but I have travelled too far and expended too much energy,0:11 / 10:45
fzfpExS_wic,English,but I have travelled too far and expended too much energy,0:12 / 10:45
fzfpExS_wic,English,to throw it away entirely.,0:12 / 10:45
fzfpExS_wic,English,to throw it away entirely.,0:13 / 10:45
fzfpExS_wic,English,And I have learned quite a bit of stuff about how Iceland is handling,0:14 / 10:45
fzfpExS_wic,English,And I have learned quite a bit of stuff about how Iceland is handling,0:15 / 10:45
fzfpExS_wic,English,And I have learned quite a bit of stuff about how Iceland is handling,0:16 / 10:45
fzfpExS_wic,English,tourists flocking to its new and dangerous volcano.,0:16 / 10:45
fzfpExS_wic,English,tourists flocking to its new and dangerous volcano.,0:17 / 10:45
fzfpExS_wic,English,tourists flocking to its new and dangerous volcano.,0:18 / 10:45
fzfpExS_wic,English,tourists flocking to its new and dangerous volcano.,0:19 / 10:45
fzfpExS_wic,English,"So, from the outskirts of Reykjavik airport,",0:20 / 10:45
fzfpExS_wic,English,"So, from the outskirts of Reykjavik airport,",0:21 / 10:45
fzfpExS_wic,English,"So, from the outskirts of Reykjavik airport,",0:22 / 10:45
fzfpExS_wic,English,"here's a story that didn't work how I expected it to,",0:23 / 10:45
fzfpExS_wic,English,"here's a story that didn't work how I expected it to,",0:24 / 10:45
fzfpExS_wic,English,but which I hope is still interesting.,0:25 / 10:45
fzfpExS_wic,English,but which I hope is still interesting.,0:26 / 10:45
fzfpExS_wic,English,but which I hope is still interesting.,0:27 / 10:45
fzfpExS_wic,English,First things first: Iceland has a new volcano.,0:27 / 10:45
fzfpExS_wic,English,First things first: Iceland has a new volcano.,0:28 / 10:45
fzfpExS_wic,English,First things first: Iceland has a new volcano.,0:29 / 10:45
fzfpExS_wic,English,First things first: Iceland has a new volcano.,0:30 / 10:45
fzfpExS_wic,English,First things first: Iceland has a new volcano.,0:31 / 10:45
fzfpExS_wic,English,"And it's close to the airport, and relatively easy to get to.",0:31 / 10:45
fzfpExS_wic,English,"And it's close to the airport, and relatively easy to get to.",0:32 / 10:45
fzfpExS_wic,English,"And it's close to the airport, and relatively easy to get to.",0:33 / 10:45
fzfpExS_wic,English,"And it's close to the airport, and relatively easy to get to.",0:34 / 10:45
fzfpExS_wic,English,So the plan was:,0:34 / 10:45
fzfpExS_wic,English,So the plan was:,0:35 / 10:45
fzfpExS_wic,English,film a video with a flowing river of lava behind me.,0:36 / 10:45
fzfpExS_wic,English,film a video with a flowing river of lava behind me.,0:37 / 10:45
fzfpExS_wic,English,film a video with a flowing river of lava behind me.,0:38 / 10:45
fzfpExS_wic,English,"And as the plane's landing,",0:38 / 10:45
fzfpExS_wic,English,"And as the plane's landing,",0:39 / 10:45
fzfpExS_wic,English,"And as the plane's landing,",0:40 / 10:45
fzfpExS_wic,English,"I can sort-of see the volcano out of my window,",0:40 / 10:45
fzfpExS_wic,English,"I can sort-of see the volcano out of my window,",0:41 / 10:45
fzfpExS_wic,English,"I can sort-of see the volcano out of my window,",0:42 / 10:45
fzfpExS_wic,English,"I can sort-of see the volcano out of my window,",0:43 / 10:45
fzfpExS_wic,English,"there was a lot of low fog and it was all a bit fuzzy,",0:43 / 10:45
fzfpExS_wic,English,"there was a lot of low fog and it was all a bit fuzzy,",0:44 / 10:45
fzfpExS_wic,English,"there was a lot of low fog and it was all a bit fuzzy,",0:45 / 10:45
fzfpExS_wic,English,"there was a lot of low fog and it was all a bit fuzzy,",0:46 / 10:45
fzfpExS_wic,English,but the volcano was clearly erupting.,0:46 / 10:45
fzfpExS_wic,English,but the volcano was clearly erupting.,0:47 / 10:45
fzfpExS_wic,English,"So early the next morning,",0:47 / 10:45
fzfpExS_wic,English,"So early the next morning,",0:48 / 10:45
fzfpExS_wic,English,"I meet up with Bjorn, who's my guide and drone pilot.",0:49 / 10:45
fzfpExS_wic,English,"I meet up with Bjorn, who's my guide and drone pilot.",0:50 / 10:45
fzfpExS_wic,English,"I meet up with Bjorn, who's my guide and drone pilot.",0:51 / 10:45
fzfpExS_wic,English,"He's very very good at his job,",0:51 / 10:45
fzfpExS_wic,English,"He's very very good at his job,",0:52 / 10:45
fzfpExS_wic,English,"He's very very good at his job,",0:53 / 10:45
fzfpExS_wic,English,"I've got him for one day and one day only,",0:53 / 10:45
fzfpExS_wic,English,"I've got him for one day and one day only,",0:54 / 10:45
fzfpExS_wic,English,he's working on a dozen other projects all over Iceland this month.,0:54 / 10:45
fzfpExS_wic,English,he's working on a dozen other projects all over Iceland this month.,0:55 / 10:45
fzfpExS_wic,English,he's working on a dozen other projects all over Iceland this month.,0:56 / 10:45
fzfpExS_wic,English,he's working on a dozen other projects all over Iceland this month.,0:57 / 10:45
fzfpExS_wic,English,"We drive the 45 minutes to the volcano site,",0:57 / 10:45
fzfpExS_wic,English,"We drive the 45 minutes to the volcano site,",0:58 / 10:45
fzfpExS_wic,English,"We drive the 45 minutes to the volcano site,",0:59 / 10:45
fzfpExS_wic,English,"We drive the 45 minutes to the volcano site,",1:00 / 10:45
fzfpExS_wic,English,and then walk along one of the tourist trails up the mountainside.,1:00 / 10:45
fzfpExS_wic,English,and then walk along one of the tourist trails up the mountainside.,1:01 / 10:45
fzfpExS_wic,English,and then walk along one of the tourist trails up the mountainside.,1:02 / 10:45
fzfpExS_wic,English,I took a bit of video as we went.,1:03 / 10:45
fzfpExS_wic,English,I took a bit of video as we went.,1:04 / 10:45
fzfpExS_wic,English,I took a bit of video as we went.,1:05 / 10:45
fzfpExS_wic,English,We've got to head up the ridgeline,1:06 / 10:45
fzfpExS_wic,English,We've got to head up the ridgeline,1:07 / 10:45
fzfpExS_wic,English,that you can see in the distance in that shot.,1:08 / 10:45
fzfpExS_wic,English,that you can see in the distance in that shot.,1:09 / 10:45
fzfpExS_wic,English,"It's a bit of a steep climb at the start, but it's very possible:",1:10 / 10:45
fzfpExS_wic,English,"It's a bit of a steep climb at the start, but it's very possible:",1:11 / 10:45
fzfpExS_wic,English,"you can see silhouettes of people up on the ridge,",1:12 / 10:45
fzfpExS_wic,English,"you can see silhouettes of people up on the ridge,",1:13 / 10:45
fzfpExS_wic,English,and there were folks of all ages going up to see lava.,1:14 / 10:45
fzfpExS_wic,English,and there were folks of all ages going up to see lava.,1:15 / 10:45
fzfpExS_wic,English,and there were folks of all ages going up to see lava.,1:16 / 10:45
fzfpExS_wic,English,"It takes about 90 minutes of steady climbing, give or take:",1:17 / 10:45
fzfpExS_wic,English,"It takes about 90 minutes of steady climbing, give or take:",1:18 / 10:45
fzfpExS_wic,English,"It takes about 90 minutes of steady climbing, give or take:",1:19 / 10:45
fzfpExS_wic,English,"It takes about 90 minutes of steady climbing, give or take:",1:20 / 10:45
fzfpExS_wic,English,"It takes about 90 minutes of steady climbing, give or take:",1:21 / 10:45
fzfpExS_wic,English,"sometimes we're overtaking slower tourists,",1:21 / 10:45
fzfpExS_wic,English,"sometimes we're overtaking slower tourists,",1:22 / 10:45
fzfpExS_wic,English,"sometimes we're overtaking slower tourists,",1:23 / 10:45
fzfpExS_wic,English,sometimes we're getting out of the way,1:23 / 10:45
fzfpExS_wic,English,sometimes we're getting out of the way,1:24 / 10:45
fzfpExS_wic,English,so that runners from a climbing race can speed past us.,1:25 / 10:45
fzfpExS_wic,English,so that runners from a climbing race can speed past us.,1:26 / 10:45
fzfpExS_wic,English,so that runners from a climbing race can speed past us.,1:27 / 10:45
fzfpExS_wic,English,I have no idea how they managed to run the downhill bit without slipping on loose,1:27 / 10:45
fzfpExS_wic,English,I have no idea how they managed to run the downhill bit without slipping on loose,1:28 / 10:45
fzfpExS_wic,English,I have no idea how they managed to run the downhill bit without slipping on loose,1:29 / 10:45
fzfpExS_wic,English,I have no idea how they managed to run the downhill bit without slipping on loose,1:30 / 10:45
fzfpExS_wic,English,I have no idea how they managed to run the downhill bit without slipping on loose,1:31 / 10:45
fzfpExS_wic,English,rocks.,1:32 / 10:45
fzfpExS_wic,English,"But anyway, we get to an overlook point.",1:33 / 10:45
fzfpExS_wic,English,"But anyway, we get to an overlook point.",1:34 / 10:45
fzfpExS_wic,English,That's not the volcano: it's just where the lava,1:34 / 10:45
fzfpExS_wic,English,That's not the volcano: it's just where the lava,1:35 / 10:45
fzfpExS_wic,English,That's not the volcano: it's just where the lava,1:36 / 10:45
fzfpExS_wic,English,That's not the volcano: it's just where the lava,1:37 / 10:45
fzfpExS_wic,English,spills over into another valley,1:37 / 10:45
fzfpExS_wic,English,spills over into another valley,1:38 / 10:45
