video_id,lang,text,timecode
g3Ud6mHdhlQ,English (United States),"Hey, it's me to Destin. Welcome back to Smarter Every Day.",0:00 / 29:33
g3Ud6mHdhlQ,English (United States),"Hey, it's me to Destin. Welcome back to Smarter Every Day.",0:01 / 29:33
g3Ud6mHdhlQ,English (United States),This is a lunar Lander. That's a different series,0:02 / 29:33
g3Ud6mHdhlQ,English (United States),This is a lunar Lander. That's a different series,0:03 / 29:33
g3Ud6mHdhlQ,English (United States),This is a lunar Lander. That's a different series,0:04 / 29:33
g3Ud6mHdhlQ,English (United States),we're starting on Smarter Every Day.This is a nuclear submarine. ,0:05 / 29:33
g3Ud6mHdhlQ,English (United States),we're starting on Smarter Every Day.This is a nuclear submarine. ,0:06 / 29:33
g3Ud6mHdhlQ,English (United States),We are now really far into the nuclear submarine.,0:07 / 29:33
g3Ud6mHdhlQ,English (United States),We are now really far into the nuclear submarine.,0:08 / 29:33
g3Ud6mHdhlQ,English (United States),We are now really far into the nuclear submarine.,0:09 / 29:33
g3Ud6mHdhlQ,English (United States),We are now really far into the nuclear submarine.,0:10 / 29:33
g3Ud6mHdhlQ,English (United States),Deep dive here on Smarter Every Day.,0:11 / 29:33
g3Ud6mHdhlQ,English (United States),Deep dive here on Smarter Every Day.,0:12 / 29:33
g3Ud6mHdhlQ,English (United States),And today we're going to answer a question that I've always wanted to know.,0:13 / 29:33
g3Ud6mHdhlQ,English (United States),And today we're going to answer a question that I've always wanted to know.,0:14 / 29:33
g3Ud6mHdhlQ,English (United States),And today we're going to answer a question that I've always wanted to know.,0:15 / 29:33
g3Ud6mHdhlQ,English (United States),Submarines are designed to stay underwater as long as possible.,0:16 / 29:33
g3Ud6mHdhlQ,English (United States),Submarines are designed to stay underwater as long as possible.,0:17 / 29:33
g3Ud6mHdhlQ,English (United States),Submarines are designed to stay underwater as long as possible.,0:18 / 29:33
g3Ud6mHdhlQ,English (United States),"And sometimes they can't even go to the surface if they want to. Like right now,",0:19 / 29:33
g3Ud6mHdhlQ,English (United States),"And sometimes they can't even go to the surface if they want to. Like right now,",0:20 / 29:33
g3Ud6mHdhlQ,English (United States),"And sometimes they can't even go to the surface if they want to. Like right now,",0:21 / 29:33
g3Ud6mHdhlQ,English (United States),"And sometimes they can't even go to the surface if they want to. Like right now,",0:22 / 29:33
g3Ud6mHdhlQ,English (United States),"the USS Toledo is currently under the ice,",0:22 / 29:33
g3Ud6mHdhlQ,English (United States),"the USS Toledo is currently under the ice,",0:23 / 29:33
g3Ud6mHdhlQ,English (United States),"the USS Toledo is currently under the ice,",0:24 / 29:33
g3Ud6mHdhlQ,English (United States),which makes it impossible to surface to get fresh air.,0:25 / 29:33
g3Ud6mHdhlQ,English (United States),which makes it impossible to surface to get fresh air.,0:26 / 29:33
g3Ud6mHdhlQ,English (United States),which makes it impossible to surface to get fresh air.,0:27 / 29:33
g3Ud6mHdhlQ,English (United States),"How do you create oxygen onboard a submarine? Because if you think about it,",0:28 / 29:33
g3Ud6mHdhlQ,English (United States),"How do you create oxygen onboard a submarine? Because if you think about it,",0:29 / 29:33
g3Ud6mHdhlQ,English (United States),"How do you create oxygen onboard a submarine? Because if you think about it,",0:30 / 29:33
