"video_id","min_timecode","max_timecode","text.user","text.auto"
"g61aZwNZpws","00:00:00","00:00:03","HANDS IN THE AIR ♪","here to present the larry"
"g61aZwNZpws","00:00:04","00:00:05",">> -- FOR THE PRESENTATION OF ","o'brien trophy to your"
"g61aZwNZpws","00:00:06","00:00:09","THE LARRY O'BRIEN TROPHY AND THE","milwaukee larry o'brien trophy to your milwaukee bucks please welcome"
"g61aZwNZpws","00:00:10","00:00:11","2021 BILL RUSSELL NBA FINALS ","nba commissioner"
"g61aZwNZpws","00:00:12","00:00:13","MOST VALUABLE PLAYER AWARD, ","adam"
"g61aZwNZpws","00:00:14","00:00:15","PLEASE WELCOME ABC'S MALIKA ","silver"
"g61aZwNZpws","00:00:16","00:00:19",">> THANK YOU.","[Music]"
"g61aZwNZpws","00:00:20","00:00:23","HERE TO PRESENT THE LARRY ","you're up"
"g61aZwNZpws","00:00:28","00:01:01","COMMISSIONER ADAM SILVER.","first [Music] you're up first [Music] [Applause] [Music] ladies and gentlemen [Music] [Applause] [Music] [Applause] ladies and gentlemen here to present the larry o'brien trophy to your milwaukee the larry o'brien trophy to your milwaukee bucks please welcome [Applause] milwaukee bucks please welcome [Applause] nba commissioner"
"g61aZwNZpws","00:01:02","00:01:05","LADIES AND GENTLEMEN.","adam silver thank you"
"g61aZwNZpws","00:01:06","00:01:07","LADIES AND GENTLEMEN, HERE TO ","malika we made"
"g61aZwNZpws","00:01:08","00:01:10","PRESENT THE LARRY O'BRIEN TROPHY","it we crowned a champion"
"g61aZwNZpws","00:01:10","00:01:17","TO YOUR MILWAUKEE BUCKS, PLEASE ","i have to say playing through a pandemic required i have to say playing through a pandemic required enormous resilience from"
"g61aZwNZpws","00:01:18","00:01:18","WELCOME NBA COMMISSIONER ADAM ","all 30"
"g61aZwNZpws","00:01:19","00:01:22","SILVER.","teams thank you to every team and every player in the league for a tremendous"
"g61aZwNZpws","00:01:23","00:01:24",">> THANK YOU, MALIKA.","season"
"g61aZwNZpws","00:01:25","00:01:26","WE MADE IT.","to our fans"
"g61aZwNZpws","00:01:26","00:01:28","WE CROWNED A CHAMPION.","here tonight and the 65"
"g61aZwNZpws","00:01:29","00:01:29",">> THANK YOU!","000 people outside"
"g61aZwNZpws","00:01:29","00:01:31",">> I HAVE TO SAY, PLAYING ","this arena it was uplifting"
"g61aZwNZpws","00:01:31","00:01:33","THROUGH A PANDEMIC REQUIRED ","to return to arenas to have fans"
"g61aZwNZpws","00:01:33","00:01:36","ENORMOUS RESILIENCE FROM ALL 30 ","over 1.2 million fans attended"
"g61aZwNZpws","00:01:37","00:01:37","THANK YOU TO EVERY TEAM AND ","our games in these playoffs"
"g61aZwNZpws","00:01:38","00:01:41","EVERY PLAYER IN THE LEAGUE FOR A","thank you very much to the phoenix suns"
"g61aZwNZpws","00:01:41","00:01:43","TREMENDOUS SEASON.","you fought hard you had a"
"g61aZwNZpws","00:01:43","00:01:46","TO OUR FANS HERE TONIGHT AND THE","tremendous season congratulations"
"g61aZwNZpws","00:01:47","00:01:48","65,000 PEOPLE OUTSIDE THIS ","and the milwaukee bucks"
"g61aZwNZpws","00:01:48","00:01:50","ARENA, IT WAS UPLIFTING TO ","to the city of milwaukee"
"g61aZwNZpws","00:01:50","00:01:52","RETURN TO ARENAS, TO HAVE FANS, ","it's been"
"g61aZwNZpws","00:01:53","00:01:54","OVER 1.2 MILLION FANS ATTENDED ","50 years that makes it"
"g61aZwNZpws","00:01:55","00:01:57","OUR GAMES IN THESE PLAYOFFS.","all that much sweeter to mark lazary to"
"g61aZwNZpws","00:01:58","00:02:00","TO THE PHOENIX SUNS, YOU FOUGHT ","west edens to jamie dinan to mike fasitelli"
"g61aZwNZpws","00:02:02","00:02:04","CONGRATULATIONS.","to gm john horst where's coach"
"g61aZwNZpws","00:02:05","00:02:08","AND THE MILWAUKEE BUCKS, FOR THE","mike budenholzer to gm john horst where's coach mike budenholzer what a tremendous job"
"g61aZwNZpws","00:02:08","00:02:12","CITY OF MILWAUKEE, IT'S BEEN 50 ","and ladies and gentlemen the 2021"
"g61aZwNZpws","00:02:12","00:02:18","IT MAKES IT ALL THAT MUCH ","nba champions you're milwaukee"
"g61aZwNZpws","00:02:19","00:02:22","SWEETER.","bucks"
"g61aZwNZpws","00:02:23","00:02:23","MIKE BUDENHOLZER, WHAT A ","it is yours for the"
"g61aZwNZpws","00:02:33","00:02:40","[ CHEERS AND APPLAUSE ]","taking [Applause]"
"g61aZwNZpws","00:02:46","00:03:10","[ CHEERS AND APPLAUSE ]","here on behalf of the milwaukee bucks is team co-owner mark lazary and mark this team since you all took stewardship has been through so many ups and downs but as you reflect on that journey who would you most like to acknowledge college first the city of milwaukee"
"g61aZwNZpws","00:03:10","00:03:12","HERE ON BEHALF OF THE MILWAUKEE ","for the fans for everything"
"g61aZwNZpws","00:03:13","00:03:17","BUCKS IS TEAM CO-OWNER MARK ","you guys have done i wanted to acknowledge our coach our gm but most of all i"
"g61aZwNZpws","00:03:18","00:03:20","THIS TEAM, SINCE YOU ALL TOOK ","want to acknowledge our players so thank you"
"g61aZwNZpws","00:03:21","00:03:21","STEWARDSHIP HAS BEEN THROUGH SO ","thank you so much mark"
"g61aZwNZpws","00:03:22","00:03:23","MANY UPS AND DOWNS, BUT AS YOU ","congratulations mike"
"g61aZwNZpws","00:03:24","00:03:25","REFLECT ON THAT JOURNEY, WHO ","budenholzer where are you oh"
"g61aZwNZpws","00:03:25","00:03:28","WOULD YOU MOST LIKE TO ","there you"
"g61aZwNZpws","00:03:30","00:03:31","FANS, FOR ALL THAT YOU GUYS HAVE","are"
"g61aZwNZpws","00:03:34","00:03:35","COACH, OUR GM, BUT MOST OF ALL, ","[Applause]"
"g61aZwNZpws","00:03:44","00:03:49","OH, THERE YOU ARE.","but you have coached some incredible teams"
"g61aZwNZpws","00:03:50","00:04:05","[ CHEERS AND APPLAUSE ]","that have won 60 games teams that have been the best in the regular season but they haven't made it to this peak what is it about this group that makes them so special oh i'm going to talk about that but i just want to take a quick second respect to phoenix great players great coaching"
"g61aZwNZpws","00:04:06","00:04:06","YOU HAVE COACHED SOME INCREDIBLE","monty williams great organization"
"g61aZwNZpws","00:04:07","00:04:09","TEAMS THAT HAVE WON 60 GAMES.","but these players they're champions every"
"g61aZwNZpws","00:04:10","00:04:10","TEAMS THAT HAVE BEEN THE BEST IN","day"
"g61aZwNZpws","00:04:11","00:04:12","THE REGULAR SEASON, AND THEY ","every day they come to the building"
"g61aZwNZpws","00:04:13","00:04:16","HAVEN'T MADE IT TO THIS PEAK.","they are champions they've embraced getting better every day"
"g61aZwNZpws","00:04:16","00:04:17","WHAT IS IT ABOUT THIS GROUP THAT","they've"
"g61aZwNZpws","00:04:18","00:04:19","MAKES IT SO SPECIAL?","embraced competing they've embraced"
"g61aZwNZpws","00:04:19","00:04:20",">> I'M GOING TO TALK ABOUT THEM.","playing together"
