video_id,lang,text,timecode
g75yk7GfdAo,English (United States),- BET!,0:00 / 5:33
g75yk7GfdAo,English (United States),- BET!,0:01 / 5:33
g75yk7GfdAo,English (United States),I need everybody up on them seats right now.,0:01 / 5:33
g75yk7GfdAo,English (United States),I need everybody up on them seats right now.,0:02 / 5:33
g75yk7GfdAo,English (United States),I need everybody up on them seats right now.,0:03 / 5:33
g75yk7GfdAo,English (United States),,0:03 / 5:33
g75yk7GfdAo,English (United States),,0:04 / 5:33
g75yk7GfdAo,English (United States),,0:05 / 5:33
g75yk7GfdAo,English (United States),The greatest group in the world.,0:05 / 5:33
g75yk7GfdAo,English (United States),The greatest group in the world.,0:06 / 5:33
g75yk7GfdAo,English (United States),,0:07 / 5:33
g75yk7GfdAo,English (United States),- DJ of the world. - Migos!,0:07 / 5:33
g75yk7GfdAo,English (United States),- DJ of the world. - Migos!,0:08 / 5:33
g75yk7GfdAo,English (United States),- DJ of the world. - Migos!,0:09 / 5:33
g75yk7GfdAo,English (United States),"[singing] Ayy, Castro",0:10 / 5:33
g75yk7GfdAo,English (United States),Go crazy Soo,0:11 / 5:33
g75yk7GfdAo,English (United States),Go crazy Soo,0:12 / 5:33
g75yk7GfdAo,English (United States),Go crazy Soo,0:13 / 5:33
g75yk7GfdAo,English (United States),Go crazy Soo,0:14 / 5:33
g75yk7GfdAo,English (United States),We gone Huh,0:14 / 5:33
g75yk7GfdAo,English (United States),We gone Huh,0:15 / 5:33
g75yk7GfdAo,English (United States),We good Stop,0:16 / 5:33
g75yk7GfdAo,English (United States),- Hands up! Hands up!,0:17 / 5:33
g75yk7GfdAo,English (United States),We gone Chill,0:18 / 5:33
g75yk7GfdAo,English (United States),We gone Chill,0:19 / 5:33
g75yk7GfdAo,English (United States),- Let's go.,0:19 / 5:33
g75yk7GfdAo,English (United States),- Let's go.,0:20 / 5:33
g75yk7GfdAo,English (United States),- Let's go. - Let's go.,0:21 / 5:33
g75yk7GfdAo,English (United States),,0:21 / 5:33
g75yk7GfdAo,English (United States),- We go. - Let's roll.,0:22 / 5:33
g75yk7GfdAo,English (United States),- We go. - Let's roll.,0:23 / 5:33
g75yk7GfdAo,English (United States),[singing],0:24 / 5:33
g75yk7GfdAo,English (United States),[singing],0:25 / 5:33
g75yk7GfdAo,English (United States),Straightening straightening Woo,0:26 / 5:33
g75yk7GfdAo,English (United States),Straightening straightening Woo,0:27 / 5:33
g75yk7GfdAo,English (United States),Straightening yeah Straight,0:27 / 5:33
g75yk7GfdAo,English (United States),Straightening yeah Straight,0:28 / 5:33
g75yk7GfdAo,English (United States),Straightening yeah Straight,0:29 / 5:33
g75yk7GfdAo,English (United States),Straightening straightening Soo,0:29 / 5:33
g75yk7GfdAo,English (United States),Straightening straightening Soo,0:30 / 5:33
g75yk7GfdAo,English (United States),Straightening straightening Soo,0:31 / 5:33
g75yk7GfdAo,English (United States),Straightening yeah Straight,0:31 / 5:33
g75yk7GfdAo,English (United States),Straightening yeah Straight,0:32 / 5:33
g75yk7GfdAo,English (United States),Don't nothing get straightening but straightening,0:33 / 5:33
g75yk7GfdAo,English (United States),Don't nothing get straightening but straightening,0:34 / 5:33
g75yk7GfdAo,English (United States),"Don't nothing, don't nothing",0:34 / 5:33
g75yk7GfdAo,English (United States),"Don't nothing, don't nothing",0:35 / 5:33
g75yk7GfdAo,English (United States),get straightening but straightening,0:36 / 5:33
g75yk7GfdAo,English (United States),Don't nothing Don't nothing get,0:36 / 5:33
g75yk7GfdAo,English (United States),Don't nothing Don't nothing get,0:37 / 5:33
g75yk7GfdAo,English (United States),straightening but straightening Woo woo,0:38 / 5:33
g75yk7GfdAo,English (United States),straightening but straightening Woo woo,0:39 / 5:33
g75yk7GfdAo,English (United States),"You don't get shit straight You going to straighten it, nah",0:40 / 5:33
g75yk7GfdAo,English (United States),In this game sit back be patient,0:40 / 5:33
g75yk7GfdAo,English (United States),In this game sit back be patient,0:41 / 5:33
g75yk7GfdAo,English (United States),... act like the game went vacant,0:42 / 5:33
g75yk7GfdAo,English (United States),,0:43 / 5:33
g75yk7GfdAo,English (United States),... act like something been taken,0:43 / 5:33
g75yk7GfdAo,English (United States),... act like something been taken,0:44 / 5:33
g75yk7GfdAo,English (United States),Took what Ain't nothing,0:45 / 5:33
g75yk7GfdAo,English (United States),but a little bit of straightening,0:46 / 5:33
g75yk7GfdAo,English (United States),I'm telling you,0:47 / 5:33
g75yk7GfdAo,English (United States),Been kicking shit popping out daily,0:48 / 5:33
g75yk7GfdAo,English (United States),Go,0:49 / 5:33
g75yk7GfdAo,English (United States),On an island it's a movie I'm making,0:50 / 5:33
g75yk7GfdAo,English (United States),On an island it's a movie I'm making,0:51 / 5:33
g75yk7GfdAo,English (United States),I'm counting dineros with Robert De Niro,0:52 / 5:33
g75yk7GfdAo,English (United States),I'm telling them that your amazing,0:52 / 5:33
g75yk7GfdAo,English (United States),I'm telling them that your amazing,0:53 / 5:33
g75yk7GfdAo,English (United States),Put that shit on,0:54 / 5:33
g75yk7GfdAo,English (United States),Put it on ... get shit on,0:55 / 5:33
g75yk7GfdAo,English (United States),Shit on I bought two whips,0:56 / 5:33
g75yk7GfdAo,English (United States),And I put that ... on,0:57 / 5:33
g75yk7GfdAo,English (United States),Skrrt,0:58 / 5:33
g75yk7GfdAo,English (United States),She put this wrist on Wrist,0:59 / 5:33
g75yk7GfdAo,English (United States),She put this wrist on Wrist,1:00 / 5:33
g75yk7GfdAo,English (United States),She factory set it with Richard Mille prongs,1:00 / 5:33
g75yk7GfdAo,English (United States),She factory set it with Richard Mille prongs,1:01 / 5:33
g75yk7GfdAo,English (United States),What else Turn a pandemic into a bandemic,1:01 / 5:33
g75yk7GfdAo,English (United States),What else Turn a pandemic into a bandemic,1:02 / 5:33
g75yk7GfdAo,English (United States),What else Turn a pandemic into a bandemic,1:03 / 5:33
g75yk7GfdAo,English (United States),You know that's the shit that we on,1:04 / 5:33
g75yk7GfdAo,English (United States),Yes sir Them ... going to pull up,1:05 / 5:33
g75yk7GfdAo,English (United States),Yes sir Them ... going to pull up,1:06 / 5:33
g75yk7GfdAo,English (United States),And act like this shit is together,1:07 / 5:33
g75yk7GfdAo,English (United States),We don't ... with you homes,1:08 / 5:33
g75yk7GfdAo,English (United States),Uh-uh I don't do the fake kicking,1:09 / 5:33
g75yk7GfdAo,English (United States),,1:10 / 5:33
g75yk7GfdAo,English (United States),No,1:11 / 5:33
g75yk7GfdAo,English (United States),There go a rocket Is Take in it,1:11 / 5:33
g75yk7GfdAo,English (United States),There go a rocket Is Take in it,1:12 / 5:33
g75yk7GfdAo,English (United States),There go a rocket Is Take in it,1:13 / 5:33
g75yk7GfdAo,English (United States),It's a problem with few Then we straighten it,1:13 / 5:33
g75yk7GfdAo,English (United States),Straight I swap out the cat,1:14 / 5:33
g75yk7GfdAo,English (United States),Straight I swap out the cat,1:15 / 5:33
g75yk7GfdAo,English (United States),Put a demon in it,1:15 / 5:33
g75yk7GfdAo,English (United States),Skrrt Upgrade the bando,1:16 / 5:33
g75yk7GfdAo,English (United States),Put fiends in it Woo,1:17 / 5:33
g75yk7GfdAo,English (United States),Put fiends in it Woo,1:18 / 5:33
g75yk7GfdAo,English (United States),I got some shooters you ain't seen with me,1:18 / 5:33
g75yk7GfdAo,English (United States),Woo,1:19 / 5:33
g75yk7GfdAo,English (United States),Woo,1:20 / 5:33
g75yk7GfdAo,English (United States),"We'll run that shit back I just seen ""Tenet""",1:21 / 5:33
g75yk7GfdAo,English (United States),Whoa We going to get straightening,1:22 / 5:33
g75yk7GfdAo,English (United States),Straightening straightening Woo,1:23 / 5:33
g75yk7GfdAo,English (United States),Straightening straightening Woo,1:24 / 5:33
g75yk7GfdAo,English (United States),Straightening yeah Straight,1:24 / 5:33
g75yk7GfdAo,English (United States),Straightening yeah Straight,1:25 / 5:33
g75yk7GfdAo,English (United States),Straightening straightening,1:26 / 5:33
g75yk7GfdAo,English (United States),Straightening straightening,1:27 / 5:33
g75yk7GfdAo,English (United States),Soo Straightening yeah,1:27 / 5:33
g75yk7GfdAo,English (United States),Soo Straightening yeah,1:28 / 5:33
g75yk7GfdAo,English (United States),Soo Straightening yeah,1:29 / 5:33
g75yk7GfdAo,English (United States),Don't nothing get straightening but straightening,1:29 / 5:33
g75yk7GfdAo,English (United States),Don't nothing get straightening but straightening,1:30 / 5:33
g75yk7GfdAo,English (United States),Don't nothing get straightening but straightening,1:31 / 5:33
g75yk7GfdAo,English (United States),Don't nothing get straightening but straightening,1:32 / 5:33
g75yk7GfdAo,English (United States),Don't nothing,1:33 / 5:33
g75yk7GfdAo,English (United States),,1:34 / 5:33
g75yk7GfdAo,English (United States),Don't nothing get straightening but straightening,1:34 / 5:33
g75yk7GfdAo,English (United States),Woo You don't get shit straight,1:35 / 5:33
g75yk7GfdAo,English (United States),Woo You don't get shit straight,1:36 / 5:33
g75yk7GfdAo,English (United States),You going to straighten it Takeoff,1:36 / 5:33
g75yk7GfdAo,English (United States),You going to straighten it Takeoff,1:37 / 5:33
g75yk7GfdAo,English (United States),You don't get shit straight if you don't straighten it,1:38 / 5:33
g75yk7GfdAo,English (United States),I'm the type to sit back and watch patient,1:39 / 5:33
g75yk7GfdAo,English (United States),I'm the type to sit back and watch patient,1:40 / 5:33
g75yk7GfdAo,English (United States),Do a trick with the stick,1:40 / 5:33
g75yk7GfdAo,English (United States),Do a trick with the stick,1:41 / 5:33
g75yk7GfdAo,English (United States),It's amazing Stick,1:41 / 5:33
g75yk7GfdAo,English (United States),In the bando trapping out vacants,1:42 / 5:33
g75yk7GfdAo,English (United States),In the bando trapping out vacants,1:43 / 5:33
g75yk7GfdAo,English (United States),"'Locs on like I'm starring in ""The Matrix""",1:44 / 5:33
g75yk7GfdAo,English (United States),,1:45 / 5:33
g75yk7GfdAo,English (United States),'Locs,1:45 / 5:33
g75yk7GfdAo,English (United States),I keep the cookie like my grandma made it,1:46 / 5:33
g75yk7GfdAo,English (United States),I keep the cookie like my grandma made it,1:47 / 5:33
g75yk7GfdAo,English (United States),I keep the keys and the pounds and the babies,1:48 / 5:33
g75yk7GfdAo,English (United States),And the bricks came white like Shady White,1:49 / 5:33
