video_id,lang,text,timecode
gDOmzKGUEf8,English,,0:00 / 10:49
gDOmzKGUEf8,English,,0:01 / 10:49
gDOmzKGUEf8,English,"- Okay, sorry, I'm late.",0:01 / 10:49
gDOmzKGUEf8,English,"- Okay, sorry, I'm late.",0:02 / 10:49
gDOmzKGUEf8,English,"The Halloween episode,",0:02 / 10:49
gDOmzKGUEf8,English,"The Halloween episode,",0:03 / 10:49
gDOmzKGUEf8,English,"wait,",0:04 / 10:49
gDOmzKGUEf8,English,"the Halloween episode, I gotta wear a costume.",0:04 / 10:49
gDOmzKGUEf8,English,"the Halloween episode, I gotta wear a costume.",0:05 / 10:49
gDOmzKGUEf8,English,Lemme change that.,0:06 / 10:49
gDOmzKGUEf8,English,Lemme change that.,0:07 / 10:49
gDOmzKGUEf8,English,,0:07 / 10:49
gDOmzKGUEf8,English,"Oh! All right, let's start,",0:08 / 10:49
gDOmzKGUEf8,English,"Oh! All right, let's start,",0:09 / 10:49
gDOmzKGUEf8,English,Magic of the Month for the month of October.,0:10 / 10:49
gDOmzKGUEf8,English,Magic of the Month for the month of October.,0:11 / 10:49
gDOmzKGUEf8,English,Magic of the Month for the month of October.,0:12 / 10:49
gDOmzKGUEf8,English,(evil cackling) (thunder booms),0:13 / 10:49
gDOmzKGUEf8,English,(evil cackling) (thunder booms),0:14 / 10:49
gDOmzKGUEf8,English,(evil cackling) (thunder booms),0:15 / 10:49
gDOmzKGUEf8,English,"- Go, go, go.",0:16 / 10:49
gDOmzKGUEf8,English,- Okay.,0:16 / 10:49
gDOmzKGUEf8,English,- Okay.,0:17 / 10:49
gDOmzKGUEf8,English,,0:18 / 10:49
gDOmzKGUEf8,English,,0:19 / 10:49
gDOmzKGUEf8,English,(water spilling),0:19 / 10:49
gDOmzKGUEf8,English,(water spilling),0:20 / 10:49
gDOmzKGUEf8,English,(water spilling),0:21 / 10:49
gDOmzKGUEf8,English,(water spilling),0:22 / 10:49
gDOmzKGUEf8,English,,0:22 / 10:49
gDOmzKGUEf8,English,,0:23 / 10:49
gDOmzKGUEf8,English,- I'm good.,0:24 / 10:49
gDOmzKGUEf8,English,- Are you okay?,0:25 / 10:49
gDOmzKGUEf8,English,- My bad. I bumped the top.,0:26 / 10:49
gDOmzKGUEf8,English,- My bad. I bumped the top.,0:27 / 10:49
gDOmzKGUEf8,English,,0:27 / 10:49
gDOmzKGUEf8,English,,0:28 / 10:49
gDOmzKGUEf8,English,,0:29 / 10:49
gDOmzKGUEf8,English,,0:30 / 10:49
gDOmzKGUEf8,English,(piano playing),0:30 / 10:49
gDOmzKGUEf8,English,(piano playing),0:31 / 10:49
gDOmzKGUEf8,English,- [Alfred] Your egg sir.,0:32 / 10:49
gDOmzKGUEf8,English,- Thank you Alfred.,0:33 / 10:49
gDOmzKGUEf8,English,(piano playing),0:34 / 10:49
gDOmzKGUEf8,English,(piano playing),0:35 / 10:49
gDOmzKGUEf8,English,(piano playing),0:36 / 10:49
gDOmzKGUEf8,English,(piano playing),0:37 / 10:49
gDOmzKGUEf8,English,,0:37 / 10:49
gDOmzKGUEf8,English,,0:38 / 10:49
gDOmzKGUEf8,English,,0:39 / 10:49
gDOmzKGUEf8,English,,0:40 / 10:49
gDOmzKGUEf8,English,,0:41 / 10:49
gDOmzKGUEf8,English,- Okay. Does anybody else's bath tub actually do this?,0:42 / 10:49
gDOmzKGUEf8,English,- Okay. Does anybody else's bath tub actually do this?,0:43 / 10:49
gDOmzKGUEf8,English,- Okay. Does anybody else's bath tub actually do this?,0:44 / 10:49
gDOmzKGUEf8,English,"All right, check this out.",0:45 / 10:49
gDOmzKGUEf8,English,"All right, check this out.",0:46 / 10:49
gDOmzKGUEf8,English,,0:47 / 10:49
gDOmzKGUEf8,English,,0:48 / 10:49
gDOmzKGUEf8,English,(water splashing),0:49 / 10:49
gDOmzKGUEf8,English,(water splashing),0:50 / 10:49
gDOmzKGUEf8,English,(water splashing),0:51 / 10:49
gDOmzKGUEf8,English,(water splashing),0:52 / 10:49
gDOmzKGUEf8,English,(bubbles under water),0:52 / 10:49
gDOmzKGUEf8,English,(bubbles under water),0:53 / 10:49
gDOmzKGUEf8,English,(bubbles under water),0:54 / 10:49
gDOmzKGUEf8,English,(bubbles under water),0:55 / 10:49
gDOmzKGUEf8,English,,0:55 / 10:49
gDOmzKGUEf8,English,,0:56 / 10:49
gDOmzKGUEf8,English,,0:57 / 10:49
gDOmzKGUEf8,English,,0:58 / 10:49
gDOmzKGUEf8,English,,0:59 / 10:49
gDOmzKGUEf8,English,,1:00 / 10:49
gDOmzKGUEf8,English,,1:01 / 10:49
gDOmzKGUEf8,English,,1:02 / 10:49
gDOmzKGUEf8,English,,1:03 / 10:49
gDOmzKGUEf8,English,,1:04 / 10:49
gDOmzKGUEf8,English,Isn't that odd?,1:04 / 10:49
gDOmzKGUEf8,English,Isn't that odd?,1:05 / 10:49
gDOmzKGUEf8,English,,1:06 / 10:49
gDOmzKGUEf8,English,,0:00 / 0:15
gDOmzKGUEf8,English,,1:07 / 10:49
gDOmzKGUEf8,English,,1:08 / 10:49
gDOmzKGUEf8,English,(Iphone notification),1:09 / 10:49
gDOmzKGUEf8,English,"Hey guys, sorry to interrupt your playback experience,",1:09 / 10:49
gDOmzKGUEf8,English,"Hey guys, sorry to interrupt your playback experience,",1:10 / 10:49
gDOmzKGUEf8,English,"Hey guys, sorry to interrupt your playback experience,",1:11 / 10:49
gDOmzKGUEf8,English,let me take a look at what's going on?,1:12 / 10:49
gDOmzKGUEf8,English,let me take a look at what's going on?,1:13 / 10:49
gDOmzKGUEf8,English,,1:14 / 10:49
gDOmzKGUEf8,English,Pardon the mainframe again.,1:15 / 10:49
gDOmzKGUEf8,English,Pardon the mainframe again.,1:16 / 10:49
gDOmzKGUEf8,English,,1:17 / 10:49
gDOmzKGUEf8,English,You mind liking the video for me?,1:18 / 10:49
gDOmzKGUEf8,English,You mind liking the video for me?,1:19 / 10:49
gDOmzKGUEf8,English,,1:20 / 10:49
gDOmzKGUEf8,English,"Yeah, that should work.",1:21 / 10:49
gDOmzKGUEf8,English,"Yeah, that should work.",1:22 / 10:49
gDOmzKGUEf8,English,Enjoy.,1:22 / 10:49
