"video_id","min_timecode","max_timecode","text.user","text.auto"
"gDOmzKGUEf8","00:00:00","00:00:01","","oh okay sorry"
"gDOmzKGUEf8","00:00:01","00:00:02","- Okay, sorry, I'm late.","i'm late"
"gDOmzKGUEf8","00:00:02","00:00:03","The Halloween episode,","the halloween episode"
"gDOmzKGUEf8","00:00:04","00:00:04","wait,","wait the halloween"
"gDOmzKGUEf8","00:00:04","00:00:05","the Halloween episode, I gotta wear a costume.","episode i gotta wear"
"gDOmzKGUEf8","00:00:06","00:00:07","Lemme change that.","a costume let me change that"
"gDOmzKGUEf8","00:00:08","00:00:09","Oh! All right, let's start,","all right let's"
"gDOmzKGUEf8","00:00:10","00:00:12","Magic of the Month for the month of October.","start magic of the month for the month of"
"gDOmzKGUEf8","00:00:13","00:00:15","(evil cackling) (thunder booms)","october"
"gDOmzKGUEf8","00:00:18","00:00:19","",""
"gDOmzKGUEf8","00:00:22","00:00:23","",""
"gDOmzKGUEf8","00:00:26","00:00:27","- My bad. I bumped the top.","my bad i bumped the"
"gDOmzKGUEf8","00:00:27","00:00:30","","top [Music]"
"gDOmzKGUEf8","00:00:32","00:00:32","- [Alfred] Your egg sir.","thank"
"gDOmzKGUEf8","00:00:33","00:00:33","- Thank you Alfred.","you alfred"
"gDOmzKGUEf8","00:00:34","00:00:37","(piano playing)","[Music]"
"gDOmzKGUEf8","00:00:37","00:00:41","",""
"gDOmzKGUEf8","00:00:42","00:00:44","- Okay. Does anybody else's bath tub actually do this?","okay does anybody else's bathtub actually do this"
"gDOmzKGUEf8","00:00:45","00:00:46","All right, check this out.","all right check this"
"gDOmzKGUEf8","00:00:47","00:00:48","",""
"gDOmzKGUEf8","00:00:55","00:01:04","","out [Music]"
"gDOmzKGUEf8","00:01:04","00:01:05","Isn't that odd?","isn't that odd"
"gDOmzKGUEf8","00:01:06","00:01:08","",""
"gDOmzKGUEf8","00:01:09","00:01:11","Hey guys, sorry to interrupt your playback experience,","hey sorry to interrupt your playback experience"
"gDOmzKGUEf8","00:01:12","00:01:13","let me take a look at what's going on?","let me take a look what's going on"
"gDOmzKGUEf8","00:01:14","00:01:14","",""
"gDOmzKGUEf8","00:01:15","00:01:16","Pardon the mainframe again.","part in the mainframe again"
"gDOmzKGUEf8","00:01:17","00:01:17","",""
"gDOmzKGUEf8","00:01:18","00:01:19","You mind liking the video for me?","you might like the video for me"
"gDOmzKGUEf8","00:01:20","00:01:20","",""
"gDOmzKGUEf8","00:01:21","00:01:22","Yeah, that should work.","that should work enjoy"
"gDOmzKGUEf8","00:01:22","00:01:23","Enjoy.","just"
"gDOmzKGUEf8","00:01:24","00:01:25","- Just letting the cat out of the bag.","letting the cat out of the bag enjoy just letting the cat out of the bag"
"gDOmzKGUEf8","00:01:26","00:01:26","",""
"gDOmzKGUEf8","00:01:27","00:01:29","(cat purring)","so i am dressed"
"gDOmzKGUEf8","00:01:29","00:01:31","- So I am dressed up as one of my favorite characters","up as one of my favorite characters of cinema"
"gDOmzKGUEf8","00:01:31","00:01:32","of cinema history.","history hopefully you all"
"gDOmzKGUEf8","00:01:32","00:01:33","Hopefully you all know what character, this is.","know what character this is comment"
"gDOmzKGUEf8","00:01:34","00:01:36","Comment down below if you do know who I'm dressed up as.","down below if you do know who i'm dressed up as"
"gDOmzKGUEf8","00:01:38","00:01:38","- One sec Doc,","one sec doc i'm in the middle"
"gDOmzKGUEf8","00:01:39","00:01:39","I'm in the middle of magic of the month,","of magic of the month"
"gDOmzKGUEf8","00:01:40","00:01:41","a little hint there,","a little hint there but this season's"
"gDOmzKGUEf8","00:01:42","00:01:42","but this season is all about tricks and treats","all about tricks and treats"
