video_id,lang,text,timecode
gEkPKVvAMrs,English - Default,"- Hi everyone, if you are back again,",0:00 / 9:12
gEkPKVvAMrs,English - Default,"- Hi everyone, if you are back again,",0:01 / 9:12
gEkPKVvAMrs,English - Default,"- Hi everyone, if you are back again,",0:02 / 9:12
gEkPKVvAMrs,English - Default,you may have watched my last video,0:02 / 9:12
gEkPKVvAMrs,English - Default,you may have watched my last video,0:03 / 9:12
gEkPKVvAMrs,English - Default,you may have watched my last video,0:04 / 9:12
gEkPKVvAMrs,English - Default,on how over-taxed and overwhelmed the death system,0:04 / 9:12
gEkPKVvAMrs,English - Default,on how over-taxed and overwhelmed the death system,0:05 / 9:12
gEkPKVvAMrs,English - Default,on how over-taxed and overwhelmed the death system,0:06 / 9:12
gEkPKVvAMrs,English - Default,on how over-taxed and overwhelmed the death system,0:07 / 9:12
gEkPKVvAMrs,English - Default,on how over-taxed and overwhelmed the death system,0:08 / 9:12
gEkPKVvAMrs,English - Default,in Los Angeles is right now.,0:09 / 9:12
gEkPKVvAMrs,English - Default,in Los Angeles is right now.,0:10 / 9:12
gEkPKVvAMrs,English - Default,"From the hospital morgues, to the coroners,",0:11 / 9:12
gEkPKVvAMrs,English - Default,"From the hospital morgues, to the coroners,",0:12 / 9:12
gEkPKVvAMrs,English - Default,"to removal drivers, to funeral homes,",0:13 / 9:12
gEkPKVvAMrs,English - Default,"to removal drivers, to funeral homes,",0:14 / 9:12
gEkPKVvAMrs,English - Default,"to crematories, to cemeteries.",0:15 / 9:12
gEkPKVvAMrs,English - Default,"to crematories, to cemeteries.",0:16 / 9:12
gEkPKVvAMrs,English - Default,Is it getting any better?,0:16 / 9:12
gEkPKVvAMrs,English - Default,Is it getting any better?,0:17 / 9:12
gEkPKVvAMrs,English - Default,Is it getting any better?,0:18 / 9:12
gEkPKVvAMrs,English - Default,Is the nightmare ending?,0:18 / 9:12
gEkPKVvAMrs,English - Default,Is the nightmare ending?,0:19 / 9:12
