"video_id","min_timecode","max_timecode","text.user","text.auto"
"gjKrCD_VW2s","00:00:00","00:00:00","","alrighty"
"gjKrCD_VW2s","00:00:01","00:00:01","SO THAT'","so suny actually"
"gjKrCD_VW2s","00:00:02","00:00:02","SO THAT'S TERRIFYING >> WHAT DID WE","got a pretty nice"
"gjKrCD_VW2s","00:00:03","00:00:03","SO THAT'S TERRIFYING >> WHAT DID WE SEE ON THE BEAM","beam score what's scary"
"gjKrCD_VW2s","00:00:03","00:00:04",">> WHAT DID WE SEE ON THE BEAM OU","about this wolf turn is that we noticed"
"gjKrCD_VW2s","00:00:05","00:00:08",">> WHAT DID WE SEE ON THE BEAM OUT OF","that she has a really big wobble she kind of leans back and we're all"
"gjKrCD_VW2s","00:00:09","00:00:09",">> SHE GOT SHE HAS ","like oh goodness"
"gjKrCD_VW2s","00:00:10","00:00:10",">> SHE GOT SHE HAS A REALLY BIG WOBBLE ","because"
"gjKrCD_VW2s","00:00:11","00:00:11","SHE HAS A REALLY BIG WOBBLE IN THE WOLF","to wobble when you're"
"gjKrCD_VW2s","00:00:12","00:00:12","THE WOLF TURN. SHE LEANS BACK AND","facing"
"gjKrCD_VW2s","00:00:13","00:00:13","THE WOLF TURN. SHE LEANS BACK AND WE'RE LIKE,","you know on top"
"gjKrCD_VW2s","00:00:13","00:00:14","SHE LEANS BACK AND WE'RE LIKE, OH","and facing forward"
"gjKrCD_VW2s","00:00:15","00:00:15","OH, GOODNESS SO WOBBLE WHEN YOU ARE","with the beam"
"gjKrCD_VW2s","00:00:16","00:00:16","OH, GOODNESS SO WOBBLE WHEN YOU ARE FACING,","it's a little bit"
"gjKrCD_VW2s","00:00:17","00:00:17","SO WOBBLE WHEN YOU ARE FACING, YOU KNOW, ON TOP AND","easier to"
"gjKrCD_VW2s","00:00:18","00:00:18","YOU KNOW, ON TOP AND FACIN","save brakes it's a little bit easier to save brakes"
"gjKrCD_VW2s","00:00:19","00:00:19","YOU KNOW, ON TOP AND FACIN FORWARD WITH THE BEAM, IT'S ","side to side but when"
"gjKrCD_VW2s","00:00:19","00:00:21","FORWARD WITH THE BEAM, IT'S  LITTLE BIT","you're standing on the side of the beam"
"gjKrCD_VW2s","00:00:22","00:00:22","LITTLE BIT EASIER TOISEACH BREAKS SIDE TO SIDE,","like sunni"
"gjKrCD_VW2s","00:00:23","00:00:23","BREAKS SIDE TO SIDE, BUT WHE YOU ","was and you have a wobble"
"gjKrCD_VW2s","00:00:24","00:00:24","BREAKS SIDE TO SIDE, BUT WHE YOU ARE STANDING ON THE SIDE O","back there's"
"gjKrCD_VW2s","00:00:24","00:00:25","YOU ARE STANDING ON THE SIDE O TH","not really"
"gjKrCD_VW2s","00:00:26","00:00:26","YOU ARE STANDING ON THE SIDE O THE BEAM LIK","much you can do with gravity"
"gjKrCD_VW2s","00:00:27","00:00:27","YOU ARE STANDING ON THE SIDE O THE BEAM LIKE SUNI WAS","to save that so it was really"
"gjKrCD_VW2s","00:00:28","00:00:28","THE BEAM LIKE SUNI WAS AND YOU HAVE A","nice to see her"
"gjKrCD_VW2s","00:00:29","00:00:29","THE BEAM LIKE SUNI WAS AND YOU HAVE A WOBBLE FRONT TO","stay on the equipment"
"gjKrCD_VW2s","00:00:31","00:00:31","HAVE A WOBBLE FRONT TO BACK, THERE'S NOT MUCH TO DO WIT","and she does a beautiful"
"gjKrCD_VW2s","00:00:32","00:00:32","GRAVITY TO SAVE THAT IT W","side aerial layout layout"
"gjKrCD_VW2s","00:00:33","00:00:33","GRAVITY TO SAVE THAT IT WAS NICE TO SEE","which"
"gjKrCD_VW2s","00:00:34","00:00:34","IT WAS NICE TO SEE HER STAY ON TH","terrifies me"
"gjKrCD_VW2s","00:00:35","00:00:35","IT WAS NICE TO SEE HER STAY ON THE EQUIPMENT AND ","i would never"
"gjKrCD_VW2s","00:00:36","00:00:37","IT WAS NICE TO SEE HER STAY ON THE EQUIPMENT AND SH","try it with my own free will so"
"gjKrCD_VW2s","00:00:38","00:00:38","IT WAS NICE TO SEE HER STAY ON THE EQUIPMENT AND SHE DOES","well i would just"
"gjKrCD_VW2s","00:00:39","00:00:39","IT WAS NICE TO SEE HER STAY ON THE EQUIPMENT AND SHE DOES A","have to say this that the hmong"
"gjKrCD_VW2s","00:00:40","00:00:40","THE EQUIPMENT AND SHE DOES A VERY NICE FEDERA","community"
"gjKrCD_VW2s","00:00:41","00:00:41","THE EQUIPMENT AND SHE DOES A VERY NICE FEDERAL LAYOUT, LA","in minnesota has to"
"gjKrCD_VW2s","00:00:42","00:00:42","IOUT >> I WILL JUST HAVE TO SAY","be absolutely ecstatic"
"gjKrCD_VW2s","00:00:44","00:00:44",">> I WILL JUST HAVE TO SAY THI THAT THE HMONG COMMUNITY","they are minnesota"
"gjKrCD_VW2s","00:00:45","00:00:45","THAT THE HMONG COMMUNITY I MINNESOTA HAS TO B","or her performance has been minnesota"
"gjKrCD_VW2s","00:00:45","00:01:10","THAT THE HMONG COMMUNITY I MINNESOTA HAS TO BE ABSOLUTELY","nice you"
"gjKrCD_VW2s","00:01:10","00:01:10","",""
