video_id,lang,text,timecode
hIyEAZlWENs,English (auto-generated),,0:00 / 7:44
hIyEAZlWENs,English (auto-generated),"- In honor of World Blood Donation Day,",0:00 / 7:44
hIyEAZlWENs,English (auto-generated),"- In honor of World Blood Donation Day,",0:01 / 7:44
hIyEAZlWENs,English (auto-generated),we wanna get people out there and donating blood.,0:01 / 7:44
hIyEAZlWENs,English (auto-generated),we wanna get people out there and donating blood.,0:02 / 7:44
hIyEAZlWENs,English (auto-generated),we wanna get people out there and donating blood.,0:03 / 7:44
hIyEAZlWENs,English (auto-generated),So let's answer all of your questions about blood.,0:04 / 7:44
hIyEAZlWENs,English (auto-generated),So let's answer all of your questions about blood.,0:05 / 7:44
hIyEAZlWENs,English (auto-generated),So let's answer all of your questions about blood.,0:06 / 7:44
hIyEAZlWENs,English (auto-generated),And huge thank you to Abbott for sponsoring this video.,0:07 / 7:44
hIyEAZlWENs,English (auto-generated),And huge thank you to Abbott for sponsoring this video.,0:08 / 7:44
hIyEAZlWENs,English (auto-generated),And huge thank you to Abbott for sponsoring this video.,0:09 / 7:44
hIyEAZlWENs,English (auto-generated),How much blood is in the human body?,0:09 / 7:44
hIyEAZlWENs,English (auto-generated),How much blood is in the human body?,0:10 / 7:44
hIyEAZlWENs,English (auto-generated),How much blood is in the human body?,0:11 / 7:44
hIyEAZlWENs,English (auto-generated),"Well, this is cool because you can do a comparison here.",0:12 / 7:44
hIyEAZlWENs,English (auto-generated),"Well, this is cool because you can do a comparison here.",0:13 / 7:44
hIyEAZlWENs,English (auto-generated),A newborn baby has about a cup of blood in their body,0:13 / 7:44
hIyEAZlWENs,English (auto-generated),A newborn baby has about a cup of blood in their body,0:14 / 7:44
hIyEAZlWENs,English (auto-generated),A newborn baby has about a cup of blood in their body,0:15 / 7:44
hIyEAZlWENs,English (auto-generated),A newborn baby has about a cup of blood in their body,0:16 / 7:44
hIyEAZlWENs,English (auto-generated),"versus an adult, like an average size adult,",0:16 / 7:44
hIyEAZlWENs,English (auto-generated),"versus an adult, like an average size adult,",0:17 / 7:44
hIyEAZlWENs,English (auto-generated),"versus an adult, like an average size adult,",0:18 / 7:44
hIyEAZlWENs,English (auto-generated),will have 1.2 to 1.5 gallons of blood.,0:19 / 7:44
hIyEAZlWENs,English (auto-generated),will have 1.2 to 1.5 gallons of blood.,0:20 / 7:44
hIyEAZlWENs,English (auto-generated),will have 1.2 to 1.5 gallons of blood.,0:21 / 7:44
hIyEAZlWENs,English (auto-generated),That makes up actually 10%,0:22 / 7:44
hIyEAZlWENs,English (auto-generated),That makes up actually 10%,0:23 / 7:44
hIyEAZlWENs,English (auto-generated),That makes up actually 10%,0:24 / 7:44
hIyEAZlWENs,English (auto-generated),of your entire weight of your body.,0:24 / 7:44
hIyEAZlWENs,English (auto-generated),of your entire weight of your body.,0:25 / 7:44
hIyEAZlWENs,English (auto-generated),of your entire weight of your body.,0:26 / 7:44
hIyEAZlWENs,English (auto-generated),How cool is that?,0:26 / 7:44
hIyEAZlWENs,English (auto-generated),How cool is that?,0:27 / 7:44
hIyEAZlWENs,English (auto-generated),Geo Mulligan.,0:27 / 7:44
hIyEAZlWENs,English (auto-generated),How does the body make blood?,0:28 / 7:44
hIyEAZlWENs,English (auto-generated),How does the body make blood?,0:29 / 7:44
hIyEAZlWENs,English (auto-generated),"Well, blood cells are actually made in your bones.",0:30 / 7:44
hIyEAZlWENs,English (auto-generated),"Well, blood cells are actually made in your bones.",0:31 / 7:44
hIyEAZlWENs,English (auto-generated),"Well, blood cells are actually made in your bones.",0:32 / 7:44
hIyEAZlWENs,English (auto-generated),"I mean, no one believes when I say that,",0:32 / 7:44
hIyEAZlWENs,English (auto-generated),"I mean, no one believes when I say that,",0:33 / 7:44
hIyEAZlWENs,English (auto-generated),"but within your bones,",0:34 / 7:44
hIyEAZlWENs,English (auto-generated),"but within your bones,",0:35 / 7:44
hIyEAZlWENs,English (auto-generated),"there's something known as bone marrow,",0:35 / 7:44
