"video_id","min_timecode","max_timecode","text.user","text.auto"
"hMMzz1cOZk0","00:00:00","00:00:04","- These are the top 10 tech deals for Amazon Prime Day 2020,","these are the top 10 tech deals for amazon prime day 2020 right"
"hMMzz1cOZk0","00:00:04","00:00:06","right now, trending as we speak.","now trending as we speak"
"hMMzz1cOZk0","00:00:07","00:00:07","Welcome back to the channel.","welcome back to the channel"
"hMMzz1cOZk0","00:00:08","00:00:09","I am the YouTube Deal Guy, Matt Granite.","i am the youtube deal guy matt granted"
"hMMzz1cOZk0","00:00:10","00:00:12","If you guys like these deals, give this video a thumbs up.","if you guys like these deals give this video a thumbs up"
"hMMzz1cOZk0","00:00:13","00:00:14","That helps more people discover it.","that helps more people discover it please feel free"
"hMMzz1cOZk0","00:00:14","00:00:15","Please feel free to share this if you know anyone","to share this if you know anyone looking"
"hMMzz1cOZk0","00:00:16","00:00:17","looking to save some money this Prime Day.","to save some money this prime day"
"hMMzz1cOZk0","00:00:18","00:00:19","And, as you guys know,","and as you guys know i've already released"
"hMMzz1cOZk0","00:00:19","00:00:20","I've already released a whole set of lifestyle deals","a whole set of lifestyle"
"hMMzz1cOZk0","00:00:21","00:00:22","and other electronic deals and Chromebooks.","deals and other electronic deals"
"hMMzz1cOZk0","00:00:23","00:00:25","This is the top 10 tech that I've provided for you,","and chromebooks this is the top 10 tech that i've provided for you and if you"
"hMMzz1cOZk0","00:00:25","00:00:27","and if you wanna see my next set of deals,","want to see my next set of deals"
"hMMzz1cOZk0","00:00:27","00:00:29","if you subscribe with your notifications turned on,","if you subscribe with your notifications"
"hMMzz1cOZk0","00:00:30","00:00:32","you'll know exactly when those deals drop","turned on you'll know exactly when those deals drop because"
"hMMzz1cOZk0","00:00:32","00:00:33","cause I am working for you.","i am working for you"
"hMMzz1cOZk0","00:00:34","00:00:35","All of the videos, all of the deal links","all of the videos all"
"hMMzz1cOZk0","00:00:36","00:00:37","tied to the products that I'm gonna showcase","of the deal links tied to the products that i'm going to showcase have"
"hMMzz1cOZk0","00:00:38","00:00:39","have a set of links in the video description box.","a set of links in the video description box"
"hMMzz1cOZk0","00:00:40","00:00:40","I use affiliate links,","i use affiliate"
"hMMzz1cOZk0","00:00:41","00:00:42","which means I benefit monetarily","links which means i benefit monetarily if you're kind enough to use one"
"hMMzz1cOZk0","00:00:42","00:00:43","if you're kind enough to use one of my links.","of my links the"
"hMMzz1cOZk0","00:00:43","00:00:46","The Ring eight-piece alarm, second gen with Echo dot","ring eight piece alarm second gen with echo dot which is the"
"hMMzz1cOZk0","00:00:46","00:00:49","which is the eight piece kit as my first deal selection","eight piece kit as my first deal selection or"
"hMMzz1cOZk0","00:00:50","00:00:53","or alternatively, the ring alarm eight-piece","alternatively the ring alarm eight piece with the free"
"hMMzz1cOZk0","00:00:53","00:00:55","with the free Echo Show five","echo show five at 149"
"hMMzz1cOZk0","00:00:55","00:00:58","at $149 down from 339 is an amazing deal.","down from 339 is an amazing deal"
