video_id,lang,text,timecode
hS2x1zl4rn0,English (United States) - Captions,- My name is Billie Eilish.,0:00 / 27:01
hS2x1zl4rn0,English (United States) - Captions,- My name is Billie Eilish.,0:01 / 27:01
hS2x1zl4rn0,English (United States) - Captions,Billie Eilish.,0:02 / 27:01
hS2x1zl4rn0,English (United States) - Captions,My name is Billie Eilish.,0:02 / 27:01
hS2x1zl4rn0,English (United States) - Captions,My name is Billie Eilish.,0:03 / 27:01
hS2x1zl4rn0,English (United States) - Captions,[upbeat music],0:04 / 27:01
hS2x1zl4rn0,English (United States) - Captions,[upbeat music],0:05 / 27:01
hS2x1zl4rn0,English (United States) - Captions,[upbeat music],0:06 / 27:01
hS2x1zl4rn0,English (United States) - Captions,,0:07 / 27:01
hS2x1zl4rn0,English (United States) - Captions,,0:08 / 27:01
hS2x1zl4rn0,English (United States) - Captions,,0:09 / 27:01
hS2x1zl4rn0,English (United States) - Captions,"This is getting out of hand, I am Billie Eilish.",0:10 / 27:01
hS2x1zl4rn0,English (United States) - Captions,"This is getting out of hand, I am Billie Eilish.",0:11 / 27:01
hS2x1zl4rn0,English (United States) - Captions,"This is getting out of hand, I am Billie Eilish.",0:12 / 27:01
hS2x1zl4rn0,English (United States) - Captions,"This is getting out of hand, I am Billie Eilish.",0:13 / 27:01
hS2x1zl4rn0,English (United States) - Captions,I'm doing this shit till I'm 90.,0:13 / 27:01
hS2x1zl4rn0,English (United States) - Captions,I'm doing this shit till I'm 90.,0:14 / 27:01
hS2x1zl4rn0,English (United States) - Captions,I'm doing this shit till I'm 90.,0:15 / 27:01
hS2x1zl4rn0,English (United States) - Captions,So get ready for it.,0:16 / 27:01
hS2x1zl4rn0,English (United States) - Captions,"I think it's October 18th, 2017.",0:17 / 27:01
hS2x1zl4rn0,English (United States) - Captions,"I think it's October 18th, 2017.",0:18 / 27:01
hS2x1zl4rn0,English (United States) - Captions,"I think it's October 18th, 2017.",0:19 / 27:01
hS2x1zl4rn0,English (United States) - Captions,"It's October 18th, 2018.",0:19 / 27:01
hS2x1zl4rn0,English (United States) - Captions,"It's October 18th, 2018.",0:20 / 27:01
hS2x1zl4rn0,English (United States) - Captions,"It's October 18th, 2018.",0:21 / 27:01
hS2x1zl4rn0,English (United States) - Captions,"October 18th, 2019.",0:22 / 27:01
hS2x1zl4rn0,English (United States) - Captions,"October 18th, 2019.",0:23 / 27:01
hS2x1zl4rn0,English (United States) - Captions,"October 18th, 2019.",0:24 / 27:01
hS2x1zl4rn0,English (United States) - Captions,"October 18th, 2020.",0:25 / 27:01
hS2x1zl4rn0,English (United States) - Captions,"October 18th, 2020.",0:26 / 27:01
hS2x1zl4rn0,English (United States) - Captions,"October 18th, 2020.",0:27 / 27:01
hS2x1zl4rn0,English (United States) - Captions,I'm 15.,0:28 / 27:01
hS2x1zl4rn0,English (United States) - Captions,I'm 16.,0:29 / 27:01
hS2x1zl4rn0,English (United States) - Captions,I'm 17.,0:30 / 27:01
hS2x1zl4rn0,English (United States) - Captions,I'm 18.,0:31 / 27:01
hS2x1zl4rn0,English (United States) - Captions,"I have 257,000.",0:32 / 27:01
hS2x1zl4rn0,English (United States) - Captions,"I have 257,000.",0:33 / 27:01
hS2x1zl4rn0,English (United States) - Captions,"I have 257,000.",0:34 / 27:01
hS2x1zl4rn0,English (United States) - Captions,"I have 257,000.",0:35 / 27:01
hS2x1zl4rn0,English (United States) - Captions,I have 6.3 million.,0:35 / 27:01
hS2x1zl4rn0,English (United States) - Captions,I have 6.3 million.,0:36 / 27:01
hS2x1zl4rn0,English (United States) - Captions,I have 6.3 million.,0:37 / 27:01
hS2x1zl4rn0,English (United States) - Captions,40.7 million.,0:38 / 27:01
hS2x1zl4rn0,English (United States) - Captions,40.7 million.,0:39 / 27:01
hS2x1zl4rn0,English (United States) - Captions,67.5 million.,0:40 / 27:01
hS2x1zl4rn0,English (United States) - Captions,67.5 million.,0:41 / 27:01
hS2x1zl4rn0,English (United States) - Captions,67.5 million.,0:42 / 27:01
hS2x1zl4rn0,English (United States) - Captions,Where are these people coming from?,0:42 / 27:01
hS2x1zl4rn0,English (United States) - Captions,Where are these people coming from?,0:43 / 27:01
hS2x1zl4rn0,English (United States) - Captions,Where are these people coming from?,0:44 / 27:01
hS2x1zl4rn0,English (United States) - Captions,Like that's my question.,0:44 / 27:01
hS2x1zl4rn0,English (United States) - Captions,Like that's my question.,0:45 / 27:01
hS2x1zl4rn0,English (United States) - Captions,The most followed person that follows me,0:45 / 27:01
hS2x1zl4rn0,English (United States) - Captions,The most followed person that follows me,0:46 / 27:01
hS2x1zl4rn0,English (United States) - Captions,The most followed person that follows me,0:47 / 27:01
hS2x1zl4rn0,English (United States) - Captions,is Chloe Grace Moretz.,0:47 / 27:01
hS2x1zl4rn0,English (United States) - Captions,is Chloe Grace Moretz.,0:48 / 27:01
hS2x1zl4rn0,English (United States) - Captions,Katy Perry maybe.,0:48 / 27:01
hS2x1zl4rn0,English (United States) - Captions,Katy Perry maybe.,0:49 / 27:01
hS2x1zl4rn0,English (United States) - Captions,Justin Bieber.,0:50 / 27:01
hS2x1zl4rn0,English (United States) - Captions,"Ariana Grande my baby, with 204 million followers.",0:50 / 27:01
hS2x1zl4rn0,English (United States) - Captions,"Ariana Grande my baby, with 204 million followers.",0:51 / 27:01
hS2x1zl4rn0,English (United States) - Captions,"Ariana Grande my baby, with 204 million followers.",0:52 / 27:01
hS2x1zl4rn0,English (United States) - Captions,"Ariana Grande my baby, with 204 million followers.",0:53 / 27:01
hS2x1zl4rn0,English (United States) - Captions,"Ariana Grande my baby, with 204 million followers.",0:54 / 27:01
hS2x1zl4rn0,English (United States) - Captions,,0:55 / 27:01
hS2x1zl4rn0,English (United States) - Captions,,0:56 / 27:01
hS2x1zl4rn0,English (United States) - Captions,It's a picture of me and Charli XCX.,0:56 / 27:01
hS2x1zl4rn0,English (United States) - Captions,It's a picture of me and Charli XCX.,0:57 / 27:01
hS2x1zl4rn0,English (United States) - Captions,Isn't it the one about me smiling.,0:58 / 27:01
hS2x1zl4rn0,English (United States) - Captions,Isn't it the one about me smiling.,0:59 / 27:01
hS2x1zl4rn0,English (United States) - Captions,Isn't it the one about me smiling.,1:00 / 27:01
hS2x1zl4rn0,English (United States) - Captions,"10 million, that's a lot.",1:00 / 27:01
hS2x1zl4rn0,English (United States) - Captions,"10 million, that's a lot.",1:01 / 27:01
hS2x1zl4rn0,English (United States) - Captions,"10 million, that's a lot.",1:02 / 27:01
hS2x1zl4rn0,English (United States) - Captions,"Five grummys, won five grummies [laughs].",1:02 / 27:01
hS2x1zl4rn0,English (United States) - Captions,"Five grummys, won five grummies [laughs].",1:03 / 27:01
hS2x1zl4rn0,English (United States) - Captions,"Five grummys, won five grummies [laughs].",1:04 / 27:01
hS2x1zl4rn0,English (United States) - Captions,,1:05 / 27:01
hS2x1zl4rn0,English (United States) - Captions,,1:06 / 27:01
hS2x1zl4rn0,English (United States) - Captions,,1:07 / 27:01
hS2x1zl4rn0,English (United States) - Captions,"Wow, I will be 18, I never thought I'd be 18.",1:08 / 27:01
hS2x1zl4rn0,English (United States) - Captions,"Wow, I will be 18, I never thought I'd be 18.",1:09 / 27:01
hS2x1zl4rn0,English (United States) - Captions,"Wow, I will be 18, I never thought I'd be 18.",1:10 / 27:01
hS2x1zl4rn0,English (United States) - Captions,"Wow, I will be 18, I never thought I'd be 18.",1:11 / 27:01
hS2x1zl4rn0,English (United States) - Captions,Hopefully I look fly.,1:12 / 27:01
hS2x1zl4rn0,English (United States) - Captions,Hopefully I look fly.,1:13 / 27:01
hS2x1zl4rn0,English (United States) - Captions,What is that quote?,1:14 / 27:01
hS2x1zl4rn0,English (United States) - Captions,"Well, I have accepted the things I cannot change,",1:15 / 27:01
hS2x1zl4rn0,English (United States) - Captions,"Well, I have accepted the things I cannot change,",1:16 / 27:01
hS2x1zl4rn0,English (United States) - Captions,"Well, I have accepted the things I cannot change,",1:17 / 27:01
hS2x1zl4rn0,English (United States) - Captions,and well I have changed the things that I cannot accept.,1:18 / 27:01
hS2x1zl4rn0,English (United States) - Captions,and well I have changed the things that I cannot accept.,1:19 / 27:01
hS2x1zl4rn0,English (United States) - Captions,and well I have changed the things that I cannot accept.,1:20 / 27:01
hS2x1zl4rn0,English (United States) - Captions,It's a good thing think about.,1:21 / 27:01
hS2x1zl4rn0,English (United States) - Captions,It's a good thing think about.,1:22 / 27:01
hS2x1zl4rn0,English (United States) - Captions,What changes?,1:23 / 27:01
hS2x1zl4rn0,English (United States) - Captions,What changes?,1:24 / 27:01
hS2x1zl4rn0,English (United States) - Captions,"You know, what endings?",1:25 / 27:01
hS2x1zl4rn0,English (United States) - Captions,"You know, what endings?",1:26 / 27:01
hS2x1zl4rn0,English (United States) - Captions,What new beginnings?,1:26 / 27:01
hS2x1zl4rn0,English (United States) - Captions,What new beginnings?,1:27 / 27:01
hS2x1zl4rn0,English (United States) - Captions,,1:27 / 27:01
hS2x1zl4rn0,English (United States) - Captions,,1:28 / 27:01
hS2x1zl4rn0,English (United States) - Captions,,1:29 / 27:01
hS2x1zl4rn0,English (United States) - Captions,[Billie laughing],1:29 / 27:01
hS2x1zl4rn0,English (United States) - Captions,[Billie laughing],1:30 / 27:01
hS2x1zl4rn0,English (United States) - Captions,Oh God that's did not age well.,1:30 / 27:01
hS2x1zl4rn0,English (United States) - Captions,Oh God that's did not age well.,1:31 / 27:01
hS2x1zl4rn0,English (United States) - Captions,Oh God that's did not age well.,1:32 / 27:01
hS2x1zl4rn0,English (United States) - Captions,Oh God that's did not age well.,1:33 / 27:01
hS2x1zl4rn0,English (United States) - Captions,,1:33 / 27:01
hS2x1zl4rn0,English (United States) - Captions,,1:34 / 27:01
hS2x1zl4rn0,English (United States) - Captions,,1:35 / 27:01
hS2x1zl4rn0,English (United States) - Captions,"Girl, please.",1:36 / 27:01
hS2x1zl4rn0,English (United States) - Captions,"Girl, please.",1:37 / 27:01
hS2x1zl4rn0,English (United States) - Captions,[Billie laughing],1:38 / 27:01
hS2x1zl4rn0,English (United States) - Captions,[Billie laughing],1:39 / 27:01
hS2x1zl4rn0,English (United States) - Captions,"Talk about what's gonna change,",1:40 / 27:01
hS2x1zl4rn0,English (United States) - Captions,"Talk about what's gonna change,",1:41 / 27:01
hS2x1zl4rn0,English (United States) - Captions,"Talk about what's gonna change,",1:42 / 27:01
hS2x1zl4rn0,English (United States) - Captions,what's gonna be different?,1:42 / 27:01
hS2x1zl4rn0,English (United States) - Captions,what's gonna be different?,1:43 / 27:01
hS2x1zl4rn0,English (United States) - Captions,what's gonna be different?,1:44 / 27:01
hS2x1zl4rn0,English (United States) - Captions,[Billie laughing],1:44 / 27:01
hS2x1zl4rn0,English (United States) - Captions,[Billie laughing],1:45 / 27:01
hS2x1zl4rn0,English (United States) - Captions,Your whole life will have gone.,1:46 / 27:01
hS2x1zl4rn0,English (United States) - Captions,Your whole life will have gone.,1:47 / 27:01
hS2x1zl4rn0,English (United States) - Captions,,1:48 / 27:01
hS2x1zl4rn0,English (United States) - Captions,,1:49 / 27:01
hS2x1zl4rn0,English (United States) - Captions,But not just you everyone because coronavirus.,1:50 / 27:01
hS2x1zl4rn0,English (United States) - Captions,But not just you everyone because coronavirus.,1:51 / 27:01
hS2x1zl4rn0,English (United States) - Captions,But not just you everyone because coronavirus.,1:52 / 27:01
hS2x1zl4rn0,English (United States) - Captions,But not just you everyone because coronavirus.,1:53 / 27:01
hS2x1zl4rn0,English (United States) - Captions,,1:54 / 27:01
hS2x1zl4rn0,English (United States) - Captions,"Definitely not where I thought that I would be currently,",1:55 / 27:01
hS2x1zl4rn0,English (United States) - Captions,"Definitely not where I thought that I would be currently,",1:56 / 27:01
hS2x1zl4rn0,English (United States) - Captions,"Definitely not where I thought that I would be currently,",1:57 / 27:01
hS2x1zl4rn0,English (United States) - Captions,"Definitely not where I thought that I would be currently,",1:58 / 27:01
hS2x1zl4rn0,English (United States) - Captions,but I'm also not mad at it.,1:59 / 27:01
hS2x1zl4rn0,English (United States) - Captions,but I'm also not mad at it.,2:00 / 27:01
hS2x1zl4rn0,English (United States) - Captions,"I'm very, very lucky to have had this year play out the way",2:00 / 27:01
hS2x1zl4rn0,English (United States) - Captions,"I'm very, very lucky to have had this year play out the way",2:01 / 27:01
hS2x1zl4rn0,English (United States) - Captions,"I'm very, very lucky to have had this year play out the way",2:02 / 27:01
hS2x1zl4rn0,English (United States) - Captions,"I'm very, very lucky to have had this year play out the way",2:03 / 27:01
hS2x1zl4rn0,English (United States) - Captions,"I'm very, very lucky to have had this year play out the way",2:04 / 27:01
hS2x1zl4rn0,English (United States) - Captions,"it did, because for a lot of people, it was literal hell,",2:05 / 27:01
