"video_id","min_timecode","max_timecode","text.user","text.auto"
"hafxbLTr3M4","00:00:00","00:00:01","- Hello, hi everyone and welcome to Skincare With Hyram.","aloha everyone and welcome to skincare with hiram"
"hafxbLTr3M4","00:00:02","00:00:02","If you don't know who I am,","if you don't know who i am"
"hafxbLTr3M4","00:00:03","00:00:04","my name's Hyram and passionate about teaching you","my name is hiram and i'm passionate about teaching"
"hafxbLTr3M4","00:00:05","00:00:06","how to perfect your skincare routine.","you how to perfect your skincare routine"
"hafxbLTr3M4","00:00:07","00:00:10","And I am here today with Charli Damelio.","and i'm here today with charlie demilio thank you"
"hafxbLTr3M4","00:00:11","00:00:11","- Thank you, Charli so much.","charlie so much"
"hafxbLTr3M4","00:00:12","00:00:14","I'm so excited to be here because we just reacted","i'm so excited to be here because we just reacted"
"hafxbLTr3M4","00:00:15","00:00:16","to your skincare routine.","to your skincare routine she showed"
"hafxbLTr3M4","00:00:16","00:00:17","She showed it to me.","it to me and there were there was"
"hafxbLTr3M4","00:00:18","00:00:19","There was a moment where I freaked out a little bit,","a moment where i freaked out a little bit"
"hafxbLTr3M4","00:00:20","00:00:20","but the rest of it was so good.","but the rest of it was so good"
"hafxbLTr3M4","00:00:21","00:00:22","( both laugh) and it was so much fun.","little bit but the rest of it was so good and it was so much fun"
"hafxbLTr3M4","00:00:23","00:00:24","You can go watch it on her channel.","you can go watch it on her channel i'll"
"hafxbLTr3M4","00:00:25","00:00:25","I'll have that link down below.","have it linked down below but"
"hafxbLTr3M4","00:00:26","00:00:28","But in this video, I'm going to be making you","in this video i'm going to be making you a skincare"
"hafxbLTr3M4","00:00:28","00:00:29","a skincare routine.","routine"
"hafxbLTr3M4","00:00:29","00:00:30","- I'm so excited.","i'm"
"hafxbLTr3M4","00:00:31","00:00:31","- I'm super excited.","super excited i brought some"
"hafxbLTr3M4","00:00:31","00:00:32","I brought some items.","items i may have"
"hafxbLTr3M4","00:00:32","00:00:35","I may have bought half the store at Sephora.","bought half the store at sephora just to see if like"
"hafxbLTr3M4","00:00:35","00:00:37","Just to see if I can make a good routine for you","i can make a good routine for you in"
"hafxbLTr3M4","00:00:38","00:00:39","in case you ever wanna like level it up","case you ever want to like level it up because the"
"hafxbLTr3M4","00:00:39","00:00:40","'cause the products she uses,","products she uses"
"hafxbLTr3M4","00:00:41","00:00:42","I mean, you use Cerave. - Mm-hmm.","i mean you use servi great products"
"hafxbLTr3M4","00:00:43","00:00:45","They seem to be working for your skin.","they seem to be working for your skin i mean you have beautiful"
"hafxbLTr3M4","00:00:46","00:00:47","I mean, you have beautiful skin that looks like...","skin that looks like so it's clearly"
"hafxbLTr3M4","00:00:48","00:00:49","- It's clearly working what she's using,","working what she's using but i"
"hafxbLTr3M4","00:00:49","00:00:50","but I think this could level it up.","think this could like level"
"hafxbLTr3M4","00:00:51","00:00:52","How experimental would you say you are with skincare?","it up how experimental would you say"
"hafxbLTr3M4","00:00:53","00:00:54","- Oh, a 100%. - Okay.","you are with skincare oh 100 okay"
"hafxbLTr3M4","00:00:55","00:00:57","- I just kind of do whatever is cool.","i just kind of do whatever is cool and then"
"hafxbLTr3M4","00:00:57","00:01:00","And then I face the repercussions afterwards.","i face the repercussions afterwards that's"
"hafxbLTr3M4","00:01:01","00:01:01","- That's a good way of putting it.","a good way of putting it"
"hafxbLTr3M4","00:01:02","00:01:02","I mean, I'm basically the same.","i mean basically"
"hafxbLTr3M4","00:01:03","00:01:05","I feel like my struggle is constantly having","same i feel like my struggle is constantly having to like"
"hafxbLTr3M4","00:01:05","00:01:07","to like rescue my skin after trying so many different","rescue my skin after trying so many different trendy"
"hafxbLTr3M4","00:01:08","00:01:08","trendy products and everything.","products"
"hafxbLTr3M4","00:01:09","00:01:10","- Yeah.","and everything yeah so i'm kind of on the board with that yeah"
"hafxbLTr3M4","00:01:11","00:01:13","Yeah, she was telling me about the Ordinary face mask","she was telling me about the ordinary face mask"
"hafxbLTr3M4","00:01:13","00:01:14","",""
"hafxbLTr3M4","00:01:14","00:01:16","and how it really messed up her skin.","and how it really messed up her skin if it hurts please don't"
"hafxbLTr3M4","00:01:16","00:01:17","If it hurts, please don't use it.","use it yeah"
"hafxbLTr3M4","00:01:17","00:01:18","- Yeah (Hyram laughs)","but i"
"hafxbLTr3M4","00:01:18","00:01:20","- By the way I feel like these products will be good,","feel like these products will be good but"
"hafxbLTr3M4","00:01:20","00:01:21","but what you were telling me before,","what you were telling me before"
"hafxbLTr3M4","00:01:21","00:01:23","so your skin type, you have normal skin?","so your skin type you have normal skin and normal"
"hafxbLTr3M4","00:01:24","00:01:24","And normal skin is like the best skin to have,","skin is like the"
"hafxbLTr3M4","00:01:25","00:01:26","because you can try whatever product you want.","best skin to have because you can try whatever product you want"
"hafxbLTr3M4","00:01:27","00:01:29","It's just about how you like the feel.","it's just about like how you like the feel like for me because my"
"hafxbLTr3M4","00:01:29","00:01:30","For me, because my skin is so oily.","skin is so oily there's"
"hafxbLTr3M4","00:01:31","00:01:32","There's so many products that I can't use","so many products i can't use because"
"hafxbLTr3M4","00:01:33","00:01:33","- Really?","they'll just make my skin"
