video_id,lang,text,timecode
hsnM6-o66mI,English (United States) - eng,"- Hi, I'm Rie,",0:00 / 18:13
hsnM6-o66mI,English (United States) - eng,I'm a Tasty producer.,0:01 / 18:13
hsnM6-o66mI,English (United States) - eng,I'm a Tasty producer.,0:02 / 18:13
hsnM6-o66mI,English (United States) - eng,Today I've been challenged to take a common food,0:03 / 18:13
hsnM6-o66mI,English (United States) - eng,Today I've been challenged to take a common food,0:04 / 18:13
hsnM6-o66mI,English (United States) - eng,and Make it Fancy.,0:05 / 18:13
hsnM6-o66mI,English (United States) - eng,and Make it Fancy.,0:06 / 18:13
hsnM6-o66mI,English (United States) - eng,"But first, some exciting news.",0:07 / 18:13
hsnM6-o66mI,English (United States) - eng,"But first, some exciting news.",0:08 / 18:13
hsnM6-o66mI,English (United States) - eng,"But first, some exciting news.",0:09 / 18:13
hsnM6-o66mI,English (United States) - eng,We've got new merch.,0:09 / 18:13
hsnM6-o66mI,English (United States) - eng,We've got new merch.,0:10 / 18:13
hsnM6-o66mI,English (United States) - eng,,0:10 / 18:13
hsnM6-o66mI,English (United States) - eng,,0:11 / 18:13
hsnM6-o66mI,English (United States) - eng,"As I like to say, anything round is cute.",0:12 / 18:13
hsnM6-o66mI,English (United States) - eng,"As I like to say, anything round is cute.",0:13 / 18:13
hsnM6-o66mI,English (United States) - eng,"As I like to say, anything round is cute.",0:14 / 18:13
hsnM6-o66mI,English (United States) - eng,You can find it at shopmakeitfancy.com.,0:15 / 18:13
hsnM6-o66mI,English (United States) - eng,You can find it at shopmakeitfancy.com.,0:16 / 18:13
hsnM6-o66mI,English (United States) - eng,You can find it at shopmakeitfancy.com.,0:17 / 18:13
hsnM6-o66mI,English (United States) - eng,You can find it at shopmakeitfancy.com.,0:18 / 18:13
hsnM6-o66mI,English (United States) - eng,"Now, let's see what we are making fancy today.",0:19 / 18:13
hsnM6-o66mI,English (United States) - eng,"Now, let's see what we are making fancy today.",0:20 / 18:13
hsnM6-o66mI,English (United States) - eng,"Now, let's see what we are making fancy today.",0:21 / 18:13
hsnM6-o66mI,English (United States) - eng,Drum roll.,0:21 / 18:13
hsnM6-o66mI,English (United States) - eng,Drum roll.,0:22 / 18:13
hsnM6-o66mI,English (United States) - eng,Drum roll.,0:23 / 18:13
hsnM6-o66mI,English (United States) - eng,(mimicking drumroll),0:23 / 18:13
hsnM6-o66mI,English (United States) - eng,(mimicking drumroll),0:24 / 18:13
hsnM6-o66mI,English (United States) - eng,(mimicking drumroll),0:25 / 18:13
hsnM6-o66mI,English (United States) - eng,(mimicking drumroll),0:26 / 18:13
hsnM6-o66mI,English (United States) - eng,(mischievous music),0:26 / 18:13
hsnM6-o66mI,English (United States) - eng,Nothing.,0:27 / 18:13
