"video_id","min_timecode","max_timecode","text.user","text.auto"
"hsnM6-o66mI","00:00:00","00:00:00","- Hi, I'm Rie,","hi i'm"
"hsnM6-o66mI","00:00:01","00:00:02","I'm a Tasty producer.","ria i'm a tasty producer today i've been"
"hsnM6-o66mI","00:00:02","00:00:04","Today I've been challenged to take a common food","challenged to take a common food"
"hsnM6-o66mI","00:00:05","00:00:06","and Make it Fancy.","and make it fancy"
"hsnM6-o66mI","00:00:07","00:00:09","But first, some exciting news.","but first some exciting news"
"hsnM6-o66mI","00:00:10","00:00:10","We've got new merch.","we've got new merch"
"hsnM6-o66mI","00:00:10","00:00:11","","as i"
"hsnM6-o66mI","00:00:11","00:00:14","As I like to say, anything round is cute.","like to say anything round is cute"
"hsnM6-o66mI","00:00:14","00:00:18","You can find it at shopmakeitfancy.com.","you can find it at anything round is cute you can find it at shopmakeyfanzi.com now"
"hsnM6-o66mI","00:00:19","00:00:21","Now, let's see what we are making fancy today.","let's see what we are making fancy today drum"
"hsnM6-o66mI","00:00:22","00:00:22","Drum roll.","rolls"
"hsnM6-o66mI","00:00:26","00:00:28","Nothing.","nothing what's going on here"
"hsnM6-o66mI","00:00:28","00:00:29","What's going on here?","check your"
"hsnM6-o66mI","00:00:29","00:00:30","- [Producer] Check your phone,","phone"
"hsnM6-o66mI","00:00:31","00:00:33","you might've just received a special message.","you might have just received a special message"
"hsnM6-o66mI","00:00:34","00:00:34","",""
"hsnM6-o66mI","00:00:35","00:00:35","- It's Eugene.","it's eugene"
"hsnM6-o66mI","00:00:36","00:00:39","- Hi Rie, it's me Eugene, and my pup Kimbop.","hi rea it's me eugene and my pup kim bob"
"hsnM6-o66mI","00:00:40","00:00:40","- Ah, Kimbop.","as you"
"hsnM6-o66mI","00:00:40","00:00:41","- As you may know, many of our viewers have noticed","may know many of our viewers"
"hsnM6-o66mI","00:00:42","00:00:44","that we have something very special in common,","have noticed that we have something very special in common"
"hsnM6-o66mI","00:00:45","00:00:47","and no it's not that we're both amasian.","and no it's not that we're both amazing it's"
"hsnM6-o66mI","00:00:47","00:00:48","(Rie laughing)","that"
"hsnM6-o66mI","00:00:49","00:00:49","It's that whenever we cook","whenever we cook"
"hsnM6-o66mI","00:00:50","00:00:52","we have been known to add maybe a tiny,","we have been known to add maybe a tiny known to add maybe a tiny"
"hsnM6-o66mI","00:00:53","00:00:55","eensy bit of alcohol, because we have excellent taste.","empty bit of alcohol because we have excellent taste"
"hsnM6-o66mI","00:00:55","00:00:58","So, naturally I am a big fan of what you do.","so naturally i am a big fan of what"
"hsnM6-o66mI","00:00:59","00:01:02","But there's one thing that you haven't made fancy yet","do but there is one thing that you haven't made fancy yet that i'm"
"hsnM6-o66mI","00:01:02","00:01:03","that I'm dying to see.","dying to see i used to love"
"hsnM6-o66mI","00:01:03","00:01:05","I used to love Pop-Tarts as a kid","pop-tarts as a kid and"
"hsnM6-o66mI","00:01:05","00:01:07","and now as an adult, I dunno,","now as an adult i don't know there's just something"
"hsnM6-o66mI","00:01:08","00:01:09","there's just something missing.","missing so"
"hsnM6-o66mI","00:01:09","00:01:11","So I have a challenge for you.","i have a challenge for you i"
