"video_id","min_timecode","max_timecode","text.user","text.auto"
"hxL9SWeGe8A","00:00:00","00:00:02","(upbeat music)","[Music]"
"hxL9SWeGe8A","00:00:02","00:00:08","","wake"
"hxL9SWeGe8A","00:00:09","00:00:10","- Wake the (beeps) up, samurai.","the [ __ ] up samurai"
"hxL9SWeGe8A","00:00:11","00:00:13","Welcome to Night City, the craziest city in the world.","welcome to night city the craziest city in the world"
"hxL9SWeGe8A","00:00:14","00:00:15","","[Music]"
"hxL9SWeGe8A","00:00:16","00:00:16","- Who's that guy?","who's that guy"
"hxL9SWeGe8A","00:00:16","00:00:19","","out of my way"
"hxL9SWeGe8A","00:00:19","00:00:20","- Out of my way.","you got the goods"
"hxL9SWeGe8A","00:00:22","00:00:22","","everyone"
"hxL9SWeGe8A","00:00:22","00:00:23","- Everyone does that here.","does that here"
"hxL9SWeGe8A","00:00:24","00:00:27","Like I said, it's pretty crazy.","like i said it's pretty crazy like i said pretty"
"hxL9SWeGe8A","00:00:28","00:00:29","(computer squealing)","crazy"
"hxL9SWeGe8A","00:00:30","00:00:32","(upbeat music)","[Music]"
"hxL9SWeGe8A","00:00:32","00:00:33","",""
"hxL9SWeGe8A","00:00:34","00:00:35","(rocks pounding)","this is fun"
"hxL9SWeGe8A","00:00:35","00:00:37","- This is fun. - Yeah.","hey"
"hxL9SWeGe8A","00:00:37","00:00:39","- Hey, what are you guys doing?","what are you guys doing"
"hxL9SWeGe8A","00:00:40","00:00:40","- We're having a blast.","we're having a"
"hxL9SWeGe8A","00:00:41","00:00:43","","blast"
"hxL9SWeGe8A","00:00:46","00:00:47","",""
"hxL9SWeGe8A","00:00:47","00:00:49","(upbeat music)","[Music]"
"hxL9SWeGe8A","00:00:50","00:00:52","","okay guys"
"hxL9SWeGe8A","00:00:52","00:00:53","- Okay guys, team meeting.","team meeting"
"hxL9SWeGe8A","00:00:54","00:00:55","Everybody get up.","everybody get up i'll go grab christopher"
"hxL9SWeGe8A","00:00:56","00:00:57","- Oh see, no, no, no, no, that's the thing.","oh see no no that's the thing"
"hxL9SWeGe8A","00:00:58","00:00:59","I just found his dead body in the study.","i just found his dead body in the study what"
"hxL9SWeGe8A","00:00:59","00:01:00","- What?","we"
"hxL9SWeGe8A","00:01:01","00:01:01","- We need to call 911!","didn't call that what no"
"hxL9SWeGe8A","00:01:01","00:01:02","- No, no, no.","no see what i think"
"hxL9SWeGe8A","00:01:02","00:01:03","See what I think we should do","we should do"
"hxL9SWeGe8A","00:01:04","00:01:05","is figure out who we think killed him","is figure out who we think killed him and then kicked"
"hxL9SWeGe8A","00:01:05","00:01:06","and then kick them out of the apartment.","him out of the apartment"
"hxL9SWeGe8A","00:01:07","00:01:09","- What, just let the killer leave, you're crazy!","what just let the killer leave you're crazy what just let the killer leave you're crazy"
"hxL9SWeGe8A","00:01:10","00:01:11","- Hm, that sounds like something a killer would say.","that sounds like something a killer would say"
"hxL9SWeGe8A","00:01:12","00:01:13","- No, what?","no what i vote sandy"
"hxL9SWeGe8A","00:01:13","00:01:14","- I vote Sandy.","i'd vote"
"hxL9SWeGe8A","00:01:14","00:01:16","- I vote Sandy too.","sandy too damn it"
"hxL9SWeGe8A","00:01:17","00:01:17","",""
"hxL9SWeGe8A","00:01:18","00:01:19","Whoa! (glass shattering)","whoa"
"hxL9SWeGe8A","00:01:20","00:01:22","- Well, glad that's settled.","oh glad that's settled anyways let's get back"
"hxL9SWeGe8A","00:01:22","00:01:23","Anyways, let's get back to doing our chores.","to doing our chores what do you"
"hxL9SWeGe8A","00:01:23","00:01:24","What do you have left?","have left uh"
"hxL9SWeGe8A","00:01:25","00:01:27","- Uh, washing the fireplace.","washing the uh fireplace"
"hxL9SWeGe8A","00:01:28","00:01:29","- Makes total sense. - Yeah.","makes total sense see you later"
"hxL9SWeGe8A","00:01:29","00:01:31","- See you later. - All right.","all"
"hxL9SWeGe8A","00:01:37","00:01:37","",""
"hxL9SWeGe8A","00:01:38","00:01:41","- Oh oh, uh oh, I'm lost in a spooky castle.","right i'm lost in a spooky"
"hxL9SWeGe8A","00:01:41","00:01:43","","castle i sure"
"hxL9SWeGe8A","00:01:43","00:01:45","I sure hope no nine foot six tall","hope no nine foot six tall vampire"
"hxL9SWeGe8A","00:01:46","00:01:48","vampire lady comes and pegs me.","lady comes and pegs me oh"
"hxL9SWeGe8A","00:01:49","00:01:51","Ooh, that'd be so bad and so evil.","they'd be so bad and so evil i"
"hxL9SWeGe8A","00:01:52","00:01:53","I would hate that.","would hate that oh i'd hate"
"hxL9SWeGe8A","00:01:53","00:01:57","Oh, I'd hate getting pegged by a tall vampire queen.","getting pegged by a tall vampire"
"hxL9SWeGe8A","00:01:58","00:01:58","",""
"hxL9SWeGe8A","00:02:03","00:02:03","",""
"hxL9SWeGe8A","00:02:07","00:02:08","","queen you"
"hxL9SWeGe8A","00:02:09","00:02:10","- You must be the man sent to kill me.","must be the man sent to kill me"
"hxL9SWeGe8A","00:02:11","00:02:13","- How could you see through my disguise?","how could you see through my disguise i"
"hxL9SWeGe8A","00:02:13","00:02:15","- I, are you serious?","are you serious we don't even"
"hxL9SWeGe8A","00:02:16","00:02:17","We don't even have a kitchen in this building.","have a kitchen in this building did you get that outfit"
"hxL9SWeGe8A","00:02:17","00:02:18","Did you get that outfit at Party City?","at party city whatever"
"hxL9SWeGe8A","00:02:19","00:02:19","- Whatever.","that outfit at party city whatever"
"hxL9SWeGe8A","00:02:20","00:02:20","Time to die.","time to"
"hxL9SWeGe8A","00:02:21","00:02:22","","die"
"hxL9SWeGe8A","00:02:23","00:02:24","- Ah, is that a muffin?","ah is that a muffin"
"hxL9SWeGe8A","00:02:25","00:02:25","What the hell, man?","what the hell man"
"hxL9SWeGe8A","00:02:26","00:02:26","Is that a hammer?","is that a hammer"
"hxL9SWeGe8A","00:02:27","00:02:28","Don't, do not throw the hammer.","don't do not throw the hammer"
"hxL9SWeGe8A","00:02:29","00:02:30","That might actually hurt me.","that might actually hurt me"
"hxL9SWeGe8A","00:02:31","00:02:31","Dodged it.","dodged it suck"
"hxL9SWeGe8A","00:02:31","00:02:32","Suck it.","it chef"
"hxL9SWeGe8A","00:02:32","00:02:34","Chef misspelled.","misspelled that's that's"
"hxL9SWeGe8A","00:02:34","00:02:35","That's a gold brick!","a gold brick"
"hxL9SWeGe8A","00:02:36","00:02:37","Hey, what, is that a milk jar?","is that a milk jar is that"
"hxL9SWeGe8A","00:02:37","00:02:38","Is that an old milk jar?","an old milk jar"
"hxL9SWeGe8A","00:02:39","00:02:40","Why do you have an old milk?","why do you have an old milk"
"hxL9SWeGe8A","00:02:40","00:02:41","What are you, why are you drinking it?","why are you drinking it are you"
"hxL9SWeGe8A","00:02:42","00:02:43","Are you Link?","link oh"
"hxL9SWeGe8A","00:02:43","00:02:44","Oh, you're healed now.","you're healed now that's"
"hxL9SWeGe8A","00:02:45","00:02:46","",""
"hxL9SWeGe8A","00:02:48","00:02:50","(upbeat music)","not"
"hxL9SWeGe8A","00:02:50","00:02:51","","welcome"
"hxL9SWeGe8A","00:02:51","00:02:53","- Welcome to Pelican Town.","to pelican town i"
"hxL9SWeGe8A","00:02:54","00:02:54","I think you'll find that life","think you'll find that life"
"hxL9SWeGe8A","00:02:55","00:02:57","is a little slower paced and happier here.","is a little slower paced and happier here"
"hxL9SWeGe8A","00:02:58","00:03:01","- There's no crime, no capitalism, and no cops.","there's no crime no capitalism and no cops everyone"
"hxL9SWeGe8A","00:03:02","00:03:03","- Everyone helps each other out.","helps each other out"
"hxL9SWeGe8A","00:03:03","00:03:05","- This is a cult, right?","this is a cult right it is a cult"
"hxL9SWeGe8A","00:03:05","00:03:06","- It is a cult, yes.","yes"
"hxL9SWeGe8A","00:03:07","00:03:08","- That is correct.","that is correct sacrifices"
"hxL9SWeGe8A","00:03:08","00:03:09","- Sacrifices are held on Thursdays.","are held on"
"hxL9SWeGe8A","00:03:10","00:03:11","",""
"hxL9SWeGe8A","00:03:14","00:03:15","",""
"hxL9SWeGe8A","00:03:15","00:03:18","(women grunting)","thursdays wait a minute"
