"video_id","min_timecode","max_timecode","text.user","text.auto"
"i9AWA2Q-BA4","00:00:00","00:00:01","They really are wild","they really are wild oh you know it"
"i9AWA2Q-BA4","00:00:02","00:00:03","it was on pause straight white teen tiktok is","was unplugged straight white teen tick"
"i9AWA2Q-BA4","00:00:03","00:00:04","the only problem with me being","tock is one of the problems with me"
"i9AWA2Q-BA4","00:00:05","00:00:05","the sound tech","being the sound type is that i constantly"
"i9AWA2Q-BA4","00:00:06","00:00:06","is that I constantly","am"
"i9AWA2Q-BA4","00:00:07","00:00:07","am messing this up","messing this up"
"i9AWA2Q-BA4","00:00:08","00:00:09","alright so","all right so that's camera"
"i9AWA2Q-BA4","00:00:10","00:00:10","that's camera two","one that's camera two"
"i9AWA2Q-BA4","00:00:11","00:00:12","and then this little go pro's right here","and then this little gopros right here"
"i9AWA2Q-BA4","00:00:12","00:00:14","oh my god you're like","oh my god you're like"
"i9AWA2Q-BA4","00:00:15","00:00:15","professional","professional"
"i9AWA2Q-BA4","00:00:15","00:00:16","and then i'm excited for you","and then i'm excited for you"
"i9AWA2Q-BA4","00:00:17","00:00:17","because you get to do this","because you get to do this"
"i9AWA2Q-BA4","00:00:18","00:00:19","oh yeah i get to clap","oh yeah i did get to clap"
"i9AWA2Q-BA4","00:00:19","00:00:20","yes","yes trixie and"
"i9AWA2Q-BA4","00:00:21","00:00:21","Trixie and Iggy","iggy"
"i9AWA2Q-BA4","00:00:21","00:00:23","being the best ever","being the best ever take"
"i9AWA2Q-BA4","00:00:24","00:00:24","because","zero because we're living"
"i9AWA2Q-BA4","00:00:25","00:00:34","we're only doing this once b*tch","this one this is iggy"
"i9AWA2Q-BA4","00:00:35","00:00:35","*intro music*","she's"
"i9AWA2Q-BA4","00:00:35","00:00:36","this is iggy","here if the audio of the"
"i9AWA2Q-BA4","00:00:36","00:00:37","she's here","video cuts out just remember"
"i9AWA2Q-BA4","00:00:38","00:00:38","if the audio or the video cuts out","that this actually"
"i9AWA2Q-BA4","00:00:38","00:00:39","just remember that this actually happened","happens it did we're"
"i9AWA2Q-BA4","00:00:39","00:00:40","it did","going to be getting in drag today both"
"i9AWA2Q-BA4","00:00:41","00:00:41","we're gonna be getting in drag today","of us"
"i9AWA2Q-BA4","00:00:41","00:00:42","both of us","yes i enticed"
"i9AWA2Q-BA4","00:00:42","00:00:43","yes","you with some ideas but you"
"i9AWA2Q-BA4","00:00:44","00:00:44","i enticed you with some ideas","were pretty dead set"
"i9AWA2Q-BA4","00:00:44","00:00:45","but you were pretty dead set on like","on like i was dead"
"i9AWA2Q-BA4","00:00:45","00:00:46","i was dead set that i","set that i"
"i9AWA2Q-BA4","00:00:47","00:00:48","needed to be you","needed to be you because"
"i9AWA2Q-BA4","00:00:48","00:00:49","because i always say that","i always say that i you"
"i9AWA2Q-BA4","00:00:50","00:00:50","you know i'm your daughter","know i'm your daughter"
"i9AWA2Q-BA4","00:00:51","00:00:52","even though you won't sign the","even though you won't sign the adoption papers"
"i9AWA2Q-BA4","00:00:53","00:00:53","well my australian accent","well my australian"
"i9AWA2Q-BA4","00:00:54","00:00:55","is also so unclockable","accent is also so unclockable that people really think"
"i9AWA2Q-BA4","00:00:56","00:00:56","it is","that it is"
"i9AWA2Q-BA4","00:00:57","00:00:58","absolutley","absolutely thank you for coming on"
"i9AWA2Q-BA4","00:00:58","00:01:00","thank you for coming on the channel","the channel"
"i9AWA2Q-BA4","00:01:01","00:01:01","you're welcome","you're welcome"
"i9AWA2Q-BA4","00:01:02","00:01:03","do you have to glue your eyebrows","do you have to clear your eyebrows"
"i9AWA2Q-BA4","00:01:04","00:01:04","do i you tell me","do i you tell me"
"i9AWA2Q-BA4","00:01:05","00:01:06","i mean i barely have any","i mean i barely have any but"
"i9AWA2Q-BA4","00:01:07","00:01:07","but maybe","maybe well let's"
"i9AWA2Q-BA4","00:01:08","00:01:08","well lets glue the brows down","glue the brows"
"i9AWA2Q-BA4","00:01:09","00:01:10","and we'll be right back","down and we'll be right back"
"i9AWA2Q-BA4","00:01:11","00:01:12","cuz people usually dont like","people usually don't like so"
"i9AWA2Q-BA4","00:01:13","00:01:13","to watch us glue our eyebrows down","much just glue the eyebrows on because"
"i9AWA2Q-BA4","00:01:14","00:01:14","cuz it takes so long","it takes so it takes"
"i9AWA2Q-BA4","00:01:14","00:01:15","it takes a long time","a long time yeah"
"i9AWA2Q-BA4","00:01:16","00:01:16","do you have a gluestick?","do you have a glue"
"i9AWA2Q-BA4","00:01:17","00:01:17","no","stick no"
"i9AWA2Q-BA4","00:01:18","00:01:18","i didn't know i needed one","we didn't bring"
"i9AWA2Q-BA4","00:01:19","00:01:19","you know what we are gonna film this","anything i didn't"
"i9AWA2Q-BA4","00:01:20","00:01:22","because i sense that there's","know i needed one bring anything i didn't know i needed one you know what we are going to film this because i've sensed"
"i9AWA2Q-BA4","00:01:22","00:01:23","going to be some struggle","that there's going to be some struggle"
"i9AWA2Q-BA4","00:01:24","00:01:25","all all our best videos","all to be some struggle all"
"i9AWA2Q-BA4","00:01:25","00:01:27","videos are like me getting in","me getting a drag using"
"i9AWA2Q-BA4","00:01:27","00:01:28","drag using dog sh*t and a bucket","dogs"
"i9AWA2Q-BA4","00:01:29","00:01:30","like thats what they want","in a bucket like that's what they want mine's like iggy"
"i9AWA2Q-BA4","00:01:30","00:01:32","mine's like iggy falling off stage","falling off stage yeah"
"i9AWA2Q-BA4","00:01:33","00:01:34","wait have you fallen off stage many times?","wait have you fallen off stage many times"
"i9AWA2Q-BA4","00:01:34","00:01:35","enough to make a montage","enough to make a montage"
"i9AWA2Q-BA4","00:01:36","00:01:37","by the way thank you for","by the way thank you for taking"
"i9AWA2Q-BA4","00:01:37","00:01:38","taking off your eyebrows","off your brows and being vulnerable"
"i9AWA2Q-BA4","00:01:39","00:01:39","and being vulnerable on my channel","on my channel you're welcome"
"i9AWA2Q-BA4","00:01:40","00:01:40","you're welcome","i"
"i9AWA2Q-BA4","00:01:40","00:01:41","i had no i told you","had no i told you my"
"i9AWA2Q-BA4","00:01:42","00:01:43","my baby was born without eyebrows","baby was born without eyebrows i had to wait"
"i9AWA2Q-BA4","00:01:44","00:01:45","i was waiting for months","for them to grow i was waiting for"
"i9AWA2Q-BA4","00:01:46","00:01:46","if my baby had-","months if my baby had"
"i9AWA2Q-BA4","00:01:47","00:01:49","i didn't know if he was happy or sad","i didn't didn't know if he was happy or sad"
"i9AWA2Q-BA4","00:01:49","00:01:50","i couldn't tell if he liked me","i couldn't tell if he liked me"
"i9AWA2Q-BA4","00:01:51","00:01:51","until recently","until recently now i'm"
"i9AWA2Q-BA4","00:01:52","00:01:53","now i'm sure of his emotions","sure of his emotions"
"i9AWA2Q-BA4","00:01:54","00:01:54","one grew in","one grew in and now he looks really"
"i9AWA2Q-BA4","00:01:54","00:01:55","and now he looks really suspicious","suspicious that"
"i9AWA2Q-BA4","00:01:55","00:01:56","that you're not his mom","you're not his mom"
"i9AWA2Q-BA4","00:01:57","00:01:57","you're one of my most famous friends","you're one of my most famous friends"
"i9AWA2Q-BA4","00:01:58","00:02:01","so people ask about you all the time","so people ask like all the time and they"
"i9AWA2Q-BA4","00:02:01","00:02:02","and they said","said what was it like working"
"i9AWA2Q-BA4","00:02:03","00:02:03","what's it like working with her","with you you're my only friend"
"i9AWA2Q-BA4","00:02:04","00:02:06","so i'm your most famous friend too great","so i'm your most famous friend too great yeah like uh"
"i9AWA2Q-BA4","00:02:07","00:02:07","like she's one of the only artists","she's one of the only"
"i9AWA2Q-BA4","00:02:08","00:02:09","i've worked with where when i","artists i've worked with where when i walked on set i was in"
"i9AWA2Q-BA4","00:02:09","00:02:10","walked on set i was in drag","drag and you basically"
"i9AWA2Q-BA4","00:02:10","00:02:11","and you basically went","went there's a drag queen"
"i9AWA2Q-BA4","00:02:12","00:02:12","there's a drag queen on set","on set"
"i9AWA2Q-BA4","00:02:13","00:02:13","she's in pain","she's in pain"
"i9AWA2Q-BA4","00:02:13","00:02:15","we're gonna get her shot so she can leave","we're going to get her shot so she can leave it"
"i9AWA2Q-BA4","00:02:15","00:02:16","cuz i just know","takes a woman"
"i9AWA2Q-BA4","00:02:17","00:02:18","it takes a woman in a wig","a woman in a wig can say that i"
"i9AWA2Q-BA4","00:02:18","00:02:19","a woman in a wig can say that","know"
"i9AWA2Q-BA4","00:02:20","00:02:21","by the way, quarantine has made me weirder","by the way quarantine is maybe even weirder well i still need"
"i9AWA2Q-BA4","00:02:21","00:02:23","well i started my tiktok in quarantine","my tick tock in quarantines and"
"i9AWA2Q-BA4","00:02:23","00:02:24","so that's gone","that's gone"
"i9AWA2Q-BA4","00:02:25","00:02:27","really far left quickly","really far left quickly"
"i9AWA2Q-BA4","00:02:27","00:02:29","it's not smooth enough","it's not smooth enough no no don't look"
"i9AWA2Q-BA4","00:02:30","00:02:31","i take it back","i take it back smooth enough no no don't look i take it back can"
"i9AWA2Q-BA4","00:02:32","00:02:33","can i ask a real quick on-the-spot question?","i ask a real quick on the spot question"
"i9AWA2Q-BA4","00:02:33","00:02:34","who's your favorite spice girl?","what's your favorite spice girl"
"i9AWA2Q-BA4","00:02:35","00:02:35","well","well i"
"i9AWA2Q-BA4","00:02:37","00:02:38","listen this is a two part answer","listen if this is a two-part answer okay"
"i9AWA2Q-BA4","00:02:39","00:02:39","this is a two part video","this is a two-part"
"i9AWA2Q-BA4","00:02:40","00:02:41","no more makeup, we're just gonna","video no more makeup we're just going to talk about"
"i9AWA2Q-BA4","00:02:41","00:02:42","talk about he spice girls","it"
"i9AWA2Q-BA4","00:02:43","00:02:45","i love scary spice and","i love scary spice and"
"i9AWA2Q-BA4","00:02:45","00:02:47","i made my grandma buy","i made my grandma buy yards of"
"i9AWA2Q-BA4","00:02:47","00:02:48","yards of leopard skin velvet","leopard skin velvet"
"i9AWA2Q-BA4","00:02:49","00:02:52","to make me scary spice dresses","to make me scary spice dresses when i and"
"i9AWA2Q-BA4","00:02:52","00:02:53","and i wore them to school","i wore them"
"i9AWA2Q-BA4","00:02:54","00:02:55","everywhere","to school everywhere no you didn't yeah"
"i9AWA2Q-BA4","00:02:56","00:02:56","yeah, i did","i did a"
"i9AWA2Q-BA4","00:02:57","00:02:58","a gown? a leopard print gown to school?","gown a leopard print gown along to the floor"
"i9AWA2Q-BA4","00:02:59","00:03:02","i used to wear the blue chinese silk gowns","i used to wear the blue chinese floor i used to wear the blue chinese silk gowns with platforms"
"i9AWA2Q-BA4","00:03:03","00:03:04","fully booked","fully booked fully bullied"
"i9AWA2Q-BA4","00:03:05","00:03:06","i read that on your wikipedia","i read that on your wikipedia"
