"video_id","min_timecode","max_timecode","text.user","text.auto"
"ipKa7zzdtjw","00:00:00","00:00:13","","five thousand days in hardcore minecraft is a very long time i've survived in this one world for well over 1650 hours we've done some absolutely crazy things during that time"
"ipKa7zzdtjw","00:00:14","00:00:19","This video tells the story of the biggest project yet in this entire series.","this video tells the story of the biggest project yet in this entire series we"
"ipKa7zzdtjw","00:00:20","00:00:28","We call it the Nether Hub.","call it the netherhub [Music]"
"ipKa7zzdtjw","00:00:28","00:00:33","By the end of the video we will have built up a giant fortress on top of the Nether roof,","by the end of the video we will have built up a giant fortress on top of the nether roof but our story"
"ipKa7zzdtjw","00:00:33","00:00:36","but our story starts a little before 4000 days as we were","starts a little before 4 000 days as we were"
"ipKa7zzdtjw","00:00:37","00:00:39","finishing up the project in the End.","finishing up the project in the end it"
"ipKa7zzdtjw","00:00:40","00:00:46","It was around day 3750 when we completed the toughest project yet in this Hardcore series.","was around day 3750 when we completed the toughest project yet in this hardcore series after"
"ipKa7zzdtjw","00:00:46","00:00:48","After removing the End Island we had built up the","removing the end island we had built"
"ipKa7zzdtjw","00:00:49","00:00:53","End Statue, a giant build inspired on my Minecraft skin.","up the ant statue a giant build inspired on my minecraft skin and that"
"ipKa7zzdtjw","00:00:54","00:00:59","That meant that we had done projects in all dimensions now to mark them as our own.","meant that we had done projects in all dimensions now to mark them as our own"
"ipKa7zzdtjw","00:01:00","00:01:03","After our first house we built up the Heart of the Sea in the overworld that functions","after our first house we built up the heart of the sea and the overworld that functions as our"
"ipKa7zzdtjw","00:01:03","00:01:06","as our main base, storage facility and industrial area with","main base storage facility and industrial area"
"ipKa7zzdtjw","00:01:07","00:01:09","the collection of farms hidden under the build.","with the collection of farms hidden under the build"
"ipKa7zzdtjw","00:01:10","00:01:14","The Fortress Farm in the Nether provides us with all the fuel we need as well as wither","the fortress farm in nether provides us with all the fuel we need as well as with our"
"ipKa7zzdtjw","00:01:15","00:01:17","skulls for beacons and bones for white dye and bone meal.","skulls for beacons and bones for white dye and bone"
"ipKa7zzdtjw","00:01:18","00:01:22","We made a start to Loonyville, the city that spells out the name of the hardcore series.","meal we made a start to looneyville a city that spells out the name of the hardcore series that spells out the name of the hardcore series"
"ipKa7zzdtjw","00:01:23","00:01:24","Located very close to the Heart of the Sea.","located very close to the heart of the sea"
"ipKa7zzdtjw","00:01:25","00:01:29","And after we transformed the Stronghold portal room we had completed the End Statue.","and after we transformed the stronghold portal room we have completed the end statue"
"ipKa7zzdtjw","00:01:30","00:01:32","But all of that is history.","but all of that is history let's"
"ipKa7zzdtjw","00:01:33","00:01:36","Let’s get into the actual story because there is a reason why we did the Stronghold","get into the actual story because there is a reason why we"
"ipKa7zzdtjw","00:01:37","00:01:39","portal room before the big end project.","did the stronghold portal room before the big end"
"ipKa7zzdtjw","00:01:40","00:01:43","We came through this one specific room all the time while we","project we came through this one specific room all the time while we traveled"
"ipKa7zzdtjw","00:01:44","00:01:48","traveled back and forth between The Heart of the Sea to pick up materials and the location","back and forth between the heart of the sea to pick up materials and a location"
"ipKa7zzdtjw","00:01:49","00:01:51","formerly known as the End Island to work on the project","formerly known as the end island to work on the project"
"ipKa7zzdtjw","00:01:52","00:01:52","there.","there"
"ipKa7zzdtjw","00:01:53","00:01:58","I hated going through that room that didn’t have a story to tell, so we built the portal","i hated going through that room that didn't have a story to tell so we built a portal into a giant"
"ipKa7zzdtjw","00:01:58","00:02:01","into a giant end stone and chorus fruit tree in a large room","endstone and coarse fruit tree in a large room supported"
"ipKa7zzdtjw","00:02:02","00:02:05","supported by four pillars filled with endermen.","by four pillars filled with enderman that transformation"
"ipKa7zzdtjw","00:02:05","00:02:07","That transformation was such an upgrade.","was such an upgrade"
"ipKa7zzdtjw","00:02:08","00:02:11","For the entire time that we worked on the End Statue I really","for the entire time that we worked on the n statue i really enjoyed"
"ipKa7zzdtjw","00:02:12","00:02:13","enjoyed going through that portal room.","going through that portal room"
"ipKa7zzdtjw","00:02:14","00:02:18","The plan had always been to complete the End Statue and then head back to Loonyville to","the plan had always been to complete the end statue and then head back to looneyville"
"ipKa7zzdtjw","00:02:19","00:02:20","continue building up the city.","to continue building up the city"
"ipKa7zzdtjw","00:02:21","00:02:24","After the end project was completed, I realized that there was another place like","after the end project was completed i realized that there was another place"
"ipKa7zzdtjw","00:02:25","00:02:26","the Stronghold portal room in the world.","like the stronghold portal room in the"
"ipKa7zzdtjw","00:02:27","00:02:30","A place we travelled through on almost every single stream.","world a place we traveled through on almost every single"
"ipKa7zzdtjw","00:02:31","00:02:37","And to be honest this one was way worse than the portal room had been before we gave it","stream and to be honest this one was way worse than the portal room had been before we gave it a makeover"
"ipKa7zzdtjw","00:02:37","00:02:38","a makeover.","i'm"
"ipKa7zzdtjw","00:02:38","00:02:41","I’m talking about the Nether roof of course.","talking about the method roof of course"
"ipKa7zzdtjw","00:02:41","00:02:43","Scattered on the bedrock that divides the lower Nether and","scattered on the bedrock that divides the lower nether"
"ipKa7zzdtjw","00:02:44","00:02:48","the open space above it, I had built Nether portals to take us to different parts of the","and the open space above it i built nether portals to take us to different parts of the"
"ipKa7zzdtjw","00:02:49","00:02:49","world.","world flying from"
"ipKa7zzdtjw","00:02:50","00:02:51","Flying from one portal to another with my elytra was a","one portal to another with my electro"
"ipKa7zzdtjw","00:02:52","00:02:54","very effective way to travel around and it had been","was a very effective way to travel around and it had been enjoyable"
"ipKa7zzdtjw","00:02:54","00:02:58","enjoyable for a while too, but now something felt off.","for a while too but now something felt off"
"ipKa7zzdtjw","00:02:59","00:03:01","As the world had started to mature I had all these","as the world had started to mature i had all"
"ipKa7zzdtjw","00:03:02","00:03:06","cool places to visit in my world, but they all felt so disconnected.","these cool places to visit in my world but they all felt so disconnected after the"
"ipKa7zzdtjw","00:03:07","00:03:10","After the last block of the End Statue had been placed I decided to put Loonyville on","block of the end statue had been placed i decided to put looney"
