"video_id","min_timecode","max_timecode","text.user","text.auto"
"iwMqsKDTdQ0","00:00:00","00:00:01","","[Music]"
"iwMqsKDTdQ0","00:00:02","00:00:04","okay just a couple minutes until michael's on","okay just a couple minutes until michael's on"
"iwMqsKDTdQ0","00:00:05","00:00:05","i'm kind of nervous for him","i'm kind of nervous bro"
"iwMqsKDTdQ0","00:00:06","00:00:06","",""
"iwMqsKDTdQ0","00:00:07","00:00:08","this is high heat kitchen","this is high heat kitchen"
"iwMqsKDTdQ0","00:00:09","00:00:12","where the only thing's hotter than the stoves are the temperatures","where the only thing's hotter than the stoves are the temperatures"
"iwMqsKDTdQ0","00:00:13","00:00:15","under our chef's collar","under our chef's car"
"iwMqsKDTdQ0","00:00:16","00:00:21","",""
"iwMqsKDTdQ0","00:00:22","00:00:25","as always each contestant will prepare a meal","as always each contestant will prepare a meal in"
"iwMqsKDTdQ0","00:00:25","00:00:27","in three stages...","three stages appetizer"
"iwMqsKDTdQ0","00:00:28","00:00:30","appetizer entree and dessert.","entree and dessert"
"iwMqsKDTdQ0","00:00:31","00:00:31","",""
"iwMqsKDTdQ0","00:00:32","00:00:33","at at each stage head chef","at each stage head chef"
"iwMqsKDTdQ0","00:00:33","00:00:36","bruno will offer his feedback chef bruno","bruno will offer his feedback"
"iwMqsKDTdQ0","00:00:36","00:00:36","",""
"iwMqsKDTdQ0","00:00:37","00:00:40","Chef Bruno! I'm a big fan.","chef bruno i'm a big fan [Applause]"
"iwMqsKDTdQ0","00:00:41","00:00:41","","all right"
"iwMqsKDTdQ0","00:00:41","00:00:44","all right contestants your first task is to","contestants your first task is to"
"iwMqsKDTdQ0","00:00:45","00:00:48","imitate chef bruno's canapes.","imitate chef bruno's canopies"
"iwMqsKDTdQ0","00:00:48","00:00:50","And off you go!","and off you go"
"iwMqsKDTdQ0","00:00:51","00:00:51","",""
"iwMqsKDTdQ0","00:00:52","00:00:55","Looks like the cat got his own tongue here.","looks like the cat got his own tongue"
"iwMqsKDTdQ0","00:00:56","00:01:01","","here"
"iwMqsKDTdQ0","00:01:02","00:01:05","Well, I'm not worried about it. Michaels good with unique flavors.","well i'm not worried about it michael's good with unique"
"iwMqsKDTdQ0","00:01:06","00:01:10","",""
"iwMqsKDTdQ0","00:01:11","00:01:12","Raw Fish?","raw flavors that"
"iwMqsKDTdQ0","00:01:13","00:01:14","That goes well with watermelon.","goes well with buttermilk time for"
"iwMqsKDTdQ0","00:01:14","00:01:20","Time for our contestants to wrap up so chef bruno can appraise thier canopes.","our contestants to wrap up so chef bruno can appraise the canopy and"
"iwMqsKDTdQ0","00:01:20","00:01:23","and chef teddy's up first","chef teddy's up"
"iwMqsKDTdQ0","00:01:23","00:01:24","",""
"iwMqsKDTdQ0","00:01:25","00:01:27","Chef Teddy is out first.","first"
"iwMqsKDTdQ0","00:01:28","00:01:28","","can chef"
"iwMqsKDTdQ0","00:01:28","00:01:31","Can chef michael make an impression?","michael make an impression"
"iwMqsKDTdQ0","00:01:32","00:01:34","","[Music]"
"iwMqsKDTdQ0","00:01:34","00:01:37","He can but it's a bad one.","he can but it's a bad one"
"iwMqsKDTdQ0","00:01:37","00:01:38","","i'm"
"iwMqsKDTdQ0","00:01:39","00:01:40","On to chef werner.","the chef werner"
"iwMqsKDTdQ0","00:01:41","00:01:41","","this little"
"iwMqsKDTdQ0","00:01:42","00:01:43","This little piggywent to the market and...","piggy went to the market"
"iwMqsKDTdQ0","00:01:44","00:01:46","he was impressed with chef Warner's creation!","and he was impressed with chef juana's creation"
"iwMqsKDTdQ0","00:01:47","00:01:49","too bad for everyone else.","too bad for everyone"
"iwMqsKDTdQ0","00:01:49","00:01:52","",""
