"video_id","min_timecode","max_timecode","text.user","text.auto"
"jHYyW9YTd-s","00:00:00","00:00:05","",""
"jHYyW9YTd-s","00:00:06","00:00:06","Wow!","wow"
"jHYyW9YTd-s","00:00:07","00:00:07","Yeah.","yeah"
"jHYyW9YTd-s","00:00:08","00:00:08","Wow!!","wow"
"jHYyW9YTd-s","00:00:09","00:00:10","Yeah.","yeah who"
"jHYyW9YTd-s","00:00:10","00:00:13","Who knew adding two hours to a story could change so much!","knew adding two hours to a story could change so much"
"jHYyW9YTd-s","00:00:14","00:00:14","Right?","right cyborg"
"jHYyW9YTd-s","00:00:15","00:00:16","Cyborg has more depth!","has more depth flash can reverse"
"jHYyW9YTd-s","00:00:16","00:00:19","Flash can reverse time and isn't motorboating Wonder Woman","time and isn't motorboating wonder woman dude lex"
"jHYyW9YTd-s","00:00:19","00:00:20","Dude, Lex knows your real name!","knows your real name oh"
"jHYyW9YTd-s","00:00:20","00:00:22","Oh crap i totally forgot about that!","crap i totally forgot about that i know"
"jHYyW9YTd-s","00:00:23","00:00:23","How does he know my name?","how does he know my name"
"jHYyW9YTd-s","00:00:24","00:00:24","I don't know!","i don't know"
"jHYyW9YTd-s","00:00:25","00:00:25","Did you tell him?","did you tell him why would"
"jHYyW9YTd-s","00:00:25","00:00:26","Why would i tell Lex something like that?","i tell lex something like"
"jHYyW9YTd-s","00:00:27","00:00:27","I don't know!","that i don't know"
"jHYyW9YTd-s","00:00:28","00:00:29","So many new details!","so many new details diana killed"
"jHYyW9YTd-s","00:00:29","00:00:31","Diana killed a bunch of terrorists!","a bunch of terrorists sarah has an accent"
"jHYyW9YTd-s","00:00:31","00:00:32","Mera has an accent all of a sudden!","all of a sudden"
"jHYyW9YTd-s","00:00:33","00:00:33","I know!","i know"
"jHYyW9YTd-s","00:00:34","00:00:35","M y mother turned into Martian Manhunter!","my mother turned into martian manhunter mother"
"jHYyW9YTd-s","00:00:35","00:00:37","Mother Martha turned into Martha Manhunter?!","martha turned into martha manhunter"
"jHYyW9YTd-s","00:00:38","00:00:40","My mother Martha turned into the Martian Manhunter!","my mother martha turned into the martian manhunter"
"jHYyW9YTd-s","00:00:41","00:00:43","But mother Martha probably isn't actually the Martian Manhunter.","but mother martha probably isn't actually the martian manhunter no i think"
"jHYyW9YTd-s","00:00:44","00:00:46","No i think it was just Martian  Manhunter pretending to be my mother Martha","it was just martian manhunter pretending to be my mother martha manhunter pretending to be my mother martha"
"jHYyW9YTd-s","00:00:47","00:00:47","","this changes"
"jHYyW9YTd-s","00:00:47","00:00:48","This changes so much!","so much"
"jHYyW9YTd-s","00:00:49","00:00:49","I know!","i know so many"
"jHYyW9YTd-s","00:00:50","00:00:50","So many new seeds have been planted!","new seeds have been planted"
"jHYyW9YTd-s","00:00:51","00:00:51","Lois might be pregnant!","lois might"
"jHYyW9YTd-s","00:00:52","00:00:54","Uh huh! Wait. That's the detail you're focusing on?","be pregnant oh wait that's the detail you're focusing"
"jHYyW9YTd-s","00:00:55","00:00:57","Well you said seeds i thought that's what you meant.","on well you said seeds i thought that's what you meant i'm"
"jHYyW9YTd-s","00:00:58","00:01:00","I'm talking about the Darkseid seed!","talking about the dark side seed the dark seeds"
"jHYyW9YTd-s","00:01:01","00:01:01","the dark seeds.","aren't you"
"jHYyW9YTd-s","00:01:01","00:01:03","Aren't you even concerned about him?","even concerned about him you mean that"
"jHYyW9YTd-s","00:01:04","00:01:07","You mean that bald guy that was creeping on us through the portal with his grandma?","bald guy that was creeping on us through the portal with his grandma that guy took off like"
"jHYyW9YTd-s","00:01:07","00:01:08","that guy took off like a wuss","a wuss"
"jHYyW9YTd-s","00:01:08","00:01:09","why are you worried about him?","why are you worried about him"
"jHYyW9YTd-s","00:01:10","00:01:11","because i'm still having nightmares about him invading the planet!","because i'm still having nightmares about him invading"
"jHYyW9YTd-s","00:01:12","00:01:13","Dude, here we go with your  goofy dreams again","the planet dude here we go with your goofy dreams"
"jHYyW9YTd-s","00:01:14","00:01:15","These are serious dreams, Kal!","again these are serious dreams cal"
"jHYyW9YTd-s","00:01:16","00:01:16","They're more than just dreams","they're more than just dreams"
"jHYyW9YTd-s","00:01:17","00:01:18","They're prophecy","they're prophecy they're more than just dreams they're prophecy"
"jHYyW9YTd-s","00:01:19","00:01:19","Why do you think that?","why do you think that because"
"jHYyW9YTd-s","00:01:20","00:01:22","Because none of it has mattered up to this point!","none of it has mattered up to this point"
"jHYyW9YTd-s","00:01:23","00:01:26","That's like... 99% of  all people's dreams","that's like 99 of all people's dreams not these kind"
"jHYyW9YTd-s","00:01:26","00:01:27","Not these kind of dreams!","of dreams"
"jHYyW9YTd-s","00:01:28","00:01:29","These are BAT dreams.","these are bad dreams"
"jHYyW9YTd-s","00:01:29","00:01:30","Bat prophecy dreams.","bad prophecy"
"jHYyW9YTd-s","00:01:31","00:01:31","*sigh","dreams"
"jHYyW9YTd-s","00:01:32","00:01:33","mysterious dreams that feel so real","mysterious dreams that feel so real"
"jHYyW9YTd-s","00:01:34","00:01:36","it makes you obsessed to see the outcome","it makes you obsessed to see the outcome yeah"
"jHYyW9YTd-s","00:01:37","00:01:37","Almost as if...","almost as if"
"jHYyW9YTd-s","00:01:38","00:01:39","the dreams demand the outcome.","the dreams demand"
"jHYyW9YTd-s","00:01:40","00:01:40","uh-huh","the outcome uh-huh"
"jHYyW9YTd-s","00:01:41","00:01:44","Like how Darkseid is going to demand our planet when he gets here","like how darkseid is going to demand our planet when he gets here you are being so"
"jHYyW9YTd-s","00:01:44","00:01:45","you are being so paranoid","paranoid"
"jHYyW9YTd-s","00:01:46","00:01:48","Yes you are! Do you know why?","no i'm not yes you are do you know why because"
"jHYyW9YTd-s","00:01:49","00:01:50","Because you're about to reboot!","i'm a bad man because you're about to reboot"
"jHYyW9YTd-s","00:01:51","00:01:52","Yeah... because I'm THE Bat Man.","yeah because i'm the man"
"jHYyW9YTd-s","00:01:53","00:01:54","So if you're about to  be the Batman","so if you're about to be the batman"
"jHYyW9YTd-s","00:01:54","00:01:57","how can Darkseid even come here if your timeline is about to start over?","how can dark side even come here if your timeline is about to"
"jHYyW9YTd-s","00:01:58","00:01:59","because the  seeds have already been planted!","start over because the seeds have already been planted the"
"jHYyW9YTd-s","00:02:00","00:02:02","the angry voices aren't going to rest...","angry voices aren't going to rest until i fought"
"jHYyW9YTd-s","00:02:02","00:02:04","until I've fought through some  mad max wasteland...","through some mad max wasteland until i fought through some mad max wasteland"
"jHYyW9YTd-s","00:02:05","00:02:06","getting Flash to turn back time","getting flashed to turn back time"
"jHYyW9YTd-s","00:02:06","00:02:09","putting my nightmare story arc to rest!","putting my nightmare story arc to rest"
"jHYyW9YTd-s","00:02:09","00:02:09","",""
"jHYyW9YTd-s","00:02:10","00:02:14","Or we could just toss it up to bad dreams and call it a day and just move on with our lives.","or we could just toss it up to bad dreams and call it a day and just move on with our lives i'm putting on my"
"jHYyW9YTd-s","00:02:14","00:02:15","I'm putting on  my goggles, Kal!","goggles"
"jHYyW9YTd-s","00:02:16","00:02:18","See! It's destiny","cal see it's destiny"
"jHYyW9YTd-s","00:02:19","00:02:20","It's not me!","it's not me it's the"
"jHYyW9YTd-s","00:02:20","00:02:21","It's the planted seed!","planted seed"
"jHYyW9YTd-s","00:02:22","00:02:26","Aren't you compelled to know what  happens after i put on these goggles?","aren't you compelled to know what happens after i put on these goggles not really"
"jHYyW9YTd-s","00:02:27","00:02:27","Yes you are!","yes you"
"jHYyW9YTd-s","00:02:28","00:02:29","Don't lie!","are don't lie i'm a little curious"
"jHYyW9YTd-s","00:02:29","00:02:30","i'm a little curious at  this point","at this point you"
"jHYyW9YTd-s","00:02:30","00:02:32","You see?  It's too late!","see it's too late the world is gonna"
"jHYyW9YTd-s","00:02:32","00:02:33","The world is gonna end!","hit"
"jHYyW9YTd-s","00:02:33","00:02:38","After all these years, those two to three  dreams i had have finally come true!","after all these years those two to three dreams i had have finally come true we"
"jHYyW9YTd-s","00:02:39","00:02:41","We have to set Flash back in time now!","have to set flashback in time now who will"
"jHYyW9YTd-s","00:02:41","00:02:43","Who will be my best friend  now?!","be my best friend now"
"jHYyW9YTd-s","00:02:44","00:02:45","i'll be your best friend!","i'll be your best friend"
"jHYyW9YTd-s","00:02:46","00:02:47","ha ha haaaaa","oh"
"jHYyW9YTd-s","00:02:48","00:02:50","OH F#@% it's the Joker!","i'll be your best friend oh it's the joker oh and"
"jHYyW9YTd-s","00:02:50","00:02:51","oh and i cuss now!","i cussed now"
"jHYyW9YTd-s","00:02:51","00:02:53","I have to roll with this  Joker...","i have to roll with this joker"
"jHYyW9YTd-s","00:02:54","00:02:55","and i cuss now!","and i cuz now"
"jHYyW9YTd-s","00:02:56","00:02:58","What a crazy amount of new details!","what a crazy amount of new"
"jHYyW9YTd-s","00:02:59","00:03:23","","details"
