"video_id","min_timecode","max_timecode","text.user","text.auto"
"jUS3AKgwWtc","00:00:00","00:00:00","",""
"jUS3AKgwWtc","00:00:01","00:00:04","- Okay. So the only remaining stock part","okay so the only remaining stock part on the miata's"
"jUS3AKgwWtc","00:00:04","00:00:07","on the Miata's exhaust is the catalytic converter.","exhaust is the catalytic converter now catalytic"
"jUS3AKgwWtc","00:00:07","00:00:08","Now the catalytic converters are great for","converters are great"
"jUS3AKgwWtc","00:00:09","00:00:10","reducing unwanted emissions","for reducing unwanted"
"jUS3AKgwWtc","00:00:11","00:00:12","and burning off the toxic pollutants","emissions and burning off the toxic pollutants"
"jUS3AKgwWtc","00:00:11","00:00:13","and burning off the toxic pollutants","that come out of"
"jUS3AKgwWtc","00:00:14","00:00:15","And I can really honestly get down with that.","your exhaust and i can really honestly get down with that"
"jUS3AKgwWtc","00:00:14","00:00:16","And I can really honestly get down with that.","but in"
"jUS3AKgwWtc","00:00:16","00:00:17","But in the case of the Miata,","the case of the miata"
"jUS3AKgwWtc","00:00:18","00:00:20","I'm looking for unbridled horsepower.","i'm looking for unbridled horsepower and"
"jUS3AKgwWtc","00:00:21","00:00:21","And the catalytic converter","the catalytic converter"
"jUS3AKgwWtc","00:00:22","00:00:23","is kind of a restriction, or is it?","is kind of a restriction and the catalytic converter is kind of a restriction or"
"jUS3AKgwWtc","00:00:24","00:00:26","How much is it restricting my exhaust flow?","is it how much is it restricting my exhaust flow"
"jUS3AKgwWtc","00:00:27","00:00:27","That's what we're gonna find out today.","that's what we're gonna find out today"
"jUS3AKgwWtc","00:00:27","00:00:28","That's what we're gonna find out today.","we're"
"jUS3AKgwWtc","00:00:28","00:00:30","We're gonna make a straight pipe to replace the cat.","gonna make a straight pipe to replace the cat"
"jUS3AKgwWtc","00:00:31","00:00:33","Then we're gonna go back to the dyno to see","then we're going to go back to the dyno to see how many"
"jUS3AKgwWtc","00:00:33","00:00:35","how many ponies that straight pipe frees up.","ponies that straight pipe frees"
"jUS3AKgwWtc","00:00:33","00:00:36","how many ponies that straight pipe frees up.","up we got a welder"
"jUS3AKgwWtc","00:00:40","00:00:42","",""
"jUS3AKgwWtc","00:00:42","00:00:45","Thanks to Honeygain for sponsoring today's video.","thanks to honeygain for sponsoring today's video honeygain"
"jUS3AKgwWtc","00:00:45","00:00:46","Honeygain is an app that will make you money","is an app that'll make you money"
"jUS3AKgwWtc","00:00:47","00:00:48","just by sharing your internet connection.","just by sharing your internet connection"
"jUS3AKgwWtc","00:00:49","00:00:49","No effort required.","no effort required"
"jUS3AKgwWtc","00:00:50","00:00:51","Simply install honeygain on your Android,","simply install honeygain on your android"
"jUS3AKgwWtc","00:00:52","00:00:55","MacOS, Linux or Windows devices, and that's it.","mac os linux or windows devices and that's it consider"
"jUS3AKgwWtc","00:00:55","00:00:57","Consider it the Airbnb for your internet","it the airbnb for your internet"
"jUS3AKgwWtc","00:00:58","00:00:58","and with no personal data gathering","and with no personal"
"jUS3AKgwWtc","00:00:58","00:00:59","and with no personal data gathering","data gathering or required"
"jUS3AKgwWtc","00:00:59","00:01:01","or required device storage it's a hundred percent safe.","device storage it's a hundred percent"
"jUS3AKgwWtc","00:01:02","00:01:03","Honeygain uses your internet connection","safe honeygain uses your internet connection"
"jUS3AKgwWtc","00:01:02","00:01:04","Honeygain uses your internet connection","to get various"
"jUS3AKgwWtc","00:01:04","00:01:05","to get various bits of info from the web","bits of info from"
"jUS3AKgwWtc","00:01:04","00:01:06","to get various bits of info from the web","the web like prices for"
"jUS3AKgwWtc","00:01:06","00:01:07","like prices for flights or shoes.","flights or"
"jUS3AKgwWtc","00:01:06","00:01:08","like prices for flights or shoes.","shoes it's a way for"
"jUS3AKgwWtc","00:01:08","00:01:10","It's a way for best deal sites to compare prices","best deal sites to compare prices from"
"jUS3AKgwWtc","00:01:10","00:01:11","from different regions,","different regions"
"jUS3AKgwWtc","00:01:11","00:01:13","almost like the Google of web monitoring for companies.","almost like the google of web monitoring for companies and while"
"jUS3AKgwWtc","00:01:14","00:01:14","And while they're doing that","they're doing that"
"jUS3AKgwWtc","00:01:15","00:01:16","you're getting paid for simply sharing your connection.","you're getting paid for simply sharing your connection"
"jUS3AKgwWtc","00:01:15","00:01:17","you're getting paid for simply sharing your connection.","now don't"
"jUS3AKgwWtc","00:01:17","00:01:18","Now don't expect to earn millions but","expect to earn millions but"
"jUS3AKgwWtc","00:01:19","00:01:21","it could cover your Netflix subscription every month.","it could cover your netflix subscription every month nice"
"jUS3AKgwWtc","00:01:21","00:01:22","Nice. I just made 20 bucks.","i just made 20"
"jUS3AKgwWtc","00:01:23","00:01:23","So what are you waiting for?","bucks so what are you waiting"
"jUS3AKgwWtc","00:01:23","00:01:24","So what are you waiting for?","for sign"
"jUS3AKgwWtc","00:01:24","00:01:26","Sign up by clicking the link in the description below.","up by clicking the link in the description below and if you"
"jUS3AKgwWtc","00:01:27","00:01:28","And if you use promo code 'donut'","use promo code donut you'll get"
"jUS3AKgwWtc","00:01:28","00:01:30","you'll get $5 added to your honeygain account.","five dollars added to your honey gain account"
"jUS3AKgwWtc","00:01:30","00:01:32","Now let's get back to Money Pit.","now let's get back to money"
"jUS3AKgwWtc","00:01:35","00:01:38","",""
"jUS3AKgwWtc","00:01:39","00:01:39","So this is what the inside","pit"
"jUS3AKgwWtc","00:01:41","00:01:42","It's basically a honeycomb pattern","so"
"jUS3AKgwWtc","00:01:43","00:01:45","coded in some rare earth metals like","this is what the inside of a catalytic converter looks like"
"jUS3AKgwWtc","00:01:45","00:01:47","Palladium, Platinum and Rhodium.","it's basically a honeycomb pattern coated in"
"jUS3AKgwWtc","00:01:47","00:01:48","So as you force hot exhaust gas","some rare earth metals"
"jUS3AKgwWtc","00:01:47","00:01:49","So as you force hot exhaust gas","like palladium"
"jUS3AKgwWtc","00:01:49","00:01:50","through your catalytic converter","platinum and"
"jUS3AKgwWtc","00:01:50","00:01:51","it makes a lot of chemical reactions happen","rhodium so as you force"
"jUS3AKgwWtc","00:01:50","00:01:52","it makes a lot of chemical reactions happen","hot exhaust"
"jUS3AKgwWtc","00:01:52","00:01:53","and basically cleans your exhaust.","gas through your catalytic"
"jUS3AKgwWtc","00:01:54","00:01:54","A bunch of harmful pollutants","converter it makes a"
"jUS3AKgwWtc","00:01:55","00:01:57","that would come out of your tailpipe are scrubbed off","lot of chemical reactions happen and basically cleans your exhaust"
"jUS3AKgwWtc","00:01:58","00:01:59","and the only things that come out in your tailpipe","a bunch of harmful pollutants that would come"
"jUS3AKgwWtc","00:02:00","00:02:01","for the most part are harmless.","out your tailpipe are scrubbed off in their catalytic converter"
"jUS3AKgwWtc","00:02:01","00:02:03","So the goal today is to replace this catalytic converter","and the only things that come out your tailpipe"
"jUS3AKgwWtc","00:02:04","00:02:04","with a straight pipe","for the most part are"
"jUS3AKgwWtc","00:02:05","00:02:05","or maybe you've heard it called","harmless so"
"jUS3AKgwWtc","00:02:05","00:02:06","or maybe you've heard it called","the goal today is to replace"
"jUS3AKgwWtc","00:02:06","00:02:07","test pipe before. Same thing.","this catalytic converter"
"jUS3AKgwWtc","00:02:07","00:02:09","To do that, that means we're gonna have to make that.","with a straight pipe or maybe you've heard it called"
