video_id,lang,text,timecode
jVuB6QpjRLQ,English,"When you wanna mess with your friends in Minecraft or just wanna be the best at survival, these",0:00 / 9:11
jVuB6QpjRLQ,English,"When you wanna mess with your friends in Minecraft or just wanna be the best at survival, these",0:01 / 9:11
jVuB6QpjRLQ,English,"When you wanna mess with your friends in Minecraft or just wanna be the best at survival, these",0:02 / 9:11
jVuB6QpjRLQ,English,"When you wanna mess with your friends in Minecraft or just wanna be the best at survival, these",0:03 / 9:11
jVuB6QpjRLQ,English,are some useful tricks to remember in your survival world.,0:04 / 9:11
jVuB6QpjRLQ,English,are some useful tricks to remember in your survival world.,0:05 / 9:11
jVuB6QpjRLQ,English,are some useful tricks to remember in your survival world.,0:06 / 9:11
jVuB6QpjRLQ,English,"Number One When people are looking around your world,",0:06 / 9:11
jVuB6QpjRLQ,English,"Number One When people are looking around your world,",0:07 / 9:11
jVuB6QpjRLQ,English,"Number One When people are looking around your world,",0:08 / 9:11
jVuB6QpjRLQ,English,they might get lost.,0:08 / 9:11
jVuB6QpjRLQ,English,they might get lost.,0:09 / 9:11
jVuB6QpjRLQ,English,A creative way to show them where to go is with a lectern and an oak trapdoor.,0:09 / 9:11
jVuB6QpjRLQ,English,A creative way to show them where to go is with a lectern and an oak trapdoor.,0:10 / 9:11
jVuB6QpjRLQ,English,A creative way to show them where to go is with a lectern and an oak trapdoor.,0:11 / 9:11
jVuB6QpjRLQ,English,A creative way to show them where to go is with a lectern and an oak trapdoor.,0:12 / 9:11
jVuB6QpjRLQ,English,A creative way to show them where to go is with a lectern and an oak trapdoor.,0:13 / 9:11
jVuB6QpjRLQ,English,"With a book inside, it looks like an arrow!",0:13 / 9:11
jVuB6QpjRLQ,English,"With a book inside, it looks like an arrow!",0:14 / 9:11
jVuB6QpjRLQ,English,Face it the wrong way to mess with them.,0:15 / 9:11
jVuB6QpjRLQ,English,Face it the wrong way to mess with them.,0:16 / 9:11
jVuB6QpjRLQ,English,You can also use a banner in an item frame.,0:16 / 9:11
jVuB6QpjRLQ,English,You can also use a banner in an item frame.,0:17 / 9:11
jVuB6QpjRLQ,English,You can also use a banner in an item frame.,0:18 / 9:11
jVuB6QpjRLQ,English,At least it looks better than glazed terracotta!,0:18 / 9:11
jVuB6QpjRLQ,English,At least it looks better than glazed terracotta!,0:19 / 9:11
jVuB6QpjRLQ,English,Number Two You probably know that you can hide water,0:20 / 9:11
jVuB6QpjRLQ,English,Number Two You probably know that you can hide water,0:21 / 9:11
jVuB6QpjRLQ,English,Number Two You probably know that you can hide water,0:22 / 9:11
jVuB6QpjRLQ,English,"under lava with some signs, but a much better way to do this and an amazing manhunt clutch",0:22 / 9:11
jVuB6QpjRLQ,English,"under lava with some signs, but a much better way to do this and an amazing manhunt clutch",0:23 / 9:11
jVuB6QpjRLQ,English,"under lava with some signs, but a much better way to do this and an amazing manhunt clutch",0:24 / 9:11
jVuB6QpjRLQ,English,"under lava with some signs, but a much better way to do this and an amazing manhunt clutch",0:25 / 9:11
jVuB6QpjRLQ,English,"under lava with some signs, but a much better way to do this and an amazing manhunt clutch",0:26 / 9:11
jVuB6QpjRLQ,English,is to use kelp!,0:27 / 9:11
