video_id,lang,text,timecode
jWJfhyJFcog,English (United States),,0:00 / 5:40
jWJfhyJFcog,English (United States),"- Don't you think it is, like, more fun this year",0:01 / 5:40
jWJfhyJFcog,English (United States),"- Don't you think it is, like, more fun this year",0:02 / 5:40
jWJfhyJFcog,English (United States),"- Don't you think it is, like, more fun this year",0:03 / 5:40
jWJfhyJFcog,English (United States),"than we've ever had? - Yes, of course.",0:03 / 5:40
jWJfhyJFcog,English (United States),"than we've ever had? - Yes, of course.",0:04 / 5:40
jWJfhyJFcog,English (United States),"- I won't jinx it, but it has been",0:05 / 5:40
jWJfhyJFcog,English (United States),"- I won't jinx it, but it has been",0:06 / 5:40
jWJfhyJFcog,English (United States),"a really, really great day.",0:06 / 5:40
jWJfhyJFcog,English (United States),"a really, really great day.",0:07 / 5:40
jWJfhyJFcog,English (United States),"a really, really great day.",0:08 / 5:40
jWJfhyJFcog,English (United States),[thunder booms],0:08 / 5:40
jWJfhyJFcog,English (United States),[thunder booms],0:09 / 5:40
jWJfhyJFcog,English (United States),[static crackling],0:10 / 5:40
jWJfhyJFcog,English (United States),[static crackling],0:11 / 5:40
jWJfhyJFcog,English (United States),,0:12 / 5:40
jWJfhyJFcog,English (United States),,0:13 / 5:40
jWJfhyJFcog,English (United States),- Hang on a minute. What's happening here?,0:13 / 5:40
jWJfhyJFcog,English (United States),- Hang on a minute. What's happening here?,0:14 / 5:40
jWJfhyJFcog,English (United States),- Hang on a minute. What's happening here?,0:15 / 5:40
jWJfhyJFcog,English (United States),,0:15 / 5:40
jWJfhyJFcog,English (United States),,0:16 / 5:40
jWJfhyJFcog,English (United States),,0:17 / 5:40
jWJfhyJFcog,English (United States),- Do not try to adjust your television.,0:17 / 5:40
jWJfhyJFcog,English (United States),- Do not try to adjust your television.,0:18 / 5:40
jWJfhyJFcog,English (United States),- Do not try to adjust your television.,0:19 / 5:40
jWJfhyJFcog,English (United States),There is nothing wrong with your screen.,0:20 / 5:40
jWJfhyJFcog,English (United States),There is nothing wrong with your screen.,0:21 / 5:40
jWJfhyJFcog,English (United States),,0:22 / 5:40
jWJfhyJFcog,English (United States),Do not try to resist.,0:23 / 5:40
jWJfhyJFcog,English (United States),Do not try to resist.,0:24 / 5:40
jWJfhyJFcog,English (United States),I'm in control now.,0:25 / 5:40
jWJfhyJFcog,English (United States),I'm in control now.,0:26 / 5:40
jWJfhyJFcog,English (United States),,0:27 / 5:40
jWJfhyJFcog,English (United States),,0:28 / 5:40
jWJfhyJFcog,English (United States),"- Oh, my God.",0:29 / 5:40
jWJfhyJFcog,English (United States),,0:30 / 5:40
jWJfhyJFcog,English (United States),,0:31 / 5:40
jWJfhyJFcog,English (United States),,0:32 / 5:40
jWJfhyJFcog,English (United States),[eerie piano music],0:33 / 5:40
jWJfhyJFcog,English (United States),[eerie piano music],0:34 / 5:40
jWJfhyJFcog,English (United States),[eerie piano music],0:35 / 5:40
jWJfhyJFcog,English (United States),[eerie piano music],0:36 / 5:40
jWJfhyJFcog,English (United States),- Hello?,0:36 / 5:40
jWJfhyJFcog,English (United States),- Hello?,0:37 / 5:40
jWJfhyJFcog,English (United States),,0:38 / 5:40
jWJfhyJFcog,English (United States),♪ ,0:38 / 5:40
jWJfhyJFcog,English (United States),♪ ,0:39 / 5:40
jWJfhyJFcog,English (United States),♪ ,0:40 / 5:40
jWJfhyJFcog,English (United States),♪ ,0:41 / 5:40
jWJfhyJFcog,English (United States),♪ ,0:42 / 5:40
jWJfhyJFcog,English (United States),♪ ,0:43 / 5:40
jWJfhyJFcog,English (United States),♪ ,0:44 / 5:40
jWJfhyJFcog,English (United States),,0:45 / 5:40
jWJfhyJFcog,English (United States),,0:46 / 5:40
jWJfhyJFcog,English (United States),,0:47 / 5:40
jWJfhyJFcog,English (United States),,0:48 / 5:40
jWJfhyJFcog,English (United States),,0:49 / 5:40
jWJfhyJFcog,English (United States),,0:50 / 5:40
jWJfhyJFcog,English (United States),,0:51 / 5:40
jWJfhyJFcog,English (United States),,0:52 / 5:40
jWJfhyJFcog,English (United States),,0:53 / 5:40
jWJfhyJFcog,English (United States),"It's weird, Howie. - So scary.",0:54 / 5:40
jWJfhyJFcog,English (United States),"It's weird, Howie. - So scary.",0:55 / 5:40
jWJfhyJFcog,English (United States),"It's weird, Howie. - So scary.",0:56 / 5:40
jWJfhyJFcog,English (United States),,0:56 / 5:40
jWJfhyJFcog,English (United States),,0:57 / 5:40
jWJfhyJFcog,English (United States),,0:58 / 5:40
jWJfhyJFcog,English (United States),[electricity crackling],0:59 / 5:40
jWJfhyJFcog,English (United States),[electricity crackling],1:00 / 5:40
jWJfhyJFcog,English (United States),,1:00 / 5:40
jWJfhyJFcog,English (United States),- My name is Klek Entos.,1:01 / 5:40
jWJfhyJFcog,English (United States),- My name is Klek Entos.,1:02 / 5:40
jWJfhyJFcog,English (United States),,1:03 / 5:40
jWJfhyJFcog,English (United States),,1:04 / 5:40
jWJfhyJFcog,English (United States),,1:05 / 5:40
jWJfhyJFcog,English (United States),And I am the sum of all your fears.,1:05 / 5:40
jWJfhyJFcog,English (United States),And I am the sum of all your fears.,1:06 / 5:40
jWJfhyJFcog,English (United States),And I am the sum of all your fears.,1:07 / 5:40
jWJfhyJFcog,English (United States),[crowd screaming],1:08 / 5:40
jWJfhyJFcog,English (United States),[crowd screaming],1:09 / 5:40
jWJfhyJFcog,English (United States),[crowd screaming],1:10 / 5:40
jWJfhyJFcog,English (United States),,1:10 / 5:40
jWJfhyJFcog,English (United States),,1:11 / 5:40
jWJfhyJFcog,English (United States),,1:12 / 5:40
jWJfhyJFcog,English (United States),Let me introduce you to an experiment,1:13 / 5:40
jWJfhyJFcog,English (United States),Let me introduce you to an experiment,1:14 / 5:40
jWJfhyJFcog,English (United States),Let me introduce you to an experiment,1:15 / 5:40
jWJfhyJFcog,English (United States),using your subconscious.,1:16 / 5:40
jWJfhyJFcog,English (United States),using your subconscious.,1:17 / 5:40
jWJfhyJFcog,English (United States),,1:17 / 5:40
jWJfhyJFcog,English (United States),,1:18 / 5:40
jWJfhyJFcog,English (United States),[people screaming],1:19 / 5:40
jWJfhyJFcog,English (United States),[people screaming],1:20 / 5:40
jWJfhyJFcog,English (United States),"It's the gateway to your intuition,",1:21 / 5:40
jWJfhyJFcog,English (United States),"It's the gateway to your intuition,",1:22 / 5:40
jWJfhyJFcog,English (United States),"It's the gateway to your intuition,",1:23 / 5:40
jWJfhyJFcog,English (United States),"to your memories,",1:23 / 5:40
jWJfhyJFcog,English (United States),"to your memories,",1:24 / 5:40
jWJfhyJFcog,English (United States),,1:25 / 5:40
jWJfhyJFcog,English (United States),and to your childhood fears.,1:25 / 5:40
jWJfhyJFcog,English (United States),and to your childhood fears.,1:26 / 5:40
jWJfhyJFcog,English (United States),,1:27 / 5:40
jWJfhyJFcog,English (United States),,1:28 / 5:40
jWJfhyJFcog,English (United States),"Heidi, I want you to take the paper",1:29 / 5:40
jWJfhyJFcog,English (United States),"Heidi, I want you to take the paper",1:30 / 5:40
jWJfhyJFcog,English (United States),from inside this box,1:31 / 5:40
jWJfhyJFcog,English (United States),from inside this box,1:32 / 5:40
jWJfhyJFcog,English (United States),from inside this box,1:33 / 5:40
jWJfhyJFcog,English (United States),and hand it back to me.,1:34 / 5:40
jWJfhyJFcog,English (United States),,1:35 / 5:40
jWJfhyJFcog,English (United States),- Is something gonna bite me in there?,1:36 / 5:40
jWJfhyJFcog,English (United States),- Is something gonna bite me in there?,1:37 / 5:40
jWJfhyJFcog,English (United States),,1:38 / 5:40
jWJfhyJFcog,English (United States),,1:39 / 5:40
jWJfhyJFcog,English (United States),,1:40 / 5:40
jWJfhyJFcog,English (United States),,1:41 / 5:40
jWJfhyJFcog,English (United States),,1:42 / 5:40
jWJfhyJFcog,English (United States),,1:43 / 5:40
jWJfhyJFcog,English (United States),,1:44 / 5:40
jWJfhyJFcog,English (United States),"Sofía, I want you to put five ink drops",1:44 / 5:40
jWJfhyJFcog,English (United States),"Sofía, I want you to put five ink drops",1:45 / 5:40
jWJfhyJFcog,English (United States),"Sofía, I want you to put five ink drops",1:46 / 5:40
jWJfhyJFcog,English (United States),"Sofía, I want you to put five ink drops",1:47 / 5:40
jWJfhyJFcog,English (United States),"Sofía, I want you to put five ink drops",1:48 / 5:40
jWJfhyJFcog,English (United States),on this sheet of paper.,1:49 / 5:40
jWJfhyJFcog,English (United States),on this sheet of paper.,1:50 / 5:40
jWJfhyJFcog,English (United States),,1:51 / 5:40
jWJfhyJFcog,English (United States),,1:52 / 5:40
jWJfhyJFcog,English (United States),,1:53 / 5:40
jWJfhyJFcog,English (United States),Do this randomly.,1:53 / 5:40
jWJfhyJFcog,English (United States),Do this randomly.,1:54 / 5:40
jWJfhyJFcog,English (United States),Do this randomly.,1:55 / 5:40
jWJfhyJFcog,English (United States),"We are staining it,",1:55 / 5:40
jWJfhyJFcog,English (United States),"We are staining it,",1:56 / 5:40
jWJfhyJFcog,English (United States),"We are staining it,",1:57 / 5:40
jWJfhyJFcog,English (United States),trying to create an original shape.,1:57 / 5:40
jWJfhyJFcog,English (United States),trying to create an original shape.,1:58 / 5:40
jWJfhyJFcog,English (United States),trying to create an original shape.,1:59 / 5:40
jWJfhyJFcog,English (United States),,2:00 / 5:40
jWJfhyJFcog,English (United States),,2:01 / 5:40
jWJfhyJFcog,English (United States),"- One, two, three, four, five.",2:02 / 5:40
jWJfhyJFcog,English (United States),"- One, two, three, four, five.",2:03 / 5:40
jWJfhyJFcog,English (United States),"- One, two, three, four, five.",2:04 / 5:40
jWJfhyJFcog,English (United States),"- One, two, three, four, five.",2:05 / 5:40
jWJfhyJFcog,English (United States),"- One, two, three, four, five.",2:06 / 5:40
jWJfhyJFcog,English (United States),"- Meanwhile, I want Terry to join us to assist.",2:07 / 5:40
jWJfhyJFcog,English (United States),"- Meanwhile, I want Terry to join us to assist.",2:08 / 5:40
jWJfhyJFcog,English (United States),"- Meanwhile, I want Terry to join us to assist.",2:09 / 5:40
jWJfhyJFcog,English (United States),"- Meanwhile, I want Terry to join us to assist.",2:10 / 5:40
jWJfhyJFcog,English (United States),"- Meanwhile, I want Terry to join us to assist.",2:11 / 5:40
jWJfhyJFcog,English (United States),[cheers and applause],2:12 / 5:40
jWJfhyJFcog,English (United States),[cheers and applause],2:13 / 5:40
jWJfhyJFcog,English (United States),[cheers and applause],2:14 / 5:40
jWJfhyJFcog,English (United States),♪ ,2:15 / 5:40
jWJfhyJFcog,English (United States),♪ ,2:16 / 5:40
jWJfhyJFcog,English (United States),♪ ,2:17 / 5:40
jWJfhyJFcog,English (United States),♪ ,2:18 / 5:40
jWJfhyJFcog,English (United States),♪ ,2:19 / 5:40
jWJfhyJFcog,English (United States),♪ ,2:20 / 5:40
jWJfhyJFcog,English (United States),♪ ,2:21 / 5:40
jWJfhyJFcog,English (United States),"The paper that Sofía stained with ink,",2:22 / 5:40
jWJfhyJFcog,English (United States),"The paper that Sofía stained with ink,",2:23 / 5:40
jWJfhyJFcog,English (United States),"The paper that Sofía stained with ink,",2:24 / 5:40
jWJfhyJFcog,English (United States),"The paper that Sofía stained with ink,",2:25 / 5:40
jWJfhyJFcog,English (United States),each of those drops will form a shape,2:25 / 5:40
jWJfhyJFcog,English (United States),each of those drops will form a shape,2:26 / 5:40
jWJfhyJFcog,English (United States),each of those drops will form a shape,2:27 / 5:40
jWJfhyJFcog,English (United States),that may be interpreted and visualized,2:27 / 5:40
jWJfhyJFcog,English (United States),that may be interpreted and visualized,2:28 / 5:40
jWJfhyJFcog,English (United States),that may be interpreted and visualized,2:29 / 5:40
jWJfhyJFcog,English (United States),in infinite ways.,2:30 / 5:40
jWJfhyJFcog,English (United States),,2:31 / 5:40
jWJfhyJFcog,English (United States),,2:32 / 5:40
jWJfhyJFcog,English (United States),,2:33 / 5:40
jWJfhyJFcog,English (United States),"Whether you see a flower, a butterfly,",2:33 / 5:40
jWJfhyJFcog,English (United States),"Whether you see a flower, a butterfly,",2:34 / 5:40
jWJfhyJFcog,English (United States),"Whether you see a flower, a butterfly,",2:35 / 5:40
jWJfhyJFcog,English (United States),"or two lovers kissing,",2:36 / 5:40
jWJfhyJFcog,English (United States),"or two lovers kissing,",2:37 / 5:40
jWJfhyJFcog,English (United States),each one of you has your own unique interpretation.,2:38 / 5:40
jWJfhyJFcog,English (United States),each one of you has your own unique interpretation.,2:39 / 5:40
jWJfhyJFcog,English (United States),each one of you has your own unique interpretation.,2:40 / 5:40
jWJfhyJFcog,English (United States),each one of you has your own unique interpretation.,2:41 / 5:40
jWJfhyJFcog,English (United States),But I will ask Terry:,2:42 / 5:40
jWJfhyJFcog,English (United States),But I will ask Terry:,2:43 / 5:40
jWJfhyJFcog,English (United States),what do you see?,2:44 / 5:40
jWJfhyJFcog,English (United States),what do you see?,2:45 / 5:40
jWJfhyJFcog,English (United States),,2:46 / 5:40
jWJfhyJFcog,English (United States),- A spider.,2:47 / 5:40
jWJfhyJFcog,English (United States),- A spider.,2:48 / 5:40
jWJfhyJFcog,English (United States),,2:49 / 5:40
jWJfhyJFcog,English (United States),,2:50 / 5:40
jWJfhyJFcog,English (United States),,2:51 / 5:40
jWJfhyJFcog,English (United States),- What if the box has the power,2:52 / 5:40
jWJfhyJFcog,English (United States),- What if the box has the power,2:53 / 5:40
jWJfhyJFcog,English (United States),to make your imagination come to life?,2:54 / 5:40
jWJfhyJFcog,English (United States),to make your imagination come to life?,2:55 / 5:40
jWJfhyJFcog,English (United States),- Oh. - No.,2:56 / 5:40
jWJfhyJFcog,English (United States),- Oh. - No.,2:57 / 5:40
jWJfhyJFcog,English (United States),- Would it feel like you're experiencing a dream...,2:57 / 5:40
jWJfhyJFcog,English (United States),- Would it feel like you're experiencing a dream...,2:58 / 5:40
jWJfhyJFcog,English (United States),- Would it feel like you're experiencing a dream...,2:59 / 5:40
jWJfhyJFcog,English (United States),- Would it feel like you're experiencing a dream...,3:00 / 5:40
jWJfhyJFcog,English (United States),"- Whoa, jeez! - Whoa!",3:01 / 5:40
jWJfhyJFcog,English (United States),"- Whoa, jeez! - Whoa!",3:02 / 5:40
jWJfhyJFcog,English (United States),,3:02 / 5:40
jWJfhyJFcog,English (United States),,3:03 / 5:40
jWJfhyJFcog,English (United States),- Or a nightmare?,3:04 / 5:40
jWJfhyJFcog,English (United States),- Or a nightmare?,3:05 / 5:40
jWJfhyJFcog,English (United States),- In the box that you put your hand in!,3:05 / 5:40
jWJfhyJFcog,English (United States),- In the box that you put your hand in!,3:06 / 5:40
jWJfhyJFcog,English (United States),- In the box that you put your hand in!,3:07 / 5:40
jWJfhyJFcog,English (United States),- In the box that you put your hand in!,3:08 / 5:40
jWJfhyJFcog,English (United States),"- I know I put the hand in it, Sofía.",3:09 / 5:40
jWJfhyJFcog,English (United States),"- I know I put the hand in it, Sofía.",3:10 / 5:40
jWJfhyJFcog,English (United States),"- I know I put the hand in it, Sofía.",3:11 / 5:40
jWJfhyJFcog,English (United States),"- I know I put the hand in it, Sofía.",3:12 / 5:40
jWJfhyJFcog,English (United States),[intense music],3:12 / 5:40
