"video_id","min_timecode","max_timecode","text.user","text.auto"
"jWJfhyJFcog","00:00:00","00:00:00","",""
"jWJfhyJFcog","00:00:01","00:00:03","- Don't you think it is, like, more fun this year","don't you think it seems like more fun this year than we've ever"
"jWJfhyJFcog","00:00:03","00:00:04","than we've ever had? - Yes, of course.","yes of course"
"jWJfhyJFcog","00:00:05","00:00:06","- I won't jinx it, but it has been","i won't jinx it but it's been a"
"jWJfhyJFcog","00:00:06","00:00:08","a really, really great day.","really really great day"
"jWJfhyJFcog","00:00:12","00:00:13","","hang"
"jWJfhyJFcog","00:00:13","00:00:15","- Hang on a minute. What's happening here?","on a minute what's happening here"
"jWJfhyJFcog","00:00:15","00:00:17","","do not"
"jWJfhyJFcog","00:00:17","00:00:19","- Do not try to adjust your television.","try to adjust your television"
"jWJfhyJFcog","00:00:20","00:00:21","There is nothing wrong with your screen.","there is nothing wrong with your screen"
"jWJfhyJFcog","00:00:22","00:00:22","",""
"jWJfhyJFcog","00:00:23","00:00:24","Do not try to resist.","do not try to resist"
"jWJfhyJFcog","00:00:25","00:00:26","I'm in control now.","i am in control"
"jWJfhyJFcog","00:00:27","00:00:28","",""
"jWJfhyJFcog","00:00:29","00:00:29","- Oh, my God.","now"
"jWJfhyJFcog","00:00:30","00:00:32","",""
"jWJfhyJFcog","00:00:33","00:00:36","[eerie piano music]","[Music]"
"jWJfhyJFcog","00:00:38","00:00:38","",""
"jWJfhyJFcog","00:00:38","00:00:44","♪ ","hello"
"jWJfhyJFcog","00:00:45","00:00:53","",""
"jWJfhyJFcog","00:00:54","00:00:56","It's weird, Howie. - So scary.","he's weird so scary"
"jWJfhyJFcog","00:00:56","00:00:58","",""
"jWJfhyJFcog","00:01:00","00:01:00","",""
"jWJfhyJFcog","00:01:03","00:01:05","","and i"
"jWJfhyJFcog","00:01:05","00:01:07","And I am the sum of all your fears.","am the sum of all your"
"jWJfhyJFcog","00:01:10","00:01:12","","fears"
"jWJfhyJFcog","00:01:13","00:01:15","Let me introduce you to an experiment","let me introduce you to an experiment using"
"jWJfhyJFcog","00:01:16","00:01:17","using your subconscious.","your subconscious"
