"video_id","min_timecode","max_timecode","text.user","text.auto"
"jm9YKT0dItk","00:00:00","00:00:00","",""
"jm9YKT0dItk","00:00:02","00:00:04","",""
"jm9YKT0dItk","00:00:04","00:00:05","Moving on.","moving on our main"
"jm9YKT0dItk","00:00:05","00:00:07","Our main story tonight concerns unemployment,","story tonight concerns unemployment"
"jm9YKT0dItk","00:00:08","00:00:09","the thing that would absolutely happen to me","the thing that would absolutely happen"
"jm9YKT0dItk","00:00:10","00:00:11","if AT&T executives ever find out","to me if at t executives ever find out what i've been"
"jm9YKT0dItk","00:00:11","00:00:12","what I've been saying about them.","saying about them"
"jm9YKT0dItk","00:00:13","00:00:14","But on the other hand, what are they gonna do?","but on the other hand what are they going to do look it"
"jm9YKT0dItk","00:00:14","00:00:15","Look it up online?","up online"
"jm9YKT0dItk","00:00:16","00:00:17","How? With their internet plan?","how with their internet plan and then what"
"jm9YKT0dItk","00:00:17","00:00:19","And then what? Call someone?","call someone using"
"jm9YKT0dItk","00:00:19","00:00:22","Using AT&T? I think I'm fine.","a t i think i'm fine"
"jm9YKT0dItk","00:00:23","00:00:25","Unemployment can be a traumatic event for anyone,","unemployment can be a traumatic event for anyone even"
"jm9YKT0dItk","00:00:25","00:00:26","even puppets.","puppets why"
"jm9YKT0dItk","00:00:26","00:00:28","Why isn't Mommy at work today?","isn't mommy at work today yesterday"
"jm9YKT0dItk","00:00:28","00:00:30","Yesterday, I lost my job,","i lost my job"
"jm9YKT0dItk","00:00:31","00:00:31","","and i'm not"
"jm9YKT0dItk","00:00:31","00:00:34","and I'm not going to be workin'. At least for a little while.","going to be working at least for a little while"
"jm9YKT0dItk","00:00:34","00:00:36","","is it because"
"jm9YKT0dItk","00:00:37","00:00:39","Is it because Elmo-- Elmo has too many toys?","elmo emma has too many toys"
"jm9YKT0dItk","00:00:40","00:00:40","","oh"
"jm9YKT0dItk","00:00:40","00:00:43","Oh, no. No, baby. None of this is your fault.","no no baby none of this is your fault it's"
"jm9YKT0dItk","00:00:43","00:00:44","It's nobody's fault.","nobody's fault"
"jm9YKT0dItk","00:00:45","00:00:47","Well, well, hold on there.","well well hold on there are we"
