"video_id","min_timecode","max_timecode","text.user","text.auto"
"k-iRXOL4wZQ","00:00:06","00:00:09","- [Damien] Oh, wow.","oh my"
"k-iRXOL4wZQ","00:00:09","00:00:11","- [Tommy] Oh, my God.","god"
"k-iRXOL4wZQ","00:00:11","00:00:13","","ayo"
"k-iRXOL4wZQ","00:00:14","00:00:17","- Hello and welcome to another episode of Try Not to Laugh.","hello and welcome to another episode of try not to laugh not just any"
"k-iRXOL4wZQ","00:00:18","00:00:19","Not just any episode, we are doing mystery props.","episode we are doing mystery props"
"k-iRXOL4wZQ","00:00:20","00:00:21","You've seen this before.","uh you've seen this before"
"k-iRXOL4wZQ","00:00:22","00:00:22","Inside of these boxes","inside of these boxes"
"k-iRXOL4wZQ","00:00:23","00:00:24","each one contains three random mystery props.","each one contains three random mystery props"
"k-iRXOL4wZQ","00:00:25","00:00:26","We have no idea what's inside of them.","we have no idea what's inside of them no"
"k-iRXOL4wZQ","00:00:27","00:00:27","- No clue.","clue not even a"
"k-iRXOL4wZQ","00:00:27","00:00:28","Not even a little baby clue.","little baby clue"
"k-iRXOL4wZQ","00:00:29","00:00:30","- No, not even a baby one.","no not even a baby one uh today's"
"k-iRXOL4wZQ","00:00:31","00:00:31","Today's episode, as we go through,","episode as we go through"
"k-iRXOL4wZQ","00:00:32","00:00:33","each of us are gonna get a box,","each of us are gonna get a box get our props"
"k-iRXOL4wZQ","00:00:33","00:00:35","get our props, and we have to use them every single round.","and we have to use them every single"
"k-iRXOL4wZQ","00:00:36","00:00:37","We can use one of them, two of them, all three of them,","round we can use one of them two of them all three of them"
"k-iRXOL4wZQ","00:00:38","00:00:39","whatever combo of props in the back","whatever combo of props in"
"k-iRXOL4wZQ","00:00:40","00:00:40","and these props we want to do.","the back and these props we want"
"k-iRXOL4wZQ","00:00:41","00:00:43","But whatever's in this box must be used in our","to do but whatever's in this box must be used in"
"k-iRXOL4wZQ","00:00:44","00:00:45","in our try not to laugh, a little bit?","our in our uh try not to laugh a little bit i wanted"
"k-iRXOL4wZQ","00:00:46","00:00:47","I wanted to call it a skit, but it's not at all.","to call it a skit but it's not at all it's"
"k-iRXOL4wZQ","00:00:48","00:00:48","- [Courtney] It's not.","not not that's like what"
"k-iRXOL4wZQ","00:00:48","00:00:50","- That's what the parents call it","that's like it's like what parents call"
"k-iRXOL4wZQ","00:00:51","00:00:51","in like aunts and uncles.","it like aunts and uncles they're"
"k-iRXOL4wZQ","00:00:52","00:00:53","""Oh, maybe you can use that in one of your skits.""","like oh maybe you could use that in one of your skits"
"k-iRXOL4wZQ","00:00:53","00:00:54","- Yeah, it hurts.","yeah it hurts i triggered"
"k-iRXOL4wZQ","00:00:55","00:00:55","I triggered myself.","myself"
