"video_id","min_timecode","max_timecode","text.user","text.auto"
"k5s1cMNTmGs","00:00:00","00:00:01","If you drop a slinky","if you drop a slinky dangling"
"k5s1cMNTmGs","00:00:02","00:00:02","dangling under its own weight,","under its own weight"
"k5s1cMNTmGs","00:00:03","00:00:04","the bottom won't start falling","the bottom won't start falling"
"k5s1cMNTmGs","00:00:05","00:00:07","until the whole slinky has collapsed.","until the whole slinky has collapsed this is because"
"k5s1cMNTmGs","00:00:08","00:00:09","each coil is stretched","each coil is stretched"
"k5s1cMNTmGs","00:00:10","00:00:11","of everything beneath it.","to support the weight of everything beneath"
"k5s1cMNTmGs","00:00:12","00:00:13","So in order for one coil to fall,","it so in order for one coil to fall it"
"k5s1cMNTmGs","00:00:13","00:00:15","it needs the coil above it to collapse","needs the coil above it to collapse and"
"k5s1cMNTmGs","00:00:15","00:00:17","and so on all the way up to the top.","so on all the way up to the top"
"k5s1cMNTmGs","00:00:18","00:00:18","It's like a row of dominoes","it's like a row of dominoes"
"k5s1cMNTmGs","00:00:19","00:00:20","where the tension released at the top","where the tension released at the top"
"k5s1cMNTmGs","00:00:21","00:00:22","cascades down the slinky","cascades down the slinky and this takes"
"k5s1cMNTmGs","00:00:22","00:00:24","and this takes some time.","some time"
"k5s1cMNTmGs","00:00:24","00:00:25","",""
"k5s1cMNTmGs","00:00:26","00:00:28","This is the longest slinky I had access to","this is the longest slinky i had access to and"
"k5s1cMNTmGs","00:00:28","00:00:29","and what's cool about this angle","what's cool about this angle"
"k5s1cMNTmGs","00:00:30","00:00:32","is you can see the bottom starts to rotate","is you can see the bottom starts to rotate right there"
"k5s1cMNTmGs","00:00:32","00:00:33","right there.","meaning there is"
"k5s1cMNTmGs","00:00:33","00:00:34","Meaning there is a twisting wave","a twisting wave"
"k5s1cMNTmGs","00:00:35","00:00:35","that travels through the slinky","that travels through the slinky"
"k5s1cMNTmGs","00:00:36","00:00:37","faster than the compression wave.","faster than the compression wave the"
"k5s1cMNTmGs","00:00:38","00:00:38","The bottom is turning","bottom is turning but still"
"k5s1cMNTmGs","00:00:39","00:00:39","but still not falling","not falling"
"k5s1cMNTmGs","00:00:40","00:00:41","until the top crashes into it.","until the top crashes into"
"k5s1cMNTmGs","00:00:41","00:00:41","",""
