"video_id","min_timecode","max_timecode","text.user","text.auto"
"k8MlLjhtrdQ","00:00:00","00:00:00","",""
"k8MlLjhtrdQ","00:00:01","00:00:05","The original version of Pixar's Luca was going to be very different, from a huge monster","the original version of pixar's luca was going to be very different from a huge"
"k8MlLjhtrdQ","00:00:05","00:00:10","movie ending, to a quest for magical tokens, and a missing John Ratzenberger cameo.","monster movie ending to a quest for magical tokens and a missing john ratzenberger cameo yipikai"
"k8MlLjhtrdQ","00:00:10","00:00:15","Yippee-ki-yay, movie lovers, I'm Jan and in this video I'm revealing the alternate ending","movie lovers i'm jan and in this video i'm revealing the alternate ending of luca"
"k8MlLjhtrdQ","00:00:15","00:00:18","of Luca and some of the scenes and storylines you never got to see!","and some of the scenes and storylines of luca and some of the scenes and storylines you never got to see"
"k8MlLjhtrdQ","00:00:19","00:00:21","Spoilers ahead, of course, so take care.","spoilers ahead of course so take care before"
"k8MlLjhtrdQ","00:00:22","00:00:25","Before Pixar's filmmakers landed on the beautiful bittersweet ending for Luca we see in the","pixar's filmmakers landed on the beautiful bittersweet ending for luka"
"k8MlLjhtrdQ","00:00:26","00:00:31","final film, the movie's finale was originally going to be more of a giant monster battle.","we see in the final film the movie's finale was originally going to be more of a giant monster battle this"
"k8MlLjhtrdQ","00:00:31","00:00:36","This particular story leaned much more heavily than the final film into the division between","particular story leaned much more heavily than the final film into the division between humans"
"k8MlLjhtrdQ","00:00:36","00:00:41","humans and seas monsters, setting them up as two diametrically opposed factions or worlds,","and sea monsters setting them up as two diametrically opposed factions or worlds"
"k8MlLjhtrdQ","00:00:42","00:00:46","which director Enrico Casarosa compared in an interview with SlashFilm to the divide","which director enrico cazaroza compared in an interview with slash film to the divide between"
"k8MlLjhtrdQ","00:00:46","00:00:49","between the Capulets and Montagues in Romeo & Juliet.","the capulets and montagues in romeo and juliet"
"k8MlLjhtrdQ","00:00:49","00:00:54","Although in the final film the townspeople of Portorosso are still fearful of sea monsters","although in the final movie the townspeople of puerto rosso are still fearful of sea monsters"
"k8MlLjhtrdQ","00:00:54","00:00:58","with a reward being set up after a recent sighting of one, it sounds like in the earlier","with a reward being set up after a recent sighting of one it sounds like in the earlier"
"k8MlLjhtrdQ","00:00:59","00:01:03","version this confrontation between the two worlds was going to be even more intense,","version this confrontation between the two worlds was going to be even more intense"
"k8MlLjhtrdQ","00:01:04","00:01:07","with the original plan being for Alberto to transform into a kraken, an enormous mythical","with the original plan being for alberto to transform into a kraken an enormous"
"k8MlLjhtrdQ","00:01:08","00:01:12","sea monster that looks like a humungous octopus or squid, with Luca then standing up to defend","mythical sea monster that looks like a humongous octopus or squid with luka then standing up"
"k8MlLjhtrdQ","00:01:13","00:01:17","and protect his friend. However, as Casarosa told Cinema Blend a conversation","to defend and protect his friend however as casa rosa told cinema blend a conversation"
"k8MlLjhtrdQ","00:01:18","00:01:22","he had with his own real-life best friend ended up inspiring him to completely retool","he had with his own real-life best friend ended up inspiring him to completely retool the film's"
"k8MlLjhtrdQ","00:01:23","00:01:26","the film's finale. That movie-changing chat was all about their","finale that movie changing chat was all about their"
"k8MlLjhtrdQ","00:01:27","00:01:31","own friendship and how good friends help each other grow but eventually that often takes","own friendship and how good friends help each other grow but eventually that often takes"
"k8MlLjhtrdQ","00:01:32","00:01:35","them down very different paths in life, leading to bittersweet goodbyes.","them down very different paths in life leading to bittersweet goodbyes"
"k8MlLjhtrdQ","00:01:36","00:01:40","For Casarosa, that's something he's experienced several times in his own life, having left","for casa rosa that's something he's experienced several times in his own life having left"
"k8MlLjhtrdQ","00:01:41","00:01:45","his home in Italy for America to pursue his dreams of animation and filmmaking.","his home in italy for america to pursue his dreams of animation and filmmaking and when"
"k8MlLjhtrdQ","00:01:45","00:01:50","And when he and his team put those ideas together, storyboarded them, and added composer Dan","he and his team put those ideas together storyboarded them and added composer dan"
"k8MlLjhtrdQ","00:01:51","00:01:54","Romer's score, they were hit by just how emotional it was.","roma's score they were hit by just how emotional it was"
"k8MlLjhtrdQ","00:01:54","00:01:59","So, the film dropped its colossal kraken and, as Casarosa told SlashFilm, focused instead","so the film dropped its colossal kraken and as casaroza told film focused instead"
"k8MlLjhtrdQ","00:02:00","00:02:05","on ""a kid's world and stakes and goals, with this kind of slightly strange and silly idea:","on a kid's world and stakes and goals with this kind of slightly strange and silly idea"
"k8MlLjhtrdQ","00:02:06","00:02:10","""We're gonna ride into the sunset with a Vespa!"" Curiously enough, in the final film there","we're gonna ride into the sunset with a vespa curiously enough in the final film there is"
"k8MlLjhtrdQ","00:02:10","00:02:14","is actually an easter egg to a giant sea monster movie though, via the poster for the Disney","actually an easter egg to a giant sea monster movie though by the poster for"
"k8MlLjhtrdQ","00:02:15","00:02:19","adaption of Jules Vernes' ""20,000 Leagues Under The Sea"", which features an attack by","the disney adaptation of jewel vern's twenty thousand leagues under the sea which features an attack"
"k8MlLjhtrdQ","00:02:20","00:02:24","a giant squid. And there's also an illustration of a giant","by a giant squid and there's also an illustration of a giant crack and"
"k8MlLjhtrdQ","00:02:24","00:02:28","kraken-like creature wrapping its tentacles around a boat on one of the fishermen's maps.","light creature wrapping its tentacles around a boat on one of the fisherman's maps"
"k8MlLjhtrdQ","00:02:29","00:02:33","Over the years, Krakens have popped up in quite a few well-known movies including The","over the years krakens have popped up in quite a few well-known movies including the clash"
"k8MlLjhtrdQ","00:02:33","00:02:39","Clash of The Titans, the Pirates of the Caribbean franchise, and Hotel Transylvania 3: Summer","of the titans the pirates of the caribbean franchise and hotel transylvania 3 summer vacation which"
"k8MlLjhtrdQ","00:02:39","00:02:40","Vacation, which is funny as the protagonists of both","is funny as the protagonist"
"k8MlLjhtrdQ","00:02:41","00:02:45","that movie and Luca are monsters and both films are set during the summer holidays!","of both that movie and luca are monsters and both films are set during the summer holidays and both films are set during the summer holidays"
"k8MlLjhtrdQ","00:02:46","00:02:50","In fact, the kraken plays a key part in the ending of the third Hotel Transylvania movie,","in fact the kraken plays a key part in the ending of the third transylvania movie and"
"k8MlLjhtrdQ","00:02:51","00:02:54","and given that film came out in 2018 while Luca was still in development at Pixar, I","given that film came out in 2018 while luca was still in development of pixar"
"k8MlLjhtrdQ","00:02:55","00:02:59","wonder if it might have also influenced the decision to change Luca’s finale.","i wonder if that might have also influenced the decision to change luca's finale influenced the decision to change luca's finale when caso"
"k8MlLjhtrdQ","00:03:00","00:03:03","When Casarosa first came up with the idea for the movie, Luca and Alberto were not the","rosa first came up with the idea for the movie luca and alberto were not"
"k8MlLjhtrdQ","00:03:04","00:03:06","only young sea monsters who featured in the story;","the only young sea monsters who featured in the story there"
"k8MlLjhtrdQ","00:03:07","00:03:10","there was actually a group of them, giving the film what the director has called a Stand","was actually a group of them giving the film what the director has called a stand"
"k8MlLjhtrdQ","00:03:10","00:03:14","By Me vibe, referring to the 1980s coming-of-age classic.","by me vibe referring to the 1980s coming of age classic"
"k8MlLjhtrdQ","00:03:15","00:03:18","In fact, one of those additional sea monster friends was called Ciccio, a name you'll probably","in fact one of those additional sea monster friends was called chicha a name you'll probably"
"k8MlLjhtrdQ","00:03:19","00:03:23","recognise from the final film as his original role was completely rewritten to make him","recognize from the final film as his original role was completely rewritten to make him one"
"k8MlLjhtrdQ","00:03:24","00:03:26","one of bully boy Ercole's human side-kicks instead.","of bully boy er coles human sidekicks instead"
"k8MlLjhtrdQ","00:03:27","00:03:32","And there's a lot of lovely concept art by Chris Sasaki which shows the original trio","and there's a lot of lovely concept art by chris zazaki which shows the original trio of luca alberto ancicio"
"k8MlLjhtrdQ","00:03:32","00:03:35","of Luca, Alberto and Ciccio getting up to various hijinks in both their sea monster","getting up to various high jinks in both their sea monster"
"k8MlLjhtrdQ","00:03:36","00:03:39","and human forms. Judging by Ciccio's build in the final film,","and human forms judging by cheecho's build in the final"
"k8MlLjhtrdQ","00:03:40","00:03:42","it looks like this character here was the sea monster version of him.","film it looks like this character here was a sea monster version"
"k8MlLjhtrdQ","00:03:43","00:03:47","It's interesting that sea monster Ciccio had crab claws for arms and carried around a shell","of him it's interesting that sea monster chicha had crab claws for arms and carried around a shell on"
"k8MlLjhtrdQ","00:03:48","00:03:51","on his back, like a hermit crab. And a remnant of this original idea made its","his back like a hermit crab and a remnant of this original idea"
"k8MlLjhtrdQ","00:03:52","00:03:56","way into Luca's surname ""Paguro"" which means hermit crab in Italian.","made its way into lucca's surname paguro which means hermit crab in italian as for"
"k8MlLjhtrdQ","00:03:56","00:04:01","As for Giulia, it seems a human girl was part of the group of male sea monster friends even","julia it seems a human girl was part of the group of male sea monster friends even in early"
"k8MlLjhtrdQ","00:04:02","00:04:05","in early versions of the story; however, the filmmakers did experiment with","versions of the story however the filmmakers did experiment with when"
"k8MlLjhtrdQ","00:04:05","00:04:09","when exactly to reveal the truth to her that her new pals were not actually human.","exactly to reveal the truth to her that her new pals were not actually human"
"k8MlLjhtrdQ","00:04:10","00:04:14","You can see in the Art of Luca book that at one point she learned about them earlier as","you can see in the art of luca book that at one point she learned about them earlier as she goes"
"k8MlLjhtrdQ","00:04:14","00:04:16","she goes swimming with them in their sea monster form.","swimming with them in their sea monster form"
"k8MlLjhtrdQ","00:04:17","00:04:21","And in another scene she's with all three original sea creature friends and they have","and in another scene she's with all three original sea creature friends and they have their tails"
"k8MlLjhtrdQ","00:04:21","00:04:24","their tails showing as they sit down for dinner with Massimo.","showing as they sit down for dinner with massimo in"
"k8MlLjhtrdQ","00:04:25","00:04:29","In the end, Casarosa and his team decided that prolonging that reveal till later in","the end casa rosa and his team decided that prolonging that reveal to later in the film added"
"k8MlLjhtrdQ","00:04:29","00:04:34","the film ""added more tension and drama"", as producer Andrea Warren told website io9.","more tension and drama as producer andrea warren told website io9"
"k8MlLjhtrdQ","00:04:35","00:04:38","In what would have been another major change to the story, originally the kids went on","in what would have been another major change to the story originally the kids"
"k8MlLjhtrdQ","00:04:39","00:04:44","a much bigger quest that involved magical tokens and their intention was to become completely","went on a much bigger quest that involved magical tokens and their intention was to become completely human"
"k8MlLjhtrdQ","00:04:44","00:04:47","human. The final film certainly has shades of The","the final film certainly has shades of the little mermaid"
"k8MlLjhtrdQ","00:04:47","00:04:51","Little Mermaid with Alberto collecting items from the human world and Luca being forbidden","with alberto collecting items from the human world and luca being"
"k8MlLjhtrdQ","00:04:51","00:04:56","from going to the surface, but it sounds like this original plot point would have made the","forbidden from going to the surface but it sounds like this original plot point would have made the film feel even more"
"k8MlLjhtrdQ","00:04:56","00:04:59","film feel even more like Pixar's The Little Merman.","like pixar's the little merman likewise more like pixar's the little merman likewise"
"k8MlLjhtrdQ","00:04:59","00:05:04","Likewise, Luca's original storyline where the young sea monsters set out to become fully-fledged","lucca's original storyline where the young sea monsters set out to become fully fledged human"
"k8MlLjhtrdQ","00:05:05","00:05:08","human boys also has a ring about it of the Italian children's novel Pinocchio, which","boys also has a ring about it of the italian children's novel pinocchio"
"k8MlLjhtrdQ","00:05:09","00:05:13","was adapted into a movie by Disney. And there are several easter eggs to the wooden","which was adapted into a movie by disney and there are actually several easter eggs to the wooden marionette"
"k8MlLjhtrdQ","00:05:13","00:05:17","marionette who desperately wanted to become a real human boy in the finished Pixar film.","who desperately wanted to become a real human boy in the finnish pixar"
"k8MlLjhtrdQ","00:05:18","00:05:22","However, Casarosa says that storyline got too complicated and he preferred a ""more lyrical","film however casaroza says that storyline got too complicated and he preferred a"
"k8MlLjhtrdQ","00:05:23","00:05:26","take on things"". So, he decided to strip everything back to","more lyrical take on things so he decided to strip everything back to what"
"k8MlLjhtrdQ","00:05:26","00:05:30","what he realised should be the heart of the film: the friendship between Luca and Alberto,","he realized should be the heart of the film the friendship between luca and alberto"
"k8MlLjhtrdQ","00:05:31","00:05:34","and he made those two children the centre of the story.","and he made those two children the center of the story further"
"k8MlLjhtrdQ","00:05:34","00:05:38","Further work was still needed on the characters because, as Luca's a bit introverted and very","work of course was still needed on the characters because as luke is a bit introverted"
"k8MlLjhtrdQ","00:05:39","00:05:43","quiet, Casarosa found that in some earlier versions of the script, it was difficult for","and very quiet casaroza found that in some earlier versions of the script it was difficult for the"
"k8MlLjhtrdQ","00:05:43","00:05:47","the audience to understand him. So, subconsciously inspired by his love of","audience to understand him so subconsciously inspired by his love"
"k8MlLjhtrdQ","00:05:48","00:05:52","Fellini's film 8½ and its dream sequences, for the final film Casarosa decided to take","of fellini's film eight and a half in its dream sequences for the final film kazuroza decided"
"k8MlLjhtrdQ","00:05:53","00:05:57","us literally inside Luca's head by showing us his daydreams.","to take us literally inside luca's head by showing us his daydreams"
"k8MlLjhtrdQ","00:05:58","00:06:01","Another thing that evolved during development was where the sea monsters lived.","another thing that evolved during development was where the sea monsters lived originally"
"k8MlLjhtrdQ","00:06:01","00:06:05","Originally, they were ""hiding in plain sight"" in their own town on an island, as you can","they were hiding in plain sight in their own town on an"
"k8MlLjhtrdQ","00:06:06","00:06:08","see in this concept art here from the Art of Luca book.","island as you can see in this concept art here from the art of luca"
"k8MlLjhtrdQ","00:06:09","00:06:13","And another piece of concept art shows how the monster island was shaped like an octopus.","book and another piece of concept art shows how the monster island was shaped like an octopus"
"k8MlLjhtrdQ","00:06:14","00:06:19","However, Casarosa and his team decided they only needed one town, so they ""just let the","however casaroza and his team decided that they only needed one town so they just let the monsters be well"
"k8MlLjhtrdQ","00:06:19","00:06:23","sea monsters be well-hidden"" instead. They did still keep the idea of an island","hidden instead just let the monsters be well hidden instead they did still keep the idea of an island though but"
"k8MlLjhtrdQ","00:06:24","00:06:27","though, but just as the location of Alberto's tower, and there may be another trace of the","just as the location of alberto's tower and there may be a trace of the original concept"
"k8MlLjhtrdQ","00:06:27","00:06:31","original concept in the way that one of the fishermen is afraid to go there.","also in the way that one of the fishermen is afraid to go there do"
"k8MlLjhtrdQ","00:06:31","00:06:34","""Do we really need to fish near the island?"" ""You worry too much.""","we really need to fish near the island you worry"
"k8MlLjhtrdQ","00:06:35","00:06:37","""I don't know. What if the old stories are true?""","too much i don't know what if the old stories are true some"
"k8MlLjhtrdQ","00:06:37","00:06:40","Some other interesting alternatives that were considered for the monster world are these","other interesting alternatives that were considered for the monster world"
"k8MlLjhtrdQ","00:06:41","00:06:45","illustrations of an underwater town that is similar in look to the human town and which","are these illustrations of an underwater town that's similar in luck to the human town and which"
