video_id,lang,text,timecode
kMXXL5fZTEY,English,,0:00 / 26:03
kMXXL5fZTEY,English,,0:01 / 26:03
kMXXL5fZTEY,English,,0:02 / 26:03
kMXXL5fZTEY,English,,0:03 / 26:03
kMXXL5fZTEY,English,,0:04 / 26:03
kMXXL5fZTEY,English,[powerful roaring and screeching],0:04 / 26:03
kMXXL5fZTEY,English,[powerful roaring and screeching],0:05 / 26:03
kMXXL5fZTEY,English,[powerful roaring and screeching],0:06 / 26:03
kMXXL5fZTEY,English,[powerful roaring and screeching],0:07 / 26:03
kMXXL5fZTEY,English,,0:07 / 26:03
kMXXL5fZTEY,English,,0:08 / 26:03
kMXXL5fZTEY,English,[heart beat and engine revving],0:08 / 26:03
kMXXL5fZTEY,English,[heart beat and engine revving],0:09 / 26:03
kMXXL5fZTEY,English,[heart beat and engine revving],0:10 / 26:03
kMXXL5fZTEY,English,,0:10 / 26:03
kMXXL5fZTEY,English,,0:11 / 26:03
kMXXL5fZTEY,English,,0:12 / 26:03
kMXXL5fZTEY,English,,0:13 / 26:03
kMXXL5fZTEY,English,,0:14 / 26:03
kMXXL5fZTEY,English,,0:15 / 26:03
kMXXL5fZTEY,English,,0:16 / 26:03
kMXXL5fZTEY,English,"[raptor tapping, huffing and growling]",0:16 / 26:03
kMXXL5fZTEY,English,"[raptor tapping, huffing and growling]",0:17 / 26:03
kMXXL5fZTEY,English,"[raptor tapping, huffing and growling]",0:18 / 26:03
kMXXL5fZTEY,English,"[raptor tapping, huffing and growling]",0:19 / 26:03
kMXXL5fZTEY,English,,0:19 / 26:03
kMXXL5fZTEY,English,,0:20 / 26:03
kMXXL5fZTEY,English,,0:21 / 26:03
kMXXL5fZTEY,English,,0:22 / 26:03
kMXXL5fZTEY,English,,0:23 / 26:03
kMXXL5fZTEY,English,,0:24 / 26:03
kMXXL5fZTEY,English,,0:25 / 26:03
kMXXL5fZTEY,English,,0:26 / 26:03
kMXXL5fZTEY,English,,0:27 / 26:03
kMXXL5fZTEY,English,,0:28 / 26:03
kMXXL5fZTEY,English,,0:29 / 26:03
kMXXL5fZTEY,English,,0:30 / 26:03
kMXXL5fZTEY,English,,0:31 / 26:03
kMXXL5fZTEY,English,[t.rex roaring and crashing sounds],0:31 / 26:03
kMXXL5fZTEY,English,[t.rex roaring and crashing sounds],0:32 / 26:03
kMXXL5fZTEY,English,[t.rex roaring and crashing sounds],0:33 / 26:03
kMXXL5fZTEY,English,[t.rex roaring and crashing sounds],0:34 / 26:03
kMXXL5fZTEY,English,[t.rex roaring and crashing sounds],0:35 / 26:03
kMXXL5fZTEY,English,[t.rex roaring and crashing sounds],0:36 / 26:03
kMXXL5fZTEY,English,[t.rex roaring and crashing sounds],0:37 / 26:03
kMXXL5fZTEY,English,[t.rex roaring and crashing sounds],0:38 / 26:03
kMXXL5fZTEY,English,,0:39 / 26:03
kMXXL5fZTEY,English,,0:40 / 26:03
kMXXL5fZTEY,English,[♫],0:40 / 26:03
kMXXL5fZTEY,English,[♫],0:41 / 26:03
kMXXL5fZTEY,English,[♫],0:42 / 26:03
kMXXL5fZTEY,English,[♫],0:43 / 26:03
kMXXL5fZTEY,English,[switches flipping on],0:43 / 26:03
kMXXL5fZTEY,English,[switches flipping on],0:44 / 26:03
kMXXL5fZTEY,English,[motorcycle revving],0:44 / 26:03
kMXXL5fZTEY,English,,0:45 / 26:03
kMXXL5fZTEY,English,,0:46 / 26:03
kMXXL5fZTEY,English,[door opening],0:46 / 26:03
kMXXL5fZTEY,English,,0:47 / 26:03
kMXXL5fZTEY,English,,0:48 / 26:03
kMXXL5fZTEY,English,,0:49 / 26:03
kMXXL5fZTEY,English,[ground breaking apart],0:49 / 26:03
kMXXL5fZTEY,English,[ground breaking apart],0:50 / 26:03
kMXXL5fZTEY,English,,0:51 / 26:03
kMXXL5fZTEY,English,,0:52 / 26:03
kMXXL5fZTEY,English,[motorcycle kick-starts],0:52 / 26:03
kMXXL5fZTEY,English,[motorcycle kick-starts],0:53 / 26:03
kMXXL5fZTEY,English,[shifting sounds],0:53 / 26:03
kMXXL5fZTEY,English,[space shuttle ignition],0:54 / 26:03
kMXXL5fZTEY,English,[space shuttle ignition],0:55 / 26:03
kMXXL5fZTEY,English,[torch lighting],0:55 / 26:03
kMXXL5fZTEY,English,[torch lighting],0:56 / 26:03
kMXXL5fZTEY,English,[space shuttle blast-off],0:56 / 26:03
kMXXL5fZTEY,English,,0:57 / 26:03
kMXXL5fZTEY,English,[jet engine sounds],0:58 / 26:03
kMXXL5fZTEY,English,,0:59 / 26:03
kMXXL5fZTEY,English,[match striking],0:59 / 26:03
kMXXL5fZTEY,English,[truck engine sounds],1:00 / 26:03
kMXXL5fZTEY,English,[truck engine sounds],1:01 / 26:03
kMXXL5fZTEY,English,[truck engine sounds],1:02 / 26:03
kMXXL5fZTEY,English,[dynamite explosion],1:02 / 26:03
kMXXL5fZTEY,English,[dynamite explosion],1:03 / 26:03
kMXXL5fZTEY,English,[dynamite explosion],1:04 / 26:03
kMXXL5fZTEY,English,[t.rex growling],1:05 / 26:03
kMXXL5fZTEY,English,[t.rex growling],1:06 / 26:03
kMXXL5fZTEY,English,[t.rex growling],1:07 / 26:03
kMXXL5fZTEY,English,[t.rex growling],1:08 / 26:03
kMXXL5fZTEY,English,[t.rex growling],1:09 / 26:03
kMXXL5fZTEY,English,[metal sounds],1:10 / 26:03
kMXXL5fZTEY,English,[metal sounds],1:11 / 26:03
kMXXL5fZTEY,English,[metal sounds],1:12 / 26:03
kMXXL5fZTEY,English,[metal sounds],1:13 / 26:03
kMXXL5fZTEY,English,[engine revving],1:13 / 26:03
kMXXL5fZTEY,English,[engine revving],1:14 / 26:03
kMXXL5fZTEY,English,[engine revving],1:15 / 26:03
kMXXL5fZTEY,English,"Hello, everybody. Now, that sets the tone for what you’re about to see.",1:16 / 26:03
kMXXL5fZTEY,English,"Hello, everybody. Now, that sets the tone for what you’re about to see.",1:17 / 26:03
kMXXL5fZTEY,English,"Hello, everybody. Now, that sets the tone for what you’re about to see.",1:18 / 26:03
kMXXL5fZTEY,English,"Hello, everybody. Now, that sets the tone for what you’re about to see.",1:19 / 26:03
kMXXL5fZTEY,English,"Hello, everybody. Now, that sets the tone for what you’re about to see.",1:20 / 26:03
kMXXL5fZTEY,English,"This year’s most eagerly anticipated new product announcement. Right here from Detroit, Michigan,",1:21 / 26:03
kMXXL5fZTEY,English,"This year’s most eagerly anticipated new product announcement. Right here from Detroit, Michigan,",1:22 / 26:03
kMXXL5fZTEY,English,"This year’s most eagerly anticipated new product announcement. Right here from Detroit, Michigan,",1:23 / 26:03
kMXXL5fZTEY,English,"This year’s most eagerly anticipated new product announcement. Right here from Detroit, Michigan,",1:24 / 26:03
kMXXL5fZTEY,English,"This year’s most eagerly anticipated new product announcement. Right here from Detroit, Michigan,",1:25 / 26:03
kMXXL5fZTEY,English,"This year’s most eagerly anticipated new product announcement. Right here from Detroit, Michigan,",1:26 / 26:03
kMXXL5fZTEY,English,"This year’s most eagerly anticipated new product announcement. Right here from Detroit, Michigan,",1:27 / 26:03
kMXXL5fZTEY,English,"and just down the road from our Sterling Heights and Warren Truck Assembly Plants,",1:28 / 26:03
kMXXL5fZTEY,English,"and just down the road from our Sterling Heights and Warren Truck Assembly Plants,",1:29 / 26:03
kMXXL5fZTEY,English,"and just down the road from our Sterling Heights and Warren Truck Assembly Plants,",1:30 / 26:03
kMXXL5fZTEY,English,"and just down the road from our Sterling Heights and Warren Truck Assembly Plants,",1:31 / 26:03
kMXXL5fZTEY,English,"and just down the road from our Sterling Heights and Warren Truck Assembly Plants,",1:32 / 26:03
kMXXL5fZTEY,English,where the Ram 1500 is built by our dedicated employees each and every day.,1:33 / 26:03
kMXXL5fZTEY,English,where the Ram 1500 is built by our dedicated employees each and every day.,1:34 / 26:03
kMXXL5fZTEY,English,where the Ram 1500 is built by our dedicated employees each and every day.,1:35 / 26:03
kMXXL5fZTEY,English,where the Ram 1500 is built by our dedicated employees each and every day.,1:36 / 26:03
kMXXL5fZTEY,English,where the Ram 1500 is built by our dedicated employees each and every day.,1:37 / 26:03
kMXXL5fZTEY,English,where the Ram 1500 is built by our dedicated employees each and every day.,1:38 / 26:03
kMXXL5fZTEY,English,where the Ram 1500 is built by our dedicated employees each and every day.,1:39 / 26:03
kMXXL5fZTEY,English,Their dedication in times like these truly has inspired us all.,1:39 / 26:03
kMXXL5fZTEY,English,Their dedication in times like these truly has inspired us all.,1:40 / 26:03
kMXXL5fZTEY,English,Their dedication in times like these truly has inspired us all.,1:41 / 26:03
kMXXL5fZTEY,English,Their dedication in times like these truly has inspired us all.,1:42 / 26:03
kMXXL5fZTEY,English,Their dedication in times like these truly has inspired us all.,1:43 / 26:03
kMXXL5fZTEY,English,Their dedication in times like these truly has inspired us all.,1:44 / 26:03
kMXXL5fZTEY,English,,1:45 / 26:03
kMXXL5fZTEY,English,"So today, as we celebrate them, we’re also excited to show you just how far that dedication can go.",1:45 / 26:03
kMXXL5fZTEY,English,"So today, as we celebrate them, we’re also excited to show you just how far that dedication can go.",1:46 / 26:03
kMXXL5fZTEY,English,"So today, as we celebrate them, we’re also excited to show you just how far that dedication can go.",1:47 / 26:03
kMXXL5fZTEY,English,"So today, as we celebrate them, we’re also excited to show you just how far that dedication can go.",1:48 / 26:03
kMXXL5fZTEY,English,"So today, as we celebrate them, we’re also excited to show you just how far that dedication can go.",1:49 / 26:03
kMXXL5fZTEY,English,"So today, as we celebrate them, we’re also excited to show you just how far that dedication can go.",1:50 / 26:03
kMXXL5fZTEY,English,"So today, as we celebrate them, we’re also excited to show you just how far that dedication can go.",1:51 / 26:03
kMXXL5fZTEY,English,"So today, as we celebrate them, we’re also excited to show you just how far that dedication can go.",1:52 / 26:03
kMXXL5fZTEY,English,When over 100 years of truck heritage meets a decade of innovation.,1:52 / 26:03
kMXXL5fZTEY,English,When over 100 years of truck heritage meets a decade of innovation.,1:53 / 26:03
kMXXL5fZTEY,English,When over 100 years of truck heritage meets a decade of innovation.,1:54 / 26:03
kMXXL5fZTEY,English,When over 100 years of truck heritage meets a decade of innovation.,1:55 / 26:03
kMXXL5fZTEY,English,When over 100 years of truck heritage meets a decade of innovation.,1:56 / 26:03
kMXXL5fZTEY,English,When over 100 years of truck heritage meets a decade of innovation.,1:57 / 26:03
kMXXL5fZTEY,English,When over 100 years of truck heritage meets a decade of innovation.,1:58 / 26:03
kMXXL5fZTEY,English,"And the fact is, ever since Ram became a stand-alone truck brand just over 10 years ago,",1:58 / 26:03
kMXXL5fZTEY,English,"And the fact is, ever since Ram became a stand-alone truck brand just over 10 years ago,",1:59 / 26:03
kMXXL5fZTEY,English,"And the fact is, ever since Ram became a stand-alone truck brand just over 10 years ago,",2:00 / 26:03
kMXXL5fZTEY,English,"And the fact is, ever since Ram became a stand-alone truck brand just over 10 years ago,",2:01 / 26:03
kMXXL5fZTEY,English,"And the fact is, ever since Ram became a stand-alone truck brand just over 10 years ago,",2:02 / 26:03
kMXXL5fZTEY,English,"And the fact is, ever since Ram became a stand-alone truck brand just over 10 years ago,",2:03 / 26:03
kMXXL5fZTEY,English,"And the fact is, ever since Ram became a stand-alone truck brand just over 10 years ago,",2:04 / 26:03
kMXXL5fZTEY,English,we’ve been redefining what a pickup truck can be.,2:05 / 26:03
kMXXL5fZTEY,English,we’ve been redefining what a pickup truck can be.,2:06 / 26:03
kMXXL5fZTEY,English,we’ve been redefining what a pickup truck can be.,2:07 / 26:03
kMXXL5fZTEY,English,we’ve been redefining what a pickup truck can be.,2:08 / 26:03
kMXXL5fZTEY,English,"And not because it was something we had to do, but because YOU asked for it.",2:08 / 26:03
kMXXL5fZTEY,English,"And not because it was something we had to do, but because YOU asked for it.",2:09 / 26:03
kMXXL5fZTEY,English,"And not because it was something we had to do, but because YOU asked for it.",2:10 / 26:03
kMXXL5fZTEY,English,"And not because it was something we had to do, but because YOU asked for it.",2:11 / 26:03
kMXXL5fZTEY,English,"And not because it was something we had to do, but because YOU asked for it.",2:12 / 26:03
kMXXL5fZTEY,English,"And not because it was something we had to do, but because YOU asked for it.",2:13 / 26:03
kMXXL5fZTEY,English,You have continuously pushed us to defy convention. ,2:14 / 26:03
kMXXL5fZTEY,English,You have continuously pushed us to defy convention. ,2:15 / 26:03
kMXXL5fZTEY,English,You have continuously pushed us to defy convention. ,2:16 / 26:03
kMXXL5fZTEY,English,"You’ve pushed us to create new standards. And in turn, other truck brands are trying to catch up.",2:17 / 26:03
kMXXL5fZTEY,English,"You’ve pushed us to create new standards. And in turn, other truck brands are trying to catch up.",2:18 / 26:03
kMXXL5fZTEY,English,"You’ve pushed us to create new standards. And in turn, other truck brands are trying to catch up.",2:19 / 26:03
kMXXL5fZTEY,English,"You’ve pushed us to create new standards. And in turn, other truck brands are trying to catch up.",2:20 / 26:03
kMXXL5fZTEY,English,"You’ve pushed us to create new standards. And in turn, other truck brands are trying to catch up.",2:21 / 26:03
kMXXL5fZTEY,English,"You’ve pushed us to create new standards. And in turn, other truck brands are trying to catch up.",2:22 / 26:03
kMXXL5fZTEY,English,"You’ve pushed us to create new standards. And in turn, other truck brands are trying to catch up.",2:23 / 26:03
kMXXL5fZTEY,English,"You’ve pushed us to create new standards. And in turn, other truck brands are trying to catch up.",2:24 / 26:03
kMXXL5fZTEY,English,"Now along the way, you’ve asked us to answer the question: ""What if?"" ",2:25 / 26:03
kMXXL5fZTEY,English,"Now along the way, you’ve asked us to answer the question: ""What if?"" ",2:26 / 26:03
kMXXL5fZTEY,English,"Now along the way, you’ve asked us to answer the question: ""What if?"" ",2:27 / 26:03
kMXXL5fZTEY,English,"Now along the way, you’ve asked us to answer the question: ""What if?"" ",2:28 / 26:03
kMXXL5fZTEY,English,"Now along the way, you’ve asked us to answer the question: ""What if?"" ",2:29 / 26:03
kMXXL5fZTEY,English,"Now along the way, you’ve asked us to answer the question: ""What if?"" ",2:30 / 26:03
kMXXL5fZTEY,English,"Now along the way, you’ve asked us to answer the question: ""What if?"" ",2:31 / 26:03
kMXXL5fZTEY,English,"What if Ram Trucks offered luxury that not only blew past the competition in the truck world,",2:31 / 26:03
kMXXL5fZTEY,English,"What if Ram Trucks offered luxury that not only blew past the competition in the truck world,",2:32 / 26:03
kMXXL5fZTEY,English,"What if Ram Trucks offered luxury that not only blew past the competition in the truck world,",2:33 / 26:03
kMXXL5fZTEY,English,"What if Ram Trucks offered luxury that not only blew past the competition in the truck world,",2:34 / 26:03
kMXXL5fZTEY,English,"What if Ram Trucks offered luxury that not only blew past the competition in the truck world,",2:35 / 26:03
kMXXL5fZTEY,English,"What if Ram Trucks offered luxury that not only blew past the competition in the truck world,",2:36 / 26:03
kMXXL5fZTEY,English,"What if Ram Trucks offered luxury that not only blew past the competition in the truck world,",2:37 / 26:03
kMXXL5fZTEY,English,"What if Ram Trucks offered luxury that not only blew past the competition in the truck world,",2:38 / 26:03
kMXXL5fZTEY,English,but also surpassed all luxury SUVs and sedans?,2:38 / 26:03
kMXXL5fZTEY,English,but also surpassed all luxury SUVs and sedans?,2:39 / 26:03
kMXXL5fZTEY,English,but also surpassed all luxury SUVs and sedans?,2:40 / 26:03
kMXXL5fZTEY,English,but also surpassed all luxury SUVs and sedans?,2:41 / 26:03
kMXXL5fZTEY,English,but also surpassed all luxury SUVs and sedans?,2:42 / 26:03
kMXXL5fZTEY,English,What if Ram Trucks offered powertrain solutions that maximized both power and efficiency?,2:42 / 26:03
kMXXL5fZTEY,English,What if Ram Trucks offered powertrain solutions that maximized both power and efficiency?,2:43 / 26:03
kMXXL5fZTEY,English,What if Ram Trucks offered powertrain solutions that maximized both power and efficiency?,2:44 / 26:03
kMXXL5fZTEY,English,What if Ram Trucks offered powertrain solutions that maximized both power and efficiency?,2:45 / 26:03
kMXXL5fZTEY,English,What if Ram Trucks offered powertrain solutions that maximized both power and efficiency?,2:46 / 26:03
kMXXL5fZTEY,English,What if Ram Trucks offered powertrain solutions that maximized both power and efficiency?,2:47 / 26:03
kMXXL5fZTEY,English,What if Ram Trucks offered powertrain solutions that maximized both power and efficiency?,2:48 / 26:03
kMXXL5fZTEY,English,What if Ram Trucks offered powertrain solutions that maximized both power and efficiency?,2:49 / 26:03
kMXXL5fZTEY,English,What if Ram Trucks offered powertrain solutions that maximized both power and efficiency?,2:50 / 26:03
kMXXL5fZTEY,English,What if Ram Trucks offered the most technologically advanced pickup ever built by the brand?,2:50 / 26:03
kMXXL5fZTEY,English,What if Ram Trucks offered the most technologically advanced pickup ever built by the brand?,2:51 / 26:03
kMXXL5fZTEY,English,What if Ram Trucks offered the most technologically advanced pickup ever built by the brand?,2:52 / 26:03
kMXXL5fZTEY,English,What if Ram Trucks offered the most technologically advanced pickup ever built by the brand?,2:53 / 26:03
kMXXL5fZTEY,English,What if Ram Trucks offered the most technologically advanced pickup ever built by the brand?,2:54 / 26:03
kMXXL5fZTEY,English,What if Ram Trucks offered the most technologically advanced pickup ever built by the brand?,2:55 / 26:03
kMXXL5fZTEY,English,What if Ram Trucks offered the most technologically advanced pickup ever built by the brand?,2:56 / 26:03
kMXXL5fZTEY,English,"Well, no longer are those ""What ifs!""",2:57 / 26:03
kMXXL5fZTEY,English,"Well, no longer are those ""What ifs!""",2:58 / 26:03
kMXXL5fZTEY,English,"Well, no longer are those ""What ifs!""",2:59 / 26:03
kMXXL5fZTEY,English,"We answered those questions, and maybe even a few more that you didn’t even know you had.",3:00 / 26:03
kMXXL5fZTEY,English,"We answered those questions, and maybe even a few more that you didn’t even know you had.",3:01 / 26:03
kMXXL5fZTEY,English,"We answered those questions, and maybe even a few more that you didn’t even know you had.",3:02 / 26:03
kMXXL5fZTEY,English,"We answered those questions, and maybe even a few more that you didn’t even know you had.",3:03 / 26:03
kMXXL5fZTEY,English,"We answered those questions, and maybe even a few more that you didn’t even know you had.",3:04 / 26:03
kMXXL5fZTEY,English,"We answered those questions, and maybe even a few more that you didn’t even know you had.",3:05 / 26:03
kMXXL5fZTEY,English,"And now, more than ever, it’s clear that the power has shifted to Ram.",3:06 / 26:03
kMXXL5fZTEY,English,"And now, more than ever, it’s clear that the power has shifted to Ram.",3:07 / 26:03
kMXXL5fZTEY,English,"And now, more than ever, it’s clear that the power has shifted to Ram.",3:08 / 26:03
kMXXL5fZTEY,English,"And now, more than ever, it’s clear that the power has shifted to Ram.",3:09 / 26:03
kMXXL5fZTEY,English,"And now, more than ever, it’s clear that the power has shifted to Ram.",3:10 / 26:03
kMXXL5fZTEY,English,"And now, more than ever, it’s clear that the power has shifted to Ram.",3:11 / 26:03
kMXXL5fZTEY,English,"And now, more than ever, it’s clear that the power has shifted to Ram.",3:12 / 26:03
kMXXL5fZTEY,English,We have the Back-To-Back MotorTrend Truck of the Year® Award for both Ram 1500 and Ram Heavy Duty.,3:13 / 26:03
kMXXL5fZTEY,English,We have the Back-To-Back MotorTrend Truck of the Year® Award for both Ram 1500 and Ram Heavy Duty.,3:14 / 26:03
kMXXL5fZTEY,English,We have the Back-To-Back MotorTrend Truck of the Year® Award for both Ram 1500 and Ram Heavy Duty.,3:15 / 26:03
kMXXL5fZTEY,English,We have the Back-To-Back MotorTrend Truck of the Year® Award for both Ram 1500 and Ram Heavy Duty.,3:16 / 26:03
kMXXL5fZTEY,English,We have the Back-To-Back MotorTrend Truck of the Year® Award for both Ram 1500 and Ram Heavy Duty.,3:17 / 26:03
kMXXL5fZTEY,English,We have the Back-To-Back MotorTrend Truck of the Year® Award for both Ram 1500 and Ram Heavy Duty.,3:18 / 26:03
kMXXL5fZTEY,English,We have the Back-To-Back MotorTrend Truck of the Year® Award for both Ram 1500 and Ram Heavy Duty.,3:19 / 26:03
kMXXL5fZTEY,English,We have the Back-To-Back MotorTrend Truck of the Year® Award for both Ram 1500 and Ram Heavy Duty.,3:20 / 26:03
kMXXL5fZTEY,English,We have the most loyal truck owners in America!,3:21 / 26:03
kMXXL5fZTEY,English,We have the most loyal truck owners in America!,3:22 / 26:03
kMXXL5fZTEY,English,We have the most loyal truck owners in America!,3:23 / 26:03
kMXXL5fZTEY,English,We have the most loyal truck owners in America!,3:24 / 26:03
kMXXL5fZTEY,English,"And even those previously loyal Ford, Chevy and GMC owners are switching to Ram.",3:25 / 26:03
kMXXL5fZTEY,English,"And even those previously loyal Ford, Chevy and GMC owners are switching to Ram.",3:26 / 26:03
kMXXL5fZTEY,English,"And even those previously loyal Ford, Chevy and GMC owners are switching to Ram.",3:27 / 26:03
kMXXL5fZTEY,English,"And even those previously loyal Ford, Chevy and GMC owners are switching to Ram.",3:28 / 26:03
kMXXL5fZTEY,English,"And even those previously loyal Ford, Chevy and GMC owners are switching to Ram.",3:29 / 26:03
kMXXL5fZTEY,English,"And even those previously loyal Ford, Chevy and GMC owners are switching to Ram.",3:30 / 26:03
kMXXL5fZTEY,English,"And for those of you who are still on the fence,",3:31 / 26:03
kMXXL5fZTEY,English,"And for those of you who are still on the fence,",3:32 / 26:03
kMXXL5fZTEY,English,"And for those of you who are still on the fence,",3:33 / 26:03
kMXXL5fZTEY,English,recent news from J.D. Power should answer any further questions you may have,3:34 / 26:03
kMXXL5fZTEY,English,recent news from J.D. Power should answer any further questions you may have,3:35 / 26:03
kMXXL5fZTEY,English,recent news from J.D. Power should answer any further questions you may have,3:36 / 26:03
kMXXL5fZTEY,English,recent news from J.D. Power should answer any further questions you may have,3:37 / 26:03
