"video_id","min_timecode","max_timecode","text.user","text.auto"
"kqDwcjF5gW8","00:00:00","00:00:02","",""
"kqDwcjF5gW8","00:00:05","00:00:07","[SIGH]","operators"
"kqDwcjF5gW8","00:00:07","00:00:10","ANNOUNCER: Operators, get ready for the final round.","get ready for the final round"
"kqDwcjF5gW8","00:00:13","00:00:13","ANNOUNCER: Match in overtime.","matching overtime"
"kqDwcjF5gW8","00:00:14","00:00:17","SAM: Team Mira ties the game.","demaritize the game"
"kqDwcjF5gW8","00:00:18","00:00:18","Are you a betting man, Harry?","are you a betting man"
"kqDwcjF5gW8","00:00:19","00:00:21"," You assume I favor one side over the other.","harry do you assume i favor one side over the other"
"kqDwcjF5gW8","00:00:22","00:00:23","You know me better than that, Sam.","you know me better than that sam"
"kqDwcjF5gW8","00:00:24","00:00:26","Besides, I left my wallet at home.","besides i left my wallet at"
"kqDwcjF5gW8","00:00:27","00:00:29","ANNOUNCER: Attackers, prepare for insertion.","home attackers prepare for"
"kqDwcjF5gW8","00:00:29","00:00:32","[CROWD YELLING]","[Applause] prepare for [Applause]"
"kqDwcjF5gW8","00:00:34","00:00:37","",""
"kqDwcjF5gW8","00:00:39","00:00:41","ANNOUNCER: Team Ash has breached the map.","has reached the"
"kqDwcjF5gW8","00:00:42","00:00:46","[SUSPENSEFUL MUSIC]","map"
"kqDwcjF5gW8","00:00:58","00:00:59"," [INAUDIBLE] now.","joker now roger"
"kqDwcjF5gW8","00:00:59","00:01:00"," Roger.","let's go fishing"
"kqDwcjF5gW8","00:01:08","00:01:10"," Good to go, Jordan.","good to go jordan copy"
"kqDwcjF5gW8","00:01:11","00:01:23","","that [Applause]"
"kqDwcjF5gW8","00:01:24","00:01:25","ANNOUNCER: Three attackers remaining.","three attackers remaining"
"kqDwcjF5gW8","00:01:35","00:01:38","",""
"kqDwcjF5gW8","00:01:39","00:01:41","[FIRES WEAPON]","covered"
"kqDwcjF5gW8","00:01:47","00:01:50"," (CALMLY) Come out and play.","come out and"
"kqDwcjF5gW8","00:01:52","00:01:53","[WEAPONS FIRING]","play"
"kqDwcjF5gW8","00:01:54","00:01:57","ANNOUNCER: Only two attackers remain.","two"
"kqDwcjF5gW8","00:02:05","00:02:08","[SUSPENSEFUL MUSIC]","defenders"
"kqDwcjF5gW8","00:02:20","00:02:21","ANNOUNCER: Team Ash wins!","oh"
"kqDwcjF5gW8","00:02:22","00:02:23","HARRY: Something tells me that didn't come out","something tells me that didn't come out of"
"kqDwcjF5gW8","00:02:24","00:02:24","of the playbook.","the playbook"
"kqDwcjF5gW8","00:02:24","00:02:27"," Not in our playbook, anyway.","not in our playbook anyway of the playbook not in our playbook anyway something tells"
"kqDwcjF5gW8","00:02:27","00:02:29","Something tells me this fight ain't over.","me this fight ain't"
"kqDwcjF5gW8","00:02:34","00:02:36"," (FROM OTHER ROOM) To be able to react quickly,","be able to over quickly you must remove"
"kqDwcjF5gW8","00:02:36","00:02:39","you must remove unnecessary barriers from the equation.","unnecessary variables"
"kqDwcjF5gW8","00:02:40","00:02:42","Emotion, for one, as well as the fear of consequences.","as well as the fear of consequences"
"kqDwcjF5gW8","00:02:43","00:02:47","Good reaction time and instinct can't be bought.","instinct can't be bought that won't stop me"
"kqDwcjF5gW8","00:02:47","00:02:48","That won't stop me from trying.","from trying"
"kqDwcjF5gW8","00:02:48","00:02:51"," I don't know how you do things in the private sector,","i don't know how you do things in the private sector but"
"kqDwcjF5gW8","00:02:51","00:02:53","but we do not use people as bait here.","we do not use people as bait here"
"kqDwcjF5gW8","00:02:54","00:02:56"," This is a game, princess.","this is a game princess and i just"
"kqDwcjF5gW8","00:02:56","00:02:59","And I just won it for you.","want it for you"
"kqDwcjF5gW8","00:03:00","00:03:01"," Keep her back!","keep her"
"kqDwcjF5gW8","00:03:02","00:03:03"," Steady, now.","back"
"kqDwcjF5gW8","00:03:13","00:03:18","[DRAMATIC MUSIC]","oh"
"kqDwcjF5gW8","00:03:18","00:03:28","",""
