video_id,lang,text,timecode
m7fS0eNHFxE,English,,0:00 / 3:48
m7fS0eNHFxE,English,,0:01 / 3:48
m7fS0eNHFxE,English,- (upbeat music),0:01 / 3:48
m7fS0eNHFxE,English,- (upbeat music),0:02 / 3:48
m7fS0eNHFxE,English,- (upbeat music),0:03 / 3:48
m7fS0eNHFxE,English,,0:04 / 3:48
m7fS0eNHFxE,English,,0:05 / 3:48
m7fS0eNHFxE,English,,0:06 / 3:48
m7fS0eNHFxE,English,,0:07 / 3:48
m7fS0eNHFxE,English,- [Kelly] Lady Gaga and Ariana set the stage on fire.,0:07 / 3:48
m7fS0eNHFxE,English,- [Kelly] Lady Gaga and Ariana set the stage on fire.,0:08 / 3:48
m7fS0eNHFxE,English,- [Kelly] Lady Gaga and Ariana set the stage on fire.,0:09 / 3:48
m7fS0eNHFxE,English,- [Kelly] Lady Gaga and Ariana set the stage on fire.,0:10 / 3:48
m7fS0eNHFxE,English,BTS brings the moves.,0:11 / 3:48
m7fS0eNHFxE,English,BTS brings the moves.,0:12 / 3:48
m7fS0eNHFxE,English,The Weeknd blinds everyone high above New York city.,0:12 / 3:48
m7fS0eNHFxE,English,The Weeknd blinds everyone high above New York city.,0:13 / 3:48
m7fS0eNHFxE,English,The Weeknd blinds everyone high above New York city.,0:14 / 3:48
m7fS0eNHFxE,English,The Weeknd blinds everyone high above New York city.,0:15 / 3:48
m7fS0eNHFxE,English,And Miley's got a new wrecking ball.,0:16 / 3:48
m7fS0eNHFxE,English,And Miley's got a new wrecking ball.,0:17 / 3:48
m7fS0eNHFxE,English,"The VMAs is where the quarantine escape, we all needed.",0:18 / 3:48
m7fS0eNHFxE,English,"The VMAs is where the quarantine escape, we all needed.",0:19 / 3:48
m7fS0eNHFxE,English,"The VMAs is where the quarantine escape, we all needed.",0:20 / 3:48
m7fS0eNHFxE,English,The Rona didn't stop MTV,0:21 / 3:48
m7fS0eNHFxE,English,The Rona didn't stop MTV,0:22 / 3:48
m7fS0eNHFxE,English,as host Keke Palmer kicked off,0:23 / 3:48
m7fS0eNHFxE,English,as host Keke Palmer kicked off,0:24 / 3:48
m7fS0eNHFxE,English,the show from the Epic New York city set.,0:25 / 3:48
m7fS0eNHFxE,English,the show from the Epic New York city set.,0:26 / 3:48
m7fS0eNHFxE,English,She also began by dedicating the show,0:27 / 3:48
m7fS0eNHFxE,English,She also began by dedicating the show,0:28 / 3:48
m7fS0eNHFxE,English,She also began by dedicating the show,0:29 / 3:48
m7fS0eNHFxE,English,to the late Chadwick Boseman.,0:29 / 3:48
m7fS0eNHFxE,English,to the late Chadwick Boseman.,0:30 / 3:48
m7fS0eNHFxE,English,to the late Chadwick Boseman.,0:31 / 3:48
m7fS0eNHFxE,English,- We dedicate tonight's show,0:31 / 3:48
m7fS0eNHFxE,English,- We dedicate tonight's show,0:32 / 3:48
m7fS0eNHFxE,English,to a man who's spirit touched so many.,0:33 / 3:48
m7fS0eNHFxE,English,to a man who's spirit touched so many.,0:34 / 3:48
m7fS0eNHFxE,English,to a man who's spirit touched so many.,0:35 / 3:48
m7fS0eNHFxE,English,"- [Kelly] The Weeknd kicked things off with blinding lights,",0:35 / 3:48
m7fS0eNHFxE,English,"- [Kelly] The Weeknd kicked things off with blinding lights,",0:36 / 3:48
m7fS0eNHFxE,English,"- [Kelly] The Weeknd kicked things off with blinding lights,",0:37 / 3:48
m7fS0eNHFxE,English,"literally, as he performed his hit single",0:37 / 3:48
m7fS0eNHFxE,English,"literally, as he performed his hit single",0:38 / 3:48
m7fS0eNHFxE,English,"literally, as he performed his hit single",0:39 / 3:48
m7fS0eNHFxE,English,"literally, as he performed his hit single",0:40 / 3:48
m7fS0eNHFxE,English,"a thousand feet above New York,",0:40 / 3:48
m7fS0eNHFxE,English,"a thousand feet above New York,",0:41 / 3:48
m7fS0eNHFxE,English,"a thousand feet above New York,",0:42 / 3:48
m7fS0eNHFxE,English,"surrounded by the skylines, strobes",0:42 / 3:48
m7fS0eNHFxE,English,"surrounded by the skylines, strobes",0:43 / 3:48
m7fS0eNHFxE,English,and even fireworks.,0:44 / 3:48
m7fS0eNHFxE,English,and even fireworks.,0:45 / 3:48
m7fS0eNHFxE,English,(upbeat music),0:46 / 3:48
m7fS0eNHFxE,English,(upbeat music),0:47 / 3:48
m7fS0eNHFxE,English,(upbeat music),0:48 / 3:48
m7fS0eNHFxE,English,♪ I'm blinded by the lights ♪,0:48 / 3:48
m7fS0eNHFxE,English,♪ I'm blinded by the lights ♪,0:49 / 3:48
m7fS0eNHFxE,English,♪ I'm blinded by the lights ♪,0:50 / 3:48
m7fS0eNHFxE,English,- [Kelly] And later won best R&B for the song,0:51 / 3:48
m7fS0eNHFxE,English,- [Kelly] And later won best R&B for the song,0:52 / 3:48
m7fS0eNHFxE,English,with an emotional message.,0:52 / 3:48
m7fS0eNHFxE,English,with an emotional message.,0:53 / 3:48
m7fS0eNHFxE,English,with an emotional message.,0:54 / 3:48
m7fS0eNHFxE,English,- It's getting hard to celebrate.,0:55 / 3:48
m7fS0eNHFxE,English,So I'm gonna say justice for Jacob Blake,0:55 / 3:48
m7fS0eNHFxE,English,So I'm gonna say justice for Jacob Blake,0:56 / 3:48
m7fS0eNHFxE,English,So I'm gonna say justice for Jacob Blake,0:57 / 3:48
m7fS0eNHFxE,English,and justice for Brianna Taylor.,0:58 / 3:48
m7fS0eNHFxE,English,and justice for Brianna Taylor.,0:59 / 3:48
m7fS0eNHFxE,English,Thank you.,1:00 / 3:48
