"video_id","min_timecode","max_timecode","text.user","text.auto"
"m7fS0eNHFxE","00:00:00","00:00:01","",""
"m7fS0eNHFxE","00:00:01","00:00:03","- (upbeat music)","[Music]"
"m7fS0eNHFxE","00:00:04","00:00:07","","[Applause] lady"
"m7fS0eNHFxE","00:00:07","00:00:10","- [Kelly] Lady Gaga and Ariana set the stage on fire.","gaga and ariana set the stage on fire bts"
"m7fS0eNHFxE","00:00:11","00:00:12","BTS brings the moves.","brings the moves the"
"m7fS0eNHFxE","00:00:12","00:00:15","The Weeknd blinds everyone high above New York city.","weekend blinds everyone high above new york city"
"m7fS0eNHFxE","00:00:16","00:00:17","And Miley's got a new wrecking ball.","and molly's got a new wrecking ball"
"m7fS0eNHFxE","00:00:18","00:00:20","The VMAs is where the quarantine escape, we all needed.","the vmas were the quarantine escape we all needed"
"m7fS0eNHFxE","00:00:21","00:00:22","The Rona didn't stop MTV","the rona didn't stop mtv"
"m7fS0eNHFxE","00:00:23","00:00:24","as host Keke Palmer kicked off","as host kiki palmer kicked off the show"
"m7fS0eNHFxE","00:00:25","00:00:26","the show from the Epic New York city set.","from the epic new york city set"
"m7fS0eNHFxE","00:00:27","00:00:29","She also began by dedicating the show","she also began by dedicating the"
"m7fS0eNHFxE","00:00:29","00:00:31","to the late Chadwick Boseman.","show to the late chadwick bozeman we"
"m7fS0eNHFxE","00:00:31","00:00:32","- We dedicate tonight's show","dedicate tonight's show"
"m7fS0eNHFxE","00:00:33","00:00:35","to a man who's spirit touched so many.","to a man whose spirit touched so many the we can't"
"m7fS0eNHFxE","00:00:35","00:00:37","- [Kelly] The Weeknd kicked things off with blinding lights,","kick things off with blinding lights"
"m7fS0eNHFxE","00:00:37","00:00:40","literally, as he performed his hit single","literally as he performed his hit single a thousand"
"m7fS0eNHFxE","00:00:40","00:00:42","a thousand feet above New York,","feet above new york surrounded"
"m7fS0eNHFxE","00:00:42","00:00:43","surrounded by the skylines, strobes","by the skyline strobes"
"m7fS0eNHFxE","00:00:44","00:00:45","and even fireworks.","and even fireworks"
"m7fS0eNHFxE","00:00:46","00:00:48","(upbeat music)","[Music]"
"m7fS0eNHFxE","00:00:48","00:00:50","♪ I'm blinded by the lights ♪","and"
"m7fS0eNHFxE","00:00:51","00:00:52","- [Kelly] And later won best R&B for the song","later won best r b for the song"
"m7fS0eNHFxE","00:00:52","00:00:54","with an emotional message.","with an emotional message again hard"
"m7fS0eNHFxE","00:00:55","00:00:55","- It's getting hard to celebrate.","to celebrate"
"m7fS0eNHFxE","00:00:55","00:00:57","So I'm gonna say justice for Jacob Blake","so i'm going to say justice for jacob blake and"
"m7fS0eNHFxE","00:00:58","00:00:59","and justice for Brianna Taylor.","justice for briana taylor thank"
"m7fS0eNHFxE","00:01:00","00:01:00","Thank you.","you after"
"m7fS0eNHFxE","00:01:00","00:01:01","- [Kelly] After news that J Balvin","news that jay balvin and roddy"
"m7fS0eNHFxE","00:01:01","00:01:03","and Roddy Ricch pulled out of the award show,","rich pull out of the awards show"
"m7fS0eNHFxE","00:01:03","00:01:05","MTV announced DaBaby would instead take","mtv announced the baby would instead take the stage"
"m7fS0eNHFxE","00:01:06","00:01:07","the stage for the first time ever.","for the first time ever his performances"
"m7fS0eNHFxE","00:01:07","00:01:10","His performances of late have been social justice motivated.","of late have been social justice motivated and the"
"m7fS0eNHFxE","00:01:11","00:01:12","And the police imagery combined","police imagery combined with a"
"m7fS0eNHFxE","00:01:12","00:01:15","with a city on fire was a huge nod to the movement.","city on fire was a huge nod to the movement"
"m7fS0eNHFxE","00:01:15","00:01:17","♪ I got a big drum, it hold a hundred ♪","[Music]"
"m7fS0eNHFxE","00:01:21","00:01:21","- [Kelly] Gaga's mask games,","gaga's mass"
"m7fS0eNHFxE","00:01:22","00:01:25","slayed as she took home several awards.","game slayed as she took home several awards she and ariana"
"m7fS0eNHFxE","00:01:25","00:01:27","She and Ariana took home best collaboration","took home best collaboration and song"
"m7fS0eNHFxE","00:01:28","00:01:29","and song of the year for, ""Rain on me.""","of the year for rain on me and"
"m7fS0eNHFxE","00:01:29","00:01:31","And she also took home best artist.","she also took home best artists"
"m7fS0eNHFxE","00:01:32","00:01:32","",""
"m7fS0eNHFxE","00:01:33","00:01:34","- Thank you MTV,","thank you mtv thank you fans"
"m7fS0eNHFxE","00:01:35","00:01:35","I love you you're the best.","i love you the best"
"m7fS0eNHFxE","00:01:36","00:01:37","- [Kelly] She took the stage later in the night","she took the stage later in the night to"
"m7fS0eNHFxE","00:01:38","00:01:40","to perform the hit song with all the mask,","perform the hit song with all the masks those chromatic"
"m7fS0eNHFxE","00:01:40","00:01:41","those chromatic outfits","outfits"
"m7fS0eNHFxE","00:01:42","00:01:44","and the iconic choreo.","and the iconic choreo"
"m7fS0eNHFxE","00:01:44","00:01:46","♪ I'll never be troubled ♪","[Music]"
"m7fS0eNHFxE","00:01:47","00:01:49","♪ In this time of life ♪","and"
"m7fS0eNHFxE","00:01:49","00:01:52","- [Kelly] And of course she gave us her stupid love.","of course she gave us her stupid"
"m7fS0eNHFxE","00:01:52","00:01:55","♪ I want your stupid love ♪","love she also"
"m7fS0eNHFxE","00:01:55","00:01:56","- [Kelly] She also took to the stage","took to the stage to"
"m7fS0eNHFxE","00:01:56","00:01:59","to accept the show's first ever MTV Tricon award","accept the show's first ever mtv tricon award"
"m7fS0eNHFxE","00:02:00","00:02:01","for her unparalleled impact","for her unparalleled impact"
"m7fS0eNHFxE","00:02:02","00:02:04","and dedication to music, fashion, and activism.","and dedication to music fashion and activism"
"m7fS0eNHFxE","00:02:05","00:02:07","And again, we loved all her mask.","and again we loved all her masks all"
"m7fS0eNHFxE","00:02:07","00:02:08","All of them.","of them every"
"m7fS0eNHFxE","00:02:09","00:02:09","Every one of them.","one of"
"m7fS0eNHFxE","00:02:10","00:02:11","That one too.","them that one too but wear a"
"m7fS0eNHFxE","00:02:12","00:02:12","- But wear a mask.","mask"
"m7fS0eNHFxE","00:02:12","00:02:13","It's a sign of respect.","it's a sign of respect"
"m7fS0eNHFxE","00:02:14","00:02:14","Thank you.","thank you mother monster"
"m7fS0eNHFxE","00:02:15","00:02:16","- Mother monster knows how to make a good point.","knows how to make a good point"
"m7fS0eNHFxE","00:02:17","00:02:19","Miley Cyrus made her debut of, ""Midnight sky""","miley cyrus made her debut of midnight sky with an epic"
"m7fS0eNHFxE","00:02:19","00:02:21","with an Epic seventies feel,","70s feel complete with a"
"m7fS0eNHFxE","00:02:21","00:02:23","complete with a disco wrecking ball.","disco wrecking ball a definite upgrade"
"m7fS0eNHFxE","00:02:24","00:02:25","♪ That I was born to run ♪","[Music] definite upgrade [Music]"
"m7fS0eNHFxE","00:02:28","00:02:29","♪ Oh no ♪","and spicing"
"m7fS0eNHFxE","00:02:29","00:02:31","- And spicing up the night, Maluma brought the heat","up the night maluma brought the heat"
"m7fS0eNHFxE","00:02:32","00:02:33","in a yellow suit at the drive in,","in the yellow suit at the"
"m7fS0eNHFxE","00:02:34","00:02:38","(Maluma singing in a foreign language)","drive-in the heat in the yellow suit at the drive-in [Music]"
"m7fS0eNHFxE","00:02:39","00:02:39","","i would have"
"m7fS0eNHFxE","00:02:40","00:02:41","- I would have appreciated that address.","appreciated that address he"
"m7fS0eNHFxE","00:02:41","00:02:42","He then won best latin","then won best latin"
"m7fS0eNHFxE","00:02:43","00:02:46","and did his acceptance speech in Spanish to show the love.","and did his acceptance speech in spanish to show the love the boys of bts"
"m7fS0eNHFxE","00:02:46","00:02:49","The boys of BTS made their VMA debut.","made their vma debut"
"m7fS0eNHFxE","00:02:50","00:02:53","♪ Light it up like dynamite ♪` ♪","[Music] bringing"
"m7fS0eNHFxE","00:02:53","00:02:54","- [Kelly] Bringing hot moves,","hot moves fireworks"
"m7fS0eNHFxE","00:02:55","00:02:56","fireworks, and winning best pop","and winning best pop"
"m7fS0eNHFxE","00:02:57","00:02:57","and best K-pop,","and best k-pop"
"m7fS0eNHFxE","00:02:58","00:03:01","best choreography and best group for the army.","best choreography and best groove for the army push artist"
"m7fS0eNHFxE","00:03:01","00:03:03","PUSH artist, Doja Cat brought all the vibes","dosiacat brought all the"
"m7fS0eNHFxE","00:03:04","00:03:05","with long green hair","vibes with long green hair and an out"
"m7fS0eNHFxE","00:03:06","00:03:07","and an out of this world rendition","of this world rendition of her number"
"m7fS0eNHFxE","00:03:07","00:03:09","of her number one billboard hit, ""Say so.""","one billboard hit say-so"
"m7fS0eNHFxE","00:03:14","00:03:16","- [Kelly] And boy, do I love the Black Eyed Peas.","and boy do i love the black-eyed peas"
"m7fS0eNHFxE","00:03:17","00:03:19","They got the internet talking for wearing pants,","they got the internet talking for wearing pants lighting"
"m7fS0eNHFxE","00:03:19","00:03:21","lighting up in an interesting location","up in an interesting location"
"m7fS0eNHFxE","00:03:22","00:03:24","and closing the show with, ""I gotta feeling.""","and closing the show with i got a feeling"
"m7fS0eNHFxE","00:03:28","00:03:30","- That tonight's gonna be a good,","that tonight's gonna be a good"
"m7fS0eNHFxE","00:03:31","00:03:31","good night.","good"
"m7fS0eNHFxE","00:03:32","00:03:33","",""
"m7fS0eNHFxE","00:03:34","00:03:35","What a time from right here at home.","what a time from right here at home"
"m7fS0eNHFxE","00:03:36","00:03:38","To check the fullest of winners like Taylor Swift's win","to check the full list of winners like taylor swift's win for"
"m7fS0eNHFxE","00:03:39","00:03:40","for best director, head over to billboard.com,","best director head over to billboard.com"
