"video_id","min_timecode","max_timecode","text.user","text.auto"
"mZGrq9lCB7g","00:00:00","00:00:02","","[Music] [Applause]"
"mZGrq9lCB7g","00:00:03","00:00:06","(Some moments echo throughout the galaxy...)","some moments echo throughout the galaxy"
"mZGrq9lCB7g","00:00:07","00:00:10","EMPEROR PALPATINE Execute Order 66.","[Music]"
"mZGrq9lCB7g","00:00:10","00:00:10","",""
"mZGrq9lCB7g","00:00:11","00:00:15","(Wars rage... Empires rise...)","wars rage empires rise"
"mZGrq9lCB7g","00:00:15","00:00:15","",""
"mZGrq9lCB7g","00:00:19","00:00:23","into the First Galactic Empire!","[Applause] but"
"mZGrq9lCB7g","00:00:23","00:00:26","(But this is the journey of an unlikely few.)","this is the journey of an unlikely few"
"mZGrq9lCB7g","00:00:26","00:00:27","",""
"mZGrq9lCB7g","00:00:28","00:00:29","(Meet the Bad Batch.)","meet the bad batch"
"mZGrq9lCB7g","00:00:30","00:00:30","",""
"mZGrq9lCB7g","00:00:31","00:00:32","HUNTER You ready for this?","you ready for this"
"mZGrq9lCB7g","00:00:32","00:00:34","","hunter the leader in"
"mZGrq9lCB7g","00:00:35","00:00:37","HUNTER In and out. Quickly and quietly.","and out quickly and quietly"
"mZGrq9lCB7g","00:00:38","00:00:41","","wrecker the brawler i'm missing"
"mZGrq9lCB7g","00:00:41","00:00:43","WRECKER I'm missing all the action!","all the action"
"mZGrq9lCB7g","00:00:44","00:00:45","","tech the specialist"
"mZGrq9lCB7g","00:00:46","00:00:48","TECH This is not a standard military operation.","this is not a standard military operation"
"mZGrq9lCB7g","00:00:49","00:00:51","","echo the hacker this"
"mZGrq9lCB7g","00:00:52","00:00:53","ECHO This great plan of yours","great plan of yours is looking really"
"mZGrq9lCB7g","00:00:53","00:00:55","is looking really lousy about now.","lousy about now"
"mZGrq9lCB7g","00:00:56","00:00:57","","and crosshair the marksmen"
"mZGrq9lCB7g","00:00:58","00:00:59","CROSSHAIR Go away.","go away"
"mZGrq9lCB7g","00:01:00","00:01:03","",""
"mZGrq9lCB7g","00:01:04","00:01:06","(Altered by genetic mutations...)","altered by genetic mutations"
"mZGrq9lCB7g","00:01:06","00:01:09","(...a ragtag band of clones struggles for survival...)","a ragtag band of clones struggles for"
"mZGrq9lCB7g","00:01:10","00:01:10","",""
"mZGrq9lCB7g","00:01:11","00:01:11","ECHO Knife!","survival"
"mZGrq9lCB7g","00:01:12","00:01:12","",""
"mZGrq9lCB7g","00:01:12","00:01:17","(...and their choices will determine their fate in a dangerous new galaxy.)","and their choices will determine their fate in a dangerous new"
"mZGrq9lCB7g","00:01:18","00:01:20","",""
"mZGrq9lCB7g","00:01:24","00:01:26","","galaxy"
