video_id,lang,text,timecode
meUpKhUKZ94,English (United States),,0:00 / 5:03
meUpKhUKZ94,English (United States),"- Oh, my. Hi...",0:01 / 5:03
meUpKhUKZ94,English (United States),"- Oh, my. Hi...",0:02 / 5:03
meUpKhUKZ94,English (United States),"- Oh, my. Hi...",0:03 / 5:03
meUpKhUKZ94,English (United States),- Hello. - Hello!,0:03 / 5:03
meUpKhUKZ94,English (United States),- Hello. - Hello!,0:04 / 5:03
meUpKhUKZ94,English (United States),- Hello. - Hello!,0:05 / 5:03
meUpKhUKZ94,English (United States),- Hello? [taps microphone],0:06 / 5:03
meUpKhUKZ94,English (United States),- Hello? [taps microphone],0:07 / 5:03
meUpKhUKZ94,English (United States),- It's on. - Hello?,0:07 / 5:03
meUpKhUKZ94,English (United States),- It's on. - Hello?,0:08 / 5:03
meUpKhUKZ94,English (United States),"- You're on. You're on. - Oh, okay.",0:08 / 5:03
meUpKhUKZ94,English (United States),"- You're on. You're on. - Oh, okay.",0:09 / 5:03
meUpKhUKZ94,English (United States),- We can hear you. How are you?,0:10 / 5:03
meUpKhUKZ94,English (United States),- We can hear you. How are you?,0:11 / 5:03
meUpKhUKZ94,English (United States),- We can hear you. How are you?,0:12 / 5:03
meUpKhUKZ94,English (United States),- I'm good!,0:12 / 5:03
meUpKhUKZ94,English (United States),- What is your name?,0:13 / 5:03
meUpKhUKZ94,English (United States),- What is your name?,0:14 / 5:03
meUpKhUKZ94,English (United States),- My name is Peter Rosalita. [cheering],0:14 / 5:03
meUpKhUKZ94,English (United States),- My name is Peter Rosalita. [cheering],0:15 / 5:03
meUpKhUKZ94,English (United States),- My name is Peter Rosalita. [cheering],0:16 / 5:03
meUpKhUKZ94,English (United States),"- How old are you, Peter?",0:17 / 5:03
meUpKhUKZ94,English (United States),- I'm 10 years old.,0:18 / 5:03
meUpKhUKZ94,English (United States),- I'm 10 years old.,0:19 / 5:03
meUpKhUKZ94,English (United States),- And where are you from?,0:19 / 5:03
meUpKhUKZ94,English (United States),- And where are you from?,0:20 / 5:03
meUpKhUKZ94,English (United States),"- I was born in Abu Dhabi, United Arab Emirates,",0:21 / 5:03
meUpKhUKZ94,English (United States),"- I was born in Abu Dhabi, United Arab Emirates,",0:22 / 5:03
meUpKhUKZ94,English (United States),"- I was born in Abu Dhabi, United Arab Emirates,",0:23 / 5:03
meUpKhUKZ94,English (United States),but I am a Filipino citizen.,0:24 / 5:03
meUpKhUKZ94,English (United States),but I am a Filipino citizen.,0:25 / 5:03
meUpKhUKZ94,English (United States),- What would you do with the million dollars,0:26 / 5:03
meUpKhUKZ94,English (United States),- What would you do with the million dollars,0:27 / 5:03
meUpKhUKZ94,English (United States),if you win this amazing competition?,0:28 / 5:03
meUpKhUKZ94,English (United States),if you win this amazing competition?,0:29 / 5:03
meUpKhUKZ94,English (United States),- I will buy a Nintendo Switch...,0:30 / 5:03
meUpKhUKZ94,English (United States),- I will buy a Nintendo Switch...,0:31 / 5:03
meUpKhUKZ94,English (United States),[laughter] - Only one?,0:32 / 5:03
meUpKhUKZ94,English (United States),[laughter] - Only one?,0:33 / 5:03
meUpKhUKZ94,English (United States),- A laptop for my online school.,0:33 / 5:03
meUpKhUKZ94,English (United States),- A laptop for my online school.,0:34 / 5:03
meUpKhUKZ94,English (United States),- A laptop for my online school.,0:35 / 5:03
meUpKhUKZ94,English (United States),- Oh. - You realize,0:35 / 5:03
meUpKhUKZ94,English (United States),- Oh. - You realize,0:36 / 5:03
meUpKhUKZ94,English (United States),"you've only spent about $1,500 so far?",0:36 / 5:03
meUpKhUKZ94,English (United States),"you've only spent about $1,500 so far?",0:37 / 5:03
meUpKhUKZ94,English (United States),"you've only spent about $1,500 so far?",0:38 / 5:03
meUpKhUKZ94,English (United States),- Yes. [laughter],0:38 / 5:03
meUpKhUKZ94,English (United States),- Yes. [laughter],0:39 / 5:03
meUpKhUKZ94,English (United States),- Yes. [laughter],0:40 / 5:03
meUpKhUKZ94,English (United States),- And what do you do for a living?,0:41 / 5:03
meUpKhUKZ94,English (United States),- And what do you do for a living?,0:42 / 5:03
meUpKhUKZ94,English (United States),- Uh...sorry?,0:43 / 5:03
meUpKhUKZ94,English (United States),- Uh...sorry?,0:44 / 5:03
meUpKhUKZ94,English (United States),[laughter] - What do you mean? He's 10.,0:45 / 5:03
meUpKhUKZ94,English (United States),[laughter] - What do you mean? He's 10.,0:46 / 5:03
meUpKhUKZ94,English (United States),"- Well, let's see if he does something.",0:47 / 5:03
meUpKhUKZ94,English (United States),"- Well, let's see if he does something.",0:48 / 5:03
meUpKhUKZ94,English (United States),- He doesn't work.,0:48 / 5:03
meUpKhUKZ94,English (United States),- I live as a singer.,0:49 / 5:03
meUpKhUKZ94,English (United States),- I live as a singer.,0:50 / 5:03
meUpKhUKZ94,English (United States),"- So, you see? He does something for a living.",0:51 / 5:03
meUpKhUKZ94,English (United States),"- So, you see? He does something for a living.",0:52 / 5:03
meUpKhUKZ94,English (United States),And you're going to sing tonight for us?,0:53 / 5:03
meUpKhUKZ94,English (United States),And you're going to sing tonight for us?,0:54 / 5:03
meUpKhUKZ94,English (United States),And you're going to sing tonight for us?,0:55 / 5:03
meUpKhUKZ94,English (United States),- Yes. - Okay.,0:55 / 5:03
meUpKhUKZ94,English (United States),- Yes. - Okay.,0:56 / 5:03
meUpKhUKZ94,English (United States),- Yes. - Okay.,0:57 / 5:03
meUpKhUKZ94,English (United States),Are you nervous?,0:57 / 5:03
meUpKhUKZ94,English (United States),Are you nervous?,0:58 / 5:03
meUpKhUKZ94,English (United States),"- Yes, I'm very nervous. - Don't be nervous.",0:59 / 5:03
meUpKhUKZ94,English (United States),"- Yes, I'm very nervous. - Don't be nervous.",1:00 / 5:03
meUpKhUKZ94,English (United States),You look great! - Okay.,1:01 / 5:03
meUpKhUKZ94,English (United States),You look great! - Okay.,1:02 / 5:03
meUpKhUKZ94,English (United States),- We're rooting for you!,1:03 / 5:03
meUpKhUKZ94,English (United States),- We're rooting for you!,1:04 / 5:03
meUpKhUKZ94,English (United States),"- Okay, we're ready for you.",1:04 / 5:03
meUpKhUKZ94,English (United States),"- Okay, we're ready for you.",1:05 / 5:03
meUpKhUKZ94,English (United States),"- Okay, we're ready for you.",1:06 / 5:03
meUpKhUKZ94,English (United States),We can't wait to see what you're gonna do tonight.,1:06 / 5:03
meUpKhUKZ94,English (United States),We can't wait to see what you're gonna do tonight.,1:07 / 5:03
meUpKhUKZ94,English (United States),We can't wait to see what you're gonna do tonight.,1:08 / 5:03
meUpKhUKZ94,English (United States),[cheering],1:08 / 5:03
meUpKhUKZ94,English (United States),[cheering],1:09 / 5:03
meUpKhUKZ94,English (United States),[cheering],1:10 / 5:03
