"video_id","min_timecode","max_timecode","text.user","text.auto"
"meUpKhUKZ94","00:00:00","00:00:00","",""
"meUpKhUKZ94","00:00:03","00:00:05","- Hello. - Hello!","[Applause]"
"meUpKhUKZ94","00:00:10","00:00:12","- We can hear you. How are you?","how are you i'm good what"
"meUpKhUKZ94","00:00:13","00:00:14","- What is your name?","is your name my name is peter"
"meUpKhUKZ94","00:00:14","00:00:16","- My name is Peter Rosalita. [cheering]","rosalita how old"
"meUpKhUKZ94","00:00:17","00:00:17","- How old are you, Peter?","are you peter"
"meUpKhUKZ94","00:00:18","00:00:19","- I'm 10 years old.","i'm 10 years old and where are you from"
"meUpKhUKZ94","00:00:19","00:00:20","- And where are you from?","i"
"meUpKhUKZ94","00:00:21","00:00:23","- I was born in Abu Dhabi, United Arab Emirates,","was born in abu dhabi united arab emirates"
"meUpKhUKZ94","00:00:24","00:00:25","but I am a Filipino citizen.","but i am a filipino citizen what"
"meUpKhUKZ94","00:00:26","00:00:27","- What would you do with the million dollars","would you do with the million dollars"
"meUpKhUKZ94","00:00:28","00:00:29","if you win this amazing competition?","if you win this amazing competition"
"meUpKhUKZ94","00:00:30","00:00:31","- I will buy a Nintendo Switch...","i would buy a nintendo switch"
"meUpKhUKZ94","00:00:32","00:00:33","[laughter] - Only one?","only one a laptop for"
"meUpKhUKZ94","00:00:33","00:00:35","- A laptop for my online school.","my online school oh"
"meUpKhUKZ94","00:00:35","00:00:36","- Oh. - You realize","you realize you've only"
"meUpKhUKZ94","00:00:36","00:00:38","you've only spent about $1,500 so far?","spent about fifteen hundred dollars so far"
"meUpKhUKZ94","00:00:41","00:00:42","- And what do you do for a living?","and what do you do for a living uh"
"meUpKhUKZ94","00:00:43","00:00:44","- Uh...sorry?","sorry"
"meUpKhUKZ94","00:00:45","00:00:46","[laughter] - What do you mean? He's 10.","what do you mean this time well let's see"
"meUpKhUKZ94","00:00:47","00:00:48","- Well, let's see if he does something.","if he does something it doesn't work"
"meUpKhUKZ94","00:00:49","00:00:50","- I live as a singer.","i live as a singer"
"meUpKhUKZ94","00:00:51","00:00:52","- So, you see? He does something for a living.","so you see he does something for a living"
"meUpKhUKZ94","00:00:53","00:00:55","And you're going to sing tonight for us?","and you're gonna sing tonight for us yes"
"meUpKhUKZ94","00:00:55","00:00:57","- Yes. - Okay.","okay are you nervous"
"meUpKhUKZ94","00:00:57","00:00:58","Are you nervous?","yes"
"meUpKhUKZ94","00:00:59","00:01:00","- Yes, I'm very nervous. - Don't be nervous.","i'm very nervous don't be nervous"
"meUpKhUKZ94","00:01:01","00:01:02","You look great! - Okay.","okay we're"
"meUpKhUKZ94","00:01:03","00:01:04","- We're rooting for you!","rooting for you don't be nervous okay we're rooting for you okay we're ready"
"meUpKhUKZ94","00:01:04","00:01:06","- Okay, we're ready for you.","for you we can't wait to see what you're"
"meUpKhUKZ94","00:01:06","00:01:08","We can't wait to see what you're gonna do tonight.","gonna do"
"meUpKhUKZ94","00:01:11","00:01:16","","tonight"
"meUpKhUKZ94","00:01:21","00:01:24","- ♪ Living alone","living alone i think"
"meUpKhUKZ94","00:01:25","00:01:28","♪ I think of all my friends I've known ♪","of [Music]"
"meUpKhUKZ94","00:01:35","00:01:36","♪","nobody's"
"meUpKhUKZ94","00:01:39","00:01:46","♪","home [Applause] [Music] [Applause] [Music]"
"meUpKhUKZ94","00:01:47","00:01:47","",""
"meUpKhUKZ94","00:01:52","00:01:53","♪","oh"
"meUpKhUKZ94","00:01:54","00:01:55","♪ Don't wanna live","[Applause]"
"meUpKhUKZ94","00:02:03","00:02:09","♪ All by myself","myself"
"meUpKhUKZ94","00:02:10","00:02:10","",""
"meUpKhUKZ94","00:02:11","00:02:15","♪ All by myself","[Music]"
"meUpKhUKZ94","00:02:16","00:02:20","♪ Anymore","[Applause]"
"meUpKhUKZ94","00:02:24","00:02:24","",""
"meUpKhUKZ94","00:02:39","00:02:43","♪","[Applause]"
"meUpKhUKZ94","00:02:49","00:02:49","",""
"meUpKhUKZ94","00:02:55","00:02:57","♪","[Applause]"
"meUpKhUKZ94","00:02:58","00:02:58","",""
"meUpKhUKZ94","00:03:08","00:03:11","","peter"
"meUpKhUKZ94","00:03:11","00:03:13","- Peter!","thank"
"meUpKhUKZ94","00:03:13","00:03:15","- Thank you!","you"
"meUpKhUKZ94","00:03:17","00:03:18","- You're so adorable!","you're so adorable did you get surprised"
"meUpKhUKZ94","00:03:18","00:03:21","Do you get surprised when you hear your own voice?","when you hear your own voice yes"
"meUpKhUKZ94","00:03:22","00:03:23","- [shakily] Yes. I'm so nervous.","i'm so nervous"
"meUpKhUKZ94","00:03:24","00:03:24","","we were"
"meUpKhUKZ94","00:03:25","00:03:27","- Ay! We were so nervous too. But we loved you!","so nervous too but we loved you howie"
"meUpKhUKZ94","00:03:27","00:03:28","Howie, what did you think?","what did you think oh"
"meUpKhUKZ94","00:03:29","00:03:29","- Oh.","you're amazing"
"meUpKhUKZ94","00:03:30","00:03:31","You're amazing. - Thank you, Howie.","thank you're so"
"meUpKhUKZ94","00:03:32","00:03:34","- And you're so cute, like, even when you talk to us.","cute like even when you talk to us everyone"
"meUpKhUKZ94","00:03:34","00:03:35","- Everyone says that I'm cute.","says that i'm cute everyone"
"meUpKhUKZ94","00:03:36","00:03:38","- Everyone. [laughter]","i predict"
"meUpKhUKZ94","00:03:38","00:03:40","- I predict you're gonna go far in this competition.","you're going to go far in this competition"
"meUpKhUKZ94","00:03:41","00:03:41","- Thank you!","thank you heidi"
"meUpKhUKZ94","00:03:42","00:03:44","- Heidi, what did you thought? - I think you were incredible.","what did you find i think you're incredible what i want to know is like"
"meUpKhUKZ94","00:03:45","00:03:47","What I wanna know is, like, what do your neighbors say","what do your neighbors say when you"
"meUpKhUKZ94","00:03:47","00:03:49","when you rehearse these types of songs?","rehearse these types of songs they"
"meUpKhUKZ94","00:03:49","00:03:51","- They got surprised. - It is so high,","got surprised it is so high"
"meUpKhUKZ94","00:03:52","00:03:53","you would think, like, a glass would explode.","you would think like a glass would explode"
"meUpKhUKZ94","00:03:54","00:03:54","- Yeah.","yeah i mean mariah"
"meUpKhUKZ94","00:03:55","00:03:56","- I mean, Mariah better watch out.","better watch out yes yeah i mean mariah better watch out yes"
"meUpKhUKZ94","00:03:57","00:03:57","- Yes.","simon what did you think"
"meUpKhUKZ94","00:03:57","00:03:58","- Simon, what did you think?","that was"
"meUpKhUKZ94","00:03:59","00:04:00","- That was an incredible audition.","an incredible audition thank"
"meUpKhUKZ94","00:04:01","00:04:01","- Thank you!","you there were parts"
"meUpKhUKZ94","00:04:02","00:04:03","- There were parts during that audition","during that audition which literally"
"meUpKhUKZ94","00:04:04","00:04:05","which literally gave me goose bumps.","gave me goosebumps"
"meUpKhUKZ94","00:04:06","00:04:08","- Ah, goose bumps? [giggles]","you have"
"meUpKhUKZ94","00:04:08","00:04:08","",""
"meUpKhUKZ94","00:04:09","00:04:11","- [chuckles] - You have an amazing voice.","an amazing voice an amazing"
"meUpKhUKZ94","00:04:12","00:04:12","An amazing personality.","personality"
"meUpKhUKZ94","00:04:13","00:04:14","An amazing energy. - Thank you.","and amazing energy everyone"
"meUpKhUKZ94","00:04:15","00:04:16","- Everyone is gonna fall in love with you","is going to fall in love with you"
"meUpKhUKZ94","00:04:17","00:04:18","after this audition.","after this audition thank you so much simon"
"meUpKhUKZ94","00:04:19","00:04:19","- Thank you so much, Simon!","i think america's"
"meUpKhUKZ94","00:04:20","00:04:21","- I think America's gonna love you.","gonna love you we're gonna start"
"meUpKhUKZ94","00:04:22","00:04:23","We're gonna start voting.","voting i think the world's gonna love him"
"meUpKhUKZ94","00:04:23","00:04:24","- I think the world's gonna love him.","yes"
"meUpKhUKZ94","00:04:24","00:04:26","- Yes! Simon? - It's a yes.","simon it's a yes"
"meUpKhUKZ94","00:04:26","00:04:28","- A yes from me.","a yes from me a yes for"
"meUpKhUKZ94","00:04:30","00:04:30","",""
