"video_id","min_timecode","max_timecode","text.user","text.auto"
"nLYIHoBb3kM","00:00:00","00:00:13","","[Music] this way council"
"nLYIHoBb3kM","00:00:14","00:00:15","","know where i'm going man"
"nLYIHoBb3kM","00:00:16","00:00:16","",""
"nLYIHoBb3kM","00:00:17","00:00:19","Who do you think had this place built?","who do you think had this place built"
"nLYIHoBb3kM","00:00:19","00:00:21","","[Music] who do you think had this place built [Music]"
"nLYIHoBb3kM","00:00:22","00:00:23","Where did you find him?","where did you find it"
"nLYIHoBb3kM","00:00:24","00:00:24","",""
"nLYIHoBb3kM","00:00:25","00:00:25","He found us.","you found us"
"nLYIHoBb3kM","00:00:26","00:00:28","","what in"
"nLYIHoBb3kM","00:00:29","00:00:30","What, in the middle of a siege?","the middle of a siege"
"nLYIHoBb3kM","00:00:31","00:00:31","","didn't"
"nLYIHoBb3kM","00:00:31","00:00:33","You did say he was resourceful.","say he was resourceful"
"nLYIHoBb3kM","00:00:33","00:00:36","",""
"nLYIHoBb3kM","00:00:37","00:00:38","What's so important about him your grace?","what's so important about him"
"nLYIHoBb3kM","00:00:39","00:00:39","","he"
"nLYIHoBb3kM","00:00:39","00:00:40","He forged the Empire.","forged the empire"
"nLYIHoBb3kM","00:00:41","00:00:41","",""
"nLYIHoBb3kM","00:00:42","00:00:43","16 years ago!","16 years ago i"
"nLYIHoBb3kM","00:00:43","00:00:45","Aye, Legatus.","look at it a"
"nLYIHoBb3kM","00:00:45","00:00:45","",""
"nLYIHoBb3kM","00:00:46","00:00:46","A lifetime.","lifetime"
"nLYIHoBb3kM","00:00:47","00:00:47","",""
"nLYIHoBb3kM","00:00:48","00:00:49","Since then he has conquered distant realms.","since then he has conquered distant realms"
"nLYIHoBb3kM","00:00:49","00:00:50","",""
"nLYIHoBb3kM","00:00:51","00:00:53","Perfected the art of war for his return.","perfected the art of war for his return"
"nLYIHoBb3kM","00:00:54","00:00:54","",""
"nLYIHoBb3kM","00:00:54","00:00:55","But the legions desert in droves.","for the legion's desert"
"nLYIHoBb3kM","00:00:56","00:00:57","Our allies abandon us.","in droves our allies abandon"
"nLYIHoBb3kM","00:00:58","00:00:58","","us what difference"
"nLYIHoBb3kM","00:00:58","00:01:00","What difference can one man make?","can one man make"
"nLYIHoBb3kM","00:01:00","00:01:07","",""
"nLYIHoBb3kM","00:01:08","00:01:08","Welcome back.","welcome back"
"nLYIHoBb3kM","00:01:08","00:01:09","","son"
"nLYIHoBb3kM","00:01:09","00:01:10","Son, of Rome.","of"
"nLYIHoBb3kM","00:01:11","00:01:12","","rome"
"nLYIHoBb3kM","00:01:12","00:01:14","Not all of us get a second chance.","not all of us get a second"
"nLYIHoBb3kM","00:01:14","00:01:32","","chance [Music] you"
