"video_id","min_timecode","max_timecode","text.user","text.auto"
"nSWxinGg810","00:00:00","00:00:02","","and so"
"nSWxinGg810","00:00:02","00:00:05","And, so AC Family, I think you guys know what’s coming up next!","ac family i think you guys know what's coming"
"nSWxinGg810","00:00:06","00:00:12","It’s now time for us to officially proceed to the next phase: Brace yourselves, guys,","up next it's now time for us to officially proceed to the next phase for us to officially proceed to the next phase brace yourselves guys"
"nSWxinGg810","00:00:13","00:00:19","the moment has come to populate this Avatar-themed floating mountains paludarium, and officially","the moment has come to populate this avatar themed floating mountains paludarium and officially"
"nSWxinGg810","00:00:20","00:00:23","bring it to life!","bring it to life [Music] bring it to life [Music]"
"nSWxinGg810","00:00:24","00:00:27","Please SUBSCRIBE to my channel and hit the BELL ICON.","please subscribe to my channel and hit the bell icon"
"nSWxinGg810","00:00:28","00:00:31","Welcome to the AC Family.","welcome to the ac family enjoy"
"nSWxinGg810","00:00:31","00:00:32","Enjoy!","welcome"
"nSWxinGg810","00:00:33","00:00:36","Welcome to the mystical kingdom called the Ember Islands.","to the mystical kingdom called the ember islands"
"nSWxinGg810","00:00:36","00:00:40","It’s a truly captivating world, and as you’re about to see in this video, we’re about","it's a truly captivating world and as you're about to see in this video"
"nSWxinGg810","00:00:41","00:00:46","to make it even more epic, as we populate these great territories with life!","we're about to make it even more epic as we populate these great territories with life"
"nSWxinGg810","00:00:47","00:00:51","You guys will die when you see the beasts we’ll be adding into here in a bit!","you guys will die when you see the beasts we'll be adding into here in a bit"
"nSWxinGg810","00:00:52","00:00:54","But let’s walk through the territories, shall we?","but let's walk through the territory shall we"
"nSWxinGg810","00:00:54","00:00:56","I have some things to show you first!","i have some things to show you first the"
"nSWxinGg810","00:00:56","00:01:00","If you’re just joining us, the Ember Islands are an archipelago of floating mountains,","ember islands are an archipelago of floating mountains"
"nSWxinGg810","00:01:01","00:01:06","set to become the grandiose, imperial home for our booming pet fire ant colony, called","set to become the grandiose imperial home of our booming pet fire ant colony called"
"nSWxinGg810","00:01:07","00:01:08","the Phoenix Empire!","the phoenix empire each"
"nSWxinGg810","00:01:08","00:01:12","Each of the mountains are hollow, which will be filled with soil for the fire ants to build","of the mountains are hollow which will be filled with soil for the fire ants"
"nSWxinGg810","00:01:12","00:01:18","their nests in, and they’ll be able to scour the expansive rock shelf below the mountains","to build their nests in and they'll be able to scour the expansive rock shelf below the mountains"
"nSWxinGg810","00:01:18","00:01:20","in search of their food.","in search of their food below the mountains in search of their food"
"nSWxinGg810","00:01:21","00:01:26","A thick billowing mist envelops the territories, as it does every evening for a few hours to","a thick billowing mist envelops the territories as it does every evening for a few hours to humidify"
"nSWxinGg810","00:01:27","00:01:27","humidify the lands.","the"
"nSWxinGg810","00:01:28","00:01:32","It isn’t always this humid, though, as for most of the day, the territories are dry.","lands it isn't always this humid though as for most of the day the territories are dry"
"nSWxinGg810","00:01:33","00:01:38","So, the new vegetation, which has taken root at various locations of the rockscape have","so the new vegetation the territories are dry so the new vegetation which has taken root at various locations of the rocks gate have been patiently"
"nSWxinGg810","00:01:38","00:01:44","been patiently waiting for the great mists to roll through today.","waiting for the great mists to roll through today [Music]"
"nSWxinGg810","00:01:44","00:01:49","These rockweed plants are eager to grow, spread their seeds, and occupy all possible areas","these rockweed plants are eager to grow spread their seeds and occupy all possible areas"
"nSWxinGg810","00:01:50","00:01:51","of the region.","of the region the fire"
"nSWxinGg810","00:01:51","00:01:56","The fire ants, once moved in, will be assisting these plants with their seed distribution.","ants once moved in will be assisting these plants with their seed distribution clumps"
"nSWxinGg810","00:01:57","00:02:02","Clumps of bushy moss cling to the rocks, bathed by the mist droplets and adding to the lands’","of bushy moss cling to the rocks bathed by the mist droplets and adding to the land's booming"
"nSWxinGg810","00:02:03","00:02:04","booming greenery.","greenery"
"nSWxinGg810","00:02:05","00:02:08","But the territories are about to get even wetter.","but the territories are about to get even wetter"
"nSWxinGg810","00:02:09","00:02:26","Here comes the nightly storm.","here comes the nightly storm [Music]"
"nSWxinGg810","00:02:27","00:02:32","Its showers roar through hydrating the Ember Islands and all the vegetation in its path.","its showers roar through hydrating the ember islands and all the vegetation in its path when"
"nSWxinGg810","00:02:33","00:02:37","When the rain ceases, all that’s left is the calming sounds of the water flowing from","the rain ceases all that's left is the calming sounds of water flowing"
"nSWxinGg810","00:02:38","00:02:44","springs at the Ember Island’s local waterfall.","from springs at the ember island's local waterfall these purified waters"
"nSWxinGg810","00:02:44","00:02:49","These purified waters from the canister filter cascade down the rocks and through the greenery,","from the canister filter cascade down the rocks and through the greenery"
"nSWxinGg810","00:02:50","00:02:56","falling refreshingly into the pool below.","falling refreshingly and through the greenery falling refreshingly into the pool below"
"nSWxinGg810","00:02:57","00:03:02","And it’s in this pool, AC Family, where you will see the Ember Islands’ first living","and it's in this pool ac family where you will see the ember islands first living creatures"
"nSWxinGg810","00:03:03","00:03:07","You may be surprised to know that many animal life forms are already living here in these","you may be surprised to know that many animal life forms are already living here in"
"nSWxinGg810","00:03:08","00:03:08","waters!","these waters if"
"nSWxinGg810","00:03:09","00:03:12","If you look closely, small organisms which were unintentionally introduced into these","you look closely small organisms which were unintentionally introduced"
"nSWxinGg810","00:03:13","00:03:18","waters by way of the moss can be seen swimming around, like this cute water flea.","into these waters by way of the moss can be seen swimming around like this cute water flea"
"nSWxinGg810","00:03:19","00:03:24","And I’m not sure if a mosquito or some other insect had come along and decided to lay its","and i'm not sure if a mosquito or some other insect had come along and decided to lay its"
"nSWxinGg810","00:03:24","00:03:29","eggs into the pool, but I found what looks like a mosquito larva swimming around the","eggs into the pool but i found what looks like a mosquito larva swimming around"
"nSWxinGg810","00:03:30","00:03:41","waters, feeding on whatever goodies it could find.","the waters feeding on whatever goodies it could find [Music] in"
"nSWxinGg810","00:03:41","00:03:46","In fact, I was certain there was already a plethora of microscopic creatures populating","fact i was certain there were already a plethora of microscopic creatures populating these"
"nSWxinGg810","00:03:47","00:03:53","these waters, making use of all of this awesome aquatic habitat full of mosses, rock crevices,","waters making use of all this awesome aquatic habitat full of mosses rock crevices and shadowy"
"nSWxinGg810","00:03:53","00:03:54","and shadowy caves.","caves which"
"nSWxinGg810","00:03:55","00:03:59","Which brings me now to our first step to bringing the Ember Islands to life!","brings me now to our first step to bringing the ember islands to life"
"nSWxinGg810","00:03:59","00:04:05","Now I am sure all of you, as am I, can’t wait to finally move the Phoenix Empire into","now i'm sure all of you as am i can't wait to finally move the phoenix empire into"
"nSWxinGg810","00:04:06","00:04:13","these great Ember Islands, however there is just one problem with that.","these great ember islands however there is just one problem with that the"
"nSWxinGg810","00:04:13","00:04:15","The fire ants create a lot of garbage.","fire ants create a lot of"
"nSWxinGg810","00:04:16","00:04:18","They have left over insect parts which they discard.","garbage they have leftover insect parts which they discard"
"nSWxinGg810","00:04:19","00:04:20","They also produce a lot of poop!","they also produce a lot of poop and"
"nSWxinGg810","00:04:21","00:04:25","And with a constant production of worker ants in the growing colony, they naturally also","with a constant production of worker ants in the growing colony they naturally also produce"
"nSWxinGg810","00:04:25","00:04:27","produce a lot of dead.","a lot of dead"
"nSWxinGg810","00:04:28","00:04:32","And, as we’ve seen with the late Fire Nation, my former fire ant colony residing in the","and as we've seen with the late fire nation my former fire ant colony residing in the"
"nSWxinGg810","00:04:32","00:04:38","Selva de Fuego paludarium that I used to have, the fire ants dumped all of these unwanteds","selva de fuego paludarium that i used to have the fire ants dumped all of these unwanteds into"
"nSWxinGg810","00:04:39","00:04:43","It’s problematic because the water will also be the fire ants’ source of drinking","the water it's problematic because the water will also be the fire ants source of drinking"
"nSWxinGg810","00:04:43","00:04:45","water when it’s not raining or misty.","water when it's not raining or misty it was"
"nSWxinGg810","00:04:46","00:04:51","It was absolutely imperative, that before the ants ever move in, we properly build a","absolutely imperative that before the ants ever move in we properly build a"
"nSWxinGg810","00:04:51","00:04:56","stable aquatic system that will be able to handle the Phoenix Empire’s volume of biological","stable aquatic system that will be able to handle the phoenix empire's volume of biological garbage"
"nSWxinGg810","00:04:57","00:05:01","garbage, poop, and dead if they so choose to dump it into the waters, so they don’t","poop and dead if they so choose to dump it into the waters so they don't end"
"nSWxinGg810","00:05:01","00:05:04","end up literally poisoning themselves to death.","up literally poisoning themselves to death"
"nSWxinGg810","00:05:05","00:05:10","Luckily, we were already off to a great start at establishing such a stable water world,","luckily we were already off to a great start at establishing such a stable water world as"
