video_id,lang,text,timecode
o5n7IZXcCHU,English,a person wanted to know why is everyone  getting shingles nowadays i mean it seems  ,0:00 / 4:29
o5n7IZXcCHU,English,a person wanted to know why is everyone  getting shingles nowadays i mean it seems  ,0:01 / 4:29
o5n7IZXcCHU,English,a person wanted to know why is everyone  getting shingles nowadays i mean it seems  ,0:02 / 4:29
o5n7IZXcCHU,English,a person wanted to know why is everyone  getting shingles nowadays i mean it seems  ,0:03 / 4:29
o5n7IZXcCHU,English,like everyone's getting shingles now that's  a bit of an exaggeration but there definitely  ,0:03 / 4:29
o5n7IZXcCHU,English,like everyone's getting shingles now that's  a bit of an exaggeration but there definitely  ,0:04 / 4:29
o5n7IZXcCHU,English,like everyone's getting shingles now that's  a bit of an exaggeration but there definitely  ,0:05 / 4:29
o5n7IZXcCHU,English,like everyone's getting shingles now that's  a bit of an exaggeration but there definitely  ,0:06 / 4:29
o5n7IZXcCHU,English,like everyone's getting shingles now that's  a bit of an exaggeration but there definitely  ,0:07 / 4:29
o5n7IZXcCHU,English,is an increase in the amount of people  getting shingles now what is shingles  ,0:07 / 4:29
o5n7IZXcCHU,English,is an increase in the amount of people  getting shingles now what is shingles  ,0:08 / 4:29
o5n7IZXcCHU,English,is an increase in the amount of people  getting shingles now what is shingles  ,0:09 / 4:29
o5n7IZXcCHU,English,is an increase in the amount of people  getting shingles now what is shingles  ,0:10 / 4:29
o5n7IZXcCHU,English,,0:10 / 4:29
o5n7IZXcCHU,English,,0:11 / 4:29
o5n7IZXcCHU,English,it's a virus it's called herpes zoster and it's  a virus that remains dormant for many many years  ,0:12 / 4:29
o5n7IZXcCHU,English,it's a virus it's called herpes zoster and it's  a virus that remains dormant for many many years  ,0:13 / 4:29
o5n7IZXcCHU,English,it's a virus it's called herpes zoster and it's  a virus that remains dormant for many many years  ,0:14 / 4:29
o5n7IZXcCHU,English,it's a virus it's called herpes zoster and it's  a virus that remains dormant for many many years  ,0:15 / 4:29
o5n7IZXcCHU,English,it's a virus it's called herpes zoster and it's  a virus that remains dormant for many many years  ,0:16 / 4:29
o5n7IZXcCHU,English,it's a virus it's called herpes zoster and it's  a virus that remains dormant for many many years  ,0:17 / 4:29
o5n7IZXcCHU,English,it's a virus it's called herpes zoster and it's  a virus that remains dormant for many many years  ,0:18 / 4:29
o5n7IZXcCHU,English,and then it can come out and create all sorts of  pain and misery especially on the surface of the  ,0:18 / 4:29
o5n7IZXcCHU,English,and then it can come out and create all sorts of  pain and misery especially on the surface of the  ,0:19 / 4:29
o5n7IZXcCHU,English,and then it can come out and create all sorts of  pain and misery especially on the surface of the  ,0:20 / 4:29
o5n7IZXcCHU,English,and then it can come out and create all sorts of  pain and misery especially on the surface of the  ,0:21 / 4:29
o5n7IZXcCHU,English,and then it can come out and create all sorts of  pain and misery especially on the surface of the  ,0:22 / 4:29
o5n7IZXcCHU,English,and then it can come out and create all sorts of  pain and misery especially on the surface of the  ,0:23 / 4:29
o5n7IZXcCHU,English,and then it can come out and create all sorts of  pain and misery especially on the surface of the  ,0:24 / 4:29
o5n7IZXcCHU,English,skin that follows nerves around your rib cage it  can come up through your back through the front  ,0:25 / 4:29
o5n7IZXcCHU,English,skin that follows nerves around your rib cage it  can come up through your back through the front  ,0:26 / 4:29
o5n7IZXcCHU,English,skin that follows nerves around your rib cage it  can come up through your back through the front  ,0:27 / 4:29
o5n7IZXcCHU,English,skin that follows nerves around your rib cage it  can come up through your back through the front  ,0:28 / 4:29
o5n7IZXcCHU,English,skin that follows nerves around your rib cage it  can come up through your back through the front  ,0:29 / 4:29
o5n7IZXcCHU,English,skin that follows nerves around your rib cage it  can come up through your back through the front  ,0:30 / 4:29
o5n7IZXcCHU,English,in fact it can become so painful certain people  become suicidal so it's a really big deal normally  ,0:30 / 4:29
o5n7IZXcCHU,English,in fact it can become so painful certain people  become suicidal so it's a really big deal normally  ,0:31 / 4:29
o5n7IZXcCHU,English,in fact it can become so painful certain people  become suicidal so it's a really big deal normally  ,0:32 / 4:29
o5n7IZXcCHU,English,in fact it can become so painful certain people  become suicidal so it's a really big deal normally  ,0:33 / 4:29
o5n7IZXcCHU,English,in fact it can become so painful certain people  become suicidal so it's a really big deal normally  ,0:34 / 4:29
o5n7IZXcCHU,English,in fact it can become so painful certain people  become suicidal so it's a really big deal normally  ,0:35 / 4:29
o5n7IZXcCHU,English,in fact it can become so painful certain people  become suicidal so it's a really big deal normally  ,0:36 / 4:29
o5n7IZXcCHU,English,,0:37 / 4:29
o5n7IZXcCHU,English,one and a half to 2.5 people out of a thousand  will get shingles okay but between 2000 and 2007  ,0:37 / 4:29
o5n7IZXcCHU,English,one and a half to 2.5 people out of a thousand  will get shingles okay but between 2000 and 2007  ,0:38 / 4:29
o5n7IZXcCHU,English,one and a half to 2.5 people out of a thousand  will get shingles okay but between 2000 and 2007  ,0:39 / 4:29
o5n7IZXcCHU,English,one and a half to 2.5 people out of a thousand  will get shingles okay but between 2000 and 2007  ,0:40 / 4:29
o5n7IZXcCHU,English,one and a half to 2.5 people out of a thousand  will get shingles okay but between 2000 and 2007  ,0:41 / 4:29
o5n7IZXcCHU,English,one and a half to 2.5 people out of a thousand  will get shingles okay but between 2000 and 2007  ,0:42 / 4:29
o5n7IZXcCHU,English,one and a half to 2.5 people out of a thousand  will get shingles okay but between 2000 and 2007  ,0:43 / 4:29
o5n7IZXcCHU,English,,0:44 / 4:29
o5n7IZXcCHU,English,three of a thousand people are getting it so it's  definitely going up and there's even a higher  ,0:45 / 4:29
o5n7IZXcCHU,English,three of a thousand people are getting it so it's  definitely going up and there's even a higher  ,0:46 / 4:29
o5n7IZXcCHU,English,three of a thousand people are getting it so it's  definitely going up and there's even a higher  ,0:47 / 4:29
o5n7IZXcCHU,English,three of a thousand people are getting it so it's  definitely going up and there's even a higher  ,0:48 / 4:29
o5n7IZXcCHU,English,three of a thousand people are getting it so it's  definitely going up and there's even a higher  ,0:49 / 4:29
o5n7IZXcCHU,English,incidence of people getting shingles in certain  areas of the country which i'm going to talk about  ,0:50 / 4:29
o5n7IZXcCHU,English,incidence of people getting shingles in certain  areas of the country which i'm going to talk about  ,0:51 / 4:29
o5n7IZXcCHU,English,incidence of people getting shingles in certain  areas of the country which i'm going to talk about  ,0:52 / 4:29
o5n7IZXcCHU,English,incidence of people getting shingles in certain  areas of the country which i'm going to talk about  ,0:53 / 4:29
o5n7IZXcCHU,English,incidence of people getting shingles in certain  areas of the country which i'm going to talk about  ,0:54 / 4:29
o5n7IZXcCHU,English,incidence of people getting shingles in certain  areas of the country which i'm going to talk about  ,0:55 / 4:29
o5n7IZXcCHU,English,so you have a situation where this virus is  in a dormant stage and it's just waiting there  ,0:56 / 4:29
o5n7IZXcCHU,English,so you have a situation where this virus is  in a dormant stage and it's just waiting there  ,0:57 / 4:29
o5n7IZXcCHU,English,so you have a situation where this virus is  in a dormant stage and it's just waiting there  ,0:58 / 4:29
o5n7IZXcCHU,English,so you have a situation where this virus is  in a dormant stage and it's just waiting there  ,0:59 / 4:29
o5n7IZXcCHU,English,so you have a situation where this virus is  in a dormant stage and it's just waiting there  ,1:00 / 4:29
o5n7IZXcCHU,English,so you have a situation where this virus is  in a dormant stage and it's just waiting there  ,1:01 / 4:29
o5n7IZXcCHU,English,it's not doing anything it's waiting for the  right environment so that it can come out  ,1:02 / 4:29
o5n7IZXcCHU,English,it's not doing anything it's waiting for the  right environment so that it can come out  ,1:03 / 4:29
o5n7IZXcCHU,English,it's not doing anything it's waiting for the  right environment so that it can come out  ,1:04 / 4:29
o5n7IZXcCHU,English,it's not doing anything it's waiting for the  right environment so that it can come out  ,1:05 / 4:29
o5n7IZXcCHU,English,,1:05 / 4:29
o5n7IZXcCHU,English,and create a lot of discomfort for you has to  do with how healthy your immune system is if  ,1:06 / 4:29
o5n7IZXcCHU,English,and create a lot of discomfort for you has to  do with how healthy your immune system is if  ,1:07 / 4:29
o5n7IZXcCHU,English,and create a lot of discomfort for you has to  do with how healthy your immune system is if  ,1:08 / 4:29
o5n7IZXcCHU,English,and create a lot of discomfort for you has to  do with how healthy your immune system is if  ,1:09 / 4:29
o5n7IZXcCHU,English,and create a lot of discomfort for you has to  do with how healthy your immune system is if  ,1:10 / 4:29
o5n7IZXcCHU,English,and create a lot of discomfort for you has to  do with how healthy your immune system is if  ,1:11 / 4:29
o5n7IZXcCHU,English,and create a lot of discomfort for you has to  do with how healthy your immune system is if  ,1:12 / 4:29
o5n7IZXcCHU,English,and create a lot of discomfort for you has to  do with how healthy your immune system is if  ,1:13 / 4:29
o5n7IZXcCHU,English,there's anything suppressing your immune system  that's when it comes out so again the topic of  ,1:13 / 4:29
o5n7IZXcCHU,English,there's anything suppressing your immune system  that's when it comes out so again the topic of  ,1:14 / 4:29
o5n7IZXcCHU,English,there's anything suppressing your immune system  that's when it comes out so again the topic of  ,1:15 / 4:29
o5n7IZXcCHU,English,there's anything suppressing your immune system  that's when it comes out so again the topic of  ,1:16 / 4:29
o5n7IZXcCHU,English,there's anything suppressing your immune system  that's when it comes out so again the topic of  ,1:17 / 4:29
o5n7IZXcCHU,English,there's anything suppressing your immune system  that's when it comes out so again the topic of  ,1:18 / 4:29
o5n7IZXcCHU,English,viruses come down to your own immune system  is it healthy is it weak it's an area that  ,1:19 / 4:29
o5n7IZXcCHU,English,viruses come down to your own immune system  is it healthy is it weak it's an area that  ,1:20 / 4:29
o5n7IZXcCHU,English,viruses come down to your own immune system  is it healthy is it weak it's an area that  ,1:21 / 4:29
o5n7IZXcCHU,English,viruses come down to your own immune system  is it healthy is it weak it's an area that  ,1:22 / 4:29
o5n7IZXcCHU,English,viruses come down to your own immune system  is it healthy is it weak it's an area that  ,1:23 / 4:29
o5n7IZXcCHU,English,viruses come down to your own immune system  is it healthy is it weak it's an area that  ,1:24 / 4:29
o5n7IZXcCHU,English,viruses come down to your own immune system  is it healthy is it weak it's an area that  ,1:25 / 4:29
o5n7IZXcCHU,English,,1:26 / 4:29
o5n7IZXcCHU,English,not many people emphasize but it's not until  your immune system gets weakened or suppressed  ,1:26 / 4:29
o5n7IZXcCHU,English,not many people emphasize but it's not until  your immune system gets weakened or suppressed  ,1:27 / 4:29
o5n7IZXcCHU,English,not many people emphasize but it's not until  your immune system gets weakened or suppressed  ,1:28 / 4:29
o5n7IZXcCHU,English,not many people emphasize but it's not until  your immune system gets weakened or suppressed  ,1:29 / 4:29
o5n7IZXcCHU,English,not many people emphasize but it's not until  your immune system gets weakened or suppressed  ,1:30 / 4:29
o5n7IZXcCHU,English,,1:31 / 4:29
o5n7IZXcCHU,English,that this virus then comes out and creates the  problem so let's talk about what can trigger  ,1:31 / 4:29
o5n7IZXcCHU,English,that this virus then comes out and creates the  problem so let's talk about what can trigger  ,1:32 / 4:29
o5n7IZXcCHU,English,that this virus then comes out and creates the  problem so let's talk about what can trigger  ,1:33 / 4:29
o5n7IZXcCHU,English,that this virus then comes out and creates the  problem so let's talk about what can trigger  ,1:34 / 4:29
o5n7IZXcCHU,English,that this virus then comes out and creates the  problem so let's talk about what can trigger  ,1:35 / 4:29
o5n7IZXcCHU,English,that this virus then comes out and creates the  problem so let's talk about what can trigger  ,1:36 / 4:29
o5n7IZXcCHU,English,that this virus then comes out and creates the  problem so let's talk about what can trigger  ,1:37 / 4:29
o5n7IZXcCHU,English,this virus coming out of remission number  one drugs for cancer drugs for asthma  ,1:37 / 4:29
o5n7IZXcCHU,English,this virus coming out of remission number  one drugs for cancer drugs for asthma  ,1:38 / 4:29
o5n7IZXcCHU,English,this virus coming out of remission number  one drugs for cancer drugs for asthma  ,1:39 / 4:29
o5n7IZXcCHU,English,this virus coming out of remission number  one drugs for cancer drugs for asthma  ,1:40 / 4:29
o5n7IZXcCHU,English,this virus coming out of remission number  one drugs for cancer drugs for asthma  ,1:41 / 4:29
o5n7IZXcCHU,English,this virus coming out of remission number  one drugs for cancer drugs for asthma  ,1:42 / 4:29
o5n7IZXcCHU,English,this virus coming out of remission number  one drugs for cancer drugs for asthma  ,1:43 / 4:29
o5n7IZXcCHU,English,,1:44 / 4:29
o5n7IZXcCHU,English,,1:45 / 4:29
o5n7IZXcCHU,English,prednisone drugs for autoimmune diseases all will  suppress your immune system number three radiation  ,1:45 / 4:29
o5n7IZXcCHU,English,prednisone drugs for autoimmune diseases all will  suppress your immune system number three radiation  ,1:46 / 4:29
o5n7IZXcCHU,English,prednisone drugs for autoimmune diseases all will  suppress your immune system number three radiation  ,1:47 / 4:29
o5n7IZXcCHU,English,prednisone drugs for autoimmune diseases all will  suppress your immune system number three radiation  ,1:48 / 4:29
o5n7IZXcCHU,English,prednisone drugs for autoimmune diseases all will  suppress your immune system number three radiation  ,1:49 / 4:29
