video_id,lang,text,timecode
obxHz-faDYA,English - Default,(energetic cinematic music),0:00 / 6:10
obxHz-faDYA,English - Default,(energetic cinematic music),0:01 / 6:10
obxHz-faDYA,English - Default,(energetic cinematic music),0:02 / 6:10
obxHz-faDYA,English - Default,(energetic cinematic music),0:03 / 6:10
obxHz-faDYA,English - Default,,0:04 / 6:10
obxHz-faDYA,English - Default,,0:05 / 6:10
obxHz-faDYA,English - Default,,0:06 / 6:10
obxHz-faDYA,English - Default,,0:07 / 6:10
obxHz-faDYA,English - Default,,0:08 / 6:10
obxHz-faDYA,English - Default,,0:09 / 6:10
obxHz-faDYA,English - Default,,0:10 / 6:10
obxHz-faDYA,English - Default,,0:11 / 6:10
obxHz-faDYA,English - Default,,0:12 / 6:10
obxHz-faDYA,English - Default,,0:13 / 6:10
obxHz-faDYA,English - Default,- [Boys] Shut up!,0:14 / 6:10
obxHz-faDYA,English - Default,- [Boys] Shut up!,0:15 / 6:10
obxHz-faDYA,English - Default,,0:15 / 6:10
obxHz-faDYA,English - Default,,0:16 / 6:10
obxHz-faDYA,English - Default,(school bell ringing),0:16 / 6:10
obxHz-faDYA,English - Default,(school bell ringing),0:17 / 6:10
obxHz-faDYA,English - Default,(school bell ringing),0:18 / 6:10
obxHz-faDYA,English - Default,(incoherent mumbling),0:19 / 6:10
obxHz-faDYA,English - Default,(incoherent mumbling),0:20 / 6:10
obxHz-faDYA,English - Default,(incoherent mumbling),0:21 / 6:10
obxHz-faDYA,English - Default,(incoherent mumbling),0:22 / 6:10
obxHz-faDYA,English - Default,,0:22 / 6:10
obxHz-faDYA,English - Default,,0:23 / 6:10
obxHz-faDYA,English - Default,,0:24 / 6:10
obxHz-faDYA,English - Default,- (grunts) You can't sit with us!,0:25 / 6:10
obxHz-faDYA,English - Default,- (grunts) You can't sit with us!,0:26 / 6:10
obxHz-faDYA,English - Default,- (grunts) You can't sit with us!,0:27 / 6:10
obxHz-faDYA,English - Default,- I'm not sitting with you.,0:27 / 6:10
obxHz-faDYA,English - Default,- I'm not sitting with you.,0:28 / 6:10
obxHz-faDYA,English - Default,- Yeah you are.,0:28 / 6:10
obxHz-faDYA,English - Default,You're exactly six feet away,0:29 / 6:10
obxHz-faDYA,English - Default,You're exactly six feet away,0:30 / 6:10
obxHz-faDYA,English - Default,which means people are gonna think you're in our group,0:30 / 6:10
obxHz-faDYA,English - Default,which means people are gonna think you're in our group,0:31 / 6:10
obxHz-faDYA,English - Default,at observing textbook COVID safety rules.,0:32 / 6:10
obxHz-faDYA,English - Default,at observing textbook COVID safety rules.,0:33 / 6:10
obxHz-faDYA,English - Default,- So what?,0:34 / 6:10
obxHz-faDYA,English - Default,"- So, scooch down another foot",0:34 / 6:10
obxHz-faDYA,English - Default,"- So, scooch down another foot",0:35 / 6:10
obxHz-faDYA,English - Default,"- So, scooch down another foot",0:36 / 6:10
obxHz-faDYA,English - Default,so people don't think we associate with you.,0:36 / 6:10
obxHz-faDYA,English - Default,so people don't think we associate with you.,0:37 / 6:10
obxHz-faDYA,English - Default,so people don't think we associate with you.,0:38 / 6:10
obxHz-faDYA,English - Default,,0:39 / 6:10
obxHz-faDYA,English - Default,- Fine I don't wanna sit with you guys anyway.,0:40 / 6:10
obxHz-faDYA,English - Default,- Fine I don't wanna sit with you guys anyway.,0:41 / 6:10
obxHz-faDYA,English - Default,,0:42 / 6:10
obxHz-faDYA,English - Default,,0:43 / 6:10
obxHz-faDYA,English - Default,,0:44 / 6:10
obxHz-faDYA,English - Default,"- Oh, that's not gonna work for me.",0:45 / 6:10
obxHz-faDYA,English - Default,"- Oh, that's not gonna work for me.",0:46 / 6:10
obxHz-faDYA,English - Default,- [Shayne] Every high school in 2020.,0:46 / 6:10
obxHz-faDYA,English - Default,- [Shayne] Every high school in 2020.,0:47 / 6:10
obxHz-faDYA,English - Default,- [Shayne] Every high school in 2020.,0:48 / 6:10
obxHz-faDYA,English - Default,,0:49 / 6:10
obxHz-faDYA,English - Default,,0:50 / 6:10
obxHz-faDYA,English - Default,,0:51 / 6:10
obxHz-faDYA,English - Default,,0:52 / 6:10
obxHz-faDYA,English - Default,,0:53 / 6:10
obxHz-faDYA,English - Default,,0:54 / 6:10
obxHz-faDYA,English - Default,,0:55 / 6:10
obxHz-faDYA,English - Default,,0:56 / 6:10
obxHz-faDYA,English - Default,,0:57 / 6:10
obxHz-faDYA,English - Default,,0:58 / 6:10
