"video_id","min_timecode","max_timecode","text.user","text.auto"
"obxHz-faDYA","00:00:00","00:00:03","(energetic cinematic music)","[Music]"
"obxHz-faDYA","00:00:04","00:00:13","",""
"obxHz-faDYA","00:00:14","00:00:15","- [Boys] Shut up!","shut up shut up"
"obxHz-faDYA","00:00:15","00:00:16","",""
"obxHz-faDYA","00:00:22","00:00:24","",""
"obxHz-faDYA","00:00:25","00:00:27","- (grunts) You can't sit with us!","you can't sit with us i'm not sitting with you"
"obxHz-faDYA","00:00:27","00:00:28","- I'm not sitting with you.","yeah you are"
"obxHz-faDYA","00:00:29","00:00:30","You're exactly six feet away","you're exactly six feet away which means people"
"obxHz-faDYA","00:00:30","00:00:31","which means people are gonna think you're in our group","are going to think you're in our group and observing"
"obxHz-faDYA","00:00:32","00:00:33","at observing textbook COVID safety rules.","textbook coveted safety rules"
"obxHz-faDYA","00:00:34","00:00:34","- So what?","so what so"
"obxHz-faDYA","00:00:34","00:00:36","- So, scooch down another foot","scooch down another foot so people don't"
"obxHz-faDYA","00:00:36","00:00:38","so people don't think we associate with you.","think we associate with you no"
"obxHz-faDYA","00:00:39","00:00:39","","no fine i"
"obxHz-faDYA","00:00:40","00:00:41","- Fine I don't wanna sit with you guys anyway.","don't want to sit with you guys"
"obxHz-faDYA","00:00:42","00:00:44","","anyway"
"obxHz-faDYA","00:00:45","00:00:46","- Oh, that's not gonna work for me.","ooh that's not gonna work for me"
"obxHz-faDYA","00:00:46","00:00:48","- [Shayne] Every high school in 2020.","every high school in"
"obxHz-faDYA","00:00:49","00:00:59","","2020 hey"
"obxHz-faDYA","00:01:00","00:01:00","- Hey!","hey"
"obxHz-faDYA","00:01:01","00:01:01","Cheater, I saw that.","cheater i saw that"
"obxHz-faDYA","00:01:02","00:01:03","Cody, you're cheating on your test!","cody you're cheating on your test no"
"obxHz-faDYA","00:01:04","00:01:04","- No.","no yes"
"obxHz-faDYA","00:01:05","00:01:05","- Yes.","you got the answers"
"obxHz-faDYA","00:01:05","00:01:07","You got the answers on the inside of your mask.","on the inside of your mask"
"obxHz-faDYA","00:01:07","00:01:10","","ah inside of your mask ah nine up oh"
"obxHz-faDYA","00:01:11","00:01:12","- Yeah, then riddle me this tough guy.","yeah then riddle me this tough guy"
"obxHz-faDYA","00:01:13","00:01:14","Where's all that ink on your face coming from?","where's all the ink on your face coming from"
"obxHz-faDYA","00:01:15","00:01:16","","there tattoos"
"obxHz-faDYA","00:01:17","00:01:17","",""
"obxHz-faDYA","00:01:18","00:01:19","I joined a gang.","i joined a gang"
"obxHz-faDYA","00:01:19","00:01:20","","a"
"obxHz-faDYA","00:01:20","00:01:22","A math gang.","math gang okay"
"obxHz-faDYA","00:01:23","00:01:23","",""
"obxHz-faDYA","00:01:24","00:01:24","Proud of you.","proud of you"
"obxHz-faDYA","00:01:25","00:01:25","- Thanks.","thanks"
"obxHz-faDYA","00:01:26","00:01:28","- [Courtney] 2021's gonna be better right?","2021 is going to be better right"
"obxHz-faDYA","00:01:28","00:01:29","","i"
"obxHz-faDYA","00:01:29","00:01:31","- I think Jimmy as a crush on me.","think jimmy has a crush on me"
"obxHz-faDYA","00:01:32","00:01:32","- Why do you say that?","why do you say that"
"obxHz-faDYA","00:01:33","00:01:35","- Because he keeps looking at me in class.","because he keeps looking at me in class"
"obxHz-faDYA","00:01:36","00:01:37","- [Emma] How do you know he's looking at you?","how do you know he's looking at you it's a"
"obxHz-faDYA","00:01:37","00:01:39","It's a zoom class.","zoom class emma"
"obxHz-faDYA","00:01:40","00:01:42","- Emma, I'm a narcissist just let me have this.","i'm a narcissist just let me have this okay"
"obxHz-faDYA","00:01:44","00:01:44","","yo six"
"obxHz-faDYA","00:01:44","00:01:46","- [Shayne] Yo, six feet dude.","feet dude johnson stop"
"obxHz-faDYA","00:01:46","00:01:47","- Johnson, stop doing the WAP dance!","doing the whap dance"
"obxHz-faDYA","00:01:48","00:01:50","No, get off the table!","no get off the table principal jolander"
"obxHz-faDYA","00:01:50","00:01:51","- Principle Jalandhar.","what"
"obxHz-faDYA","00:01:52","00:01:53","- If we can't switch to distance learning","if we can't switch to distance learning can we"
"obxHz-faDYA","00:01:53","00:01:55","can we at least require students to wear masks?","at least require students to wear masks do you"
"obxHz-faDYA","00:01:56","00:01:57","- Do you have any idea how hard that would be","have any idea how hard that would be to"
"obxHz-faDYA","00:01:57","00:01:59","to enforce a school-wide policy","enforce a school-wide policy dictating what students"
"obxHz-faDYA","00:01:59","00:02:01","dictating what students can or can't wear?","can or can't wear"
"obxHz-faDYA","00:02:02","00:02:04","- No, no I guess I don't.","no no i guess i don't whoa what are you doing"
"obxHz-faDYA","00:02:05","00:02:06","wearing that spaghetti strap in here?","wearing that spaghetti strap in here we"
"obxHz-faDYA","00:02:07","00:02:10","We have a very specific no spaghetti strap rule!","have a very specific no spaghetti strap rule"
"obxHz-faDYA","00:02:10","00:02:11","- But you just said--","no no no no"
"obxHz-faDYA","00:02:11","00:02:13","- No, no, no, masks are different, okay.","masks are different okay they're"
"obxHz-faDYA","00:02:13","00:02:14","They're new an confusing.","new and"
"obxHz-faDYA","00:02:15","00:02:19","Meanwhile, we've been policing women's bodies since forever.","confusing meanwhile we've been policing women's bodies since forever"
"obxHz-faDYA","00:02:19","00:02:20","","yeah yeah"
"obxHz-faDYA","00:02:21","00:02:21","- Yeah, that's right.","that's right the world"
"obxHz-faDYA","00:02:22","00:02:22","The world hates women.","hates women that's"
"obxHz-faDYA","00:02:23","00:02:23","- That's right.","right"
"obxHz-faDYA","00:02:24","00:02:24","Go patriarchy!","go patriarchy"
"obxHz-faDYA","00:02:25","00:02:26","- (mumbles) Yeah, go patriarchy.","get"
"obxHz-faDYA","00:02:27","00:02:27","- [Courtney] Get away from me!","away from me not just because i don't"
"obxHz-faDYA","00:02:27","00:02:29","Not just cause I don't like you.","like you it's uh hey"
"obxHz-faDYA","00:02:29","00:02:30","- Hey Amy.","uh amy"
"obxHz-faDYA","00:02:30","00:02:32","I know remote learning's going a little tough for you","i know remote learning is going a little tough for you"
"obxHz-faDYA","00:02:33","00:02:34","so I wanna make this feel","so i want to make this feel as"
"obxHz-faDYA","00:02:35","00:02:37","as much like normal school as possible.","much like normal school as possible i got your back"
"obxHz-faDYA","00:02:37","00:02:38","I got your back.","normal school as possible i got your back thanks dad"
"obxHz-faDYA","00:02:39","00:02:40","",""
"obxHz-faDYA","00:02:41","00:02:42","- Where do you think you're going?","where do you think you're going"
"obxHz-faDYA","00:02:43","00:02:44","- To get a snack.","to get a snack not without"
"obxHz-faDYA","00:02:45","00:02:47","- Not without a hall pass you're not.","a hall pass you're not"
"obxHz-faDYA","00:02:47","00:02:47","",""
"obxHz-faDYA","00:02:48","00:02:49","And also, you've been wearing","and also you've been wearing"
"obxHz-faDYA","00:02:50","00:02:51","those same sweatpants for what?","those same sweatpants for what"
"obxHz-faDYA","00:02:52","00:02:53","Three days now?","three days now"
"obxHz-faDYA","00:02:53","00:02:55","Get it together girl.","get it together girl"
"obxHz-faDYA","00:02:56","00:02:58","Also, also, meet me outside after school.","also also maybe outside after school"
"obxHz-faDYA","00:02:59","00:03:01","We're gonna go key moms car as our senior prank.","we're gonna go key mom's cars our senior"
"obxHz-faDYA","00:03:02","00:03:03","","prank"
"obxHz-faDYA","00:03:04","00:03:05","- Aw, thanks so much dad.","thanks so much"
"obxHz-faDYA","00:03:06","00:03:07","This is just like high school.","dad this is just like high school"
"obxHz-faDYA","00:03:08","00:03:09","You're the best.","you're the best oh"
"obxHz-faDYA","00:03:09","00:03:10","- Oh my god!","my god amy"
"obxHz-faDYA","00:03:11","00:03:12","Amy loves her dad!","loves her dad what a"
"obxHz-faDYA","00:03:12","00:03:13","What a loser!","loser"
"obxHz-faDYA","00:03:14","00:03:15","",""
"obxHz-faDYA","00:03:16","00:03:17","- This is why I have low self-esteem.","this is why i have low self-esteem"
"obxHz-faDYA","00:03:18","00:03:20","- Oh no baby, it's me, it's me.","oh no no no baby baby it's me it's me it's"
"obxHz-faDYA","00:03:20","00:03:21","It's dad.","dad"
"obxHz-faDYA","00:03:22","00:03:22","- It's okay.","it's okay the"
"obxHz-faDYA","00:03:23","00:03:25","The only people who like me are my OnlyFans.","only people who like me are my only fans what"
"obxHz-faDYA","00:03:25","00:03:26","- What? - What?","what"
"obxHz-faDYA","00:03:26","00:03:27","- [Shayne] What's a hug?","what's a"
"obxHz-faDYA","00:03:28","00:03:32","","hug [Music] what what what's a hug [Music]"
"obxHz-faDYA","00:03:35","00:03:45","","so"
"obxHz-faDYA","00:03:46","00:03:46","- Hey guys.","hey guys"
"obxHz-faDYA","00:03:47","00:03:48","","um can you tell i'm not wearing any makeup"
"obxHz-faDYA","00:03:48","00:03:50","Can you tell I'm not wearing any makeup under my mask?","under my mask not"
"obxHz-faDYA","00:03:51","00:03:52","- [Olivia And Kimmy] Not at all.","at all okay"
"obxHz-faDYA","00:03:53","00:03:54","","give"
"obxHz-faDYA","00:03:54","00:03:56","- Give me your chicken sandwich bitch!","me your chicken sandwich [ __ ]"
"obxHz-faDYA","00:03:57","00:03:58","- [Courtney] I can't come to school, my WiFi's down.","i can't come to school my wi-fi's down"
"obxHz-faDYA","00:03:59","00:04:00","- So if you remember PEMDAS,","so if you remember pemdas is"
"obxHz-faDYA","00:04:01","00:04:03","the multiplying goes before dividing.","the uh multiplying goes before dividing"
"obxHz-faDYA","00:04:04","00:04:05","","uh sorry mary"
