"video_id","min_timecode","max_timecode","text.user","text.auto"
"oyx49MqQeZc","00:00:00","00:00:02","- [Skip] 31 Minecraft facts that you may be missed.","31 minecraft facts that you maybe missed minecraft"
"oyx49MqQeZc","00:00:02","00:00:03","Minecraft is filled","is filled"
"oyx49MqQeZc","00:00:04","00:00:05","to the brim with different blocks, mobs and items.","to the brim with different blocks mobs and items"
"oyx49MqQeZc","00:00:06","00:00:07","So if you blink, you might just miss something.","so if you blink you might just miss something"
"oyx49MqQeZc","00:00:08","00:00:10","And that's why today we're diving deep into the factoids","and that's why today we're diving deep into the factoids that"
"oyx49MqQeZc","00:00:10","00:00:11","that you might not have noticed before.","you might not have noticed before"
"oyx49MqQeZc","00:00:12","00:00:13","And hey, the YouTube council bets me","and hey the youtube council bets me that you"
"oyx49MqQeZc","00:00:13","00:00:15","that you can't subscribe to this channel","can't subscribe to this channel before i"
"oyx49MqQeZc","00:00:15","00:00:16","before I dig down to bedrock.","dig down to bedrock"
"oyx49MqQeZc","00:00:17","00:00:17","So prove them wrong,","so to prove"
"oyx49MqQeZc","00:00:18","00:00:20","insta mine that red sub button down below.","them wrong insta-mine that red sub button down below it's free and"
"oyx49MqQeZc","00:00:20","00:00:22","It's free and it helps out a ton.","it upset a ton number one baby"
"oyx49MqQeZc","00:00:22","00:00:24","Number one, baby zombies are pests to say the least.","zombies are pests to say"
"oyx49MqQeZc","00:00:25","00:00:26","They've got a small hit box,","the least they've got a small hitbox they're wicked"
"oyx49MqQeZc","00:00:26","00:00:27","they're wicked fast and good luck","fast and good"
"oyx49MqQeZc","00:00:28","00:00:30","even trying to fight one of these with grass nearby.","luck even trying to fight one of these with grass nearby so"
"oyx49MqQeZc","00:00:30","00:00:32","So to stay away from these ankle biters,","to stay away from these ankle biters"
"oyx49MqQeZc","00:00:33","00:00:34","maybe your new solution should be to try","maybe your new solution should be to try and grab a strider"
"oyx49MqQeZc","00:00:34","00:00:36","and grab a strider instead","instead because as"
"oyx49MqQeZc","00:00:36","00:00:38","because as you can see, these mobs are fully capable","you can see these mobs are fully capable"
"oyx49MqQeZc","00:00:38","00:00:40","of walking on top of the other mobs.","of walking on top of the other mobs"
"oyx49MqQeZc","00:00:41","00:00:43","Sure, a strider outside of lava isn't the fastest,","sure a strider outside of lava isn't the fastest"
"oyx49MqQeZc","00:00:44","00:00:47","but even then they completely negate the baby's speed","but even then they completely negate the baby's speed which gives us a"
"oyx49MqQeZc","00:00:47","00:00:49","which gives us a much needed way out of dodge","much needed way out of dodge and one"
"oyx49MqQeZc","00:00:49","00:00:50","and one that I'm happy to take","that i'm happy to take at whatever"
"oyx49MqQeZc","00:00:51","00:00:52","at whatever pace they're willing to give me.","pace they're willing to give me number two"
"oyx49MqQeZc","00:00:52","00:00:55","Number two, Easter eggs are almost a rite of passage","easter eggs are almost a rite of passage when you're developing a"
"oyx49MqQeZc","00:00:55","00:00:57","when you're developing a game, but after they're in,","game but after they're in you have"
"oyx49MqQeZc","00:00:58","00:00:59","you have to wonder how many players will discover them","to wonder how many players will discover them if at"
"oyx49MqQeZc","00:00:59","00:01:00","if at all.","all take the"
"oyx49MqQeZc","00:01:00","00:01:01","Take the desert temple for example.","desert temple for example"
"oyx49MqQeZc","00:01:02","00:01:04","While most of us are focused on the treasure and TNT","while most of us are focused on the treasure and tnt that"
"oyx49MqQeZc","00:01:05","00:01:05","that lies underneath,","lies underneath there's actually"
"oyx49MqQeZc","00:01:06","00:01:07","there's actually more than meets the eye to the top.","more than meets the eye to the top you"
"oyx49MqQeZc","00:01:07","00:01:09","You see, this big hollowed out spot in the roof","see this big hollowed-out spot on the roof"
"oyx49MqQeZc","00:01:10","00:01:11","is actually the perfect size","is actually the perfect size"
"oyx49MqQeZc","00:01:12","00:01:13","for a fully powered beacon setup.","for a fully powered beacon setup still"
"oyx49MqQeZc","00:01:13","00:01:14","Still don't believe me?","don't believe me well lay"
"oyx49MqQeZc","00:01:14","00:01:16","Well, lay out the blocks as you would anywhere else","out the blocks as you would anywhere else and"
"oyx49MqQeZc","00:01:17","00:01:18","and sure enough, there's even gonna be a sky roof","sure enough there's even gonna be a sky"
"oyx49MqQeZc","00:01:19","00:01:20","so that the beacon can power up,","roof so that the beacon can power up which i gotta"
"oyx49MqQeZc","00:01:20","00:01:21","which I got to say is pretty nifty.","say is"
"oyx49MqQeZc","00:01:22","00:01:24","Number three, torches are the most obvious way","pretty nifty number three torches are the most obvious way to light"
"oyx49MqQeZc","00:01:24","00:01:25","to light up a build.","up a build"
"oyx49MqQeZc","00:01:25","00:01:27","They're cheap, you can craft a bunch of them","they're cheap you can craft a bunch of them and they also happen"
"oyx49MqQeZc","00:01:27","00:01:28","and they also happen to work pretty well.","to work pretty"
"oyx49MqQeZc","00:01:29","00:01:31","So most of us don't tend to look for placements that often,","well so most of us don't tend to look for replacements that often"
"oyx49MqQeZc","00:01:32","00:01:32","but if you were to take the time","but if you were"
"oyx49MqQeZc","00:01:33","00:01:35","and scan through all of Minecraft's various blocks,","to take the time and scan through all of minecraft's various"
"oyx49MqQeZc","00:01:36","00:01:37","there's actually a surprising competitor.","blocks there's actually a surprising competitor"
"oyx49MqQeZc","00:01:38","00:01:40","For some reason, four sea pickles actually give off","for some reason 4c pickles actually give off more"
"oyx49MqQeZc","00:01:41","00:01:42","more light than a torch in the same block.","light than a torch in the same block"
"oyx49MqQeZc","00:01:42","00:01:44","No joke, these slimy sea things","no joke these slimy seed things can outperform"
"oyx49MqQeZc","00:01:44","00:01:47","can outperform Minecraft's most iconic light source.","minecraft's most iconic light source so if"
