"video_id","min_timecode","max_timecode","text.user","text.auto"
"pCNvA5wD79I","00:00:00","00:00:01","- Hey, a nice day on ""It's Alive.""","hey guys today and it's alive we're going"
"pCNvA5wD79I","00:00:01","00:00:02","We're gonna be making fermented salsa,","to be making fermented salsa"
"pCNvA5wD79I","00:00:03","00:00:05","a really simple red tomato, chile,","a really simple red tomato chili garlic"
"pCNvA5wD79I","00:00:05","00:00:08","garlic, onion, couple little wild cards salsa,","onion couple little wild cards salsa"
"pCNvA5wD79I","00:00:08","00:00:11","fermented, blended, eaten with some corn chips,","fermented blended eaten with some corn"
"pCNvA5wD79I","00:00:12","00:00:14","fermented salsa, baby.","chips fermented salsa"
"pCNvA5wD79I","00:00:14","00:00:16","[upbeat music]","baby [Applause]"
"pCNvA5wD79I","00:00:17","00:00:24","","fermented salsa baby [Applause] i just"
"pCNvA5wD79I","00:00:25","00:00:27","I just got some organic grape tomatoes,","got some organic grape tomatoes uh and that's"
"pCNvA5wD79I","00:00:28","00:00:28","and that's what we've got there.","what we got there that's our base we"
"pCNvA5wD79I","00:00:28","00:00:30","That's our base. We got one pound, okay?","got one pound okay then"
"pCNvA5wD79I","00:00:30","00:00:33","And then we got a habanero chile, fresh, and a serrano,","i got a habanero chili fresh and a serrano"
"pCNvA5wD79I","00:00:34","00:00:37","two very, very delightful, fresh chilies, okay?","two very very delightful fresh chilies okay we're gonna leave"
"pCNvA5wD79I","00:00:38","00:00:38","We're gonna leave 'em whole as is,","them whole as is"
"pCNvA5wD79I","00:00:39","00:00:41","and then I got four, five, six,","and then i got four five six whatever you're"
"pCNvA5wD79I","00:00:41","00:00:43","whatever you're into, cloves of garlic,","into uh cloves of garlic"
"pCNvA5wD79I","00:00:44","00:00:47","and then I got a dried chile, a dried Morita chile,","and then i got a dried chili a dried morita chili which has already"
"pCNvA5wD79I","00:00:47","00:00:49","which it has already a nice little smokiness to it","a nice little smokiness"
"pCNvA5wD79I","00:00:50","00:00:53","and I think will add just a really nice depth to the salsa.","to it and i think we'll add just a really nice depth to the salsa and"
"pCNvA5wD79I","00:00:54","00:00:55","And I got a little cast iron skillet going,","i got a little cast iron skillet going nice"
"pCNvA5wD79I","00:00:55","00:00:56","nice and hot over there.","and hot over there i'm"
"pCNvA5wD79I","00:00:57","00:00:58","I'm just gonna throw the garlic in there,","just gonna throw the garlic in there"
"pCNvA5wD79I","00:00:58","00:01:00","give it a little dry little roast.","give it a little dry kind of little roast"
"pCNvA5wD79I","00:01:01","00:01:04","And then these chilies, you could roast 'em up","and then these chilies you could you could roast them up in"
"pCNvA5wD79I","00:01:04","00:01:05","in the cast iron, but what I like to do","the cast iron but what i like to"
"pCNvA5wD79I","00:01:06","00:01:09","is I'm just gonna place 'em right over the fire here","do is i'm just gonna place them right over right over the uh the fire here and just"
"pCNvA5wD79I","00:01:10","00:01:11","and just let 'em get a little blistery.","kind of let them get a little blistery"
"pCNvA5wD79I","00:01:11","00:01:13","And then right into the cast iron,","and then right into the cast iron we're just going to move"
"pCNvA5wD79I","00:01:13","00:01:14","which is gonna move fast, okay?","fast kev"
"pCNvA5wD79I","00:01:14","00:01:16","Be ready. We're gonna go on this.","you ready we're going to go on this we've got a little black cumin"
"pCNvA5wD79I","00:01:18","00:01:20","a couple things of fennel seed,","a little bit a couple things of fennel seed a little"
"pCNvA5wD79I","00:01:20","00:01:21","a little pink peppercorn.","pink peppercorn"
"pCNvA5wD79I","00:01:22","00:01:23","Gonna let that toast up.","don't let that toast up"
"pCNvA5wD79I","00:01:23","00:01:24","Don't go walking away from that,","don't go walking away from"
"pCNvA5wD79I","00:01:25","00:01:26","from anything at this point, really.","that from anything at this point really"
"pCNvA5wD79I","00:01:27","00:01:27","Habaneros, yes, they're hot.","habaneros yes"
"pCNvA5wD79I","00:01:28","00:01:30","You can use any chile here at this point.","they're hot you could use any chili here at this point you know"
"pCNvA5wD79I","00:01:30","00:01:32","[cast iron scrapes burner] [dramatic music]","um i like oh"
"pCNvA5wD79I","00:01:33","00:01:33","Oh, God.","god"
"pCNvA5wD79I","00:01:34","00:01:34","",""
"pCNvA5wD79I","00:01:35","00:01:37","Oh, don't. We're not gonna lose...","oh don't don't we're not gonna lose"
"pCNvA5wD79I","00:01:38","00:01:40","Aw, we'll burn off any of the germs.","oh we'll burn off any of the germs nah"
"pCNvA5wD79I","00:01:40","00:01:42","[laughs] Not a problem.","not a problem what"
"pCNvA5wD79I","00:01:43","00:01:43","[dramatic music]","i do love oh come"
"pCNvA5wD79I","00:01:44","00:01:44","Oh, come on. Crap.","on crap"
