"video_id","min_timecode","max_timecode","text.user","text.auto"
"pTn6Ewhb27k","00:00:00","00:00:01","- This video was sponsored by KiwiCo.","this video was sponsored by kiwiko"
"pTn6Ewhb27k","00:00:02","00:00:04","More about KiwiCo at the end of the show.","more about kiwiko at the end of the show"
"pTn6Ewhb27k","00:00:04","00:00:05","",""
"pTn6Ewhb27k","00:00:06","00:00:06","I know what you're thinking.","i know what you're"
"pTn6Ewhb27k","00:00:07","00:00:07","- Clickbait!","thinking clickbait"
"pTn6Ewhb27k","00:00:08","00:00:11","- No one has measured the speed of light, that's ridiculous.","no one has measured the speed of light that's ridiculous the speed"
"pTn6Ewhb27k","00:00:12","00:00:17","The speed of light is exactly 299,792,458 meters per second.","of light is exactly 299 million 792 458 exactly 299 million 792 458 meters per second"
"pTn6Ewhb27k","00:00:18","00:00:18","","we"
"pTn6Ewhb27k","00:00:18","00:00:20","We are so sure of it that since 1983,","are so sure of it that since 1983"
"pTn6Ewhb27k","00:00:21","00:00:21","we've actually used the speed of light","we've actually used"
"pTn6Ewhb27k","00:00:22","00:00:24","to define how long a meter is.","the speed of light to define how long a meter is it's"
"pTn6Ewhb27k","00:00:25","00:00:26","It's just the distance light travels in a vacuum","just the distance light travels"
"pTn6Ewhb27k","00:00:27","00:00:31","in 1/299,792,458ths of a second.","in a vacuum in one over two nine nine seven nine two 792 458 of a second"
"pTn6Ewhb27k","00:00:31","00:00:34","That definition ensures that the speed of light","that definition ensures that the speed of light"
"pTn6Ewhb27k","00:00:34","00:00:38","is exactly this number, no decimals.","is exactly this number no decimals but"
"pTn6Ewhb27k","00:00:39","00:00:40","But hear me out, in this video,","hear me out in this video"
"pTn6Ewhb27k","00:00:41","00:00:41","I will prove to you","i will prove to you"
"pTn6Ewhb27k","00:00:42","00:00:45","that light may never actually travel at this speed","that light may never actually travel at this speed"
"pTn6Ewhb27k","00:00:46","00:00:50","and I can say that because no one has actually measured it.","and i can say that because no one has actually measured it we can't measure"
"pTn6Ewhb27k","00:00:50","00:00:51","We can't measure the speed of light","the speed of light the same"
"pTn6Ewhb27k","00:00:52","00:00:54","the same way we measure the speed of anything else.","way we measure the speed of anything"
"pTn6Ewhb27k","00:00:54","00:01:02","","else i think we're recording"
"pTn6Ewhb27k","00:01:02","00:01:03","Destin: I think we're recording everywhere.","everywhere"
