"video_id","min_timecode","max_timecode","text.user","text.auto"
"piK5eVYqot0","00:00:00","00:00:00","","today's"
"piK5eVYqot0","00:00:01","00:00:01","- Today is the big day.","a big day"
"piK5eVYqot0","00:00:02","00:00:03","But before we get started,","but before we get started make"
"piK5eVYqot0","00:00:04","00:00:05","make sure you subscribe and click that bell.","sure you subscribe and click that"
"piK5eVYqot0","00:00:06","00:00:07","(upbeat music)","[Music]"
"piK5eVYqot0","00:00:08","00:00:20","","bell guys"
"piK5eVYqot0","00:00:20","00:00:23","- Guys, Uncle Derek is getting married.","uncle derek is getting married because"
"piK5eVYqot0","00:00:23","00:00:26","- Uncle Derek getting married.","they're getting married wait"
"piK5eVYqot0","00:00:26","00:00:28","- Wait, what!","what because they're getting married wait what guys"
"piK5eVYqot0","00:00:28","00:00:32","- Guys, we have transformed my entire basement","we have transformed my entire basement"
"piK5eVYqot0","00:00:33","00:00:34","",""
"piK5eVYqot0","00:00:34","00:00:36","into a wedding reception hall","into a wedding reception haul"
"piK5eVYqot0","00:00:37","00:00:39","","[Music] because"
"piK5eVYqot0","00:00:39","00:00:41","because Uncle Derek is getting married.","uncle derek is getting married"
"piK5eVYqot0","00:00:42","00:00:45","And guys, I have a super busy day ahead of me.","and guys i have a super busy day ahead of me"
"piK5eVYqot0","00:00:46","00:00:49","I am the videographer, the wedding decorator,","i am the videographer the wedding decorator"
"piK5eVYqot0","00:00:50","00:00:53","I have to help make food and do a bunch of other things.","i have to help make food um and do a bunch of other things so"
"piK5eVYqot0","00:00:53","00:00:55","So I need to get ready.","um i need to get ready"
"piK5eVYqot0","00:00:55","00:00:55","",""
"piK5eVYqot0","00:00:56","00:00:56","That's better.","that's better"
"piK5eVYqot0","00:00:57","00:00:58","Now the work begins.","now the work begins"
"piK5eVYqot0","00:00:58","00:01:04","","[Music]"
"piK5eVYqot0","00:01:08","00:01:10","",""
"piK5eVYqot0","00:01:11","00:01:12","What is going on in here?","what is going on in here"
"piK5eVYqot0","00:01:13","00:01:13","- Preparing for the wedding.","preparing for the wedding"
"piK5eVYqot0","00:01:14","00:01:15","- Yeah, we're preparing.","yeah we're preparing"
"piK5eVYqot0","00:01:16","00:01:18","","um these two"
"piK5eVYqot0","00:01:18","00:01:20","- These two had a slumber party last night.","had a slumber party last night"
"piK5eVYqot0","00:01:21","00:01:21","","wait we"
"piK5eVYqot0","00:01:22","00:01:22","- Wait we were supposed to sleep?","were supposed to sleep"
"piK5eVYqot0","00:01:23","00:01:24","","was that part"
"piK5eVYqot0","00:01:24","00:01:25","- Was that part of the.. - Oh no.","the oh no it"
"piK5eVYqot0","00:01:25","00:01:26","- It was our last night","was our last night"
"piK5eVYqot0","00:01:27","00:01:28","before Derek was a married man, okay?","before derek was a married man okay"
"piK5eVYqot0","00:01:29","00:01:29","","stephen"
"piK5eVYqot0","00:01:30","00:01:32","- Are you sad?","you said you"
"piK5eVYqot0","00:01:32","00:01:33","You're sad that your best friend..","said that your"
"piK5eVYqot0","00:01:34","00:01:34","- Don't talk about it!","best friend don't talk about it don't"
"piK5eVYqot0","00:01:35","00:01:36","Don't talk about it! - Is getting married","don't getting married i'm leaving"
"piK5eVYqot0","00:01:37","00:01:37","and leaving you?","you"
"piK5eVYqot0","00:01:38","00:01:38","- Don't talk about it!","don't talk about it"
"piK5eVYqot0","00:01:39","00:01:40","(chuckles)","uh do you"
"piK5eVYqot0","00:01:40","00:01:42","- Do you remember the last time..","remember the last time don't"
"piK5eVYqot0","00:01:43","00:01:43","- Don't.","derek left"
"piK5eVYqot0","00:01:43","00:01:47","- Derek left and you got really, really upset?","and you got really really upset"
"piK5eVYqot0","00:01:48","00:01:49","Do you remember Derek?","do you remember derek i"
"piK5eVYqot0","00:01:50","00:01:50","- I do.","do left"
"piK5eVYqot0","00:01:51","00:01:53","- I left my parent's house and said goodbye to Derek.","my parents house and said goodbye to derek everyone's"
"piK5eVYqot0","00:01:54","00:01:56","Everyone's a little emotional.","a little emotional"
"piK5eVYqot0","00:01:58","00:02:00","(mumbles)","what's"
"piK5eVYqot0","00:02:00","00:02:02","What's one thing that you're gonna miss about,","one thing that you're gonna miss about"
"piK5eVYqot0","00:02:03","00:02:04","miss the most?","miss the most everything"
"piK5eVYqot0","00:02:04","00:02:06","- Everything.","everything"
"piK5eVYqot0","00:02:07","00:02:08","There's not one thing that you can pick?","there's not one thing that you can pick"
"piK5eVYqot0","00:02:13","00:02:15","",""
"piK5eVYqot0","00:02:17","00:02:20","","that wasn't"
"piK5eVYqot0","00:02:21","00:02:22","- That wasn't my very best moment.","my very best moment"
"piK5eVYqot0","00:02:23","00:02:26","- [Jamie] Well, enjoy your last few hours together boys","well enjoy your last few hours together boys because"
"piK5eVYqot0","00:02:27","00:02:28","because it's coming to an end soon.","it's coming to an end"
"piK5eVYqot0","00:02:31","00:02:42","","soon all right guys so"
"piK5eVYqot0","00:02:42","00:02:43","All right guys, so I'm a little nervous","i'm a little nervous"
"piK5eVYqot0","00:02:44","00:02:45","because I have to write,","because i have to write"
"piK5eVYqot0","00:02:46","00:02:49","Mr and Mrs on these shoes","mr and mrs on these shoes"
"piK5eVYqot0","00:02:50","00:02:51","with permanent paint.","with permanent paint"
"piK5eVYqot0","00:02:52","00:02:52","",""
"piK5eVYqot0","00:02:52","00:02:54","I hope I don't mess up.","i hope i don't mess up"
"piK5eVYqot0","00:02:54","00:02:57","(upbeat music)","[Music] all right guys"
"piK5eVYqot0","00:02:57","00:03:00","All right guys, one set is done.","one set is done"
"piK5eVYqot0","00:03:01","00:03:01","(sighs)","[Music]"
"piK5eVYqot0","00:03:02","00:03:03","Does it look okay?","to look okay i was so"
"piK5eVYqot0","00:03:03","00:03:04","I was so nervous, I was gonna mess up","nervous i was gonna mess up but"
"piK5eVYqot0","00:03:04","00:03:06","but I think they turned out okay.","i think it turned out okay so now it's just"
"piK5eVYqot0","00:03:06","00:03:09","So now it's just time to do Uncle Derek's shoes","time to do uncle derek's shoes um"
"piK5eVYqot0","00:03:10","00:03:10","with the white paint.","with the white paint uh"
"piK5eVYqot0","00:03:11","00:03:12","","paint uh how does it"
"piK5eVYqot0","00:03:12","00:03:14","How does it look, guys?","look guys it's not too bad"
"piK5eVYqot0","00:03:14","00:03:15","It's not too bad.","all right guys you"
"piK5eVYqot0","00:03:15","00:03:16","- All right guys, you don't know this,","don't know this but"
"piK5eVYqot0","00:03:17","00:03:18","but I'm a groomsman for Derek and I got a job to do.","i'm a groomsman for derrick and i got a job to do"
"piK5eVYqot0","00:03:19","00:03:21","As a groomsman it's my job to trash Derek's car","as a groomsman it's my job to trash derek's car for"
"piK5eVYqot0","00:03:22","00:03:24","for when he drives off after their wedding.","when he drives off after the wedding"
"piK5eVYqot0","00:03:24","00:03:24","",""
"piK5eVYqot0","00:03:25","00:03:28","Gonna need these and this","i'm gonna need these and this and"
"piK5eVYqot0","00:03:28","00:03:29","and definitely this.","definitely these"
"piK5eVYqot0","00:03:30","00:03:30","",""
"piK5eVYqot0","00:03:31","00:03:32","Now I'm ready to trash the car.","now i'm ready to trash the car"
"piK5eVYqot0","00:03:33","00:03:35","- All right guys, we are stressing and running around","all right guys we are stressing and running around"
"piK5eVYqot0","00:03:36","00:03:40","but it is time for Uncle Derek to see Lexi,","but it is time for uncle derek to see lexi"
"piK5eVYqot0","00:03:41","00:03:42","his fiance in her dress.","his fiancee in her dress we're"
"piK5eVYqot0","00:03:43","00:03:45","We're doing the first look.","doing the first his fiancee in her dress we're doing the first look so we're gonna go"
"piK5eVYqot0","00:03:46","00:03:48","So we're gonna go to a pretty location.","to a pretty location i'm gonna video"
"piK5eVYqot0","00:03:49","00:03:52","I'm gonna video Derek, seeing Lexi for the first time.","there seeing lexi for the first time are"
"piK5eVYqot0","00:03:53","00:03:53","Are you excited, nervous?","you excited nervous"
"piK5eVYqot0","00:03:54","00:03:55","- Yes.","yes derek whatever"
"piK5eVYqot0","00:03:55","00:03:56","- Derek, whatever you do,","you do do"
"piK5eVYqot0","00:03:56","00:03:59","do not look out that back window (chuckles).","not look out that back window"
"piK5eVYqot0","00:04:00","00:04:01","","yeah you need"
"piK5eVYqot0","00:04:01","00:04:02","- [Derek's Mom] Here. - You need a blind fold.","a blindfold i'm not going to get it"
"piK5eVYqot0","00:04:03","00:04:04","Get it on. - No that's been on your face.","on your face get it on"
"piK5eVYqot0","00:04:04","00:04:05","- Get it on Derek.","derek get it on"
"piK5eVYqot0","00:04:05","00:04:06","- [Derek's Mom] It's time. - Get it on.","turn"
"piK5eVYqot0","00:04:07","00:04:07","- [Derek's Mom] Turn this way.","one turn this way we"
"piK5eVYqot0","00:04:08","00:04:09","- [Jamie] We knew those face masks would come in handy.","knew those space masks would come in handy yeah"
"piK5eVYqot0","00:04:10","00:04:10","- [Derek's Mom] Yeah.","it's a good thing"
"piK5eVYqot0","00:04:10","00:04:11","It's a good thing for it. - [Jamie] Good job.","good job"
"piK5eVYqot0","00:04:11","00:04:12","There you go. - [Derek's Mom] Thanks.","there you go"
"piK5eVYqot0","00:04:13","00:04:15","- All right Derek, we need to get you in your place.","all right derek we need to get you in your place let's go"
"piK5eVYqot0","00:04:16","00:04:16","Let's go.","okay derek just"
"piK5eVYqot0","00:04:16","00:04:19","Okay Derek just walk slowly ahead.","walk slowly ahead i know"
"piK5eVYqot0","00:04:20","00:04:20","- I know there's a curb close. - [Jamie] Come on Derek.","there's a curb"
"piK5eVYqot0","00:04:21","00:04:22","- And I'm not gonna walk.","come on i'm not gonna walk walk slowly"
"piK5eVYqot0","00:04:22","00:04:25","- [Jamie] Walk slowly ahead.","ahead"
"piK5eVYqot0","00:04:25","00:04:26","- Hold mommy's hand.","come here"
"piK5eVYqot0","00:04:26","00:04:28","Come here, hold mommy's hand. - I'm not holding your hand.","hold on your hand look like"
"piK5eVYqot0","00:04:28","00:04:31","I'll go like this. - It's our last time.","this it's our last time it's our last time together"
"piK5eVYqot0","00:04:31","00:04:32","It's our last time together.","oh"
"piK5eVYqot0","00:04:32","00:04:34","- Aw, it's so sweet.","it's so sweet it's our last time together oh it's so sweet"
"piK5eVYqot0","00:04:34","00:04:36","Guys, the bride is behind me.","guys the bride is behind me"
"piK5eVYqot0","00:04:37","00:04:38","(gasps).","but"
"piK5eVYqot0","00:04:38","00:04:40","But I'm not gonna let you guys see","i'm not gonna let you guys"
"piK5eVYqot0","00:04:41","00:04:43","until she actually comes down the aisle.","see until she actually comes down the aisle"
"piK5eVYqot0","00:04:43","00:04:46","So, sorry you're gonna have to wait.","so sorry you're gonna have to wait so uh"
"piK5eVYqot0","00:04:46","00:04:47","So we forgot to mention","we forgot to mention"
"piK5eVYqot0","00:04:48","00:04:52","that Derek needs to climb this, you know, big hill.","that uh derek needs to climb this you know big hill you ready"
"piK5eVYqot0","00:04:52","00:04:53","You ready Derek?","derek what"
"piK5eVYqot0","00:04:54","00:04:55","- What? (chuckles)","blindfolded"
"piK5eVYqot0","00:04:56","00:05:02","","[Music] all right so we"
"piK5eVYqot0","00:05:02","00:05:04","All right, so we just did the first look.","just did the first look is the dress"
"piK5eVYqot0","00:05:04","00:05:05","Is the dress so pretty?","so"
"piK5eVYqot0","00:05:06","00:05:06","- So pretty.","pretty so"
"piK5eVYqot0","00:05:07","00:05:09","- Okay, so I'm just gonna like do like a second,","okay so i'm just gonna like do like a second just"
"piK5eVYqot0","00:05:10","00:05:10","just like (vocalizing).","like"
"piK5eVYqot0","00:05:11","00:05:12","","oh you'll have to pause"
"piK5eVYqot0","00:05:12","00:05:14","You'll have to pause it and see if you can see it","it and see if you can see it or"
"piK5eVYqot0","00:05:15","00:05:16","or you'll have to wait until the wedding.","you have to wait until the wedding waited"
"piK5eVYqot0","00:05:16","00:05:17","","y'all want me to"
"piK5eVYqot0","00:05:18","00:05:19","- [Derek] You don't want me to be animated?","be"
"piK5eVYqot0","00:05:22","00:05:22","",""
"piK5eVYqot0","00:05:23","00:05:24","- [Voice] One, two.","animated"
"piK5eVYqot0","00:05:24","00:05:27","",""
"piK5eVYqot0","00:05:28","00:05:29","",""
"piK5eVYqot0","00:05:30","00:05:32","- Stephen, I am so glad we got your hair cut","stephen i am so glad we got your hair cut"
"piK5eVYqot0","00:05:33","00:05:35","before you needed to be in this wedding.","before you needed to be in this wedding yeah oh look"
"piK5eVYqot0","00:05:35","00:05:36","- Yeah.. - [Jamie] Oh look,","she's giving you back scratch"
"piK5eVYqot0","00:05:37","00:05:38","- I know.","i know giving you back scratch i know"
"piK5eVYqot0","00:05:38","00:05:39","","let's see"
"piK5eVYqot0","00:05:42","00:05:44","You with your cousin?","be with your"
"piK5eVYqot0","00:05:47","00:05:56","","cousin [Music]"
"piK5eVYqot0","00:05:57","00:05:59","All right Blake, is Uncle Derek getting married?","all right blake it's uncle derek getting married yeah"
"piK5eVYqot0","00:06:00","00:06:01","- Really soon.","really soon we're just"
"piK5eVYqot0","00:06:02","00:06:02","We're just eating.","eating we're gonna take"
"piK5eVYqot0","00:06:03","00:06:03","We're gonna take some family pictures","some family pictures"
"piK5eVYqot0","00:06:04","00:06:07","and then it's the wedding and he's gonna kiss Lexi.","and then it's the wedding and he's gonna kiss lexi"
"piK5eVYqot0","00:06:08","00:06:10","",""
"piK5eVYqot0","00:06:11","00:06:11","Oh gross!","oh"
"piK5eVYqot0","00:06:12","00:06:13","",""
