video_id,lang,text,timecode
pnhaBLcjka4,English,,0:00 / 2:05
pnhaBLcjka4,English,,0:01 / 2:05
pnhaBLcjka4,English,,0:02 / 2:05
pnhaBLcjka4,English,,0:03 / 2:05
pnhaBLcjka4,English,,0:04 / 2:05
pnhaBLcjka4,English,,0:05 / 2:05
pnhaBLcjka4,English,The two most impactful moments,0:06 / 2:05
pnhaBLcjka4,English,The two most impactful moments,0:07 / 2:05
pnhaBLcjka4,English,I've ever had in my career.,0:08 / 2:05
pnhaBLcjka4,English,,0:09 / 2:05
pnhaBLcjka4,English,,0:10 / 2:05
pnhaBLcjka4,English,2019 Fortnite World Cup win.,0:11 / 2:05
pnhaBLcjka4,English,2019 Fortnite World Cup win.,0:12 / 2:05
pnhaBLcjka4,English,,0:13 / 2:05
pnhaBLcjka4,English,,0:14 / 2:05
pnhaBLcjka4,English,,0:15 / 2:05
pnhaBLcjka4,English,,0:16 / 2:05
pnhaBLcjka4,English,And the day I got my own,0:16 / 2:05
pnhaBLcjka4,English,And the day I got my own,0:17 / 2:05
pnhaBLcjka4,English,Icon Series outfit.,0:18 / 2:05
pnhaBLcjka4,English,,0:19 / 2:05
pnhaBLcjka4,English,,0:20 / 2:05
pnhaBLcjka4,English,,0:21 / 2:05
pnhaBLcjka4,English,,0:22 / 2:05
pnhaBLcjka4,English,,0:23 / 2:05
pnhaBLcjka4,English,,0:24 / 2:05
pnhaBLcjka4,English,,0:25 / 2:05
pnhaBLcjka4,English,,0:26 / 2:05
pnhaBLcjka4,English,,0:27 / 2:05
pnhaBLcjka4,English,,0:28 / 2:05
pnhaBLcjka4,English,There's three variants of my outfit.,0:28 / 2:05
pnhaBLcjka4,English,There's three variants of my outfit.,0:29 / 2:05
pnhaBLcjka4,English,,0:30 / 2:05
pnhaBLcjka4,English,This looks exactly like me.,0:30 / 2:05
pnhaBLcjka4,English,This looks exactly like me.,0:31 / 2:05
pnhaBLcjka4,English,"They got the joggers on, the shoes,",0:32 / 2:05
pnhaBLcjka4,English,"They got the joggers on, the shoes,",0:33 / 2:05
pnhaBLcjka4,English,"They got the joggers on, the shoes,",0:34 / 2:05
pnhaBLcjka4,English,"the hair, everything is perfect.",0:34 / 2:05
pnhaBLcjka4,English,"the hair, everything is perfect.",0:35 / 2:05
pnhaBLcjka4,English,"the hair, everything is perfect.",0:36 / 2:05
pnhaBLcjka4,English,,0:36 / 2:05
pnhaBLcjka4,English,You got the World Cup variant,0:37 / 2:05
pnhaBLcjka4,English,which is super cool.,0:37 / 2:05
pnhaBLcjka4,English,which is super cool.,0:38 / 2:05
pnhaBLcjka4,English,which is super cool.,0:39 / 2:05
pnhaBLcjka4,English,"Alright, I'm gonna spin it around real quick",0:39 / 2:05
pnhaBLcjka4,English,"Alright, I'm gonna spin it around real quick",0:40 / 2:05
pnhaBLcjka4,English,,0:40 / 2:05
pnhaBLcjka4,English,and look at the back. Wow.,0:41 / 2:05
pnhaBLcjka4,English,and look at the back. Wow.,0:42 / 2:05
pnhaBLcjka4,English,It looks just like the World Cup trophy.,0:42 / 2:05
pnhaBLcjka4,English,It looks just like the World Cup trophy.,0:43 / 2:05
pnhaBLcjka4,English,It looks just like the World Cup trophy.,0:44 / 2:05
pnhaBLcjka4,English,,0:45 / 2:05
pnhaBLcjka4,English,"My dog, Zoey in the trophy.",0:45 / 2:05
pnhaBLcjka4,English,"My dog, Zoey in the trophy.",0:46 / 2:05
pnhaBLcjka4,English,"My dog, Zoey in the trophy.",0:47 / 2:05
pnhaBLcjka4,English,"Zoey, look you're in the trophy.",0:48 / 2:05
pnhaBLcjka4,English,,0:49 / 2:05
pnhaBLcjka4,English,,0:50 / 2:05
pnhaBLcjka4,English,My pickaxes are dual wielded,0:50 / 2:05
pnhaBLcjka4,English,My pickaxes are dual wielded,0:51 / 2:05
pnhaBLcjka4,English,,0:52 / 2:05
pnhaBLcjka4,English,"Zoey is printed into both of them,",0:53 / 2:05
pnhaBLcjka4,English,,0:54 / 2:05
pnhaBLcjka4,English,,0:55 / 2:05
pnhaBLcjka4,English,,0:56 / 2:05
pnhaBLcjka4,English,"so emote, this is really funny.",0:56 / 2:05
pnhaBLcjka4,English,"so emote, this is really funny.",0:57 / 2:05
pnhaBLcjka4,English,,0:57 / 2:05
pnhaBLcjka4,English,"This is how it goes, even after World Cup,",0:58 / 2:05
pnhaBLcjka4,English,"This is how it goes, even after World Cup,",0:59 / 2:05
pnhaBLcjka4,English,"This is how it goes, even after World Cup,",1:00 / 2:05
pnhaBLcjka4,English,I did this dance on the stage.,1:00 / 2:05
pnhaBLcjka4,English,I did this dance on the stage.,1:01 / 2:05
pnhaBLcjka4,English,I did this dance on the stage.,1:02 / 2:05
pnhaBLcjka4,English,I just can't wait to get ingame,1:02 / 2:05
pnhaBLcjka4,English,I just can't wait to get ingame,1:03 / 2:05
pnhaBLcjka4,English,and play with this.,1:03 / 2:05
pnhaBLcjka4,English,This is so sweet.,1:04 / 2:05
pnhaBLcjka4,English,This is so sweet.,1:05 / 2:05
pnhaBLcjka4,English,,1:05 / 2:05
pnhaBLcjka4,English,,1:06 / 2:05
pnhaBLcjka4,English,,1:07 / 2:05
pnhaBLcjka4,English,,1:08 / 2:05
pnhaBLcjka4,English,,1:09 / 2:05
pnhaBLcjka4,English,,1:10 / 2:05
pnhaBLcjka4,English,,1:11 / 2:05
pnhaBLcjka4,English,,1:12 / 2:05
pnhaBLcjka4,English,,1:13 / 2:05
pnhaBLcjka4,English,,1:14 / 2:05
pnhaBLcjka4,English,Another really cool,1:14 / 2:05
pnhaBLcjka4,English,thing is Bugha's late-game,1:15 / 2:05
pnhaBLcjka4,English,thing is Bugha's late-game,1:16 / 2:05
pnhaBLcjka4,English,,1:17 / 2:05
pnhaBLcjka4,English,It is the first competitive,1:17 / 2:05
pnhaBLcjka4,English,It is the first competitive,1:18 / 2:05
pnhaBLcjka4,English,all out gamemode.,1:19 / 2:05
pnhaBLcjka4,English,all out gamemode.,1:20 / 2:05
pnhaBLcjka4,English,,1:20 / 2:05
pnhaBLcjka4,English,,1:21 / 2:05
pnhaBLcjka4,English,Trios.,1:21 / 2:05
pnhaBLcjka4,English,,1:22 / 2:05
pnhaBLcjka4,English,You start off the third zone,1:23 / 2:05
pnhaBLcjka4,English,You start off the third zone,1:24 / 2:05
pnhaBLcjka4,English,"set materials, weapons, loadouts.",1:24 / 2:05
pnhaBLcjka4,English,"set materials, weapons, loadouts.",1:25 / 2:05
pnhaBLcjka4,English,"set materials, weapons, loadouts.",1:26 / 2:05
pnhaBLcjka4,English,"set materials, weapons, loadouts.",1:27 / 2:05
pnhaBLcjka4,English,,1:27 / 2:05
pnhaBLcjka4,English,"You're getting straight into that action,",1:28 / 2:05
pnhaBLcjka4,English,"You're getting straight into that action,",1:29 / 2:05
pnhaBLcjka4,English,that World Cup experience for players,1:30 / 2:05
pnhaBLcjka4,English,that World Cup experience for players,1:31 / 2:05
pnhaBLcjka4,English,all around the world.,1:32 / 2:05
pnhaBLcjka4,English,,1:33 / 2:05
pnhaBLcjka4,English,,1:34 / 2:05
pnhaBLcjka4,English,I used to dream of the day,1:35 / 2:05
pnhaBLcjka4,English,that I would get my own Icon Series outfit.,1:35 / 2:05
pnhaBLcjka4,English,that I would get my own Icon Series outfit.,1:36 / 2:05
pnhaBLcjka4,English,that I would get my own Icon Series outfit.,1:37 / 2:05
pnhaBLcjka4,English,,1:37 / 2:05
pnhaBLcjka4,English,"Now that it's here, I'm",1:38 / 2:05
pnhaBLcjka4,English,,1:38 / 2:05
pnhaBLcjka4,English,super excited with how this turned out.,1:39 / 2:05
pnhaBLcjka4,English,super excited with how this turned out.,1:40 / 2:05
pnhaBLcjka4,English,This is really cool and,1:40 / 2:05
pnhaBLcjka4,English,This is really cool and,1:41 / 2:05
pnhaBLcjka4,English,I hope everyone likes it.,1:41 / 2:05
pnhaBLcjka4,English,,1:42 / 2:05
pnhaBLcjka4,English,,1:43 / 2:05
pnhaBLcjka4,English,,1:44 / 2:05
pnhaBLcjka4,English,,1:45 / 2:05
pnhaBLcjka4,English,,1:46 / 2:05
pnhaBLcjka4,English,,1:47 / 2:05
pnhaBLcjka4,English,,1:48 / 2:05
