video_id,lang,text,timecode
qYlmFfsyLMo,English,,0:00 / 4:02
qYlmFfsyLMo,English,"7,117.",0:01 / 4:02
qYlmFfsyLMo,English,"7,117.",0:02 / 4:02
qYlmFfsyLMo,English,,0:02 / 4:02
qYlmFfsyLMo,English,,0:03 / 4:02
qYlmFfsyLMo,English,"Okay, it would be a short video if I just gave that one answer.",0:04 / 4:02
qYlmFfsyLMo,English,"Okay, it would be a short video if I just gave that one answer.",0:05 / 4:02
qYlmFfsyLMo,English,"Okay, it would be a short video if I just gave that one answer.",0:06 / 4:02
qYlmFfsyLMo,English,"Okay, it would be a short video if I just gave that one answer.",0:07 / 4:02
qYlmFfsyLMo,English,"But that’s the number according to the 2020 edition of Ethnologue,",0:07 / 4:02
qYlmFfsyLMo,English,"But that’s the number according to the 2020 edition of Ethnologue,",0:08 / 4:02
qYlmFfsyLMo,English,"But that’s the number according to the 2020 edition of Ethnologue,",0:09 / 4:02
qYlmFfsyLMo,English,"But that’s the number according to the 2020 edition of Ethnologue,",0:10 / 4:02
qYlmFfsyLMo,English,widely considered to be the closest thing we have to a directory of languages.,0:11 / 4:02
qYlmFfsyLMo,English,widely considered to be the closest thing we have to a directory of languages.,0:12 / 4:02
qYlmFfsyLMo,English,widely considered to be the closest thing we have to a directory of languages.,0:13 / 4:02
qYlmFfsyLMo,English,widely considered to be the closest thing we have to a directory of languages.,0:14 / 4:02
qYlmFfsyLMo,English,"But here’s the catch: languages are not separate, distinct things.",0:15 / 4:02
qYlmFfsyLMo,English,"But here’s the catch: languages are not separate, distinct things.",0:16 / 4:02
qYlmFfsyLMo,English,"But here’s the catch: languages are not separate, distinct things.",0:17 / 4:02
qYlmFfsyLMo,English,"But here’s the catch: languages are not separate, distinct things.",0:18 / 4:02
qYlmFfsyLMo,English,"They evolve, split, merge, fall out of use.",0:19 / 4:02
qYlmFfsyLMo,English,"They evolve, split, merge, fall out of use.",0:20 / 4:02
qYlmFfsyLMo,English,"They evolve, split, merge, fall out of use.",0:21 / 4:02
qYlmFfsyLMo,English,"And it's often difficult to say exactly where one language ends, and another begins.",0:21 / 4:02
qYlmFfsyLMo,English,"And it's often difficult to say exactly where one language ends, and another begins.",0:22 / 4:02
qYlmFfsyLMo,English,"And it's often difficult to say exactly where one language ends, and another begins.",0:23 / 4:02
qYlmFfsyLMo,English,"And it's often difficult to say exactly where one language ends, and another begins.",0:24 / 4:02
qYlmFfsyLMo,English,"And it's often difficult to say exactly where one language ends, and another begins.",0:25 / 4:02
qYlmFfsyLMo,English,"Sure, it's clear that my English and another person's Mandarin",0:26 / 4:02
qYlmFfsyLMo,English,"Sure, it's clear that my English and another person's Mandarin",0:27 / 4:02
qYlmFfsyLMo,English,"are completely different languages,",0:28 / 4:02
qYlmFfsyLMo,English,"are completely different languages,",0:29 / 4:02
qYlmFfsyLMo,English,"are completely different languages,",0:30 / 4:02
qYlmFfsyLMo,English,but what about my English and someone else's Scots?,0:31 / 4:02
qYlmFfsyLMo,English,but what about my English and someone else's Scots?,0:32 / 4:02
qYlmFfsyLMo,English,but what about my English and someone else's Scots?,0:33 / 4:02
qYlmFfsyLMo,English,Or someone else's Singlish?,0:34 / 4:02
qYlmFfsyLMo,English,Or someone else's Singlish?,0:35 / 4:02
qYlmFfsyLMo,English,"Or someone else’s rural Southern American English,",0:35 / 4:02
qYlmFfsyLMo,English,"Or someone else’s rural Southern American English,",0:36 / 4:02
qYlmFfsyLMo,English,"Or someone else’s rural Southern American English,",0:37 / 4:02
qYlmFfsyLMo,English,which might not be understood by the Dowager of Downton Abbey? ,0:38 / 4:02
qYlmFfsyLMo,English,which might not be understood by the Dowager of Downton Abbey? ,0:39 / 4:02
qYlmFfsyLMo,English,which might not be understood by the Dowager of Downton Abbey? ,0:40 / 4:02
qYlmFfsyLMo,English,which might not be understood by the Dowager of Downton Abbey? ,0:41 / 4:02
qYlmFfsyLMo,English,"And it’s not just about location, either.",0:41 / 4:02
qYlmFfsyLMo,English,"And it’s not just about location, either.",0:42 / 4:02
qYlmFfsyLMo,English,"And it’s not just about location, either.",0:43 / 4:02
qYlmFfsyLMo,English,"There’s a difference between the English I use here,",0:44 / 4:02
qYlmFfsyLMo,English,"There’s a difference between the English I use here,",0:45 / 4:02
qYlmFfsyLMo,English,"There’s a difference between the English I use here,",0:46 / 4:02
qYlmFfsyLMo,English,"There’s a difference between the English I use here,",0:47 / 4:02
qYlmFfsyLMo,English,versus what I actually use when I'm talking to friends.,0:48 / 4:02
qYlmFfsyLMo,English,versus what I actually use when I'm talking to friends.,0:49 / 4:02
qYlmFfsyLMo,English,versus what I actually use when I'm talking to friends.,0:50 / 4:02
qYlmFfsyLMo,English,And what about over time?,0:51 / 4:02
qYlmFfsyLMo,English,Where does English start to become Middle English or Old English?,0:52 / 4:02
qYlmFfsyLMo,English,Where does English start to become Middle English or Old English?,0:53 / 4:02
qYlmFfsyLMo,English,Where does English start to become Middle English or Old English?,0:54 / 4:02
qYlmFfsyLMo,English,Where does English start to become Middle English or Old English?,0:55 / 4:02
qYlmFfsyLMo,English,"At some point, it’s different enough to get a new label:",0:55 / 4:02
qYlmFfsyLMo,English,"At some point, it’s different enough to get a new label:",0:56 / 4:02
qYlmFfsyLMo,English,"At some point, it’s different enough to get a new label:",0:57 / 4:02
qYlmFfsyLMo,English,"At some point, it’s different enough to get a new label:",0:58 / 4:02
qYlmFfsyLMo,English,but there isn't a naturally-occuring clean line.,0:59 / 4:02
qYlmFfsyLMo,English,but there isn't a naturally-occuring clean line.,1:00 / 4:02
qYlmFfsyLMo,English,but there isn't a naturally-occuring clean line.,1:01 / 4:02
qYlmFfsyLMo,English,There’s an old saying that a language is just a dialect with an army and a navy.,1:02 / 4:02
qYlmFfsyLMo,English,There’s an old saying that a language is just a dialect with an army and a navy.,1:03 / 4:02
qYlmFfsyLMo,English,There’s an old saying that a language is just a dialect with an army and a navy.,1:04 / 4:02
qYlmFfsyLMo,English,There’s an old saying that a language is just a dialect with an army and a navy.,1:05 / 4:02
qYlmFfsyLMo,English,There’s an old saying that a language is just a dialect with an army and a navy.,1:06 / 4:02
qYlmFfsyLMo,English,Languages change to adapt to the needs of their speakers.,1:06 / 4:02
qYlmFfsyLMo,English,Languages change to adapt to the needs of their speakers.,1:07 / 4:02
qYlmFfsyLMo,English,Languages change to adapt to the needs of their speakers.,1:08 / 4:02
qYlmFfsyLMo,English,Languages change to adapt to the needs of their speakers.,1:09 / 4:02
qYlmFfsyLMo,English,And there are a few reasons for that.,1:09 / 4:02
qYlmFfsyLMo,English,And there are a few reasons for that.,1:10 / 4:02
qYlmFfsyLMo,English,And there are a few reasons for that.,1:11 / 4:02
qYlmFfsyLMo,English,Maybe it’s to provide new words for new concepts.,1:11 / 4:02
qYlmFfsyLMo,English,Maybe it’s to provide new words for new concepts.,1:12 / 4:02
