"video_id","min_timecode","max_timecode","text.user","text.auto"
"qtR-twJOdUU","00:00:00","00:00:01","(dramatic music) - [Zach] It's 4 vs. 1.","it's four verse one one"
"qtR-twJOdUU","00:00:01","00:00:04","One pro, four idiots, one winner.","pro four idiots one winner no"
"qtR-twJOdUU","00:00:05","00:00:06","- No pressure, like literally no pressure.","pressure like literally no pressure don't even think there's"
"qtR-twJOdUU","00:00:06","00:00:07","Don't even think there's actual pressure.","actual pressure"
"qtR-twJOdUU","00:00:11","00:00:12","- [Ned] Maybe we could've added up all our scores.","maybe we could have added up all our"
"qtR-twJOdUU","00:00:14","00:00:14","",""
"qtR-twJOdUU","00:00:14","00:00:15","- [Keith] God, how could that happen?","scores"
"qtR-twJOdUU","00:00:16","00:00:17","- Collectively we make probably","we make probably about"
"qtR-twJOdUU","00:00:17","00:00:20","about three fourths of a moderately-functioning human.","three-fourths of a moderately functioning human"
"qtR-twJOdUU","00:00:21","00:00:24","Can four regular guys beat a master in their own craft?","can four regular guys beat a master in their own crash all"
"qtR-twJOdUU","00:00:25","00:00:26","- [Keith] All it takes is for one of us to win.","it takes is for one of us to win"
"qtR-twJOdUU","00:00:27","00:00:28","- [Ned] Oh wow.","wow"
"qtR-twJOdUU","00:00:29","00:00:30","- [Eugene] This is Try Guys 4 vs. 1.","this is try guys four versus"
"qtR-twJOdUU","00:00:31","00:00:31","","one five"
"qtR-twJOdUU","00:00:32","00:00:33","- [Ned] Five, six, seven, eight.","six seven eight the color"
"qtR-twJOdUU","00:00:33","00:00:34","♪ The color block is back ♪","block is back and"
"qtR-twJOdUU","00:00:35","00:00:36","♪ and it's better than ever. ♪","it's better than ever"
"qtR-twJOdUU","00:00:36","00:00:39","♪ Yeah, yeah, yeah, yeah. ♪","yeah yeah yeah yeah try guys.com"
"qtR-twJOdUU","00:00:41","00:00:44","- We are at Oak Tree Lanes in Diamond Bar, California,","we are at oak tree lanes in diamond bar california"
"qtR-twJOdUU","00:00:45","00:00:47","the most elegant-sounding California city.","the most elegant sound in california city we're joined"
"qtR-twJOdUU","00:00:47","00:00:50","- We're joined today by professional bowler, Missy Parkin.","today by professional bowler missy parkin she's been on"
"qtR-twJOdUU","00:00:50","00:00:51","She's been on TV.","tv"
"qtR-twJOdUU","00:00:51","00:00:53","- I'm a current team USA member","i'm a current team usa member and have been"
"qtR-twJOdUU","00:00:53","00:00:56","and have been a member of team USA for 11 years.","a member of team usa for 11 years i've competed"
"qtR-twJOdUU","00:00:56","00:00:58","I've competed all around the world,","all around the world won"
"qtR-twJOdUU","00:00:58","00:01:00","won international gold medals,","international gold medals and i'm happy"
"qtR-twJOdUU","00:01:00","00:01:01","and I'm happy to be here today.","to be here today i"
"qtR-twJOdUU","00:01:02","00:01:03","- Hi Missy. - [All] Hi Missy.","miss it"
"qtR-twJOdUU","00:01:03","00:01:04","- Hi.","for today the four of us"
"qtR-twJOdUU","00:01:05","00:01:05","(upbeat music) - For today,","are going to be competing"
"qtR-twJOdUU","00:01:05","00:01:06","the four of us are going to be competing","on a single team"
"qtR-twJOdUU","00:01:07","00:01:08","on a single team against one pro.","against one pro each time"
"qtR-twJOdUU","00:01:09","00:01:11","we're going to be taking the highest score","we bowl we're going to be taking the highest score and having that"
"qtR-twJOdUU","00:01:11","00:01:13","and having that represent our team,","represent our team which means we"
"qtR-twJOdUU","00:01:13","00:01:16","which means we have four chances to be perfect.","have four chances to be perfect there's really"
"qtR-twJOdUU","00:01:16","00:01:17","There's really no excuse today.","no excuse today"
"qtR-twJOdUU","00:01:17","00:01:19","We're going to bowl a three hundo.","we're gonna bowl a three hundo"
"qtR-twJOdUU","00:01:20","00:01:21","- So today I'm very excited","so today i'm very excited"
"qtR-twJOdUU","00:01:22","00:01:23","to take the recreational side of bowling","to take the recreational side of bowling"
"qtR-twJOdUU","00:01:24","00:01:25","and teach the Try Guys a little more","and teach the try guys a little more about"
"qtR-twJOdUU","00:01:25","00:01:27","about the sport of bowling","the sport of bowling and"
"qtR-twJOdUU","00:01:28","00:01:28","and give'em a few tips,","give them a few tips but"
"qtR-twJOdUU","00:01:29","00:01:29","but not too many","not too many"
"qtR-twJOdUU","00:01:30","00:01:32","because I'm definitely going to beat them.","because i'm definitely going to beat them so"
"qtR-twJOdUU","00:01:33","00:01:35","So now that you all have your bowling shoes on,","now that you all have your bowling shoes on let me"
"qtR-twJOdUU","00:01:36","00:01:37","let me give you a few tips.","give you a few tips"
"qtR-twJOdUU","00:01:37","00:01:38","So right now, honestly,","for right now honestly i think"
"qtR-twJOdUU","00:01:39","00:01:40","I think you guys should just be trying to throw it straight.","you guys should just be trying to throw it straight"
"qtR-twJOdUU","00:01:41","00:01:42","- Yeah, sounds good.","yeah sounds good"
"qtR-twJOdUU","00:01:43","00:01:43","(Zach giggles)","i learned how to bowl in"
"qtR-twJOdUU","00:01:43","00:01:44","I learned how to bowl in elementary school","elementary school"
