video_id,lang,text,timecode
r5FpeOJItbw,English,"What I have here is something called  the cryocooler which sounds fancy,  ",0:00 / 0:57
r5FpeOJItbw,English,"What I have here is something called  the cryocooler which sounds fancy,  ",0:01 / 0:57
r5FpeOJItbw,English,"What I have here is something called  the cryocooler which sounds fancy,  ",0:02 / 0:57
r5FpeOJItbw,English,"What I have here is something called  the cryocooler which sounds fancy,  ",0:03 / 0:57
r5FpeOJItbw,English,,0:04 / 0:57
r5FpeOJItbw,English,but it basically just gets really cold.,0:04 / 0:57
r5FpeOJItbw,English,but it basically just gets really cold.,0:05 / 0:57
r5FpeOJItbw,English,but it basically just gets really cold.,0:06 / 0:57
r5FpeOJItbw,English,,0:06 / 0:57
r5FpeOJItbw,English,"To turn it on I, just need to flip  this switch, and turn the power dial,  ",0:07 / 0:57
r5FpeOJItbw,English,"To turn it on I, just need to flip  this switch, and turn the power dial,  ",0:08 / 0:57
r5FpeOJItbw,English,"To turn it on I, just need to flip  this switch, and turn the power dial,  ",0:09 / 0:57
r5FpeOJItbw,English,"To turn it on I, just need to flip  this switch, and turn the power dial,  ",0:10 / 0:57
r5FpeOJItbw,English,"To turn it on I, just need to flip  this switch, and turn the power dial,  ",0:11 / 0:57
r5FpeOJItbw,English,"just a bit. This causes the tip  of it to start cooling down,  ",0:12 / 0:57
r5FpeOJItbw,English,"just a bit. This causes the tip  of it to start cooling down,  ",0:13 / 0:57
r5FpeOJItbw,English,"just a bit. This causes the tip  of it to start cooling down,  ",0:14 / 0:57
r5FpeOJItbw,English,"just a bit. This causes the tip  of it to start cooling down,  ",0:15 / 0:57
r5FpeOJItbw,English,"and within a couple minutes, it starts causing  moisture from the air, to condense and freeze.",0:16 / 0:57
r5FpeOJItbw,English,"and within a couple minutes, it starts causing  moisture from the air, to condense and freeze.",0:17 / 0:57
r5FpeOJItbw,English,"and within a couple minutes, it starts causing  moisture from the air, to condense and freeze.",0:18 / 0:57
r5FpeOJItbw,English,"and within a couple minutes, it starts causing  moisture from the air, to condense and freeze.",0:19 / 0:57
r5FpeOJItbw,English,"and within a couple minutes, it starts causing  moisture from the air, to condense and freeze.",0:20 / 0:57
r5FpeOJItbw,English,"and within a couple minutes, it starts causing  moisture from the air, to condense and freeze.",0:21 / 0:57
r5FpeOJItbw,English,,0:22 / 0:57
r5FpeOJItbw,English,"That isn't too exciting though, and the fun part  is when I add a thermos and wait a couple hours.  ",0:22 / 0:57
r5FpeOJItbw,English,"That isn't too exciting though, and the fun part  is when I add a thermos and wait a couple hours.  ",0:23 / 0:57
r5FpeOJItbw,English,"That isn't too exciting though, and the fun part  is when I add a thermos and wait a couple hours.  ",0:24 / 0:57
r5FpeOJItbw,English,"That isn't too exciting though, and the fun part  is when I add a thermos and wait a couple hours.  ",0:25 / 0:57
r5FpeOJItbw,English,"That isn't too exciting though, and the fun part  is when I add a thermos and wait a couple hours.  ",0:26 / 0:57
