"video_id","min_timecode","max_timecode","text.user","text.auto"
"r5mqC31ciZw","00:00:00","00:00:01","","can you feel"
"r5mqC31ciZw","00:00:01","00:00:02","- Can you feel the help?","the help"
"r5mqC31ciZw","00:00:02","00:00:03","","i"
"r5mqC31ciZw","00:00:04","00:00:05","- I can't feel anything to be honest.","can't feel anything to be honest what's"
"r5mqC31ciZw","00:00:06","00:00:07","- What's up (mumbling).","up [Music]"
"r5mqC31ciZw","00:00:07","00:00:08","","what's up"
"r5mqC31ciZw","00:00:09","00:00:09","What's up? We're back.","we're back"
"r5mqC31ciZw","00:00:09","00:00:11","We're at Panera Bread with Chelsea","we're at panera bread with chelsea"
"r5mqC31ciZw","00:00:11","00:00:14","and we're trying every single popular menu item","and we're trying every single popular menu item that they have"
"r5mqC31ciZw","00:00:15","00:00:18","That's soups, salad, flatbreads, sandwiches, tea,","that's soups salad flatbreads sandwiches tea cookies"
"r5mqC31ciZw","00:00:19","00:00:20","cookies, dessert.","dessert we have the entire"
"r5mqC31ciZw","00:00:20","00:00:21","We have the entire store to ourselves today","store to"
"r5mqC31ciZw","00:00:22","00:00:24","so I'm extremely excited.","ourselves today so i'm extremely store to ourselves today so i'm extremely excited i"
"r5mqC31ciZw","00:00:24","00:00:27","I want this to live up to my high school dreams.","want this to live up to my high school dreams let's see if it"
"r5mqC31ciZw","00:00:28","00:00:31","(upbeat music)","does"
"r5mqC31ciZw","00:00:31","00:00:33","","i am"
"r5mqC31ciZw","00:00:34","00:00:37","so like glowing happy.","so like glowing happy i"
"r5mqC31ciZw","00:00:37","00:00:41","I just have such a love for Panera in general,","just have such a love for panera in general but especially"
"r5mqC31ciZw","00:00:41","00:00:42","but especially their sandwiches.","their sandwiches"
"r5mqC31ciZw","00:00:43","00:00:43","",""
"r5mqC31ciZw","00:00:44","00:00:45","I need some bread in my body.","i need some bread in my body we're"
"r5mqC31ciZw","00:00:46","00:00:47","We're doing the Frontega Chicken first.","doing the frontika chicken first"
"r5mqC31ciZw","00:00:48","00:00:51","It is a beautiful, smoked, pulled chicken,","it is a beautiful smoked pulled chicken"
"r5mqC31ciZw","00:00:52","00:00:55","tomato, cheddar, oh, some basil in there.","tomato cheddar oh some basil in there is that some"
"r5mqC31ciZw","00:00:55","00:00:57","Is that some spicy mayo?","spicy mayo"
"r5mqC31ciZw","00:00:57","00:00:58","And their ciabatta bread.","and their ciabatta bread"
"r5mqC31ciZw","00:00:59","00:01:01","","on my"
"r5mqC31ciZw","00:01:02","00:01:02","Oh my God.","own i"
"r5mqC31ciZw","00:01:02","00:01:03","I just need a moment.","just need a moment"
"r5mqC31ciZw","00:01:04","00:01:05","","just one moment"
"r5mqC31ciZw","00:01:06","00:01:07","","this"
"r5mqC31ciZw","00:01:08","00:01:09","This is what bliss feels like in a bite.","is what bliss feels like in"
"r5mqC31ciZw","00:01:10","00:01:12","I forgot how much I love ciabatta.","a bite i forgot how much i love ciabatta i always"
"r5mqC31ciZw","00:01:12","00:01:13","I always thought I liked the sourdough","thought i liked the sourdough because"
"r5mqC31ciZw","00:01:14","00:01:15","because it's super crunchy,","it's super crunchy but i love how"
"r5mqC31ciZw","00:01:15","00:01:16","but I love how soft this is.","soft this is it just like"
"r5mqC31ciZw","00:01:18","00:01:18","one second.","one second"
"r5mqC31ciZw","00:01:19","00:01:20","","oh my"
"r5mqC31ciZw","00:01:21","00:01:22","Oh my God.","god that red onion"
"r5mqC31ciZw","00:01:22","00:01:24","That red onion in their just pops with the chicken.","in there just popped the chicken"
"r5mqC31ciZw","00:01:25","00:01:25","Oh.","oh is this"
"r5mqC31ciZw","00:01:26","00:01:28","Is this gonna be my favorite on round one, sandwich one?","gonna be my favorite on round one sandwich one i know"
"r5mqC31ciZw","00:01:28","00:01:29","I know I should stop eating 'cause we have more to eat","i should stop eating because we have more"
"r5mqC31ciZw","00:01:30","00:01:31","but this is so delicious.","to eat but this is so delicious"
"r5mqC31ciZw","00:01:32","00:01:32","",""
"r5mqC31ciZw","00:01:33","00:01:33","This is the Steak and White Cheddar","this is the"
"r5mqC31ciZw","00:01:34","00:01:36","and it has red peppers in here","steak and white cheddar and it has red peppers in here and"
"r5mqC31ciZw","00:01:37","00:01:40","and cheese and, oh, that toasty, toasty sourdough baguette.","cheese and oh that toasty toasty sourdough baguette"
"r5mqC31ciZw","00:01:40","00:01:42","If you haven't been to Panera,","if you haven't been to panera"
"r5mqC31ciZw","00:01:43","00:01:44","you're missing out on their sourdough.","you're missing out on their sourdough"
"r5mqC31ciZw","00:01:45","00:01:46","It is, wait, listen,","it is wait listen oh wait actually"
"r5mqC31ciZw","00:01:46","00:01:48","or wait, actually, here.","here"
"r5mqC31ciZw","00:01:50","00:01:51","",""
"r5mqC31ciZw","00:01:51","00:01:54","(bread crunching)","oh"
"r5mqC31ciZw","00:01:55","00:01:55","This one's super hearty.","this one's super hearty"
"r5mqC31ciZw","00:01:56","00:01:58","The pickled red onion makes it so it's super fresh and zesty","the pickled red onion makes it so it's super fresh and zesty"
"r5mqC31ciZw","00:01:58","00:02:00","that goes with the steak.","that goes with the steak this one's really"
"r5mqC31ciZw","00:02:00","00:02:01","This one's really hearty.","hearty"
"r5mqC31ciZw","00:02:01","00:02:05","I feel like I want to eat it on a very cold winter day","i feel like i want to eat it on a very cold winter day in"
"r5mqC31ciZw","00:02:05","00:02:08","in a really baggy sweater near a fireplace.","a really baggy sweater near a fireplace"
"r5mqC31ciZw","00:02:09","00:02:10","- Ah.","ah sweater near a fireplace ah actually"
"r5mqC31ciZw","00:02:10","00:02:10","",""
"r5mqC31ciZw","00:02:11","00:02:12","- Actually I think the Frontega Chicken's better","i think the frontier chicken's better"
"r5mqC31ciZw","00:02:13","00:02:14","than the Steak and White Cheddar.","than the steak and white cheddar"
"r5mqC31ciZw","00:02:15","00:02:16","I always thought Steak and White Cheddar was my favorite.","i always thought sticking white cheddar was my favorite we have"
"r5mqC31ciZw","00:02:17","00:02:19","We have a bunch of different iced teas to try each round.","a bunch of different iced teas to try each round"
"r5mqC31ciZw","00:02:20","00:02:23","First up is their Black Iced Tea.","first up is their black iced tea"
"r5mqC31ciZw","00:02:24","00:02:25","(upbeat music)","oh"
"r5mqC31ciZw","00:02:26","00:02:26","Oh.","i like"
"r5mqC31ciZw","00:02:27","00:02:28","I like this because it's not super sweet.","this because it's not super sweet"
"r5mqC31ciZw","00:02:29","00:02:30","On the back of their cups","on the back of their cups it"
"r5mqC31ciZw","00:02:30","00:02:33","it actually tells you the nutrition information.","actually tells you the nutrition information it compares"
"r5mqC31ciZw","00:02:33","00:02:34","It compares how much sugar is in this","how much sugar is in"
"r5mqC31ciZw","00:02:35","00:02:38","compared to other drinks that you would have.","this compared to other other drinks that you would have oh"
"r5mqC31ciZw","00:02:39","00:02:39","Oh!","this is a fun fact while we're"
"r5mqC31ciZw","00:02:39","00:02:40","This is a fun fact while we're talking about this.","talking about this"
"r5mqC31ciZw","00:02:41","00:02:42","Panera was the first national chain","pader was the first national chain"
"r5mqC31ciZw","00:02:43","00:02:45","to have the calorie counts on the menu.","to have the calorie counts on the menu not that most"
"r5mqC31ciZw","00:02:46","00:02:47","Not that most of the time I really want to know,","the time i really want to know but it's"
"r5mqC31ciZw","00:02:47","00:02:49","but it's nice to know sometimes.","nice to know sometimes this"
"r5mqC31ciZw","00:02:49","00:02:51","This is a Caprese Sandwich","is a caprese sandwich and we have"
"r5mqC31ciZw","00:02:52","00:02:52","and we have it on the ciabatta bread","it on the ciabatta bread"
"r5mqC31ciZw","00:02:53","00:02:55","with a butt-load of arugula.","with a buttload of arugula"
"r5mqC31ciZw","00:02:55","00:02:59","","it's like a"
"r5mqC31ciZw","00:02:59","00:03:01","It's like a salad in a sandwich form.","salad and a sandwich form that sounds"
"r5mqC31ciZw","00:03:02","00:03:02","That sounds stupid doesn't it?","stupid doesn't"
"r5mqC31ciZw","00:03:03","00:03:04","I'm tasting some pesto in here.","that i'm tasting some pesto in here"
"r5mqC31ciZw","00:03:05","00:03:06","",""
"r5mqC31ciZw","00:03:07","00:03:09","This one just tastes fresh as heck.","this one just tastes fresh as heck i feel"
"r5mqC31ciZw","00:03:09","00:03:11","I feel like I'm being healthy by eating this.","like i'm being healthy by eating this am"
"r5mqC31ciZw","00:03:12","00:03:12","Am I?","i i'm"
"r5mqC31ciZw","00:03:12","00:03:13","I'm not sure.","not sure we"
