video_id,lang,text,timecode
rWFYTFrWBv0,English - Default,(upbeat intro music),0:00 / 7:59
rWFYTFrWBv0,English - Default,(upbeat intro music),0:01 / 7:59
rWFYTFrWBv0,English - Default,(upbeat intro music),0:02 / 7:59
rWFYTFrWBv0,English - Default,,0:03 / 7:59
rWFYTFrWBv0,English - Default,,0:04 / 7:59
rWFYTFrWBv0,English - Default,,0:05 / 7:59
rWFYTFrWBv0,English - Default,,0:06 / 7:59
rWFYTFrWBv0,English - Default,,0:07 / 7:59
rWFYTFrWBv0,English - Default,,0:08 / 7:59
rWFYTFrWBv0,English - Default,,0:09 / 7:59
rWFYTFrWBv0,English - Default,,0:10 / 7:59
rWFYTFrWBv0,English - Default,,0:11 / 7:59
rWFYTFrWBv0,English - Default,,0:12 / 7:59
rWFYTFrWBv0,English - Default,,0:13 / 7:59
rWFYTFrWBv0,English - Default,,0:14 / 7:59
rWFYTFrWBv0,English - Default,(music fades),0:14 / 7:59
rWFYTFrWBv0,English - Default,- Today we are unboxing the brand new PlayStation 5.,0:15 / 7:59
rWFYTFrWBv0,English - Default,- Today we are unboxing the brand new PlayStation 5.,0:16 / 7:59
rWFYTFrWBv0,English - Default,- Today we are unboxing the brand new PlayStation 5.,0:17 / 7:59
rWFYTFrWBv0,English - Default,I'm so excited to check this out.,0:18 / 7:59
rWFYTFrWBv0,English - Default,"It's console season, tech season,",0:19 / 7:59
rWFYTFrWBv0,English - Default,"It's console season, tech season,",0:20 / 7:59
rWFYTFrWBv0,English - Default,it is all of the things right now.,0:20 / 7:59
rWFYTFrWBv0,English - Default,it is all of the things right now.,0:21 / 7:59
rWFYTFrWBv0,English - Default,Let's stop talking and let's just open this thing up.,0:22 / 7:59
rWFYTFrWBv0,English - Default,Let's stop talking and let's just open this thing up.,0:23 / 7:59
rWFYTFrWBv0,English - Default,Let's stop talking and let's just open this thing up.,0:24 / 7:59
rWFYTFrWBv0,English - Default,,0:24 / 7:59
rWFYTFrWBv0,English - Default,,0:25 / 7:59
rWFYTFrWBv0,English - Default,(knife swooshes),0:26 / 7:59
rWFYTFrWBv0,English - Default,(relaxed bass music),0:26 / 7:59
rWFYTFrWBv0,English - Default,(relaxed bass music),0:27 / 7:59
rWFYTFrWBv0,English - Default,(relaxed bass music),0:28 / 7:59
rWFYTFrWBv0,English - Default,(relaxed bass music),0:29 / 7:59
rWFYTFrWBv0,English - Default,,0:30 / 7:59
rWFYTFrWBv0,English - Default,,0:31 / 7:59
rWFYTFrWBv0,English - Default,,0:32 / 7:59
rWFYTFrWBv0,English - Default,,0:33 / 7:59
rWFYTFrWBv0,English - Default,,0:34 / 7:59
rWFYTFrWBv0,English - Default,,0:35 / 7:59
rWFYTFrWBv0,English - Default,,0:36 / 7:59
rWFYTFrWBv0,English - Default,Power cable.,0:36 / 7:59
rWFYTFrWBv0,English - Default,Power cable.,0:37 / 7:59
rWFYTFrWBv0,English - Default,(packaging rustles),0:37 / 7:59
rWFYTFrWBv0,English - Default,(packaging rustles),0:38 / 7:59
rWFYTFrWBv0,English - Default,(packaging rustles),0:39 / 7:59
rWFYTFrWBv0,English - Default,(packaging rustles),0:40 / 7:59
rWFYTFrWBv0,English - Default,,0:40 / 7:59
rWFYTFrWBv0,English - Default,,0:41 / 7:59
rWFYTFrWBv0,English - Default,,0:42 / 7:59
rWFYTFrWBv0,English - Default,,0:43 / 7:59
rWFYTFrWBv0,English - Default,Are you ready? Are you ready?,0:44 / 7:59
rWFYTFrWBv0,English - Default,Are you ready? Are you ready?,0:45 / 7:59
rWFYTFrWBv0,English - Default,Are you ready? Are we all ready?,0:46 / 7:59
rWFYTFrWBv0,English - Default,"I'm ready, I'm ready.",0:46 / 7:59
rWFYTFrWBv0,English - Default,"I'm ready, I'm ready.",0:47 / 7:59
rWFYTFrWBv0,English - Default,"Oh my gosh, everyone's ready.",0:48 / 7:59
rWFYTFrWBv0,English - Default,I don't know if I am ready.,0:49 / 7:59
rWFYTFrWBv0,English - Default,Okay.,0:50 / 7:59
rWFYTFrWBv0,English - Default,Okay.,0:51 / 7:59
rWFYTFrWBv0,English - Default,(packaging rustles),0:51 / 7:59
rWFYTFrWBv0,English - Default,(packaging rustles),0:52 / 7:59
rWFYTFrWBv0,English - Default,(packaging rustles),0:53 / 7:59
rWFYTFrWBv0,English - Default,(packaging rustles),0:54 / 7:59
rWFYTFrWBv0,English - Default,Oh!,0:54 / 7:59
rWFYTFrWBv0,English - Default,Oh!,0:55 / 7:59
rWFYTFrWBv0,English - Default,,0:55 / 7:59
rWFYTFrWBv0,English - Default,,0:56 / 7:59
rWFYTFrWBv0,English - Default,,0:57 / 7:59
rWFYTFrWBv0,English - Default,,0:58 / 7:59
rWFYTFrWBv0,English - Default,(packaging crinkles),0:58 / 7:59
rWFYTFrWBv0,English - Default,(packaging crinkles),0:59 / 7:59
rWFYTFrWBv0,English - Default,(packaging crinkles),1:00 / 7:59
rWFYTFrWBv0,English - Default,(packaging crinkles),1:01 / 7:59
rWFYTFrWBv0,English - Default,,1:01 / 7:59
rWFYTFrWBv0,English - Default,,1:02 / 7:59
rWFYTFrWBv0,English - Default,,1:03 / 7:59
rWFYTFrWBv0,English - Default,,1:04 / 7:59
rWFYTFrWBv0,English - Default,,1:05 / 7:59
rWFYTFrWBv0,English - Default,When they first revealed this...,1:05 / 7:59
rWFYTFrWBv0,English - Default,When they first revealed this...,1:06 / 7:59
rWFYTFrWBv0,English - Default,"I know people have their opinions,",1:07 / 7:59
rWFYTFrWBv0,English - Default,"I know people have their opinions,",1:08 / 7:59
rWFYTFrWBv0,English - Default,But mine was that it looked pretty awesome.,1:09 / 7:59
rWFYTFrWBv0,English - Default,But mine was that it looked pretty awesome.,1:10 / 7:59
rWFYTFrWBv0,English - Default,But mine was that it looked pretty awesome.,1:11 / 7:59
rWFYTFrWBv0,English - Default,It's like a spaceship!,1:12 / 7:59
rWFYTFrWBv0,English - Default,It's like a spaceship!,1:13 / 7:59
rWFYTFrWBv0,English - Default,(styrofoam tears),1:14 / 7:59
rWFYTFrWBv0,English - Default,(styrofoam tears),1:15 / 7:59
