video_id,lang,text,timecode
s4lBuEe6Tpc,English - CC1,,0:00 / 5:19
s4lBuEe6Tpc,English - CC1,,0:01 / 5:19
s4lBuEe6Tpc,English - CC1,,0:02 / 5:19
s4lBuEe6Tpc,English - CC1,,0:03 / 5:19
s4lBuEe6Tpc,English - CC1,,0:04 / 5:19
s4lBuEe6Tpc,English - CC1,,0:05 / 5:19
s4lBuEe6Tpc,English - CC1,,0:06 / 5:19
s4lBuEe6Tpc,English - CC1,,0:07 / 5:19
s4lBuEe6Tpc,English - CC1,,0:08 / 5:19
s4lBuEe6Tpc,English - CC1,,0:09 / 5:19
s4lBuEe6Tpc,English - CC1,,0:10 / 5:19
s4lBuEe6Tpc,English - CC1,,0:11 / 5:19
s4lBuEe6Tpc,English - CC1,,0:12 / 5:19
s4lBuEe6Tpc,English - CC1,,0:13 / 5:19
s4lBuEe6Tpc,English - CC1,,0:14 / 5:19
s4lBuEe6Tpc,English - CC1,,0:15 / 5:19
s4lBuEe6Tpc,English - CC1,,0:16 / 5:19
s4lBuEe6Tpc,English - CC1,,0:17 / 5:19
s4lBuEe6Tpc,English - CC1,,0:18 / 5:19
s4lBuEe6Tpc,English - CC1,,0:19 / 5:19
s4lBuEe6Tpc,English - CC1,,0:20 / 5:19
s4lBuEe6Tpc,English - CC1,,0:21 / 5:19
s4lBuEe6Tpc,English - CC1,,0:22 / 5:19
s4lBuEe6Tpc,English - CC1,,0:23 / 5:19
s4lBuEe6Tpc,English - CC1,,0:24 / 5:19
s4lBuEe6Tpc,English - CC1,,0:25 / 5:19
s4lBuEe6Tpc,English - CC1,,0:26 / 5:19
s4lBuEe6Tpc,English - CC1,,0:27 / 5:19
s4lBuEe6Tpc,English - CC1,,0:28 / 5:19
s4lBuEe6Tpc,English - CC1,,0:29 / 5:19
s4lBuEe6Tpc,English - CC1,,0:30 / 5:19
s4lBuEe6Tpc,English - CC1,>>> CLUSTER OF,0:30 / 5:19
s4lBuEe6Tpc,English - CC1,>>> CLUSTER OF AFTER ,0:31 / 5:19
s4lBuEe6Tpc,English - CC1,">>> CLUSTER OF AFTER SHOCKS, ONE",0:31 / 5:19
s4lBuEe6Tpc,English - CC1,">>> CLUSTER OF AFTER SHOCKS, ONE AS HIGH",0:32 / 5:19
s4lBuEe6Tpc,English - CC1,">>> CLUSTER OF AFTER SHOCKS, ONE AS HIGH AS",0:33 / 5:19
s4lBuEe6Tpc,English - CC1,">>> CLUSTER OF AFTER SHOCKS, ONE AS HIGH AS 4.2 REPORTED IN THE",0:33 / 5:19
s4lBuEe6Tpc,English - CC1,AS HIGH AS 4.2 REPORTED IN THE  AREA.,0:34 / 5:19
s4lBuEe6Tpc,English - CC1,AS HIGH AS 4.2 REPORTED IN THE  AREA.,0:35 / 5:19
s4lBuEe6Tpc,English - CC1,AREA.,0:35 / 5:19
s4lBuEe6Tpc,English - CC1,AREA. CHECK OUT,0:36 / 5:19
s4lBuEe6Tpc,English - CC1,AREA. CHECK OUT THE,0:37 / 5:19
s4lBuEe6Tpc,English - CC1,CHECK OUT THE SEISMIC GRAPH THAT,0:38 / 5:19
s4lBuEe6Tpc,English - CC1,CHECK OUT THE SEISMIC GRAPH THAT WENT OFF.,0:38 / 5:19
s4lBuEe6Tpc,English - CC1,WENT OFF. YOU CAN SEE HOW,0:39 / 5:19
s4lBuEe6Tpc,English - CC1,WENT OFF. YOU CAN SEE HOW STRONG THE,0:40 / 5:19
s4lBuEe6Tpc,English - CC1,YOU CAN SEE HOW STRONG THE  EARTHQUAKE,0:40 / 5:19
s4lBuEe6Tpc,English - CC1,YOU CAN SEE HOW STRONG THE  EARTHQUAKE WAS WHEN I,0:41 / 5:19
s4lBuEe6Tpc,English - CC1,YOU CAN SEE HOW STRONG THE  EARTHQUAKE WAS WHEN IT ,0:42 / 5:19
s4lBuEe6Tpc,English - CC1,EARTHQUAKE WAS WHEN IT  REGISTERED ON,0:42 / 5:19
s4lBuEe6Tpc,English - CC1,EARTHQUAKE WAS WHEN IT  REGISTERED ON OUR GRAPH.,0:43 / 5:19
s4lBuEe6Tpc,English - CC1,5.9. PEOP,0:44 / 5:19
s4lBuEe6Tpc,English - CC1,5.9. PEOPLE HERE AT OUR,0:45 / 5:19
s4lBuEe6Tpc,English - CC1,5.9. PEOPLE HERE AT OUR T,0:45 / 5:19
s4lBuEe6Tpc,English - CC1,PEOPLE HERE AT OUR TV STATION ,0:46 / 5:19
s4lBuEe6Tpc,English - CC1,PEOPLE HERE AT OUR TV STATION  WHICH IS,0:47 / 5:19
s4lBuEe6Tpc,English - CC1,PEOPLE HERE AT OUR TV STATION  WHICH IS,0:48 / 5:19
s4lBuEe6Tpc,English - CC1,PEOPLE HERE AT OUR TV STATION  WHICH IS HEADQUARTERED,0:48 / 5:19
s4lBuEe6Tpc,English - CC1,WHICH IS HEADQUARTERED IN SAN  JOSE A,0:49 / 5:19
s4lBuEe6Tpc,English - CC1,WHICH IS HEADQUARTERED IN SAN  JOSE ALSO FELT THE ,0:50 / 5:19
s4lBuEe6Tpc,English - CC1,WHICH IS HEADQUARTERED IN SAN  JOSE ALSO FELT THE SHAKING.,0:50 / 5:19
s4lBuEe6Tpc,English - CC1,WHICH IS HEADQUARTERED IN SAN  JOSE ALSO FELT THE SHAKING.,0:51 / 5:19
s4lBuEe6Tpc,English - CC1,JOSE ALSO FELT THE SHAKING. ONE OF O,0:52 / 5:19
s4lBuEe6Tpc,English - CC1,JOSE ALSO FELT THE SHAKING. ONE OF OUR,0:52 / 5:19
s4lBuEe6Tpc,English - CC1,JOSE ALSO FELT THE SHAKING. ONE OF OUR,0:53 / 5:19
s4lBuEe6Tpc,English - CC1,JOSE ALSO FELT THE SHAKING. ONE OF OUR,0:54 / 5:19
s4lBuEe6Tpc,English - CC1,JOSE ALSO FELT THE SHAKING. ONE OF OUR,0:55 / 5:19
s4lBuEe6Tpc,English - CC1,JOSE ALSO FELT THE SHAKING. ONE OF OUR ,0:56 / 5:19
s4lBuEe6Tpc,English - CC1,JOSE ALSO FELT THE SHAKING. ONE OF OUR EDITORS SENT US THIS ,0:57 / 5:19
s4lBuEe6Tpc,English - CC1,ONE OF OUR EDITORS SENT US THIS  VIDEO.,0:58 / 5:19
s4lBuEe6Tpc,English - CC1,VIDEO. SHE FELT THE,0:59 / 5:19
s4lBuEe6Tpc,English - CC1,VIDEO. SHE FELT THE SHAKING THERE,0:59 / 5:19
s4lBuEe6Tpc,English - CC1,SHE FELT THE SHAKING THERE AND ,1:00 / 5:19
s4lBuEe6Tpc,English - CC1,SHE FELT THE SHAKING THERE AND  SENT US THIS ,1:00 / 5:19
s4lBuEe6Tpc,English - CC1,"SHE FELT THE SHAKING THERE AND  SENT US THIS VIDEO, SHE",1:01 / 5:19
s4lBuEe6Tpc,English - CC1,"SHE FELT THE SHAKING THERE AND  SENT US THIS VIDEO, SHE LIVES I",1:02 / 5:19
s4lBuEe6Tpc,English - CC1,"SHE FELT THE SHAKING THERE AND  SENT US THIS VIDEO, SHE LIVES IN",1:02 / 5:19
s4lBuEe6Tpc,English - CC1,"SHE FELT THE SHAKING THERE AND  SENT US THIS VIDEO, SHE LIVES IN",1:03 / 5:19
s4lBuEe6Tpc,English - CC1,"SHE FELT THE SHAKING THERE AND  SENT US THIS VIDEO, SHE LIVES IN",1:04 / 5:19
s4lBuEe6Tpc,English - CC1,"SENT US THIS VIDEO, SHE LIVES IN",1:05 / 5:19
s4lBuEe6Tpc,English - CC1,BRENTWOOD.,1:05 / 5:19
s4lBuEe6Tpc,English - CC1,BRENTWOOD. EARLIER WE,1:06 / 5:19
s4lBuEe6Tpc,English - CC1,BRENTWOOD. EARLIER WE,1:07 / 5:19
s4lBuEe6Tpc,English - CC1,BRENTWOOD. EARLIER WE,1:08 / 5:19
s4lBuEe6Tpc,English - CC1,BRENTWOOD. EARLIER WE SPOKE WITH,1:09 / 5:19
s4lBuEe6Tpc,English - CC1,BRENTWOOD. EARLIER WE SPOKE WITH A,1:10 / 5:19
s4lBuEe6Tpc,English - CC1,BRENTWOOD. EARLIER WE SPOKE WITH A,1:11 / 5:19
s4lBuEe6Tpc,English - CC1,BRENTWOOD. EARLIER WE SPOKE WITH A,1:12 / 5:19
s4lBuEe6Tpc,English - CC1,BRENTWOOD. EARLIER WE SPOKE WITH A ,1:13 / 5:19
s4lBuEe6Tpc,English - CC1,BRENTWOOD. EARLIER WE SPOKE WITH A ,1:14 / 5:19
s4lBuEe6Tpc,English - CC1,EARLIER WE SPOKE WITH A  ESIS,1:15 / 5:19
s4lBuEe6Tpc,English - CC1,EARLIER WE SPOKE WITH A  ESISMOLOGIST AND,1:16 / 5:19
s4lBuEe6Tpc,English - CC1,EARLIER WE SPOKE WITH A  ESISMOLOGIST AND WHAT WE C,1:17 / 5:19
s4lBuEe6Tpc,English - CC1,EARLIER WE SPOKE WITH A  ESISMOLOGIST AND WHAT WE CAN,1:17 / 5:19
s4lBuEe6Tpc,English - CC1,EARLIER WE SPOKE WITH A  ESISMOLOGIST AND WHAT WE CAN,1:18 / 5:19
s4lBuEe6Tpc,English - CC1,EARLIER WE SPOKE WITH A  ESISMOLOGIST AND WHAT WE CAN,1:19 / 5:19
s4lBuEe6Tpc,English - CC1,ESISMOLOGIST AND WHAT WE CAN  EXPECT,1:19 / 5:19
s4lBuEe6Tpc,English - CC1,EXPECT? >>,1:20 / 5:19
s4lBuEe6Tpc,English - CC1,EXPECT? >> ,1:21 / 5:19
s4lBuEe6Tpc,English - CC1,EXPECT? >> MOST,1:21 / 5:19
s4lBuEe6Tpc,English - CC1,EXPECT? >> MOST,1:22 / 5:19
s4lBuEe6Tpc,English - CC1,>> MOST OF THEM ARE CAUSED RIGHT,1:23 / 5:19
s4lBuEe6Tpc,English - CC1,>> MOST OF THEM ARE CAUSED RIGHT AFTER THE,1:23 / 5:19
s4lBuEe6Tpc,English - CC1,>> MOST OF THEM ARE CAUSED RIGHT AFTER THE EARTHQUAKE,1:24 / 5:19
s4lBuEe6Tpc,English - CC1,>> MOST OF THEM ARE CAUSED RIGHT AFTER THE EARTHQUAKE,1:25 / 5:19
s4lBuEe6Tpc,English - CC1,>> MOST OF THEM ARE CAUSED RIGHT AFTER THE EARTHQUAKE,1:26 / 5:19
s4lBuEe6Tpc,English - CC1,>> MOST OF THEM ARE CAUSED RIGHT AFTER THE EARTHQUAKE AND,1:27 / 5:19
s4lBuEe6Tpc,English - CC1,>> MOST OF THEM ARE CAUSED RIGHT AFTER THE EARTHQUAKE AND,1:28 / 5:19
s4lBuEe6Tpc,English - CC1,AFTER THE EARTHQUAKE AND THE  FREQUENCY BE,1:28 / 5:19
s4lBuEe6Tpc,English - CC1,AFTER THE EARTHQUAKE AND THE  FREQUENCY BECAME,1:29 / 5:19
s4lBuEe6Tpc,English - CC1,AFTER THE EARTHQUAKE AND THE  FREQUENCY BECAME EXPONENTIALLY,1:29 / 5:19
s4lBuEe6Tpc,English - CC1,AFTER THE EARTHQUAKE AND THE  FREQUENCY BECAME EXPONENTIALLY ,1:30 / 5:19
s4lBuEe6Tpc,English - CC1,FREQUENCY BECAME EXPONENTIALLY  OVERTIME.,1:31 / 5:19
s4lBuEe6Tpc,English - CC1,OVERTIME. >> SOME OF,1:31 / 5:19
s4lBuEe6Tpc,English - CC1,OVERTIME. >> SOME OF,1:32 / 5:19
s4lBuEe6Tpc,English - CC1,OVERTIME. >> SOME OF,1:33 / 5:19
s4lBuEe6Tpc,English - CC1,OVERTIME. >> SOME OF,1:34 / 5:19
s4lBuEe6Tpc,English - CC1,OVERTIME. >> SOME OF OUR,1:34 / 5:19
s4lBuEe6Tpc,English - CC1,OVERTIME. >> SOME OF OUR,1:35 / 5:19
s4lBuEe6Tpc,English - CC1,>> SOME OF OUR VIEWERS DID ,1:36 / 5:19
s4lBuEe6Tpc,English - CC1,>> SOME OF OUR VIEWERS DID  RECEIVE OUR,1:36 / 5:19
s4lBuEe6Tpc,English - CC1,>> SOME OF OUR VIEWERS DID  RECEIVE OUR,1:37 / 5:19
s4lBuEe6Tpc,English - CC1,>> SOME OF OUR VIEWERS DID  RECEIVE OUR ALERTS.,1:38 / 5:19
s4lBuEe6Tpc,English - CC1,RECEIVE OUR ALERTS. LET'S GO,1:38 / 5:19
s4lBuEe6Tpc,English - CC1,RECEIVE OUR ALERTS. LET'S GO TO OUR,1:39 / 5:19
s4lBuEe6Tpc,English - CC1,RECEIVE OUR ALERTS. LET'S GO TO OUR M,1:39 / 5:19
s4lBuEe6Tpc,English - CC1,LET'S GO TO OUR METEOROLOGIST  JEFF,1:40 / 5:19
