"video_id","min_timecode","max_timecode","text.user","text.auto"
"sS6ksY8xWCY","00:00:00","00:00:03","","friends"
"sS6ksY8xWCY","00:00:04","00:00:06","",""
"sS6ksY8xWCY","00:00:07","00:00:09","brothers and sisters","brothers and sisters"
"sS6ksY8xWCY","00:00:09","00:00:11","",""
"sS6ksY8xWCY","00:00:12","00:00:12","Who can","who can"
"sS6ksY8xWCY","00:00:13","00:00:13","",""
"sS6ksY8xWCY","00:00:14","00:00:17","regale me and my Queen with some myth","regale me who can regale me and and my"
"sS6ksY8xWCY","00:00:17","00:00:23","",""
"sS6ksY8xWCY","00:00:24","00:00:30","","[Music] you you oh greatest"
"sS6ksY8xWCY","00:00:31","00:00:33","Oh, greatest of Kings.","oh greatest of of kings let"
"sS6ksY8xWCY","00:00:33","00:00:35","Let one of your knights","one of your kings let one knights of your knights try"
"sS6ksY8xWCY","00:00:36","00:00:38","try to land a blow against me.","try to let them blow to let against me them blow against indulge"
"sS6ksY8xWCY","00:00:38","00:00:40","Indulge me in this game.","me in this me indulge game"
"sS6ksY8xWCY","00:00:40","00:00:41","",""
"sS6ksY8xWCY","00:00:41","00:00:43","I will meet thee.","i will be"
"sS6ksY8xWCY","00:00:43","00:00:52","",""
"sS6ksY8xWCY","00:00:53","00:00:53","One","one"
"sS6ksY8xWCY","00:00:53","00:00:54","","year"
"sS6ksY8xWCY","00:00:57","00:01:03","","hence [Music] [Music] another"
"sS6ksY8xWCY","00:01:04","00:01:05","Another year nearly gone already.","another year nearly gone already year nearly gone"
"sS6ksY8xWCY","00:01:06","00:01:08","",""
"sS6ksY8xWCY","00:01:09","00:01:10","You must seek him out.","you seek him out"
"sS6ksY8xWCY","00:01:11","00:01:12","Was it not just a game?","was it not just a game you seek him out was it not just perhaps"
"sS6ksY8xWCY","00:01:12","00:01:13","Perhaps,","a game perhaps but"
"sS6ksY8xWCY","00:01:14","00:01:15","but it is not complete.","but that is not complete"
"sS6ksY8xWCY","00:01:16","00:01:17","","you'll"
"sS6ksY8xWCY","00:01:18","00:01:20","You will find no mercy.","find no mercy you'll find no mercy no"
"sS6ksY8xWCY","00:01:21","00:01:21","No happy end.","no"
"sS6ksY8xWCY","00:01:22","00:01:24","","why do you stop me"
"sS6ksY8xWCY","00:01:25","00:01:27","Your doom is at hand.","[Music]"
"sS6ksY8xWCY","00:01:28","00:01:33","","you you rest"
"sS6ksY8xWCY","00:01:33","00:01:34","You rest your bones.","rest your bones your bones i'll"
"sS6ksY8xWCY","00:01:35","00:01:36","I'll finish your quest for you.","i'll finish your quest finish your for"
"sS6ksY8xWCY","00:01:37","00:01:53","","you huh"
"sS6ksY8xWCY","00:01:54","00:01:56","And what do you hope to gain","and what do you hope huh and what do to gain you hope"
"sS6ksY8xWCY","00:01:56","00:01:58","","from facing"
"sS6ksY8xWCY","00:01:58","00:01:59","in facing all of this?","all of this"
"sS6ksY8xWCY","00:02:00","00:02:02","",""
"sS6ksY8xWCY","00:02:04","00:02:09","","honor that"
"sS6ksY8xWCY","00:02:10","00:02:11","That is why a knight","is why knight does"
"sS6ksY8xWCY","00:02:12","00:02:12","does what he does.","what he does"
"sS6ksY8xWCY","00:02:13","00:02:15","","[Music]"
"sS6ksY8xWCY","00:02:16","00:02:17","Are you ready?","are you"
"sS6ksY8xWCY","00:02:17","00:02:25","","[Music] are you ready ready you"
