video_id,lang,text,timecode
siZXs4d5Gqg,English,,0:00 / 1:13
siZXs4d5Gqg,English,,0:01 / 1:13
siZXs4d5Gqg,English,,0:02 / 1:13
siZXs4d5Gqg,English,,0:03 / 1:13
siZXs4d5Gqg,English,,0:04 / 1:13
siZXs4d5Gqg,English,,0:05 / 1:13
siZXs4d5Gqg,English,,0:06 / 1:13
siZXs4d5Gqg,English,,0:07 / 1:13
siZXs4d5Gqg,English,,0:08 / 1:13
siZXs4d5Gqg,English,,0:09 / 1:13
siZXs4d5Gqg,English,"Never before have the lives of so many changed so much, so quickly.",0:10 / 1:13
siZXs4d5Gqg,English,"Never before have the lives of so many changed so much, so quickly.",0:11 / 1:13
siZXs4d5Gqg,English,"Never before have the lives of so many changed so much, so quickly.",0:12 / 1:13
siZXs4d5Gqg,English,"Never before have the lives of so many changed so much, so quickly.",0:13 / 1:13
siZXs4d5Gqg,English,"Never before have the lives of so many changed so much, so quickly.",0:14 / 1:13
siZXs4d5Gqg,English,"Never before have the lives of so many changed so much, so quickly.",0:15 / 1:13
siZXs4d5Gqg,English,"Never before have the lives of so many changed so much, so quickly.",0:16 / 1:13
siZXs4d5Gqg,English,"Never before have the lives of so many changed so much, so quickly.",0:17 / 1:13
siZXs4d5Gqg,English,"Never before have the lives of so many changed so much, so quickly.",0:18 / 1:13
siZXs4d5Gqg,English,,0:19 / 1:13
siZXs4d5Gqg,English,"As when the engines came to life for the very first time, with a roar that echoed over continents .",0:20 / 1:13
siZXs4d5Gqg,English,"As when the engines came to life for the very first time, with a roar that echoed over continents .",0:21 / 1:13
siZXs4d5Gqg,English,"As when the engines came to life for the very first time, with a roar that echoed over continents .",0:22 / 1:13
siZXs4d5Gqg,English,"As when the engines came to life for the very first time, with a roar that echoed over continents .",0:23 / 1:13
siZXs4d5Gqg,English,"As when the engines came to life for the very first time, with a roar that echoed over continents .",0:24 / 1:13
siZXs4d5Gqg,English,"As when the engines came to life for the very first time, with a roar that echoed over continents .",0:25 / 1:13
siZXs4d5Gqg,English,"As when the engines came to life for the very first time, with a roar that echoed over continents .",0:26 / 1:13
siZXs4d5Gqg,English,"As when the engines came to life for the very first time, with a roar that echoed over continents .",0:27 / 1:13
siZXs4d5Gqg,English,"As when the engines came to life for the very first time, with a roar that echoed over continents .",0:28 / 1:13
siZXs4d5Gqg,English,"As when the engines came to life for the very first time, with a roar that echoed over continents .",0:29 / 1:13
siZXs4d5Gqg,English,,0:29 / 1:13
siZXs4d5Gqg,English,"In the soot and ash covering the streets, the people planted seeds of revolution",0:30 / 1:13
siZXs4d5Gqg,English,"In the soot and ash covering the streets, the people planted seeds of revolution",0:31 / 1:13
siZXs4d5Gqg,English,"In the soot and ash covering the streets, the people planted seeds of revolution",0:32 / 1:13
siZXs4d5Gqg,English,"In the soot and ash covering the streets, the people planted seeds of revolution",0:33 / 1:13
