"video_id","min_timecode","max_timecode","text.user","text.auto"
"tBEPeZccP1g","00:00:00","00:00:01","",""
"tBEPeZccP1g","00:00:02","00:00:03","Live from New York city,","live from new york city"
"tBEPeZccP1g","00:00:04","00:00:05","it's the Wendy Williams Show.","it's the wendy williams"
"tBEPeZccP1g","00:00:10","00:00:17","","show"
"tBEPeZccP1g","00:00:20","00:00:22","",""
"tBEPeZccP1g","00:00:28","00:00:39","","wendy [Applause] [Music] [Applause] [Music] [Applause] thank you for watching"
"tBEPeZccP1g","00:00:39","00:00:42","Thank you for watching our show.","our show say hello to my co-host"
"tBEPeZccP1g","00:00:42","00:00:45","Say hello to my co-host, the studio audience.","stamper studio audience"
"tBEPeZccP1g","00:00:46","00:00:47","And the virtuals at home.","and the virtuals at home"
"tBEPeZccP1g","00:00:48","00:00:50","","how are you doing"
"tBEPeZccP1g","00:00:51","00:00:52","How you doing?!","ready to present"
"tBEPeZccP1g","00:00:53","00:00:53","Ready to present.","let's get"
"tBEPeZccP1g","00:00:54","00:00:55","It's time for hot topics.","started it's time for hot"
"tBEPeZccP1g","00:00:56","00:00:58","(audience cheering)","topics"
"tBEPeZccP1g","00:00:59","00:01:00","",""
"tBEPeZccP1g","00:01:00","00:01:03","(audience clapping)","[Applause]"
"tBEPeZccP1g","00:01:03","00:01:20","","[Music] [Applause] [Music] i like"
"tBEPeZccP1g","00:01:21","00:01:21","I like him.","him"
"tBEPeZccP1g","00:01:21","00:01:22","","i"
"tBEPeZccP1g","00:01:23","00:01:24","I really, really like Mike.","really really like"
"tBEPeZccP1g","00:01:25","00:01:25","","mike"
"tBEPeZccP1g","00:01:26","00:01:26","Yeah.","yeah"
"tBEPeZccP1g","00:01:27","00:01:28","",""
"tBEPeZccP1g","00:01:29","00:01:30","Yeah.","yeah that's us in the"
"tBEPeZccP1g","00:01:30","00:01:31","That's us in the car.","car like"
"tBEPeZccP1g","00:01:31","00:01:33","Like I'm trying to contain, you know, you know, just,","i'm trying to contain you know you know just"
"tBEPeZccP1g","00:01:34","00:01:37","let's take a picture, and whatnot, but we were close.","let's take a picture and and whatnot and but we were close"
"tBEPeZccP1g","00:01:38","00:01:39","I mean, we didn't have the sex, but,","i mean we didn't have the sex but but you know"
"tBEPeZccP1g","00:01:39","00:01:40","but you know what I'm saying?","what i'm saying"
"tBEPeZccP1g","00:01:41","00:01:42","Based on the virus and everything","based on the virus and everything you don't get close"
"tBEPeZccP1g","00:01:42","00:01:45","you don't get close to people, but I couldn't resist.","to people but i couldn't resist"
"tBEPeZccP1g","00:01:49","00:01:52","And I'll tell you exactly who he reminds me of,","and i'll tell you exactly who he reminds me of charlotte's"
"tBEPeZccP1g","00:01:52","00:01:53","Charlotte's Harry from sex in the city.","harry from sex and the city"
"tBEPeZccP1g","00:01:55","00:01:56","Yup. Yup.","yup yup"
"tBEPeZccP1g","00:01:56","00:01:57","",""
"tBEPeZccP1g","00:01:58","00:01:59","That's an old picture of him.","that's an old picture of him"
"tBEPeZccP1g","00:02:00","00:02:01","I don't like that picture.","i don't like that picture"
"tBEPeZccP1g","00:02:02","00:02:03","But look, look at the other one","but look look at the other one out when"
"tBEPeZccP1g","00:02:03","00:02:05","when we're outside being paparazzied.","we're outside being paparazzi"
"tBEPeZccP1g","00:02:06","00:02:06","",""
"tBEPeZccP1g","00:02:07","00:02:09","(audience clapping)","uh-huh"
"tBEPeZccP1g","00:02:10","00:02:12","",""
"tBEPeZccP1g","00:02:13","00:02:15","But yeah, I'm Charlotte and he's Harry,","but yup i'm charlotte and he's harry which is"
"tBEPeZccP1g","00:02:15","00:02:16","which is so unbelievable to me because","so unbelievable to me because"
"tBEPeZccP1g","00:02:17","00:02:19","whenever we play sex in the city here on TV","whenever we play sex in the city here on tv i've always"
"tBEPeZccP1g","00:02:19","00:02:22","I've always said I'm Miranda and Charlotte.","said i'm miranda and charlotte"
"tBEPeZccP1g","00:02:23","00:02:24","You know what I mean?","you know what i mean miranda and charlotte you know what i mean and now"
"tBEPeZccP1g","00:02:25","00:02:25","",""
"tBEPeZccP1g","00:02:26","00:02:27","Hi girls.","hi girls"
"tBEPeZccP1g","00:02:28","00:02:28","Yeah.","yeah"
"tBEPeZccP1g","00:02:29","00:02:30","",""
"tBEPeZccP1g","00:02:31","00:02:31","But I have to tell you something.","but i have to tell you something"
"tBEPeZccP1g","00:02:32","00:02:33","He's so nice.","he's so nice"
"tBEPeZccP1g","00:02:34","00:02:34","He's such a gentleman.","he's such a gentleman he's"
"tBEPeZccP1g","00:02:35","00:02:35","He's so respectful.","so respectful"
"tBEPeZccP1g","00:02:36","00:02:37","Mario actually sent him this","mario actually sent him this"
