video_id,lang,text,timecode
tjmzfOUOw08,English,I have to get it to the right amount of tucked...,0:00 / 20:35
tjmzfOUOw08,English,I have to get it to the right amount of tucked...,0:01 / 20:35
tjmzfOUOw08,English,I have to get it to the right amount of tucked...,0:02 / 20:35
tjmzfOUOw08,English,"Karen: You didn't, you want to adjust your pants after we start shooting?",0:03 / 20:35
tjmzfOUOw08,English,"Karen: You didn't, you want to adjust your pants after we start shooting?",0:04 / 20:35
tjmzfOUOw08,English,"Karen: You didn't, you want to adjust your pants after we start shooting?",0:05 / 20:35
tjmzfOUOw08,English,"- I wasn't, well, I didn't think about it beforehand.",0:06 / 20:35
tjmzfOUOw08,English,"- I wasn't, well, I didn't think about it beforehand.",0:07 / 20:35
tjmzfOUOw08,English,"- I wasn't, well, I didn't think about it beforehand.",0:08 / 20:35
tjmzfOUOw08,English,I need to make sure that it's tucked in just enough that I can raise my hands over my head.,0:08 / 20:35
tjmzfOUOw08,English,I need to make sure that it's tucked in just enough that I can raise my hands over my head.,0:09 / 20:35
tjmzfOUOw08,English,I need to make sure that it's tucked in just enough that I can raise my hands over my head.,0:10 / 20:35
tjmzfOUOw08,English,I need to make sure that it's tucked in just enough that I can raise my hands over my head.,0:11 / 20:35
tjmzfOUOw08,English,I need to make sure that it's tucked in just enough that I can raise my hands over my head.,0:12 / 20:35
tjmzfOUOw08,English,And then I can relax.,0:13 / 20:35
tjmzfOUOw08,English,And then I can relax.,0:14 / 20:35
tjmzfOUOw08,English,Welcome back to my kitchen.,0:14 / 20:35
tjmzfOUOw08,English,Welcome back to my kitchen.,0:15 / 20:35
tjmzfOUOw08,English,Welcome back to my kitchen.,0:16 / 20:35
tjmzfOUOw08,English,"It's a different kitchen, now.",0:17 / 20:35
tjmzfOUOw08,English,It's slightly better lit.,0:18 / 20:35
tjmzfOUOw08,English,It's gonna be 90 degrees in New York City today.,0:19 / 20:35
tjmzfOUOw08,English,It's gonna be 90 degrees in New York City today.,0:20 / 20:35
tjmzfOUOw08,English,It's gonna be 90 degrees in New York City today.,0:21 / 20:35
tjmzfOUOw08,English,"And even with air conditioning, it just means that I'm gonna be in a constant state",0:22 / 20:35
tjmzfOUOw08,English,"And even with air conditioning, it just means that I'm gonna be in a constant state",0:23 / 20:35
tjmzfOUOw08,English,"And even with air conditioning, it just means that I'm gonna be in a constant state",0:24 / 20:35
tjmzfOUOw08,English,"And even with air conditioning, it just means that I'm gonna be in a constant state",0:25 / 20:35
