"video_id","min_timecode","max_timecode","text.user","text.auto"
"tqvEEqWGCyE","00:00:00","00:00:05","","have"
"tqvEEqWGCyE","00:00:05","00:00:08","- Have you seen one of these clickbait ads?","you seen one of these click bait ads"
"tqvEEqWGCyE","00:00:08","00:00:10","Real life zombies.","real life zombies"
"tqvEEqWGCyE","00:00:11","00:00:12","People believe they're dead.","people believe they're dead"
"tqvEEqWGCyE","00:00:13","00:00:14","Walking corpse syndrome.","walking corp syndrome are you"
"tqvEEqWGCyE","00:00:14","00:00:16","Are you next?","next they may prevent"
"tqvEEqWGCyE","00:00:16","00:00:18","They may prevent us from understanding that","us from understanding that qatar's delusion"
"tqvEEqWGCyE","00:00:18","00:00:22","Cotard's delusion is a very real mental condition.","is a very real mental condition"
"tqvEEqWGCyE","00:00:23","00:00:25","With real consequences for those who suffer from it.","with real consequences for those who suffer from"
"tqvEEqWGCyE","00:00:26","00:00:30","","it now"
"tqvEEqWGCyE","00:00:30","00:00:32","Now, if you've never heard of Cotard's syndrome,","if you've never heard of katard"
"tqvEEqWGCyE","00:00:33","00:00:34","that's not surprising.","syndrome that's not surprising it's an incredibly"
"tqvEEqWGCyE","00:00:35","00:00:36","It's an incredibly rare disorder,","rare disorder"
"tqvEEqWGCyE","00:00:36","00:00:38","that even mental health professionals have a hard time","that even mental health professionals have a hard"
"tqvEEqWGCyE","00:00:39","00:00:40","wrapping their brains around.","time wrapping their brains around it's often"
"tqvEEqWGCyE","00:00:41","00:00:43","It's often connected to other pre-existing mental illnesses.","connected to other pre-existing mental illnesses like clinical"
"tqvEEqWGCyE","00:00:44","00:00:46","Like clinical depression, psychosis and schizophrenia.","depression psychosis and schizophrenia"
"tqvEEqWGCyE","00:00:47","00:00:49","Cotard's delusion can come on rapidly, progress","katard's delusion can come on rapidly progress"
"tqvEEqWGCyE","00:00:50","00:00:52","and then dissipate, just as suddenly.","and then dissipate just as suddenly katards"
"tqvEEqWGCyE","00:00:52","00:00:55","Cotard's may also be called, walking corpse syndrome.","may also be called walking corpse syndrome"
"tqvEEqWGCyE","00:00:56","00:00:57","Because the person believes","because the person believes that all"
"tqvEEqWGCyE","00:00:57","00:01:00","that all or parts of them are dead.","or parts of them are dead to be"
"tqvEEqWGCyE","00:01:01","00:01:03","To be clear, it's not a vague experience of death","clear it's not a vague experience of death"
"tqvEEqWGCyE","00:01:04","00:01:06","akin to asking an existential question.","akin to asking an existential question"
"tqvEEqWGCyE","00:01:07","00:01:08","What like","what like"
"tqvEEqWGCyE","00:01:09","00:01:09","even","even is"
"tqvEEqWGCyE","00:01:09","00:01:10","is","living"
"tqvEEqWGCyE","00:01:10","00:01:12","living?","what like even is living"
"tqvEEqWGCyE","00:01:13","00:01:13","",""
"tqvEEqWGCyE","00:01:15","00:01:17","","instead"
"tqvEEqWGCyE","00:01:18","00:01:21","Instead, it's actually believing that your physical body","it's actually believing that your physical body has"
"tqvEEqWGCyE","00:01:22","00:01:25","has died and you are in a state of non-existence.","died and you are in a state of non-existence it's a little different"
"tqvEEqWGCyE","00:01:25","00:01:26","It's a little different for everyone.","for everyone"
"tqvEEqWGCyE","00:01:26","00:01:28","But if you suffer from Cotard's delusions,","but if you suffer from guitar's delusions"
"tqvEEqWGCyE","00:01:29","00:01:31","your symptoms might include the belief that,","your symptoms might include the belief that your organs are rotting"
"tqvEEqWGCyE","00:01:31","00:01:32","your organs are rotting.","your"
"tqvEEqWGCyE","00:01:32","00:01:33","Your organs are missing.","organs are missing"
"tqvEEqWGCyE","00:01:34","00:01:34","You don't need to eat.","you don't need"
"tqvEEqWGCyE","00:01:35","00:01:36","You don't need to sleep.","to eat you don't need to sleep your"
"tqvEEqWGCyE","00:01:37","00:01:38","Your limbs don't exist.","limbs don't exist"
"tqvEEqWGCyE","00:01:38","00:01:40","You don't exist.","you don't exist and"
"tqvEEqWGCyE","00:01:41","00:01:43","And while many patients insist that they are dead,","while many patients insist that they are dead"
"tqvEEqWGCyE","00:01:44","00:01:44","at the same time,","at the same"
"tqvEEqWGCyE","00:01:45","00:01:47","they can also understand and articulate that the,","time they can also understand and articulate"
"tqvEEqWGCyE","00:01:48","00:01:52","I am a corpse situation, doesn't exactly make medical sense.","that the i am a corpse situation doesn't exactly make medical sense a japanese"
"tqvEEqWGCyE","00:01:53","00:01:55","A Japanese man with Cotard's, said to his doctor,","man with katard said to his doctor i guess"
"tqvEEqWGCyE","00:01:55","00:01:57","I guess I am dead.","i am dead i'd"
"tqvEEqWGCyE","00:01:58","00:01:59","I'd like to ask for your opinion.","like to ask for your opinion the man eventually"
"tqvEEqWGCyE","00:01:59","00:02:00","The man eventually recovered,","recovered"
"tqvEEqWGCyE","00:02:01","00:02:02","but during his period of death,","but during his period of death"
"tqvEEqWGCyE","00:02:03","00:02:05","he admitted that his condition defied logic.","he admitted that his condition defied"
"tqvEEqWGCyE","00:02:06","00:02:11","","logic so it's"
"tqvEEqWGCyE","00:02:12","00:02:14","So, it's the 1880s in France,","the 1880s in france which we know is"
"tqvEEqWGCyE","00:02:14","00:02:18","which we know, is the start of a very vibe's time in France.","the start of a very vibes time in france find a"
"tqvEEqWGCyE","00:02:18","00:02:19","","siece very"
"tqvEEqWGCyE","00:02:19","00:02:21","Very Gothic literature, very,","gothic literature very"
"tqvEEqWGCyE","00:02:22","00:02:24","","on wee boku dakdans etc"
"tqvEEqWGCyE","00:02:25","00:02:28","The neurologist, Jules Cotard gives a lecture in Paris.","the neurologist jules katard gives a lecture in paris"
"tqvEEqWGCyE","00:02:29","00:02:31","Where he presents the case of a 43 year old woman","where he presents the case of a 43 year old"
"tqvEEqWGCyE","00:02:32","00:02:34","he called, mademoiselle X.","woman he called mademoiselle x"
"tqvEEqWGCyE","00:02:35","00:02:39","Mademoiselle X believed she had ceased to exist.","manueselle axe believed she had ceased to exist"
"tqvEEqWGCyE","00:02:40","00:02:42","Cotard reported, that mademoiselle X,","qatar reported that madwes lx"
"tqvEEqWGCyE","00:02:42","00:02:46","assures us she does not have any brain, no nerves, breasts,","assures us she does not have any brain no nerves breasts stomach"
"tqvEEqWGCyE","00:02:46","00:02:48","stomach, or intestines","or intestines she is left"
"tqvEEqWGCyE","00:02:48","00:02:52","She is left but with the bones of her disorganized body,","but with the bones of her disorganized body this"
"tqvEEqWGCyE","00:02:52","00:02:54","it's a very poor function pressure.","is a very poor french impression"
"tqvEEqWGCyE","00:02:55","00:02:58","Mademoiselle X believed, that because of her damnation,","mademoiselle x believed that because of her damnation she"
"tqvEEqWGCyE","00:02:59","00:03:00","she did not to eat.","did not need to eat she thought she could"
"tqvEEqWGCyE","00:03:00","00:03:02","She thought she could not die a natural death","not die a natural death since"
"tqvEEqWGCyE","00:03:02","00:03:05","since she was already effectively dead.","she was already effectively dead death since she was already effectively dead the only"
"tqvEEqWGCyE","00:03:05","00:03:08","The only way she believed she could be freed from this state","way she believed she could be freed from this state"
"tqvEEqWGCyE","00:03:09","00:03:10","was to be burned.","was to be burned which"
"tqvEEqWGCyE","00:03:10","00:03:13","Which, when others refused to oblige her request,","when others refused to oblige her request"
"tqvEEqWGCyE","00:03:13","00:03:15","she tried to accomplish herself.","she tried to accomplish herself"
"tqvEEqWGCyE","00:03:16","00:03:19","Tragically, mademoiselle X eventually died from starvation.","tragically mademoiselle tragically mademoiselle x eventually died from starvation"
"tqvEEqWGCyE","00:03:20","00:03:22","And three years later, this delusion she felt,","mademoiselle x eventually died from starvation and three years later this delusion"
"tqvEEqWGCyE","00:03:23","00:03:27","this delusion of non-existence was named Cotard's syndrome,","she felt this delusion of non-existence was named katard delusion of non-existence was named katard syndrome after the"
"tqvEEqWGCyE","00:03:27","00:03:28","after the neurologist.","neurologist"
"tqvEEqWGCyE","00:03:29","00:03:32","It's named after Cotard, but it didn't start with him.","it's named after katard but it didn't start with him back"
"tqvEEqWGCyE","00:03:32","00:03:33","Back in 1788,","in 1788 the french"
"tqvEEqWGCyE","00:03:34","00:03:36","the French naturalist and writer, Charles Bonnet","naturalist and writer charles bonet described"
"tqvEEqWGCyE","00:03:36","00:03:39","described the symptoms experienced by an older woman that,","the symptoms experienced charles bonet described the symptoms experienced by an older woman that"
"tqvEEqWGCyE","00:03:40","00:03:42","absolutely fit with the definition of Cotard's.","absolutely fit with the definition of katards"
"tqvEEqWGCyE","00:03:43","00:03:47","One day the woman was preparing a meal, when a strong draft","one day the woman was preparing a meal when a strong draft blew through and"
"tqvEEqWGCyE","00:03:47","00:03:48","blew through and struck her on the neck.","struck her on the neck"
"tqvEEqWGCyE","00:03:49","00:03:53","She was quote, suddenly, completely paralyzed on one side.","she was quote suddenly completely paralyzed on one side"
"tqvEEqWGCyE","00:03:54","00:03:55","As if hit by a stroke.","as if hit by a stroke"
"tqvEEqWGCyE","00:03:56","00:03:57","For a few days after, she was totally out of it.","for a few days after she was totally out of"
"tqvEEqWGCyE","00:03:58","00:04:01","But eventually she came around and was able to speak again.","it but eventually she came around and was able to speak again"
