"video_id","min_timecode","max_timecode","text.user","text.auto"
"unz6mfjS4ws","00:00:00","00:00:03","This video was made possible by CuriosityStream.","this video was made possible by curiositystream"
"unz6mfjS4ws","00:00:04","00:00:08","Watch thousands of high-quality documentaries and get access to my streaming service, Nebula,","watch thousands of high quality documentaries and get access to my streaming service nebula"
"unz6mfjS4ws","00:00:09","00:00:11","by using the link in the description.","by using the link in the description"
"unz6mfjS4ws","00:00:12","00:00:19","In the 1950s, the French set aside conventional aircraft building wisdom to design a plane","in the 1950s the french set aside conventional aircraft building wisdom to design a plane unlike anything"
"unz6mfjS4ws","00:00:19","00:00:22","unlike anything recognizable today.","recognizable to design a plane unlike anything recognizable today with"
"unz6mfjS4ws","00:00:23","00:00:28","With a cylindrical wing, plans for ramjet propulsion, and the ability to take off and","a cylindrical wing plans for ram jet propulsion and the ability to take off and land vertically"
"unz6mfjS4ws","00:00:28","00:00:33","land vertically on its tail, this plane would lay the foundation for a new way to protect","and the ability to take off and land vertically on its tail this plane would lay the foundation for a new way to protect"
"unz6mfjS4ws","00:00:34","00:00:35","French air space.","french airspace with"
"unz6mfjS4ws","00:00:36","00:00:40","With planes that could take off from anywhere, rising up to meet the enemy like a swarm of","planes that could take off from anywhere rising up to meet the enemy like a swarm"
"unz6mfjS4ws","00:00:41","00:00:49","angry bees.","of angry bees conventional"
"unz6mfjS4ws","00:00:50","00:00:53","Conventional airplanes need runways to get airborne.","airplanes need runways to get airborne accelerating"
"unz6mfjS4ws","00:00:53","00:00:57","Accelerating until their wings generate enough lift to take off.","until their wings generate enough lift to take off one way"
"unz6mfjS4ws","00:00:57","00:01:02","One way to reduce the length of runway needed is to give the plane more power so it can","to reduce the length of runway needed is to give the plane more power so that it can get"
"unz6mfjS4ws","00:01:03","00:01:05","get up to speed faster and lift off earlier.","up to speed faster and lift off earlier but in the"
"unz6mfjS4ws","00:01:05","00:01:11","But in the 1950s, aircraft designers realized that with enough power, planes might not need","1950s aircraft designers realized that with enough power planes might not need runways"
"unz6mfjS4ws","00:01:11","00:01:12","runways at all.","at all instead"
"unz6mfjS4ws","00:01:13","00:01:18","Instead of powering down a runway, they could be oriented towards the sky.","of powering down a runway they could instead be oriented towards the sky and use"
