video_id,lang,text,timecode
v3ohyHjJy3M,English (United States) - Captions,,0:00 / 10:01
v3ohyHjJy3M,English (United States) - Captions,,0:01 / 10:01
v3ohyHjJy3M,English (United States) - Captions,- Oh god!,0:02 / 10:01
v3ohyHjJy3M,English (United States) - Captions,Whoa!,0:02 / 10:01
v3ohyHjJy3M,English (United States) - Captions,Whoa!,0:03 / 10:01
v3ohyHjJy3M,English (United States) - Captions,I've tried to learn how to do kick flips.,0:04 / 10:01
v3ohyHjJy3M,English (United States) - Captions,I've tried to learn how to do kick flips.,0:05 / 10:01
v3ohyHjJy3M,English (United States) - Captions,"You go up, right?",0:06 / 10:01
v3ohyHjJy3M,English (United States) - Captions,"You go up, right?",0:07 / 10:01
v3ohyHjJy3M,English (United States) - Captions,,0:08 / 10:01
v3ohyHjJy3M,English (United States) - Captions,,0:09 / 10:01
v3ohyHjJy3M,English (United States) - Captions,[Madelyn laughs],0:09 / 10:01
v3ohyHjJy3M,English (United States) - Captions,[Madelyn laughs],0:10 / 10:01
v3ohyHjJy3M,English (United States) - Captions,[Madelyn laughs],0:11 / 10:01
v3ohyHjJy3M,English (United States) - Captions,"I mean, what can I say?",0:11 / 10:01
v3ohyHjJy3M,English (United States) - Captions,"I mean, what can I say?",0:12 / 10:01
v3ohyHjJy3M,English (United States) - Captions,[light music],0:13 / 10:01
v3ohyHjJy3M,English (United States) - Captions,[light music],0:14 / 10:01
v3ohyHjJy3M,English (United States) - Captions,[light music],0:15 / 10:01
v3ohyHjJy3M,English (United States) - Captions,,0:15 / 10:01
v3ohyHjJy3M,English (United States) - Captions,,0:16 / 10:01
v3ohyHjJy3M,English (United States) - Captions,,0:17 / 10:01
v3ohyHjJy3M,English (United States) - Captions,,0:18 / 10:01
v3ohyHjJy3M,English (United States) - Captions,,0:19 / 10:01
v3ohyHjJy3M,English (United States) - Captions,,0:20 / 10:01
v3ohyHjJy3M,English (United States) - Captions,,0:21 / 10:01
v3ohyHjJy3M,English (United States) - Captions,,0:22 / 10:01
v3ohyHjJy3M,English (United States) - Captions,[cage clinks],0:22 / 10:01
v3ohyHjJy3M,English (United States) - Captions,[cage clinks],0:23 / 10:01
v3ohyHjJy3M,English (United States) - Captions,"Hi, Bubba, come here, he just turned one.",0:24 / 10:01
v3ohyHjJy3M,English (United States) - Captions,"Hi, Bubba, come here, he just turned one.",0:25 / 10:01
v3ohyHjJy3M,English (United States) - Captions,"Hi, Bubba, come here, he just turned one.",0:26 / 10:01
v3ohyHjJy3M,English (United States) - Captions,"Hi, Bubba, come here, he just turned one.",0:27 / 10:01
v3ohyHjJy3M,English (United States) - Captions,"Hi, Bubba, come here, he just turned one.",0:28 / 10:01
v3ohyHjJy3M,English (United States) - Captions,- [Cameraman] Aww.,0:28 / 10:01
v3ohyHjJy3M,English (United States) - Captions,- Three days ago.,0:29 / 10:01
v3ohyHjJy3M,English (United States) - Captions,He's chaos.,0:30 / 10:01
v3ohyHjJy3M,English (United States) - Captions,I love him.,0:31 / 10:01
v3ohyHjJy3M,English (United States) - Captions,[Madelyn laughs],0:32 / 10:01
v3ohyHjJy3M,English (United States) - Captions,[Madelyn laughs],0:33 / 10:01
v3ohyHjJy3M,English (United States) - Captions,"I'm leaving for Greece in two days,",0:33 / 10:01
v3ohyHjJy3M,English (United States) - Captions,"I'm leaving for Greece in two days,",0:34 / 10:01
v3ohyHjJy3M,English (United States) - Captions,"I'm leaving for Greece in two days,",0:35 / 10:01
v3ohyHjJy3M,English (United States) - Captions,to go film a fun little movie.,0:36 / 10:01
v3ohyHjJy3M,English (United States) - Captions,to go film a fun little movie.,0:37 / 10:01
v3ohyHjJy3M,English (United States) - Captions,to go film a fun little movie.,0:38 / 10:01
v3ohyHjJy3M,English (United States) - Captions,to go film a fun little movie.,0:39 / 10:01
v3ohyHjJy3M,English (United States) - Captions,,0:40 / 10:01
v3ohyHjJy3M,English (United States) - Captions,"It's the second installment of ""Knives Out.""",0:41 / 10:01
v3ohyHjJy3M,English (United States) - Captions,"It's the second installment of ""Knives Out.""",0:42 / 10:01
v3ohyHjJy3M,English (United States) - Captions,"It's the second installment of ""Knives Out.""",0:43 / 10:01
v3ohyHjJy3M,English (United States) - Captions,So I'm terrified.,0:44 / 10:01
v3ohyHjJy3M,English (United States) - Captions,So I'm terrified.,0:45 / 10:01
v3ohyHjJy3M,English (United States) - Captions,So I'm terrified.,0:46 / 10:01
v3ohyHjJy3M,English (United States) - Captions,[Madelyn chuckles],0:46 / 10:01
v3ohyHjJy3M,English (United States) - Captions,[Madelyn chuckles],0:47 / 10:01
v3ohyHjJy3M,English (United States) - Captions,I've never had a schedule like this.,0:47 / 10:01
v3ohyHjJy3M,English (United States) - Captions,I've never had a schedule like this.,0:48 / 10:01
v3ohyHjJy3M,English (United States) - Captions,I've never had a schedule like this.,0:49 / 10:01
v3ohyHjJy3M,English (United States) - Captions,I've never had a schedule like this.,0:50 / 10:01
v3ohyHjJy3M,English (United States) - Captions,And it's very exciting.,0:50 / 10:01
v3ohyHjJy3M,English (United States) - Captions,And it's very exciting.,0:51 / 10:01
v3ohyHjJy3M,English (United States) - Captions,And it's really fucking cool.,0:52 / 10:01
v3ohyHjJy3M,English (United States) - Captions,And it's really fucking cool.,0:53 / 10:01
v3ohyHjJy3M,English (United States) - Captions,And it's really fucking cool.,0:54 / 10:01
v3ohyHjJy3M,English (United States) - Captions,And it's really fucking cool.,0:55 / 10:01
v3ohyHjJy3M,English (United States) - Captions,And it's really fucking cool.,0:56 / 10:01
v3ohyHjJy3M,English (United States) - Captions,Excuse my French.,0:57 / 10:01
v3ohyHjJy3M,English (United States) - Captions,[Madelyn laughs],0:57 / 10:01
v3ohyHjJy3M,English (United States) - Captions,[Madelyn laughs],0:58 / 10:01
v3ohyHjJy3M,English (United States) - Captions,But it's also extremely overwhelming,0:58 / 10:01
v3ohyHjJy3M,English (United States) - Captions,But it's also extremely overwhelming,0:59 / 10:01
v3ohyHjJy3M,English (United States) - Captions,But it's also extremely overwhelming,1:00 / 10:01
v3ohyHjJy3M,English (United States) - Captions,But it's also extremely overwhelming,1:01 / 10:01
v3ohyHjJy3M,English (United States) - Captions,because it's all happening -,1:01 / 10:01
v3ohyHjJy3M,English (United States) - Captions,because it's all happening -,1:02 / 10:01
v3ohyHjJy3M,English (United States) - Captions,"It feels like it's all happening at once,",1:03 / 10:01
v3ohyHjJy3M,English (United States) - Captions,even though that's -,1:04 / 10:01
v3ohyHjJy3M,English (United States) - Captions,even though that's -,1:05 / 10:01
v3ohyHjJy3M,English (United States) - Captions,It's not.,1:06 / 10:01
v3ohyHjJy3M,English (United States) - Captions,,1:07 / 10:01
v3ohyHjJy3M,English (United States) - Captions,"Like, it's been like two years in the making.",1:08 / 10:01
v3ohyHjJy3M,English (United States) - Captions,"Like, it's been like two years in the making.",1:09 / 10:01
v3ohyHjJy3M,English (United States) - Captions,"Like, it's been like two years in the making.",1:10 / 10:01
v3ohyHjJy3M,English (United States) - Captions,"Like, it's been like two years in the making.",1:11 / 10:01
v3ohyHjJy3M,English (United States) - Captions,I feel overwhelmed.,1:11 / 10:01
v3ohyHjJy3M,English (United States) - Captions,"But I have to remind myself, it's fruits of labor",1:12 / 10:01
v3ohyHjJy3M,English (United States) - Captions,"But I have to remind myself, it's fruits of labor",1:13 / 10:01
v3ohyHjJy3M,English (United States) - Captions,"But I have to remind myself, it's fruits of labor",1:14 / 10:01
v3ohyHjJy3M,English (United States) - Captions,and I'm really lucky to be where I am.,1:15 / 10:01
v3ohyHjJy3M,English (United States) - Captions,and I'm really lucky to be where I am.,1:16 / 10:01
v3ohyHjJy3M,English (United States) - Captions,and I'm really lucky to be where I am.,1:17 / 10:01
v3ohyHjJy3M,English (United States) - Captions,It crazy and it's a little overwhelming.,1:17 / 10:01
v3ohyHjJy3M,English (United States) - Captions,It crazy and it's a little overwhelming.,1:18 / 10:01
v3ohyHjJy3M,English (United States) - Captions,I have to text my friends.,1:19 / 10:01
v3ohyHjJy3M,English (United States) - Captions,"I'm like, I'm not ignoring you.",1:20 / 10:01
v3ohyHjJy3M,English (United States) - Captions,I'm just overwhelmed.,1:21 / 10:01
v3ohyHjJy3M,English (United States) - Captions,[Madelyn laughs],1:22 / 10:01
v3ohyHjJy3M,English (United States) - Captions,I'm sorry.,1:22 / 10:01
v3ohyHjJy3M,English (United States) - Captions,I'm sorry.,1:23 / 10:01
v3ohyHjJy3M,English (United States) - Captions,Let's go get drinks.,1:24 / 10:01
v3ohyHjJy3M,English (United States) - Captions,So I used to work this little food stand,1:25 / 10:01
v3ohyHjJy3M,English (United States) - Captions,So I used to work this little food stand,1:26 / 10:01
v3ohyHjJy3M,English (United States) - Captions,So I used to work this little food stand,1:27 / 10:01
v3ohyHjJy3M,English (United States) - Captions,So I used to work this little food stand,1:28 / 10:01
v3ohyHjJy3M,English (United States) - Captions,"in Charleston, South Carolina",1:28 / 10:01
v3ohyHjJy3M,English (United States) - Captions,"in Charleston, South Carolina",1:29 / 10:01
v3ohyHjJy3M,English (United States) - Captions,"in Charleston, South Carolina",1:30 / 10:01
v3ohyHjJy3M,English (United States) - Captions,"in Charleston, South Carolina",1:31 / 10:01
v3ohyHjJy3M,English (United States) - Captions,and we were making coffee all day.,1:31 / 10:01
v3ohyHjJy3M,English (United States) - Captions,and we were making coffee all day.,1:32 / 10:01
v3ohyHjJy3M,English (United States) - Captions,and we were making coffee all day.,1:33 / 10:01
v3ohyHjJy3M,English (United States) - Captions,,1:33 / 10:01
v3ohyHjJy3M,English (United States) - Captions,"And of course, there'd be coffee that would be old,",1:34 / 10:01
v3ohyHjJy3M,English (United States) - Captions,"And of course, there'd be coffee that would be old,",1:35 / 10:01
v3ohyHjJy3M,English (United States) - Captions,"And of course, there'd be coffee that would be old,",1:36 / 10:01
v3ohyHjJy3M,English (United States) - Captions,"And of course, there'd be coffee that would be old,",1:37 / 10:01
v3ohyHjJy3M,English (United States) - Captions,"so a trick they taught us to not make more,",1:38 / 10:01
v3ohyHjJy3M,English (United States) - Captions,"so a trick they taught us to not make more,",1:39 / 10:01
v3ohyHjJy3M,English (United States) - Captions,"so a trick they taught us to not make more,",1:40 / 10:01
v3ohyHjJy3M,English (United States) - Captions,or waste coffee as you just top it off with a little water.,1:40 / 10:01
v3ohyHjJy3M,English (United States) - Captions,or waste coffee as you just top it off with a little water.,1:41 / 10:01
v3ohyHjJy3M,English (United States) - Captions,or waste coffee as you just top it off with a little water.,1:42 / 10:01
v3ohyHjJy3M,English (United States) - Captions,or waste coffee as you just top it off with a little water.,1:43 / 10:01
v3ohyHjJy3M,English (United States) - Captions,So we're gonna do that.,1:44 / 10:01
v3ohyHjJy3M,English (United States) - Captions,So we're gonna do that.,1:45 / 10:01
v3ohyHjJy3M,English (United States) - Captions,,1:45 / 10:01
v3ohyHjJy3M,English (United States) - Captions,,1:46 / 10:01
v3ohyHjJy3M,English (United States) - Captions,,1:47 / 10:01
v3ohyHjJy3M,English (United States) - Captions,Cold brew.,1:47 / 10:01
v3ohyHjJy3M,English (United States) - Captions,,1:48 / 10:01
v3ohyHjJy3M,English (United States) - Captions,,1:49 / 10:01
v3ohyHjJy3M,English (United States) - Captions,Relish.,1:49 / 10:01
v3ohyHjJy3M,English (United States) - Captions,Relish.,1:50 / 10:01
v3ohyHjJy3M,English (United States) - Captions,[Madelyn giggles],1:50 / 10:01
v3ohyHjJy3M,English (United States) - Captions,I made you some three-hour old coffee.,1:51 / 10:01
v3ohyHjJy3M,English (United States) - Captions,I made you some three-hour old coffee.,1:52 / 10:01
v3ohyHjJy3M,English (United States) - Captions,I made you some three-hour old coffee.,1:53 / 10:01
v3ohyHjJy3M,English (United States) - Captions,I made you some three-hour old coffee.,1:54 / 10:01
v3ohyHjJy3M,English (United States) - Captions,[man gasps],1:54 / 10:01
v3ohyHjJy3M,English (United States) - Captions,[man gasps],1:55 / 10:01
v3ohyHjJy3M,English (United States) - Captions,- My favorite.,1:56 / 10:01
v3ohyHjJy3M,English (United States) - Captions,[Madelyn chuckles],1:56 / 10:01
v3ohyHjJy3M,English (United States) - Captions,[Madelyn chuckles],1:57 / 10:01
v3ohyHjJy3M,English (United States) - Captions,How'd you know?,1:57 / 10:01
v3ohyHjJy3M,English (United States) - Captions,[Madelyn laughs],1:58 / 10:01
v3ohyHjJy3M,English (United States) - Captions,[Madelyn laughs],1:59 / 10:01
v3ohyHjJy3M,English (United States) - Captions,- It's cold.,1:59 / 10:01
v3ohyHjJy3M,English (United States) - Captions,- Ohh.,2:00 / 10:01
v3ohyHjJy3M,English (United States) - Captions,- Also I put ice cubes in it,2:00 / 10:01
v3ohyHjJy3M,English (United States) - Captions,- Also I put ice cubes in it,2:01 / 10:01
v3ohyHjJy3M,English (United States) - Captions,to mask the fact that,2:01 / 10:01
v3ohyHjJy3M,English (United States) - Captions,to mask the fact that,2:02 / 10:01
v3ohyHjJy3M,English (United States) - Captions,to mask the fact that,2:03 / 10:01
v3ohyHjJy3M,English (United States) - Captions,,2:03 / 10:01
v3ohyHjJy3M,English (United States) - Captions,,2:04 / 10:01
v3ohyHjJy3M,English (United States) - Captions,- Three hour coffee.,2:04 / 10:01
v3ohyHjJy3M,English (United States) - Captions,- Three hour coffee.,2:05 / 10:01
v3ohyHjJy3M,English (United States) - Captions,"- Um, yeah.",2:06 / 10:01
v3ohyHjJy3M,English (United States) - Captions,- We ran out of coffee.,2:06 / 10:01
v3ohyHjJy3M,English (United States) - Captions,- We ran out of coffee.,2:07 / 10:01
v3ohyHjJy3M,English (United States) - Captions,Did you know that?,2:07 / 10:01
v3ohyHjJy3M,English (United States) - Captions,Did you know that?,2:08 / 10:01
v3ohyHjJy3M,English (United States) - Captions,,2:08 / 10:01
v3ohyHjJy3M,English (United States) - Captions,,2:09 / 10:01
v3ohyHjJy3M,English (United States) - Captions,,2:10 / 10:01
v3ohyHjJy3M,English (United States) - Captions,Did you know we ran out of coffee?,2:10 / 10:01
v3ohyHjJy3M,English (United States) - Captions,Did you know we ran out of coffee?,2:11 / 10:01
v3ohyHjJy3M,English (United States) - Captions,Did you know we ran out of coffee?,2:12 / 10:01
v3ohyHjJy3M,English (United States) - Captions,- Trying to find where we were.,2:13 / 10:01
v3ohyHjJy3M,English (United States) - Captions,- Trying to find where we were.,2:14 / 10:01
v3ohyHjJy3M,English (United States) - Captions,,2:14 / 10:01
v3ohyHjJy3M,English (United States) - Captions,A whole year ago.,2:15 / 10:01
v3ohyHjJy3M,English (United States) - Captions,A whole year ago.,2:16 / 10:01
v3ohyHjJy3M,English (United States) - Captions,- Locked in isolation.,2:17 / 10:01
v3ohyHjJy3M,English (United States) - Captions,- Locked in isolation.,2:18 / 10:01
v3ohyHjJy3M,English (United States) - Captions,- It would definitely -,2:18 / 10:01
v3ohyHjJy3M,English (United States) - Captions,- It would definitely -,2:19 / 10:01
v3ohyHjJy3M,English (United States) - Captions,,2:20 / 10:01
v3ohyHjJy3M,English (United States) - Captions,"One year ago, I was..",2:21 / 10:01
v3ohyHjJy3M,English (United States) - Captions,"One year ago, I was..",2:22 / 10:01
v3ohyHjJy3M,English (United States) - Captions,"One year ago, I was..",2:23 / 10:01
v3ohyHjJy3M,English (United States) - Captions,"One year ago, I was..",2:24 / 10:01
v3ohyHjJy3M,English (United States) - Captions,"One year ago, I was..",2:25 / 10:01
v3ohyHjJy3M,English (United States) - Captions,,2:26 / 10:01
v3ohyHjJy3M,English (United States) - Captions,,2:27 / 10:01
v3ohyHjJy3M,English (United States) - Captions,One year ago I was in Bloomington.,2:28 / 10:01
