"video_id","min_timecode","max_timecode","text.user","text.auto"
"v_rXhuaI0W8","00:00:00","00:00:03","This video was made possible by CuriosityStream.","this video was made possible by curiositystream watch"
"v_rXhuaI0W8","00:00:04","00:00:06","Watch the extended cut of this video, listen to my podcast, or watch our upcoming original","the extended cut of this video listen to my podcast or watch our upcoming original"
"v_rXhuaI0W8","00:00:07","00:00:11","exclusively on Nebula, which you can get access to for $15 a year through the bundle deal","exclusively on nebula which you can get access to for 15 a year through the bundle"
"v_rXhuaI0W8","00:00:12","00:00:15","at CuriosityStream.com/Wendover.","deal at curiositystream.com wendover"
"v_rXhuaI0W8","00:00:16","00:00:21","There was a time, earlier in 2020, when there was no news but COVID news.","there was a time earlier in 2020 wendover there was a time earlier in 2020 when there was no news but covet news there"
"v_rXhuaI0W8","00:00:21","00:00:27","There was this time when every word of every story of every front-page of every paper either","was this time when every word of every story of every front page of every paper either"
"v_rXhuaI0W8","00:00:28","00:00:34","directly or indirectly dealt with the Coronavirus, but, now, many months on, that is no longer","directly or indirectly dealt with the coronavirus but now many months on that is no longer"
"v_rXhuaI0W8","00:00:35","00:00:36","the case.","the case the"
"v_rXhuaI0W8","00:00:37","00:00:40","The world has awoken in a way that there is more of relevance.","world has awoken in a way that there is more of relevance"
"v_rXhuaI0W8","00:00:41","00:00:49","However, in certain circles, in those most dramatically impacted, COVID is still everything.","however in certain circles in those most dramatically impacted covid is still everything that is certainly"
"v_rXhuaI0W8","00:00:49","00:00:51","That is certainly the case in aviation.","the case in aviation"
"v_rXhuaI0W8","00:00:52","00:00:57","Almost nothing they do nowadays is not dictated by the ever-present backdrop of the century’s","almost nothing they do nowadays is not dictated by the ever-present backdrop of the century's"
"v_rXhuaI0W8","00:00:57","00:00:59","first pandemic.","first pandemic most of what anyone"
"v_rXhuaI0W8","00:00:59","00:01:03","Most of what anyone has been talking about recently, including us, has been on how this","has been talking about recently including us has been on how this will fundamentally"
"v_rXhuaI0W8","00:01:03","00:01:08","will fundamentally change the industry—on how the airline of 2029 will look markedly","change the industry on how the airline of 2029 will look markedly"
"v_rXhuaI0W8","00:01:09","00:01:10","different than that of 2019.","different than that of 2019."
"v_rXhuaI0W8","00:01:10","00:01:16","Today, though, in October, 2020, we’re nearing the one-year mark since when SARS-CoV-2 is","today though in october 2020 we're nearing the one year mark since when sars kovi"
"v_rXhuaI0W8","00:01:17","00:01:19","believed to have made the jump from animal to human.","ii is believed to have made the jump from animal to human with"
"v_rXhuaI0W8","00:01:20","00:01:24","With this amount of time behind us, the airline industry has already changed.","this amount of time behind us the airline industry has already changed"
"v_rXhuaI0W8","00:01:25","00:01:30","The airline of October, 2020 is already different than the airline of October, 2019.","the airline of october 2020 is already different than the airline of october 2019."
"v_rXhuaI0W8","00:01:31","00:01:36","So, to see what’s happened already, we’re going to look at eight flights that, for reasons","so to see what's happened already we're going to look at eight flights that for reasons"
"v_rXhuaI0W8","00:01:37","00:01:41","either big or small, would have been considered strange, unique, or even unimaginable just","either big or small would have been considered strange unique would have been considered strange unique or even unimaginable just"
"v_rXhuaI0W8","00:01:42","00:01:46","a year ago today, but now, are nothing out of the ordinary.","a year ago today but now are nothing out of the ordinary"
"v_rXhuaI0W8","00:01:47","00:01:51","We’ll start with the end for one aircraft—at least for a while.","we'll start with the end for one aircraft at least for a while on september"
"v_rXhuaI0W8","00:01:51","00:01:57","On September 25th, Qantas’ VH-OQI, an a380, flew from Dresden, Germany to Victorville,","25th qantas vhoqi an a380 flew from dresden germany to victorville california"
"v_rXhuaI0W8","00:01:58","00:02:03","California—a route that is quite clearly unordinary for an airline based in Australia,","a route that is quite clearly unordinary for an airline based in australia but it's not the route"
"v_rXhuaI0W8","00:02:03","00:02:06","but its not the route that made this notable.","that made this notable but it's not the route that made this notable vhoqi"
"v_rXhuaI0W8","00:02:06","00:02:10","VH-OQI had been flown to Dresden in March for cabin refurbishment.","had been flown to dresden in march for cabin refurbishment"
"v_rXhuaI0W8","00:02:10","00:02:15","By September, though, it became clear that not only was the refurbishment unnecessary,","by september though it became clear that not only was the refurbishment unnecessary not only was the refurbishment unnecessary but that"
"v_rXhuaI0W8","00:02:16","00:02:17","but that the aircraft was too.","the aircraft was too"
"v_rXhuaI0W8","00:02:18","00:02:26","","therefore the decision was made to put this fleet of aircraft into long-term storage and this particular flight from dresden would mark the last time a qantas a380 would"
"v_rXhuaI0W8","00:02:27","00:02:30","airborne until, at least, 2023.","be airborne until at least 2023"
"v_rXhuaI0W8","00:02:31","00:02:35","This demonstrates that this is the soonest Qantas believes passenger demand could return","this demonstrates that this is the soonest qantas believes passenger demand could return"
