video_id,lang,text,timecode
vayQkBurJJI,English - Broadcast,,0:00 / 0:31
vayQkBurJJI,English - Broadcast,THEN ANOTHER STORM BEFORE,0:01 / 0:31
vayQkBurJJI,English - Broadcast,THEN ANOTHER STORM BEFORE,0:02 / 0:31
vayQkBurJJI,English - Broadcast,THE YEAR ENDS.,0:03 / 0:31
vayQkBurJJI,English - Broadcast,>>> BUT WE BEGIN WITH SOME,0:04 / 0:31
vayQkBurJJI,English - Broadcast,>>> BUT WE BEGIN WITH SOME,0:05 / 0:31
vayQkBurJJI,English - Broadcast,>>> BUT WE BEGIN WITH SOME,0:06 / 0:31
vayQkBurJJI,English - Broadcast,BREAKING NEWS A MASS,0:06 / 0:31
vayQkBurJJI,English - Broadcast,SHOOTING AT A BOWLING ALLEY,0:07 / 0:31
vayQkBurJJI,English - Broadcast,SHOOTING AT A BOWLING ALLEY,0:08 / 0:31
vayQkBurJJI,English - Broadcast,IN ILLINOIS.,0:09 / 0:31
vayQkBurJJI,English - Broadcast,"THREE PEOPLE KILLED, THREE",0:10 / 0:31
vayQkBurJJI,English - Broadcast,"THREE PEOPLE KILLED, THREE",0:11 / 0:31
vayQkBurJJI,English - Broadcast,OTHERS HURT AT THE DON,0:12 / 0:31
vayQkBurJJI,English - Broadcast,OTHERS HURT AT THE DON,0:13 / 0:31
vayQkBurJJI,English - Broadcast,"CARTER LANES IN ROCKFORD,",0:14 / 0:31
vayQkBurJJI,English - Broadcast,ITâ€™S ABOUT AN HOUR AND A,0:15 / 0:31
vayQkBurJJI,English - Broadcast,ITâ€™S ABOUT AN HOUR AND A,0:16 / 0:31
vayQkBurJJI,English - Broadcast,HALF OUTSIDE OF CHICAGO.,0:17 / 0:31
vayQkBurJJI,English - Broadcast,POLICE BELIEVE RIGHT NOW,0:18 / 0:31
vayQkBurJJI,English - Broadcast,POLICE BELIEVE RIGHT NOW,0:19 / 0:31
vayQkBurJJI,English - Broadcast,THIS WAS A RANDOM ATTACK.,0:19 / 0:31
vayQkBurJJI,English - Broadcast,THIS WAS A RANDOM ATTACK.,0:20 / 0:31
vayQkBurJJI,English - Broadcast,,0:20 / 0:31
vayQkBurJJI,English - Broadcast,A PERSON OF INTEREST HAS,0:21 / 0:31
vayQkBurJJI,English - Broadcast,A PERSON OF INTEREST HAS,0:22 / 0:31
vayQkBurJJI,English - Broadcast,BEEN TAKEN INTO CUSTODY.,0:22 / 0:31
vayQkBurJJI,English - Broadcast,BEEN TAKEN INTO CUSTODY.,0:23 / 0:31
vayQkBurJJI,English - Broadcast,,0:24 / 0:31
vayQkBurJJI,English - Broadcast,POLICE HAVE NOT RELEASED ANY,0:24 / 0:31
vayQkBurJJI,English - Broadcast,POLICE HAVE NOT RELEASED ANY,0:25 / 0:31
vayQkBurJJI,English - Broadcast,DETAILS ABOUT THE SHOOTER OR,0:25 / 0:31
vayQkBurJJI,English - Broadcast,DETAILS ABOUT THE SHOOTER OR,0:26 / 0:31
vayQkBurJJI,English - Broadcast,THE VICTIMS.,0:27 / 0:31
vayQkBurJJI,English - Broadcast,,0:27 / 0:31
vayQkBurJJI,English - Broadcast,WE WILL OF COURSE KEEP TO,0:28 / 0:31
vayQkBurJJI,English - Broadcast,WE WILL OF COURSE KEEP TO,0:29 / 0:31
vayQkBurJJI,English - Broadcast,WE WILL OF COURSE KEEP TO,0:30 / 0:31
vayQkBurJJI,English - Broadcast,FOLLOW DEVELOPMENTS ON AIR,0:30 / 0:31
vayQkBurJJI,English - Broadcast,,0:31 / 0:31
vayQkBurJJI,English (auto-generated),,0:00 / 0:31
vayQkBurJJI,English (auto-generated),,0:01 / 0:31
vayQkBurJJI,English (auto-generated),but we begin,0:01 / 0:31
vayQkBurJJI,English (auto-generated),but we begin with some,0:02 / 0:31
vayQkBurJJI,English (auto-generated),but we begin with some breaking news,0:03 / 0:31
vayQkBurJJI,English (auto-generated),but we begin with some breaking news a,0:03 / 0:31
vayQkBurJJI,English (auto-generated),but we begin with some breaking news a mass shooting,0:04 / 0:31
vayQkBurJJI,English (auto-generated),but we begin with some breaking news a mass shooting at a bowling,0:04 / 0:31
vayQkBurJJI,English (auto-generated),but we begin with some breaking news a mass shooting at a bowling alley in,0:05 / 0:31
vayQkBurJJI,English (auto-generated),a mass shooting at a bowling alley in illinois,0:06 / 0:31
vayQkBurJJI,English (auto-generated),a mass shooting at a bowling alley in illinois three,0:06 / 0:31
vayQkBurJJI,English (auto-generated),illinois three people,0:07 / 0:31
vayQkBurJJI,English (auto-generated),illinois three people killed three,0:07 / 0:31
vayQkBurJJI,English (auto-generated),illinois three people killed three others,0:08 / 0:31
vayQkBurJJI,English (auto-generated),illinois three people killed three others hurt at the,0:09 / 0:31
vayQkBurJJI,English (auto-generated),the don carter,0:09 / 0:31
vayQkBurJJI,English (auto-generated),the don carter lanes,0:10 / 0:31
vayQkBurJJI,English (auto-generated),the don carter lanes in rockford,0:11 / 0:31
vayQkBurJJI,English (auto-generated),the don carter lanes in rockford it's about an,0:12 / 0:31
vayQkBurJJI,English (auto-generated),carter lanes in rockford it's about an hour and a half,0:12 / 0:31
vayQkBurJJI,English (auto-generated),hour and a half outside of chicago,0:13 / 0:31
vayQkBurJJI,English (auto-generated),hour and a half outside of chicago,0:14 / 0:31
vayQkBurJJI,English (auto-generated),hour and a half outside of chicago police,0:14 / 0:31
vayQkBurJJI,English (auto-generated),hour and a half outside of chicago police believe,0:15 / 0:31
vayQkBurJJI,English (auto-generated),outside of chicago police believe right now this,0:16 / 0:31
vayQkBurJJI,English (auto-generated),outside of chicago police believe right now this was a random,0:16 / 0:31
vayQkBurJJI,English (auto-generated),outside of chicago police believe right now this was a random attack,0:17 / 0:31
vayQkBurJJI,English (auto-generated),~~~ !!! ERROR IN PARSING !!! ~~~,0:17 / 0:31
vayQkBurJJI,English (auto-generated),now this was a random attack a person of interest,0:18 / 0:31
vayQkBurJJI,English (auto-generated),now this was a random attack a person of interest has been taken,0:19 / 0:31
vayQkBurJJI,English (auto-generated),now this was a random attack a person of interest has been taken into custody,0:19 / 0:31
vayQkBurJJI,English (auto-generated),a person of interest has been taken into custody,0:20 / 0:31
vayQkBurJJI,English (auto-generated),a person of interest has been taken into custody police,0:21 / 0:31
vayQkBurJJI,English (auto-generated),a person of interest has been taken into custody police have not released,0:21 / 0:31
vayQkBurJJI,English (auto-generated),custody police have not released any details,0:22 / 0:31
vayQkBurJJI,English (auto-generated),custody police have not released any details about the,0:22 / 0:31
vayQkBurJJI,English (auto-generated),custody police have not released any details about the shooter or,0:23 / 0:31
vayQkBurJJI,English (auto-generated),custody police have not released any details about the shooter or the victims,0:24 / 0:31
vayQkBurJJI,English (auto-generated),custody police have not released any details about the shooter or the victims we,0:24 / 0:31
vayQkBurJJI,English (auto-generated),details about the shooter or the victims we will of course,0:25 / 0:31
vayQkBurJJI,English (auto-generated),details about the shooter or the victims we will of course continue to,0:25 / 0:31
vayQkBurJJI,English (auto-generated),details about the shooter or the victims we will of course continue to follow developments,0:26 / 0:31
vayQkBurJJI,English (auto-generated),we will of course continue to follow developments,0:27 / 0:31
vayQkBurJJI,English (auto-generated),we will of course continue to follow developments on air,0:27 / 0:31
vayQkBurJJI,English (auto-generated),developments on air and online,0:28 / 0:31
vayQkBurJJI,English (auto-generated),developments on air and online at,0:29 / 0:31
vayQkBurJJI,English (auto-generated),developments on air and online at clickondetroit.com,0:30 / 0:31
vayQkBurJJI,English (auto-generated),,0:31 / 0:31
