"video_id","min_timecode","max_timecode","text.user","text.auto"
"vc6aHpPGPYU","00:00:00","00:00:01","This video is sponsored by Monster Legends.","this video is sponsored by monster legends"
"vc6aHpPGPYU","00:00:02","00:00:04","Ay, somebody order a large-a pizza?!","hey somebody order a larger pizza i did"
"vc6aHpPGPYU","00:00:04","00:00:06","I did! [splat]","oh no"
"vc6aHpPGPYU","00:00:06","00:00:08","Oh no! I drop-a da pizza on a little man!","i'm dropping a pizza on a little man"
"vc6aHpPGPYU","00:00:09","00:00:11","[funky intro music]","[Music]"
"vc6aHpPGPYU","00:00:12","00:00:15","It's Taco Tuesday! [guitar riff]","it's taco tuesday not"
"vc6aHpPGPYU","00:00:15","00:00:16","Not again!! [eerie music]","again"
"vc6aHpPGPYU","00:00:17","00:00:18","[smash] Where's my money?!","where's my money"
"vc6aHpPGPYU","00:00:18","00:00:19","","guess"
"vc6aHpPGPYU","00:00:20","00:00:20","Guess whooo-","who's"
"vc6aHpPGPYU","00:00:21","00:00:22","-se arms I stole?","arms i stall"
"vc6aHpPGPYU","00:00:23","00:00:23","",""
"vc6aHpPGPYU","00:00:26","00:00:27","You want some spaghetti?","you want some spaghetti"
"vc6aHpPGPYU","00:00:28","00:00:28","","look"
"vc6aHpPGPYU","00:00:28","00:00:30","Look, honey! [baby cooing] ","honey the baby"
"vc6aHpPGPYU","00:00:30","00:00:32","The baby is taking his first...","is taking his first life"
"vc6aHpPGPYU","00:00:34","00:00:34","",""
"vc6aHpPGPYU","00:00:35","00:00:39","[singing] Broccoli... Sockoli... What's he doing today?!","broccoli what's he doing today he's dead"
"vc6aHpPGPYU","00:00:40","00:00:42","","the end wait"
"vc6aHpPGPYU","00:00:42","00:00:44","Wait a minute...","a minute i can't"
"vc6aHpPGPYU","00:00:44","00:00:45","I can't drive. [smash]","drive"
"vc6aHpPGPYU","00:00:46","00:00:46","","i"
"vc6aHpPGPYU","00:00:47","00:00:49","I want to speak to your manager!","want to speak to your manager"
"vc6aHpPGPYU","00:00:49","00:00:49","",""
"vc6aHpPGPYU","00:00:52","00:00:54","What seems to be the problem here?","what seems to be the problem here"
"vc6aHpPGPYU","00:00:55","00:00:57","I find you... Guilty! [ominous music]","i find you guilty of"
"vc6aHpPGPYU","00:00:57","00:00:59","Of nothing! [optimistic music]","nothing the sentence"
"vc6aHpPGPYU","00:00:59","00:01:01","The sentence is death. [church bell tolls]","is death"
"vc6aHpPGPYU","00:01:02","00:01:02","","egg"
"vc6aHpPGPYU","00:01:03","00:01:03","","stop"
"vc6aHpPGPYU","00:01:04","00:01:04","Stop turning people into e-","turning people"
"vc6aHpPGPYU","00:01:05","00:01:05","Egg.","into egg"
"vc6aHpPGPYU","00:01:06","00:01:07","",""
"vc6aHpPGPYU","00:01:07","00:01:09","[sniffs] Eugh... Time to change this baby!","time to change this"
"vc6aHpPGPYU","00:01:11","00:01:12","[baby coos] Yeah.","baby yeah"
"vc6aHpPGPYU","00:01:13","00:01:14","Hey, you four-eyed freak!!","hey you four right freak"
"vc6aHpPGPYU","00:01:15","00:01:16","Aww...","ah don't listen"
"vc6aHpPGPYU","00:01:17","00:01:17","[screeching]","to him"
"vc6aHpPGPYU","00:01:18","00:01:19","Yeah can I get uuuh...","yeah can i get uh"
"vc6aHpPGPYU","00:01:20","00:01:21","Death. What?","death what"
"vc6aHpPGPYU","00:01:24","00:01:24","",""
"vc6aHpPGPYU","00:01:25","00:01:25","Hey!","hey"
"vc6aHpPGPYU","00:01:26","00:01:26","","get"
"vc6aHpPGPYU","00:01:26","00:01:27","Get outta my sandwich!","out of my sandwich"
"vc6aHpPGPYU","00:01:28","00:01:28","",""
"vc6aHpPGPYU","00:01:29","00:01:29","No.","no"
"vc6aHpPGPYU","00:01:30","00:01:30","","here's"
"vc6aHpPGPYU","00:01:31","00:01:32","Here's the results of your spelling test...","the results of your spelling test"
"vc6aHpPGPYU","00:01:33","00:01:33","","no here's the results of your spelling test wow"
"vc6aHpPGPYU","00:01:34","00:01:35","An ""A""!","an a"
"vc6aHpPGPYU","00:01:36","00:01:36","",""
"vc6aHpPGPYU","00:01:36","00:01:38","[chuckles] That's my girl!","that's my girl"
"vc6aHpPGPYU","00:01:39","00:01:39","","i'm"
"vc6aHpPGPYU","00:01:39","00:01:41","I'm sorry for your loss, ma'am.","sorry for your loss ma'am"
"vc6aHpPGPYU","00:01:42","00:01:44","Make me a drink! [slap]","make me a drink"
"vc6aHpPGPYU","00:01:44","00:01:44","",""
"vc6aHpPGPYU","00:01:45","00:01:45","Yeah!","yeah"
"vc6aHpPGPYU","00:01:46","00:01:46","","where's"
"vc6aHpPGPYU","00:01:46","00:01:47","Where's my wife?!","my wife oh there's"
"vc6aHpPGPYU","00:01:47","00:01:48","Oh, there's my wife!","my wife"
"vc6aHpPGPYU","00:01:49","00:01:49","Where's my keys?!","where's my keys oh"
"vc6aHpPGPYU","00:01:49","00:01:50","Oh, there's my keys!","there's my keys okay"
"vc6aHpPGPYU","00:01:51","00:01:52","Okay, I'm off to work!! [kiss]","i'm off the white"
"vc6aHpPGPYU","00:01:52","00:01:54","Where's the door?!","where's the door"
"vc6aHpPGPYU","00:01:55","00:01:56","Mum, I'm scared...","mom i'm scared"
"vc6aHpPGPYU","00:01:57","00:01:59","Aw, honey... Ghosts aren't real.","oh honey ghosts aren't real oh"
"vc6aHpPGPYU","00:01:59","00:02:01","Oh... Okay...","real oh okay"
"vc6aHpPGPYU","00:02:02","00:02:02","",""
"vc6aHpPGPYU","00:02:04","00:02:06","That's how you open a door.","that's how you open a door"
"vc6aHpPGPYU","00:02:06","00:02:07","",""
"vc6aHpPGPYU","00:02:14","00:02:16","","and now a word from our sponsor"
"vc6aHpPGPYU","00:02:17","00:02:19","Hello, Mine Turtle! Hello!","hello mind"
"vc6aHpPGPYU","00:02:21","00:02:21","[pop]","turtle"
"vc6aHpPGPYU","00:02:22","00:02:23","Oh. [explosion]","oh my"
"vc6aHpPGPYU","00:02:24","00:02:27","Mine Turtle is now available in Monster Legends, a free-to-play monster battling game on iOS and Android.","turtle is now available in monster legends a free-to-play monster battling game on ios and android"
"vc6aHpPGPYU","00:02:28","00:02:30","Can I play it on this phone? Narrator: No.","can i play it on this phone no"
"vc6aHpPGPYU","00:02:31","00:02:38","Choose from over 800 monsters to breed, feed, and then succeed in real-time PVP battles against your friends","choose from over 800 monsters to breed feed and then succeed in real-time pvp battles against your friends can i play"
"vc6aHpPGPYU","00:02:38","00:02:40","Can I play with my friends?? Aww...","with my friends oh you don't"
"vc6aHpPGPYU","00:02:40","00:02:41","You don't have any friends.","have any friends"
"vc6aHpPGPYU","00:02:41","00:02:43","Nerd! [pop punk music]","nerd"
"vc6aHpPGPYU","00:02:44","00:02:47","Monster Legends is great fun so it's really cool  that they've added Mine Turtle to their roster.","monster legends is great fun so it's really cool they've added mine turtle to their roster i mean just"
"vc6aHpPGPYU","00:02:48","00:02:49","I mean just... Look at him! I love you...","look at him i love you so"
"vc6aHpPGPYU","00:02:49","00:02:52","So click the link in the description and download Monster Legends now as Mine Turtle will only be","click the link in the description and download most legends now as my title"
"vc6aHpPGPYU","00:02:53","00:02:56","available in the breeding event and special offers until July 5th. Alright, see ya!","will only be available in the breeding event and special offers until july 5th alright see ya"
"vc6aHpPGPYU","00:02:56","00:02:57","[click] I deserve this.","i deserve"
"vc6aHpPGPYU","00:03:00","00:03:01","","this"
