video_id,lang,text,timecode
wUh9iYE_Obs,English - PostTV Closed Captions,-My challenge today is not about the good people of Arizona.,0:00 / 0:43
wUh9iYE_Obs,English - PostTV Closed Captions,-My challenge today is not about the good people of Arizona.,0:01 / 0:43
wUh9iYE_Obs,English - PostTV Closed Captions,-My challenge today is not about the good people of Arizona.,0:02 / 0:43
wUh9iYE_Obs,English - PostTV Closed Captions,-My challenge today is not about the good people of Arizona.,0:03 / 0:43
wUh9iYE_Obs,English - PostTV Closed Captions,-My challenge today is not about the good people of Arizona.,0:04 / 0:43
wUh9iYE_Obs,English - PostTV Closed Captions,-My challenge today is not about the good people of Arizona.,0:05 / 0:43
wUh9iYE_Obs,English - PostTV Closed Captions,-My challenge today is not about the good people of Arizona.,0:06 / 0:43
wUh9iYE_Obs,English - PostTV Closed Captions,-And it will stand it recess until the call of the chair.,0:06 / 0:43
wUh9iYE_Obs,English - PostTV Closed Captions,-And it will stand it recess until the call of the chair.,0:07 / 0:43
wUh9iYE_Obs,English - PostTV Closed Captions,-And it will stand it recess until the call of the chair.,0:08 / 0:43
wUh9iYE_Obs,English - PostTV Closed Captions,-And it will stand it recess until the call of the chair.,0:09 / 0:43
wUh9iYE_Obs,English - PostTV Closed Captions,-And it will stand it recess until the call of the chair.,0:10 / 0:43
wUh9iYE_Obs,English - PostTV Closed Captions,-And it will stand it recess until the call of the chair.,0:11 / 0:43
wUh9iYE_Obs,English - PostTV Closed Captions,-Protesters are in -- -Thank you.,0:11 / 0:43
wUh9iYE_Obs,English - PostTV Closed Captions,-Protesters are in -- -Thank you.,0:12 / 0:43
wUh9iYE_Obs,English - PostTV Closed Captions,-Protesters are in -- -Thank you.,0:13 / 0:43
wUh9iYE_Obs,English - PostTV Closed Captions,-It wasn't anything you said.,0:14 / 0:43
wUh9iYE_Obs,English - PostTV Closed Captions,-It wasn't anything you said.,0:15 / 0:43
wUh9iYE_Obs,English - PostTV Closed Captions,-It wasn't anything you said.,0:16 / 0:43
wUh9iYE_Obs,English - PostTV Closed Captions,,0:16 / 0:43
wUh9iYE_Obs,English - PostTV Closed Captions,,0:17 / 0:43
wUh9iYE_Obs,English - PostTV Closed Captions,,0:18 / 0:43
wUh9iYE_Obs,English - PostTV Closed Captions,,0:19 / 0:43
wUh9iYE_Obs,English - PostTV Closed Captions,,0:20 / 0:43
wUh9iYE_Obs,English - PostTV Closed Captions,,0:21 / 0:43
wUh9iYE_Obs,English - PostTV Closed Captions,,0:22 / 0:43
wUh9iYE_Obs,English - PostTV Closed Captions,,0:23 / 0:43
wUh9iYE_Obs,English - PostTV Closed Captions,,0:24 / 0:43
wUh9iYE_Obs,English - PostTV Closed Captions,,0:25 / 0:43
wUh9iYE_Obs,English - PostTV Closed Captions,,0:26 / 0:43
wUh9iYE_Obs,English - PostTV Closed Captions,,0:27 / 0:43
wUh9iYE_Obs,English - PostTV Closed Captions,,0:28 / 0:43
wUh9iYE_Obs,English - PostTV Closed Captions,,0:29 / 0:43
wUh9iYE_Obs,English - PostTV Closed Captions,,0:30 / 0:43
wUh9iYE_Obs,English - PostTV Closed Captions,,0:31 / 0:43
wUh9iYE_Obs,English - PostTV Closed Captions,,0:32 / 0:43
wUh9iYE_Obs,English - PostTV Closed Captions,,0:33 / 0:43
wUh9iYE_Obs,English - PostTV Closed Captions,,0:34 / 0:43
